========================================================================================================
连板后「追板」与「等回调」的对比    全A股 2021-08-17 ~ 2026-08-17，成本双边 1‰ + 滑点 1‰
========================================================================================================

■ 样本：全部
     板数入场方式                        出场             笔数      胜率      平均单笔      中位数
      2追板：第N+1日开盘买               持有3日        8,845   34.2%    -2.74%   -5.00%
      2追板：第N+1日开盘买               持有5日        8,845   32.4%    -3.46%   -6.15%
      2追板：第N+1日开盘买               跌破MA10      8,845   24.8%    -4.53%   -8.72%
      2追板：第N+1日开盘买               回撤8%        8,845   26.5%    -3.74%   -7.73%
      2回调买：首破MA5后次日开盘买           持有3日        9,569   41.2%    -0.47%   -1.80%
      2回调买：首破MA5后次日开盘买           持有5日        9,532   40.1%    -0.50%   -2.17%
      2回调买：首破MA5后次日开盘买           跌破MA10      9,589   31.4%    -1.06%   -2.77%
      2回调买：首破MA5后次日开盘买           回撤8%        9,589   34.2%    -0.79%   -4.72%
      2回调且守住MA10才买               持有3日        8,673   41.0%    -0.43%   -1.84%
      2回调且守住MA10才买               持有5日        8,638   39.7%    -0.48%   -2.21%
      2回调且守住MA10才买               跌破MA10      8,692   30.7%    -1.05%   -2.88%
      2回调且守住MA10才买               回撤8%        8,692   34.3%    -0.76%   -4.74%
      3追板：第N+1日开盘买               持有3日        2,840   33.5%    -4.20%   -7.19%
      3追板：第N+1日开盘买               持有5日        2,840   29.7%    -5.43%   -9.44%
      3追板：第N+1日开盘买               跌破MA10      2,840   21.9%    -6.95%  -11.97%
      3追板：第N+1日开盘买               回撤8%        2,840   24.5%    -5.34%   -9.87%
      3回调买：首破MA5后次日开盘买           持有3日        3,203   37.4%    -1.17%   -2.84%
      3回调买：首破MA5后次日开盘买           持有5日        3,194   36.2%    -1.54%   -3.52%
      3回调买：首破MA5后次日开盘买           跌破MA10      3,211   27.7%    -1.93%   -3.37%
      3回调买：首破MA5后次日开盘买           回撤8%        3,211   30.0%    -1.98%   -5.63%
      3回调且守住MA10才买               持有3日        3,014   37.4%    -1.11%   -2.83%
      3回调且守住MA10才买               持有5日        3,005   35.8%    -1.46%   -3.55%
      3回调且守住MA10才买               跌破MA10      3,021   27.1%    -1.93%   -3.46%
      3回调且守住MA10才买               回撤8%        3,021   29.9%    -1.98%   -5.64%

■ 样本：成交额<8亿
     板数入场方式                        出场             笔数      胜率      平均单笔      中位数
      2追板：第N+1日开盘买               持有3日        6,095   32.7%    -3.19%   -5.70%
      2追板：第N+1日开盘买               持有5日        6,095   31.2%    -3.84%   -6.59%
      2追板：第N+1日开盘买               跌破MA10      6,095   24.1%    -4.94%   -9.01%
      2追板：第N+1日开盘买               回撤8%        6,095   26.2%    -4.04%   -8.06%
      2回调买：首破MA5后次日开盘买           持有3日        6,810   41.3%    -0.41%   -1.66%
      2回调买：首破MA5后次日开盘买           持有5日        6,785   40.5%    -0.50%   -2.03%
      2回调买：首破MA5后次日开盘买           跌破MA10      6,822   31.7%    -0.99%   -2.64%
      2回调买：首破MA5后次日开盘买           回撤8%        6,822   34.7%    -0.63%   -4.56%
      2回调且守住MA10才买               持有3日        6,176   41.1%    -0.37%   -1.71%
