载入 /home/ubuntu/ashare5y/all.npz …
全市场 5404 只 → 校验子集 136 只，区间 20210817~20260817
导出子集 CSV（供生成的 Python 代码读取，确保两边输入完全相同）…
✓ 01 双均线金叉 MA5/MA20  生成代码 1127 笔/期末 3465164.63   numpy 1127 笔/期末 3465164.63
✓ 02 中期双均线 MA10/MA60  生成代码 506 笔/期末 4822976.14   numpy 506 笔/期末 4822976.14
✓ 03 金叉+放量确认  生成代码 775 笔/期末 6039581.84   numpy 775 笔/期末 6039581.84
✓ 04 多头排列缩量回踩10日线  生成代码 1406 笔/期末 6213963.39   numpy 1406 笔/期末 6213963.39
✓ 05 站上20日线趋势跟随  生成代码 1797 笔/期末 1722964.32   numpy 1797 笔/期末 1722964.32
✓ 06 唐奇安通道20日突破  生成代码 886 笔/期末 2346143.45   numpy 886 笔/期末 2346143.45
✓ 07 海龟55日突破  生成代码 484 笔/期末 3617309.58   numpy 484 笔/期末 3617309.58
✓ 08 20日新高+放量突破  生成代码 1054 笔/期末 5402977.87   numpy 1054 笔/期末 5402977.87
✓ 09 布林上轨突破  生成代码 1058 笔/期末 1623598.84   numpy 1058 笔/期末 1623598.84
✓ 10 三连阳+10日新高  生成代码 1666 笔/期末 3634140.05   numpy 1666 笔/期末 3634140.05
✓ 11 MACD金叉死叉  生成代码 1399 笔/期末 4926896.13   numpy 1399 笔/期末 4926896.13
✓ 12 MACD金叉+均线过滤  生成代码 1776 笔/期末 4465500.40   numpy 1776 笔/期末 4465500.40
✓ 13 MACD零轴上金叉  生成代码 1200 笔/期末 3871861.43   numpy 1200 笔/期末 3871861.43
✓ 14 KDJ金叉死叉  生成代码 2208 笔/期末 1807275.90   numpy 2208 笔/期末 1807275.90
✓ 15 KDJ低位金叉  生成代码 1890 笔/期末 6893881.77   numpy 1890 笔/期末 6893881.77
✓ 16 KDJ的J值超卖  生成代码 2180 笔/期末 4264662.70   numpy 2180 笔/期末 4264662.70
✓ 17 RSI6超卖反弹  生成代码 1227 笔/期末 5322244.18   numpy 1227 笔/期末 5322244.18
✓ 18 RSI14强弱分界突破  生成代码 1212 笔/期末 1360539.22   numpy 1212 笔/期末 1360539.22
✓ 19 BIAS+WR共振抄底  生成代码 1026 笔/期末 3509778.51   numpy 1026 笔/期末 3509778.51
✓ 20 布林下轨反弹  生成代码 1371 笔/期末 4679600.70   numpy 1371 笔/期末 4679600.70
✓ 21 四连阴+RSI超卖  生成代码 1481 笔/期末 5342507.25   numpy 1481 笔/期末 5342507.25
✓ 22 CCI超卖反弹  生成代码 2086 笔/期末 4592939.82   numpy 2086 笔/期末 4592939.82
✓ 23 单日暴跌反弹  生成代码 529 笔/期末 7133860.84   numpy 529 笔/期末 7133860.84
✓ 24 量价齐升  生成代码 1504 笔/期末 6447130.34   numpy 1504 笔/期末 6447130.34
✓ 25 N字涨停战法  生成代码 458 笔/期末 5887027.41   numpy 458 笔/期末 5887027.41
✓ 26 涨停次日跟进  生成代码 931 笔/期末 5010108.07   numpy 931 笔/期末 5010108.07
✓ 27 换手率突增  生成代码 1111 笔/期末 4310615.12   numpy 1111 笔/期末 4310615.12
✓ 28 低换手率+趋势向上  生成代码 1768 笔/期末 6287656.21   numpy 1768 笔/期末 6287656.21
✓ 29 缩量回踩20日线  生成代码 1437 笔/期末 5740569.72   numpy 1437 笔/期末 5740569.72
✓ 30 30日新高+MACD共振  生成代码 292 笔/期末 8079116.51   numpy 292 笔/期末 8079116.51

一致性结论：全部 30 个策略逐笔一致
