日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10136334.87
2021-08-19,9937901.37
2021-08-20,9944265.58
2021-08-23,10027365.58
2021-08-24,10086087.58
2021-08-25,10197645.82
2021-08-26,10152560.62
2021-08-27,10205690.62
2021-08-30,10431686.19
2021-08-31,10710704.39
2021-09-01,10644393.48
2021-09-02,10980425.28
2021-09-03,10608650.23
2021-09-06,10539299.31
2021-09-07,10875031.61
2021-09-08,10949736.59
2021-09-09,11153181.89
2021-09-10,11150063.31
2021-09-13,11240091.32
2021-09-14,11148482.22
2021-09-15,11281468.52
2021-09-16,10836456.22
2021-09-17,10688423.35
2021-09-22,10627615.55
2021-09-23,10534181.05
2021-09-24,10287408.81
2021-09-27,9973345.51
2021-09-28,9938958.7
2021-09-29,9737420.82
2021-09-30,9953869.91
2021-10-08,9970162.7
2021-10-11,9760260.7
2021-10-12,9664382.48
2021-10-13,9869071.6
2021-10-14,9785481.92
2021-10-15,9850268.45
2021-10-18,9761863.13
2021-10-19,9895157.63
2021-10-20,9985857.03
2021-10-21,10019515.06
2021-10-22,9918694.96
2021-10-25,10045565.26
2021-10-26,9920784.56
2021-10-27,9933246.86
2021-10-28,9849580.51
2021-10-29,10013790.31
2021-11-01,10028068.06
2021-11-02,9868335.19
2021-11-03,9678183.01
2021-11-04,9945984.1
2021-11-05,9699675.83
2021-11-08,9697346.84
2021-11-09,9746121.86
2021-11-10,9755343.56
2021-11-11,9790529.52
2021-11-12,9755387.68
2021-11-15,9532943.92
2021-11-16,9357344.22
2021-11-17,9487058.52
2021-11-18,9405708.38
2021-11-19,9423253.41
2021-11-22,9661185.5
2021-11-23,9657317.11
2021-11-24,9565501.96
2021-11-25,9457629.37
2021-11-26,9571568.32
2021-11-29,9621738.0
2021-11-30,9649768.09
2021-12-01,9626433.79
2021-12-02,9631454.02
2021-12-03,9673496.42
2021-12-06,9528750.57
2021-12-07,9287698.77
2021-12-08,9527306.19
2021-12-09,9545857.65
2021-12-10,9562584.35
2021-12-13,9672755.68
2021-12-14,9514204.58
2021-12-15,9432526.45
2021-12-16,9471907.62
2021-12-17,9323024.02
2021-12-20,9131616.17
2021-12-21,9194424.1
2021-12-22,9124502.04
2021-12-23,9206972.14
2021-12-24,9135755.19
2021-12-27,9030042.17
2021-12-28,9111336.87
2021-12-29,9004223.81
2021-12-30,9147304.91
2021-12-31,9291073.97
2022-01-04,9481721.57
2022-01-05,9227020.75
2022-01-06,9197570.85
2022-01-07,9093722.05
2022-01-10,9185871.41
2022-01-11,9092651.9
2022-01-12,9170688.52
2022-01-13,8999557.52
2022-01-14,9045508.42
2022-01-17,9262553.62
2022-01-18,9114600.34
2022-01-19,9170399.02
2022-01-20,9176865.86
2022-01-21,8800807.33
2022-01-24,8710190.93
2022-01-25,8286461.39
2022-01-26,8256887.72
2022-01-27,8080627.43
2022-01-28,7929863.77
2022-02-07,8116010.0
2022-02-08,8021367.76
2022-02-09,8091643.95
2022-02-10,8124265.41
2022-02-11,7982185.25
2022-02-14,7954978.85
2022-02-15,8079398.35
2022-02-16,8133198.11
2022-02-17,8179911.51
2022-02-18,8273755.81
2022-02-21,8232208.43
2022-02-22,8230159.8
2022-02-23,8322957.0
2022-02-24,7967120.8
2022-02-25,8065638.22
2022-02-28,8043793.01
2022-03-01,8054348.94
2022-03-02,8068621.24
2022-03-03,8008689.34
2022-03-04,7890593.71
2022-03-07,7667155.61
2022-03-08,7339467.03
2022-03-09,7350093.48
2022-03-10,7478788.52
2022-03-11,7376933.78
2022-03-14,7096349.91
2022-03-15,6733152.58
2022-03-16,6951255.88
2022-03-17,7134586.49
2022-03-18,7151051.68
2022-03-21,7382689.16
2022-03-22,7089086.46
2022-03-23,7012717.26
2022-03-24,6961335.86
2022-03-25,6742618.76
2022-03-28,6730584.59
2022-03-29,6720998.22
2022-03-30,6844995.3
2022-03-31,6697152.63
2022-04-01,6674280.32
2022-04-06,6740564.42
2022-04-07,6575046.92
2022-04-08,6623776.18
2022-04-11,6481017.28
2022-04-12,6591988.62
2022-04-13,6356372.37
2022-04-14,6489413.26
2022-04-15,6314770.26
2022-04-18,6302647.93
2022-04-19,6292473.44
2022-04-20,6068687.3
2022-04-21,5849293.7
2022-04-22,5824534.75
2022-04-25,5513287.26
2022-04-26,5497755.81
2022-04-27,5663387.93
2022-04-28,5666194.56
2022-04-29,5843366.56
2022-05-05,5851412.17
2022-05-06,5636168.9
2022-05-09,5731067.3
2022-05-10,5941336.6
2022-05-11,5943831.2
2022-05-12,6008590.3
2022-05-13,5891523.5
2022-05-16,5861734.7
2022-05-17,5816195.2
2022-05-18,5826401.08
2022-05-19,6009944.6
2022-05-20,6052495.07
2022-05-23,6042811.5
2022-05-24,5879601.88
2022-05-25,6017231.35
2022-05-26,6005271.97
2022-05-27,6046405.17
2022-05-30,6088612.77
2022-05-31,6126297.7
2022-06-01,6080264.1
2022-06-02,6079590.25
2022-06-06,6270934.8
2022-06-07,6212104.8
2022-06-08,6294689.5
