序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000596,古井贡酒,2021-08-18,179.99,2021-09-23,186.607,2700,3.5725%,17370.18,24,信号
2,000762,西藏矿业,2021-08-18,52.295,2021-09-23,65.846,9500,25.7866%,128172.63,24,信号
3,002493,荣盛石化,2021-08-18,19.49,2021-08-25,18.321,25600,-6.0915%,-30407.94,5,信号
4,002600,领益智造,2021-08-18,6.778,2021-08-30,6.562,73700,-3.2932%,-16460.16,8,信号
5,002772,众兴菌业,2021-08-18,11.621,2021-09-01,9.83,43000,-15.4942%,-77462.37,10,信号
6,003039,顺控发展,2021-08-18,37.077,2021-09-01,32.782,13400,-11.6723%,-58020.08,10,信号
7,300234,开尔新材,2021-08-18,9.281,2021-08-25,8.612,53800,-7.3007%,-36470.60,5,信号
8,300454,深信服,2021-08-18,263.121,2021-09-06,247.586,1900,-5.9983%,-30002.34,13,信号
9,300618,寒锐钴业,2021-08-18,92.046,2021-09-06,81.959,5400,-11.0476%,-54939.61,13,信号
10,600216,浙江医药,2021-08-18,15.473,2021-09-01,14.758,32300,-4.7171%,-23586.43,10,信号
11,600331,宏达股份,2021-08-18,3.492,2021-09-30,4.018,143100,14.9561%,74768.34,29,信号
12,600655,豫园股份,2021-08-18,9.86,2021-09-03,9.41,50700,-4.6556%,-23284.99,12,信号
13,600787,中储股份,2021-08-18,5.161,2021-09-28,5.435,96800,5.2178%,26078.31,27,信号
14,601005,重庆钢铁,2021-08-18,2.591,2021-09-27,2.809,192900,8.2774%,41396.35,26,信号
15,601066,中信建投,2021-08-18,26.433,2021-10-08,29.8,18900,12.6246%,63102.67,30,信号
16,601233,桐昆股份,2021-08-18,26.276,2021-08-20,24.921,19000,-5.2538%,-26242.73,2,信号
17,601398,工商银行,2021-08-18,3.091,2021-09-23,3.127,161700,1.0925%,5462.55,24,信号
18,603068,博通集成,2021-08-18,90.395,2021-08-26,79.21,5500,-12.4608%,-61982.82,6,信号
19,603077,和邦生物,2021-08-18,2.334,2021-10-08,3.921,214200,67.8166%,339238.05,30,信号
20,603212,赛伍技术,2021-08-18,31.524,2021-08-25,28.864,15800,-8.5302%,-42508.11,5,信号
21,600773,西藏城投,2021-08-20,26.089,2021-09-27,28.862,19100,10.5166%,52430.43,24,信号
22,002079,苏州固锝,2021-08-25,15.411,2021-09-24,16.145,25300,4.6597%,18176.64,20,信号
23,002407,多氟多,2021-08-25,38.734,2021-09-08,35.78,12900,-7.7193%,-38590.53,10,信号
24,600010,包钢股份,2021-08-25,3.031,2021-09-23,3.417,164900,12.6500%,63247.74,19,信号
25,600111,北方稀土,2021-08-26,45.615,2021-09-23,49.547,9500,8.5124%,36905.95,18,信号
26,300142,沃森生物,2021-08-30,83.83,2021-09-01,79.248,5700,-5.5598%,-26579.54,2,信号
27,000338,潍柴动力,2021-09-01,17.407,2021-09-10,16.84,28700,-3.3548%,-16767.86,7,信号
28,000799,酒鬼酒,2021-09-01,202.721,2021-09-03,199.49,1500,-1.6922%,-5148.32,2,信号
29,002192,融捷股份,2021-09-01,172.92,2021-09-24,160.174,2800,-7.4639%,-36156.66,15,信号
30,601899,紫金矿业,2021-09-01,9.495,2021-09-24,8.886,52600,-6.5096%,-32526.80,15,信号
31,000425,徐工机械,2021-09-03,6.379,2021-09-27,5.713,44700,-10.5304%,-30042.52,14,信号
32,000725,京东方Ａ,2021-09-03,5.49,2021-09-17,5.264,91000,-4.2013%,-20998.62,10,信号
33,000012,南玻Ａ,2021-09-06,12.108,2021-09-13,10.777,34100,-11.0853%,-45792.36,5,信号
34,000568,泸州老窖,2021-09-06,161.013,2021-09-23,154.576,3100,-4.0942%,-20446.32,11,信号
35,300059,东方财富,2021-09-08,23.379,2021-09-30,23.251,19700,-0.6440%,-2967.41,14,信号
36,300750,宁德时代,2021-09-10,252.41,2021-09-24,252.951,1900,0.1143%,548.41,8,信号
