日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10102697.47
2021-08-19,10020873.87
2021-08-20,10128098.37
2021-08-23,10381155.47
2021-08-24,10425628.67
2021-08-25,10558411.4
2021-08-26,10606643.7
2021-08-27,10638032.0
2021-08-30,10688770.0
2021-08-31,10802758.2
2021-09-01,10594827.3
2021-09-02,10915844.8
2021-09-03,10877734.75
2021-09-06,11056377.95
2021-09-07,11384560.85
2021-09-08,11590457.05
2021-09-09,12042756.95
2021-09-10,12048889.95
2021-09-13,12321822.15
2021-09-14,11945463.05
2021-09-15,12060860.55
2021-09-16,11849532.85
2021-09-17,11681605.74
2021-09-22,11943099.54
2021-09-23,11849251.54
2021-09-24,11272647.34
2021-09-27,10688746.27
2021-09-28,10831454.77
2021-09-29,10298081.9
2021-09-30,10555244.47
2021-10-08,10749134.64
2021-10-11,10746809.5
2021-10-12,10489232.5
2021-10-13,10257324.79
2021-10-14,10130266.75
2021-10-15,10163445.85
2021-10-18,10222651.88
2021-10-19,10428380.58
2021-10-20,10319977.38
2021-10-21,10406785.58
2021-10-22,10201265.78
2021-10-25,10254262.48
2021-10-26,10144694.38
2021-10-27,9978077.18
2021-10-28,9756765.09
2021-10-29,9799387.36
2021-11-01,9807621.61
2021-11-02,9633119.62
2021-11-03,9575155.67
2021-11-04,9773186.53
2021-11-05,9610199.83
2021-11-08,9716694.15
2021-11-09,9820231.53
2021-11-10,9760895.33
2021-11-11,9812853.28
2021-11-12,9754806.88
2021-11-15,9594280.28
2021-11-16,9581742.68
2021-11-17,9628712.58
2021-11-18,9531715.38
2021-11-19,9723244.23
2021-11-22,9948913.63
2021-11-23,9892557.73
2021-11-24,9881401.43
2021-11-25,9777965.33
2021-11-26,9735555.73
2021-11-29,9856651.63
2021-11-30,9808374.01
2021-12-01,9789009.41
2021-12-02,9862393.41
2021-12-03,10027372.51
2021-12-06,9817105.31
2021-12-07,9737729.21
2021-12-08,9998043.76
2021-12-09,10006638.56
2021-12-10,10047558.4
2021-12-13,10113794.5
2021-12-14,10044610.8
2021-12-15,10004181.26
2021-12-16,9980188.46
2021-12-17,9757866.46
2021-12-20,9531793.46
2021-12-21,9602233.06
2021-12-22,9701194.52
2021-12-23,9825204.72
2021-12-24,9754957.32
2021-12-27,9664148.72
2021-12-28,9700607.07
2021-12-29,9475820.39
2021-12-30,9604667.39
2021-12-31,9673093.74
2022-01-04,9626017.54
2022-01-05,9438677.93
2022-01-06,9427299.33
2022-01-07,9273482.21
2022-01-10,9280451.21
2022-01-11,9128729.98
2022-01-12,9172000.98
2022-01-13,8917964.61
2022-01-14,8882623.61
2022-01-17,8922576.27
2022-01-18,8810585.05
2022-01-19,8823998.11
2022-01-20,8789959.89
2022-01-21,8473204.91
2022-01-24,8414182.14
2022-01-25,8032023.14
2022-01-26,8001172.41
