序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000552,甘肃能化,2021-08-18,2.605,2021-11-04,2.781,191900,6.6222%,33124.64,49,信号
2,000576,甘化科工,2021-08-18,11.516,2021-10-14,11.934,43400,3.5286%,17644.27,34,信号
3,000672,上峰材料,2021-08-18,12.822,2021-10-18,12.493,38900,-2.6683%,-13316.06,36,信号
4,000676,智度股份,2021-08-18,7.044,2021-10-14,6.377,70900,-9.5561%,-47745.49,34,信号
5,002008,大族激光,2021-08-18,38.299,2021-10-11,36.642,13000,-4.4233%,-22034.23,31,信号
6,002532,天山铝业,2021-08-18,8.115,2021-10-14,7.677,61600,-5.4907%,-27460.79,34,信号
7,002606,大连电瓷,2021-08-18,7.041,2021-11-09,8.213,71000,16.5352%,82696.99,52,信号
8,002786,银宝山新,2021-08-18,7.634,2021-09-17,6.987,65400,-8.5710%,-42812.16,22,信号
9,300157,新锦动力,2021-08-18,4.752,2021-10-28,4.448,105200,-6.5030%,-32527.85,44,信号
10,600739,辽宁成大,2021-08-18,20.571,2021-11-02,19.521,24300,-5.1993%,-26003.24,47,信号
11,600740,山西焦化,2021-08-18,4.927,2021-11-03,6.402,101400,29.7909%,148923.18,48,信号
12,600792,云煤能源,2021-08-18,4.213,2021-11-04,4.059,118600,-3.7548%,-18771.06,49,信号
13,600801,华新建材,2021-08-18,15.659,2021-10-20,15.803,31900,0.8205%,4100.36,38,信号
14,600839,四川长虹,2021-08-18,2.631,2021-10-18,2.579,190000,-2.0971%,-10489.90,36,信号
15,600967,内蒙一机,2021-08-18,9.262,2021-10-08,8.893,53900,-4.0810%,-20382.51,30,信号
16,601609,金田股份,2021-08-18,8.406,2021-09-30,7.968,59400,-5.3074%,-26514.62,29,信号
17,603113,金能科技,2021-08-18,18.226,2021-10-13,14.94,27400,-18.1142%,-90506.72,33,信号
18,603161,科华控股,2021-08-18,10.14,2021-09-27,9.07,49300,-10.6377%,-53205.07,26,信号
19,603825,ST华扬,2021-08-18,17.429,2021-09-03,16.642,28600,-4.6112%,-22996.41,12,信号
20,603866,桃李面包,2021-08-18,17.373,2021-08-25,15.844,28700,-8.8901%,-44347.71,5,信号
21,601108,财通证券,2021-08-25,8.944,2021-11-04,8.619,51500,-3.7386%,-17230.00,44,信号
22,600918,中泰证券,2021-09-03,10.811,2021-10-11,9.571,44000,-11.5596%,-55016.82,19,信号
23,601919,中远海控,2021-09-17,12.836,2021-09-29,10.335,35500,-19.5687%,-89217.56,6,信号
24,002261,拓维信息,2021-09-27,9.225,2021-11-08,8.336,48500,-9.7252%,-43531.67,25,信号
25,600597,光明乳业,2021-09-29,13.187,2022-01-20,13.183,27800,-0.1241%,-455.09,75,信号
26,002299,圣农发展,2021-09-30,20.018,2022-01-28,19.678,23600,-1.7960%,-8488.83,80,信号
27,000568,泸州老窖,2021-10-08,201.924,2022-01-17,206.62,2300,2.2232%,10330.35,70,信号
28,002714,牧原股份,2021-10-11,51.018,2021-12-08,46.3,8300,-9.3396%,-39568.73,42,信号
29,600519,贵州茅台,2021-10-11,1617.377,2022-01-19,1695.211,300,4.7076%,22853.22,71,信号
30,000002,万科Ａ,2021-10-13,20.616,2021-10-28,17.947,19900,-13.0344%,-53502.40,11,信号
31,300207,欣旺达,2021-10-14,39.453,2021-12-22,43.351,12600,9.7719%,48600.66,49,信号
32,300274,阳光电源,2021-10-14,105.036,2021-12-15,103.07,4700,-1.9699%,-9729.50,44,信号
33,600559,老白干酒,2021-10-14,22.241,2021-10-29,19.67,20300,-11.6479%,-52615.79,11,信号
34,000858,五粮液,2021-10-18,202.675,2021-11-01,177.535,2400,-12.4917%,-60792.49,10,信号
35,300750,宁德时代,2021-10-18,301.078,2021-12-29,302.999,1600,0.5374%,2590.27,52,信号
36,000661,长春高新,2021-10-20,271.43,2021-12-31,261.883,1800,-3.6136%,-17663.96,52,信号
37,000875,电投绿能,2021-10-28,6.503,2021-11-19,6.527,53500,0.2608%,907.90,16,信号
38,002008,大族激光,2021-10-28,41.561,2022-02-08,46.747,12000,12.3653%,61700.30,67,信号
39,600111,北方稀土,2021-10-29,50.117,2021-11-11,47.428,7900,-5.4596%,-21626.60,9,信号
40,002371,北方华创,2021-11-01,268.639,2021-12-15,268.371,1500,-0.1998%,-805.52,32,信号
41,000333,美的集团,2021-11-02,58.05,2021-11-08,55.813,8600,-3.9496%,-19727.22,4,信号
42,600745,ST闻泰,2021-11-03,118.73,2022-01-17,118.902,4200,0.0441%,219.95,52,信号
43,002027,分众传媒,2021-11-04,5.973,2021-11-30,5.587,83700,-6.5522%,-32773.58,18,信号
44,002815,崇达技术,2021-11-04,14.827,2022-01-21,14.643,33700,-1.3446%,-6722.14,55,信号
45,600529,山东药玻,2021-11-04,37.509,2022-01-18,34.703,13300,-7.5737%,-37801.40,52,信号
46,002236,大华股份,2021-11-08,21.783,2021-12-31,20.922,22600,-4.0503%,-19949.12,39,信号
47,600418,江淮汽车,2021-11-08,15.409,2022-01-11,15.043,32400,-2.4678%,-12326.65,45,信号
48,002425,凯撒文化,2021-11-09,8.574,2022-01-27,7.506,58300,-12.5438%,-62735.48,56,信号
49,600276,恒瑞医药,2021-11-11,52.607,2021-12-10,50.066,8700,-4.9259%,-22556.25,21,信号
50,603799,华友钴业,2021-11-19,86.093,2021-12-28,81.694,4000,-5.2043%,-17931.14,27,信号
51,000831,中国稀土,2021-11-30,46.154,2022-01-05,37.632,10200,-18.5455%,-87350.60,25,信号
52,300077,国民技术,2021-12-08,30.005,2021-12-28,24.748,12800,-17.6041%,-67644.82,14,信号
53,600958,东方证券,2021-12-10,13.368,2022-01-07,11.59,32600,-13.3835%,-58352.61,19,信号
54,300433,蓝思科技,2021-12-15,23.171,2022-01-13,19.349,16600,-16.5753%,-63785.81,20,信号
55,600905,三峡能源,2021-12-15,6.99,2022-01-19,6.774,71500,-3.1994%,-15999.13,24,信号
56,601099,太平洋,2021-12-22,3.502,2022-02-07,3.188,142700,-9.0392%,-45191.67,27,信号
57,000069,华侨城Ａ,2021-12-28,6.895,2022-03-01,6.779,27700,-1.7927%,-3425.77,39,信号
58,600540,新赛股份,2021-12-28,6.683,2022-01-26,5.307,74800,-20.6678%,-103372.88,20,信号
59,002256,兆新股份,2021-12-29,4.132,2022-01-27,3.588,117200,-13.2487%,-64192.80,20,信号
60,300006,莱美药业,2021-12-31,6.813,2022-01-28,5.227,70200,-23.3546%,-111761.24,19,信号
61,300760,迈瑞医疗,2021-12-31,357.488,2022-01-07,310.154,1300,-13.3274%,-61967.92,4,信号
62,000876,新希望,2022-01-05,16.184,2022-03-17,14.479,23700,-10.6265%,-40779.70,46,信号
63,000629,钒钛股份,2022-01-07,4.352,2022-02-09,3.858,65300,-11.4417%,-32533.12,18,信号
64,300999,金龙鱼,2022-01-07,64.426,2022-01-24,60.154,7700,-6.7246%,-33376.26,11,信号
65,002714,牧原股份,2022-01-11,55.321,2022-03-17,47.069,8800,-15.0003%,-73061.01,42,信号
66,601618,中国中冶,2022-01-13,3.783,2022-03-21,3.569,84900,-5.7428%,-18453.19,42,信号
67,300497,富祥股份,2022-01-17,20.53,2022-02-09,13.703,24300,-33.3206%,-166314.83,12,信号
68,600161,天坛生物,2022-01-17,21.614,2022-02-07,19.35,21900,-10.5619%,-50018.80,10,信号
69,300379,东通退,2022-01-18,34.607,2022-02-09,27.306,13300,-21.1754%,-97514.43,11,信号
70,002453,华软科技,2022-01-19,20.27,2022-02-08,14.993,24600,-26.1104%,-130263.43,9,信号
71,002606,大连电瓷,2022-01-19,11.503,2022-03-18,9.732,43000,-15.4776%,-76593.08,37,信号
72,601636,旗滨集团,2022-01-20,15.901,2022-02-17,15.145,23000,-4.8466%,-17734.06,15,信号
73,601601,中国太保,2022-01-21,23.142,2022-01-26,21.919,21300,-5.3775%,-26519.78,3,信号
74,600926,杭州银行,2022-01-24,12.036,2022-03-17,11.094,38500,-7.9150%,-36695.51,33,信号
75,002155,湖南黄金,2022-01-26,8.173,2022-03-24,7.804,61100,-4.6101%,-23033.30,36,信号
76,601021,春秋航空,2022-01-26,55.353,2022-02-28,50.999,6500,-7.9565%,-28641.28,18,信号
77,300895,铜牛信息,2022-01-27,36.886,2022-03-17,33.727,13500,-8.6563%,-43127.27,30,信号
78,600188,兖矿能源,2022-01-27,6.766,2022-05-09,11.27,53700,66.3976%,241379.47,62,信号
79,002459,晶澳科技,2022-01-28,46.538,2022-02-10,41.749,10700,-10.3804%,-51716.16,4,信号
80,603063,禾望电气,2022-01-28,39.22,2022-04-01,34.303,8400,-12.6239%,-41609.58,40,信号
81,000537,绿发电力,2022-02-07,20.745,2022-02-09,17.926,18600,-13.6766%,-52799.28,2,信号
82,603198,迎驾贡酒,2022-02-07,63.302,2022-02-17,64.178,7800,1.2829%,6337.66,8,信号
83,600036,招商银行,2022-02-08,42.323,2022-03-07,38.743,11800,-8.5515%,-42728.57,19,信号
84,603606,东方电缆,2022-02-08,45.835,2022-04-08,37.98,9400,-17.2202%,-74230.04,41,信号
85,002092,中泰化学,2022-02-09,9.935,2022-03-21,9.235,50300,-7.1346%,-35671.26,28,信号
86,600298,安琪酵母,2022-02-09,55.634,2022-02-23,51.1,5000,-8.2404%,-22933.67,10,信号
87,601898,中煤能源,2022-02-09,4.708,2022-07-20,7.622,600,61.4238%,1738.30,109,信号
88,601899,紫金矿业,2022-02-09,8.784,2022-05-05,9.285,56900,5.5973%,27990.82,56,信号
89,002129,TCL中环,2022-02-10,33.837,2022-04-07,32.092,13100,-5.2518%,-23290.86,38,信号
90,600989,宝丰能源,2022-02-17,15.108,2022-03-16,13.343,23200,-11.7660%,-41260.05,19,信号
91,601600,中国铝业,2022-02-17,5.458,2022-03-22,5.562,91600,1.8127%,9066.57,23,信号
92,002176,江特电机,2022-02-23,22.721,2022-04-13,18.541,11200,-18.4811%,-47054.12,33,信号
93,600111,北方稀土,2022-02-28,47.246,2022-03-14,40.262,7000,-14.8670%,-49192.54,10,信号
94,603799,华友钴业,2022-03-01,91.866,2022-03-15,63.018,2000,-31.4702%,-57849.75,10,信号
95,601615,明阳智能,2022-03-07,25.935,2022-03-28,21.111,17800,-18.6799%,-86277.40,15,信号
96,002412,汉森制药,2022-03-14,6.733,2022-04-19,5.697,41900,-15.4738%,-43677.83,24,信号
97,603456,九洲药业,2022-03-15,49.487,2022-04-13,43.75,2500,-11.6806%,-14458.09,19,信号
98,300274,阳光电源,2022-03-16,85.8,2022-03-23,78.727,3600,-8.3356%,-25759.89,5,信号
99,300438,鹏辉能源,2022-03-17,54.46,2022-04-19,41.502,9100,-23.8696%,-118354.23,21,信号
100,300452,山河药辅,2022-03-17,15.03,2022-04-13,11.747,33200,-21.9177%,-109419.76,17,信号
101,600355,ST精伦,2022-03-17,4.232,2022-04-15,3.318,118100,-21.6698%,-108362.68,19,信号
102,688385,复旦微电,2022-03-17,45.165,2022-09-13,74.78,3200,65.4059%,94576.15,121,到期
103,600089,特变电工,2022-03-18,13.636,2022-04-15,12.923,30800,-5.3256%,-22377.99,18,信号
104,300026,红日药业,2022-03-21,7.964,2022-04-25,5.657,62700,-29.0365%,-145064.01,23,信号
105,603986,兆易创新,2022-03-21,158.809,2022-04-01,137.111,1600,-13.7492%,-34953.46,9,信号
106,300094,国联水产,2022-03-22,6.763,2022-04-28,5.047,73900,-25.4451%,-127241.79,25,信号
107,600196,复星医药,2022-03-23,51.083,2022-04-25,39.567,5900,-22.6200%,-68207.82,21,信号
108,600622,光大嘉宝,2022-03-24,3.528,2022-05-31,3.854,136300,9.1405%,43972.84,43,信号
109,000671,ST阳光城,2022-03-28,3.902,2022-04-25,2.579,96200,-33.9783%,-127607.41,18,信号
110,000961,ST中南,2022-04-01,4.312,2022-04-28,3.228,1700,-25.2521%,-1852.41,17,信号
