日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10089873.49
2021-08-19,9905385.49
2021-08-20,9898654.92
2021-08-23,9948256.17
2021-08-24,9986444.87
2021-08-25,10112183.67
2021-08-26,10072099.86
2021-08-27,9988831.96
2021-08-30,10277245.56
2021-08-31,10289097.96
2021-09-01,10366067.46
2021-09-02,10605618.86
2021-09-03,10522227.06
2021-09-06,10753692.17
2021-09-07,10847710.11
2021-09-08,10762461.81
2021-09-09,10716767.31
2021-09-10,10635386.31
2021-09-13,10609164.61
2021-09-14,10534864.73
2021-09-15,10541614.86
2021-09-16,10282403.11
2021-09-17,10390269.69
2021-09-22,10514183.12
2021-09-23,10553250.58
2021-09-24,10356976.17
2021-09-27,10213109.34
2021-09-28,10201991.88
2021-09-29,10021352.85
2021-09-30,10126378.67
2021-10-08,10076592.26
2021-10-11,9823559.46
2021-10-12,9600263.51
2021-10-13,9583814.38
2021-10-14,9531079.64
2021-10-15,9427362.0
2021-10-18,9337234.8
2021-10-19,9403889.41
2021-10-20,9458494.61
2021-10-21,9333904.39
2021-10-22,9134424.9
2021-10-25,9235374.32
2021-10-26,9174646.43
2021-10-27,9037955.63
2021-10-28,8902811.23
2021-10-29,9151718.19
2021-11-01,9294370.24
2021-11-02,9301321.84
2021-11-03,9363893.68
2021-11-04,9538177.04
2021-11-05,9418798.03
2021-11-08,9487214.1
2021-11-09,9494634.32
2021-11-10,9470859.32
2021-11-11,9873676.61
2021-11-12,10028024.61
2021-11-15,9960317.61
2021-11-16,10027836.61
2021-11-17,10099232.22
2021-11-18,10007347.22
2021-11-19,10157343.22
2021-11-22,10313219.38
2021-11-23,10385544.42
2021-11-24,10467669.42
2021-11-25,10160365.97
2021-11-26,10111661.07
2021-11-29,10157819.81
2021-11-30,10172449.0
2021-12-01,10189464.42
2021-12-02,10115608.42
2021-12-03,10079693.44
2021-12-06,9946875.72
2021-12-07,9905271.78
2021-12-08,10133375.06
2021-12-09,10098550.56
2021-12-10,10086420.21
2021-12-13,10167179.01
2021-12-14,9916164.11
2021-12-15,9866890.31
2021-12-16,10044260.68
2021-12-17,9892788.43
2021-12-20,9751589.39
2021-12-21,9781938.18
2021-12-22,9741692.25
2021-12-23,9968464.05
2021-12-24,9847737.37
2021-12-27,9899565.27
2021-12-28,9934958.6
2021-12-29,9696873.29
2021-12-30,9787274.61
2021-12-31,9882170.54
2022-01-04,10055201.97
2022-01-05,9935627.87
2022-01-06,9996707.07
2022-01-07,9745542.44
2022-01-10,9844210.22
2022-01-11,9697029.53
2022-01-12,9754456.37
2022-01-13,9638240.71
2022-01-14,9569314.86
2022-01-17,9772217.16
2022-01-18,9677452.83
2022-01-19,9728021.71
2022-01-20,9663284.94
2022-01-21,9421755.52
2022-01-24,9284921.54
2022-01-25,8814235.23
2022-01-26,8690569.12
2022-01-27,8354985.8
2022-01-28,8253052.85
2022-02-07,8411556.35
2022-02-08,8493001.77
2022-02-09,8598590.1
2022-02-10,8533797.46
2022-02-11,8440442.93
2022-02-14,8281666.08
2022-02-15,8273115.58
2022-02-16,8455286.44
2022-02-17,8338988.94
2022-02-18,8435474.08
2022-02-21,8509809.04
2022-02-22,8490930.77
2022-02-23,8505536.87
2022-02-24,8214089.77
2022-02-25,8240373.78
2022-02-28,8262051.01
2022-03-01,8336749.71
2022-03-02,8333189.59
2022-03-03,8332000.49
2022-03-04,8228790.33
2022-03-07,8234792.53
2022-03-08,7950607.88
2022-03-09,7969904.58
2022-03-10,8018872.2
2022-03-11,8079532.16
2022-03-14,7814894.36
2022-03-15,7422327.82
2022-03-16,7770083.46
2022-03-17,7891301.01
2022-03-18,7956892.81
2022-03-21,8093425.96
2022-03-22,7786088.76
2022-03-23,7699210.79
2022-03-24,7682280.39
2022-03-25,7456095.54
2022-03-28,7192349.35
2022-03-29,7141412.06
2022-03-30,7278569.12
2022-03-31,7153425.32
2022-04-01,6936223.1
2022-04-06,7128610.91
2022-04-07,6845526.91
2022-04-08,6851944.93
2022-04-11,6639203.2
2022-04-12,6811930.72
2022-04-13,6725603.72
2022-04-14,6869334.15
2022-04-15,6580253.15
2022-04-18,6530047.73
2022-04-19,6552166.63
2022-04-20,6529711.16
2022-04-21,6362615.67
2022-04-22,6069993.7
2022-04-25,5787115.36
2022-04-26,5730036.66
2022-04-27,5722160.16
2022-04-28,5783653.82
2022-04-29,5965570.53
2022-05-05,6069974.77
2022-05-06,5968572.63
2022-05-09,6172463.03
2022-05-10,6367767.23
2022-05-11,6394981.43
2022-05-12,6399184.43
2022-05-13,6423049.43
2022-05-16,6576562.41
2022-05-17,6319871.21
2022-05-18,6218575.01
2022-05-19,6197876.85
2022-05-20,6191471.0
2022-05-23,6217846.02
2022-05-24,5845271.02
2022-05-25,5968969.12
2022-05-26,5971005.13
2022-05-27,5941156.93
2022-05-30,5949059.44
2022-05-31,6066323.98
2022-06-01,6074426.38
2022-06-02,6051880.5
2022-06-06,6130439.55
2022-06-07,6141558.35
2022-06-08,6152185.95
2022-06-09,6110144.7
2022-06-10,6164419.07
2022-06-13,6156650.61
2022-06-14,6240116.21
2022-06-15,6183250.23
2022-06-16,6119655.85
2022-06-17,6117135.85
2022-06-20,6155902.57
2022-06-21,6090878.77
2022-06-22,6001853.27
2022-06-23,6016311.93
2022-06-24,6015039.0
2022-06-27,6057868.63
2022-06-28,6093174.58
2022-06-29,5945703.08
2022-06-30,5999149.09
2022-07-01,5969100.27
2022-07-04,6013102.77
2022-07-05,5947814.07
2022-07-06,5838748.23
2022-07-07,5919575.94
2022-07-08,5846636.04
2022-07-11,5876921.48
2022-07-12,5818644.92
2022-07-13,5852006.13
2022-07-14,5845744.08
2022-07-15,5802086.51
2022-07-18,5899513.67
2022-07-19,5901206.43
2022-07-20,6046365.68
2022-07-21,5989934.48
2022-07-22,5905960.38
2022-07-25,5802179.48
2022-07-26,5909894.27
2022-07-27,6000430.67
2022-07-28,6117827.58
2022-07-29,6121693.92
2022-08-01,6139642.92
2022-08-02,6056049.32
2022-08-03,5950736.92
2022-08-04,5985494.46
2022-08-05,6129037.83
2022-08-08,6204671.92
2022-08-09,6430300.88
2022-08-10,6405948.08
2022-08-11,6437821.62
2022-08-12,6275954.65
2022-08-15,6310723.45
2022-08-16,6299058.94
2022-08-17,6305911.92
2022-08-18,6374665.51
2022-08-19,6247065.77
2022-08-22,6294094.12
2022-08-23,6282862.42
2022-08-24,6014555.22
2022-08-25,5988759.74
2022-08-26,5920697.28
2022-08-29,5968759.2
2022-08-30,5902078.65
2022-08-31,5743166.54
2022-09-01,5768233.42
2022-09-02,5782701.87
2022-09-05,5779367.77
2022-09-06,5777254.23
2022-09-07,5774339.36
