序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000883,湖北能源,2021-08-18,3.722,2021-10-14,4.318,134300,15.8970%,79500.25,34,信号
2,002120,韵达股份,2021-08-18,13.265,2021-10-13,17.069,37600,28.5554%,142491.40,33,信号
3,002996,顺博合金,2021-08-18,14.795,2021-08-23,12.997,33700,-12.2395%,-61057.41,3,止损
4,003039,顺控发展,2021-08-18,37.077,2021-08-23,33.101,13400,-10.8105%,-53736.37,3,止损
5,300137,先河环保,2021-08-18,7.736,2021-08-26,7.418,64600,-4.2011%,-21004.95,6,信号
6,300272,开能健康,2021-08-18,6.528,2021-08-23,5.972,76500,-8.6121%,-43031.26,3,止损
7,300313,天山生物,2021-08-18,8.204,2021-10-15,10.405,60900,26.6976%,133455.68,35,信号
8,300454,深信服,2021-08-18,263.121,2021-09-06,247.586,1900,-5.9983%,-30002.34,13,信号
9,300618,寒锐钴业,2021-08-18,92.046,2021-09-06,81.959,5400,-11.0476%,-54939.61,13,止损
10,600351,亚宝药业,2021-08-18,5.373,2021-09-29,6.647,93000,23.5887%,117922.17,28,信号
11,600517,国网英大,2021-08-18,5.961,2021-10-14,6.525,83800,9.3481%,46719.69,34,信号
12,600655,豫园股份,2021-08-18,9.86,2021-09-03,9.41,50700,-4.6556%,-23284.99,12,信号
13,600787,中储股份,2021-08-18,5.161,2021-09-28,5.435,96800,5.2178%,26078.31,27,信号
14,601066,中信建投,2021-08-18,26.433,2021-10-08,29.8,18900,12.6246%,63102.67,30,信号
15,601128,常熟银行,2021-08-18,3.645,2021-09-22,3.596,137100,-1.4326%,-7162.24,23,信号
16,603068,博通集成,2021-08-18,90.395,2021-08-20,81.909,5500,-9.4784%,-47147.66,2,止损
17,603156,养元饮品,2021-08-18,21.303,2021-09-24,22.141,23400,3.8312%,19107.42,25,信号
18,603212,赛伍技术,2021-08-18,31.524,2021-08-20,28.284,15800,-10.3673%,-51662.95,2,止损
19,603439,三力制药,2021-08-18,13.813,2021-09-17,12.66,36100,-8.4406%,-42109.65,22,止损
20,603557,ST起步,2021-08-18,4.962,2021-09-07,4.938,100700,-0.6022%,-3010.93,14,信号
21,600079,ST人福,2021-08-20,22.591,2021-08-26,21.299,18200,-5.8130%,-23912.80,4,信号
22,601375,中原证券,2021-08-20,4.8,2021-09-28,4.766,104100,-0.8238%,-4118.82,25,信号
23,600325,华发股份,2021-08-23,4.779,2021-09-15,4.845,71500,1.2626%,4316.89,17,信号
24,601636,旗滨集团,2021-08-23,22.404,2021-09-14,21.462,22300,-4.3000%,-21494.22,16,信号
25,603613,国联股份,2021-08-23,49.147,2021-09-28,50.897,10100,3.4572%,17169.56,24,信号
26,600259,中稀有色,2021-08-26,53.367,2021-09-06,46.727,6800,-12.5298%,-45492.62,7,止损
27,688599,天合光能,2021-08-26,52.489,2021-09-16,51.637,9500,-1.7216%,-8589.20,15,信号
