日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.016545,
2021-08-19,1.002451,
2021-08-20,0.998544,
2021-08-23,1.010329,
2021-08-24,1.005725,
2021-08-25,1.016733,
2021-08-26,1.015663,
2021-08-27,1.017558,
2021-08-30,1.024488,
2021-08-31,1.026917,
2021-09-01,1.025339,
2021-09-02,1.036455,
2021-09-03,1.030642,
2021-09-06,1.039635,
2021-09-07,1.052369,
2021-09-08,1.062817,
2021-09-09,1.063368,
2021-09-10,1.055906,
2021-09-13,1.066483,
2021-09-14,1.049807,
2021-09-15,1.059539,
2021-09-16,1.045869,
2021-09-17,1.040443,
2021-09-22,1.046475,
2021-09-23,1.053126,
2021-09-24,1.033606,
2021-09-27,1.004400,
2021-09-28,1.008097,
2021-09-29,0.981777,
2021-09-30,0.999592,
2021-10-08,1.005214,
2021-10-11,0.996491,
2021-10-12,0.985933,
2021-10-13,0.980992,
2021-10-14,0.978008,
2021-10-15,0.966272,
2021-10-18,0.966833,
2021-10-19,0.972297,
2021-10-20,0.970125,
2021-10-21,0.968148,
2021-10-22,0.957734,
2021-10-25,0.966544,
2021-10-26,0.962979,
2021-10-27,0.951344,
2021-10-28,0.938371,
2021-10-29,0.951680,
2021-11-01,0.968552,
2021-11-02,0.963307,
2021-11-03,0.966042,
2021-11-04,0.989661,
2021-11-05,0.983218,
2021-11-08,0.983996,
2021-11-09,0.995919,
2021-11-10,1.002787,
2021-11-11,1.010023,
2021-11-12,1.026898,
2021-11-15,1.037334,
2021-11-16,1.029967,
2021-11-17,1.043690,
2021-11-18,1.032406,
2021-11-19,1.044064,
2021-11-22,1.055042,
2021-11-23,1.059428,
2021-11-24,1.067206,
2021-11-25,1.064162,
2021-11-26,1.061833,
2021-11-29,1.062680,
2021-11-30,1.069465,
2021-12-01,1.078584,
2021-12-02,1.063368,
2021-12-03,1.065344,
2021-12-06,1.047149,
2021-12-07,1.036210,
2021-12-08,1.048113,
2021-12-09,1.050189,
2021-12-10,1.051851,
2021-12-13,1.055050,
2021-12-14,1.055075,
2021-12-15,1.055617,
2021-12-16,1.067916,
2021-12-17,1.063824,
2021-12-20,1.053864,
2021-12-21,1.070124,
2021-12-22,1.072003,
2021-12-23,1.064653,
2021-12-24,1.053157,
2021-12-27,1.059010,
2021-12-28,1.060454,
2021-12-29,1.057821,
2021-12-30,1.071494,
2021-12-31,1.078817,
2022-01-04,1.099704,
2022-01-05,1.088906,
2022-01-06,1.097577,
2022-01-07,1.080711,
2022-01-10,1.093216,
2022-01-11,1.089356,
2022-01-12,1.101816,
2022-01-13,1.095298,
2022-01-14,1.089092,
2022-01-17,1.104885,
2022-01-18,1.084648,
2022-01-19,1.094500,
2022-01-20,1.072636,
2022-01-21,1.060252,
2022-01-24,1.051112,
2022-01-25,1.010088,
2022-01-26,1.010257,
2022-01-27,0.971013,
2022-01-28,0.967596,
2022-02-07,0.981508,
2022-02-08,1.005385,
2022-02-09,1.020436,
2022-02-10,1.033524,
2022-02-11,1.028392,
2022-02-14,1.022068,
2022-02-15,1.013791,
2022-02-16,1.028322,
2022-02-17,1.017516,
2022-02-18,1.029510,
2022-02-21,1.043788,
2022-02-22,1.040456,
2022-02-23,1.047154,
2022-02-24,1.023908,
2022-02-25,1.028573,
2022-02-28,1.027168,
2022-03-01,1.034475,
