日期,权益(元)
2021-08-17,10000000.0
2021-08-18,9965336.43
2021-08-19,9980575.93
2021-08-20,9896844.29
2021-08-23,10112881.77
2021-08-24,10150075.58
2021-08-25,10220096.88
2021-08-26,10186532.17
2021-08-27,10073152.0
2021-08-30,10187757.79
2021-08-31,10145048.82
2021-09-01,9766354.35
2021-09-02,9896673.45
2021-09-03,9900957.99
2021-09-06,9941149.63
2021-09-07,10102030.07
2021-09-08,10110644.92
2021-09-09,10097736.78
2021-09-10,9983978.82
2021-09-13,10096425.89
2021-09-14,9858803.74
2021-09-15,10127876.67
2021-09-16,9859048.87
2021-09-17,9925143.09
2021-09-22,10201652.68
2021-09-23,10183525.47
2021-09-24,9865262.8
2021-09-27,9713646.95
2021-09-28,9624381.91
2021-09-29,9322417.36
2021-09-30,9559905.08
2021-10-08,9667130.23
2021-10-11,9385321.15
2021-10-12,9078020.71
2021-10-13,9032591.8
2021-10-14,8966437.02
2021-10-15,9022824.22
2021-10-18,9019982.46
2021-10-19,9218939.06
2021-10-20,9138197.9
2021-10-21,9152494.84
2021-10-22,9070615.32
2021-10-25,9025535.88
2021-10-26,8997308.57
2021-10-27,8920420.44
2021-10-28,8918751.94
2021-10-29,8912349.19
2021-11-01,8987052.09
2021-11-02,8858031.26
2021-11-03,8924654.75
2021-11-04,9131724.86
2021-11-05,9085976.59
2021-11-08,9072380.44
2021-11-09,9148342.76
2021-11-10,9128767.52
2021-11-11,9082094.96
2021-11-12,9135305.89
2021-11-15,9237059.15
2021-11-16,9168786.51
2021-11-17,9151165.36
2021-11-18,9047585.33
2021-11-19,9194585.13
2021-11-22,9347651.11
2021-11-23,9394440.5
2021-11-24,9507805.36
2021-11-25,9424443.44
2021-11-26,9368459.42
2021-11-29,9370539.36
2021-11-30,9346182.95
2021-12-01,9414797.84
2021-12-02,9203466.27
2021-12-03,9194915.9
2021-12-06,8979769.95
2021-12-07,8891934.86
2021-12-08,9023976.64
2021-12-09,8970167.74
2021-12-10,8938339.44
2021-12-13,8987852.72
2021-12-14,8868694.18
2021-12-15,8909573.0
2021-12-16,8921492.44
2021-12-17,8841825.21
2021-12-20,8676012.28
2021-12-21,8728884.05
2021-12-22,8811641.23
2021-12-23,8860365.78
2021-12-24,8740117.21
2021-12-27,8725934.74
2021-12-28,8575185.1
2021-12-29,8470896.48
2021-12-30,8573061.38
2021-12-31,8663992.16
2022-01-04,8855141.09
2022-01-05,8693594.81
2022-01-06,8839453.59
2022-01-07,8587359.81
2022-01-10,8663378.22
2022-01-11,8438951.81
2022-01-12,8566391.69
2022-01-13,8433830.26
2022-01-14,8245356.6
2022-01-17,8382382.49
2022-01-18,8434405.62
2022-01-19,8447114.02
2022-01-20,8413078.55
2022-01-21,8275442.79
2022-01-24,8198350.91
2022-01-25,7808602.21
2022-01-26,7833650.49
2022-01-27,7516614.37
2022-01-28,7569337.79
2022-02-07,7721099.96
2022-02-08,7845490.2
2022-02-09,7934885.65
2022-02-10,7937425.43
2022-02-11,7870166.87
2022-02-14,7992326.53
2022-02-15,8002024.65
2022-02-16,7907125.26
2022-02-17,7852974.62
2022-02-18,8037035.63
2022-02-21,8211438.25
2022-02-22,8112762.86
2022-02-23,8134427.46
2022-02-24,7791387.21
2022-02-25,7770463.15
2022-02-28,7798637.94
2022-03-01,7846943.54
2022-03-02,7859032.5
2022-03-03,7841191.06
2022-03-04,7717773.46
2022-03-07,7555560.64
2022-03-08,7374364.75
2022-03-09,7487533.5
2022-03-10,7492162.65
2022-03-11,7448156.08
2022-03-14,7281557.18
2022-03-15,6896109.05
2022-03-16,7083618.56
2022-03-17,7067455.12
2022-03-18,7116631.02
2022-03-21,7198679.36
