序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000997,新大陆,2021-08-18,14.116,2021-08-20,13.972,35400,-1.1194%,-5596.32,2,信号
2,002011,盾安环境,2021-08-18,5.973,2021-08-20,5.947,83700,-0.5341%,-2671.70,2,信号
3,002319,乐通股份,2021-08-18,13.807,2021-08-23,13.393,36200,-3.0926%,-15464.64,3,信号
4,002480,新筑股份,2021-08-18,4.852,2021-08-25,4.848,103000,-0.1998%,-999.10,5,信号
5,002576,通达动力,2021-08-18,12.174,2021-08-20,12.132,41000,-0.4459%,-2226.55,2,信号
6,300365,恒华科技,2021-08-18,10.1,2021-08-20,10.19,49500,0.7888%,3945.65,2,信号
7,300486,东杰智能,2021-08-18,10.892,2021-08-20,10.412,45900,-4.5083%,-22550.86,2,信号
8,300670,大烨智能,2021-08-18,10.405,2021-08-20,9.945,48000,-4.5181%,-22576.81,2,信号
9,300866,安克创新,2021-08-18,81.703,2021-08-23,82.036,6100,0.3074%,1532.69,3,信号
10,300960,通业科技,2021-08-18,21.547,2021-08-23,18.048,23200,-16.3219%,-81631.38,3,止损
11,600039,四川路桥,2021-08-18,2.321,2021-08-20,2.319,215400,-0.1998%,-999.46,2,信号
12,600179,安通控股,2021-08-18,3.892,2021-08-27,3.948,128400,1.3395%,6697.35,7,信号
13,600782,新钢股份,2021-08-18,6.82,2021-08-20,6.634,73300,-2.8350%,-14180.18,2,信号
14,603099,长白山,2021-08-18,8.25,2021-08-27,10.531,60600,27.5158%,137635.85,7,止盈
15,603115,海星股份,2021-08-18,17.669,2021-08-20,17.351,28200,-1.8952%,-9447.57,2,信号
16,603556,海兴电力,2021-08-18,9.709,2021-08-20,9.309,51400,-4.2107%,-21023.53,2,信号
17,603816,顾家家居,2021-08-18,47.994,2021-08-31,47.354,10400,-1.4314%,-7148.42,9,信号
18,605066,天正电气,2021-08-18,12.756,2021-08-20,12.024,39100,-5.8356%,-29120.91,2,信号
19,605218,伟时电子,2021-08-18,15.026,2021-08-20,14.291,33200,-4.9845%,-24877.30,2,信号
20,688616,西力科技,2021-08-18,10.86,2021-08-20,10.666,46000,-1.8915%,-9454.20,2,信号
21,002050,三花智控,2021-08-20,22.655,2021-08-26,22.463,22000,-0.9491%,-4732.60,4,信号
22,002169,智光电气,2021-08-20,12.659,2021-08-25,13.116,39400,3.5073%,17502.43,3,信号
23,002601,龙佰集团,2021-08-20,28.189,2021-08-25,28.661,17700,1.5713%,7843.76,3,信号
24,300162,雷曼光电,2021-08-20,9.765,2021-08-27,9.975,35400,2.0498%,7089.21,5,信号
25,300201,海伦哲,2021-08-20,4.119,2021-08-25,4.275,121300,3.6788%,18389.81,3,信号
26,600008,首创环保,2021-08-20,2.681,2021-09-01,3.128,186400,16.5577%,82797.04,8,止盈
27,600143,金发科技,2021-08-20,19.242,2021-08-24,19.162,25900,-0.5112%,-2548.66,2,信号
28,600172,黄河旋风,2021-08-20,6.623,2021-08-25,7.656,75400,15.4788%,77339.31,3,止盈
29,600348,华阳股份,2021-08-20,5.341,2021-08-24,5.248,93600,-1.8264%,-9134.33,2,信号
30,600580,卧龙电驱,2021-08-20,11.086,2021-09-02,11.658,45100,5.0604%,25312.65,9,信号
31,601011,宝泰隆,2021-08-20,5.033,2021-08-27,5.657,99300,12.3000%,61497.50,5,止盈
