日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,0.996976,
2021-08-19,0.993264,
2021-08-20,0.987829,
2021-08-23,1.005090,
2021-08-24,1.014664,
2021-08-25,1.023754,
2021-08-26,1.018378,
2021-08-27,1.016062,
2021-08-30,1.014875,
2021-08-31,1.018375,
2021-09-01,1.021470,
2021-09-02,1.028908,
2021-09-03,1.029662,
2021-09-06,1.037587,
2021-09-07,1.043210,
2021-09-08,1.051684,
2021-09-09,1.053824,
2021-09-10,1.046916,
2021-09-13,1.052587,
2021-09-14,1.039089,
2021-09-15,1.047931,
2021-09-16,1.038954,
2021-09-17,1.036521,
2021-09-22,1.033506,
2021-09-23,1.038485,
2021-09-24,1.019232,
2021-09-27,1.007280,
2021-09-28,0.999590,
2021-09-29,0.976698,
2021-09-30,0.992741,
2021-10-08,1.003117,
2021-10-11,0.992315,
2021-10-12,0.976294,
2021-10-13,0.975783,
2021-10-14,0.972551,
2021-10-15,0.962907,
2021-10-18,0.967833,
2021-10-19,0.971021,
2021-10-20,0.968187,
2021-10-21,0.966314,
2021-10-22,0.962136,
2021-10-25,0.965420,
2021-10-26,0.963080,
2021-10-27,0.951190,
2021-10-28,0.943281,
2021-10-29,0.949157,
2021-11-01,0.957553,
2021-11-02,0.948980,
2021-11-03,0.951425,
2021-11-04,0.965564,
2021-11-05,0.962153,
2021-11-08,0.962946,
2021-11-09,0.970558,
2021-11-10,0.971550,
2021-11-11,0.971510,
2021-11-12,0.979902,
2021-11-15,0.986771,
2021-11-16,0.980957,
2021-11-17,0.985172,
2021-11-18,0.978532,
2021-11-19,0.988573,
2021-11-22,0.993832,
2021-11-23,0.998615,
2021-11-24,1.002982,
2021-11-25,1.003222,
2021-11-26,0.999163,
2021-11-29,0.999161,
2021-11-30,1.005093,
2021-12-01,1.014351,
2021-12-02,1.001885,
2021-12-03,1.002857,
2021-12-06,0.987485,
2021-12-07,0.979968,
2021-12-08,0.984537,
2021-12-09,0.986388,
2021-12-10,0.987726,
2021-12-13,0.989024,
2021-12-14,0.991767,
2021-12-15,0.995945,
2021-12-16,1.003151,
2021-12-17,1.000386,
2021-12-20,0.995124,
2021-12-21,1.006434,
2021-12-22,1.007643,
2021-12-23,1.004270,
2021-12-24,0.992538,
2021-12-27,0.995070,
2021-12-28,0.995397,
2021-12-29,0.994314,
2021-12-30,0.999963,
2021-12-31,1.005355,
2022-01-04,1.020768,
2022-01-05,1.012083,
2022-01-06,1.016700,
2022-01-07,1.002070,
2022-01-10,1.010381,
2022-01-11,1.010719,
2022-01-12,1.023278,
2022-01-13,1.017708,
2022-01-14,1.007804,
2022-01-17,1.015153,
2022-01-18,1.003887,
2022-01-19,1.007858,
2022-01-20,0.989640,
2022-01-21,0.978755,
2022-01-24,0.977201,
2022-01-25,0.936430,
2022-01-26,0.942143,
2022-01-27,0.925758,
2022-01-28,0.932901,
2022-02-07,0.946846,
2022-02-08,0.962735,
2022-02-09,0.970893,
2022-02-10,0.972696,
2022-02-11,0.961553,
2022-02-14,0.969456,
2022-02-15,0.967626,
2022-02-16,0.969855,
2022-02-17,0.963612,
2022-02-18,0.976836,
2022-02-21,0.987609,
2022-02-22,0.980061,
2022-02-23,0.984706,
2022-02-24,0.961648,
2022-02-25,0.969168,
2022-02-28,0.967257,
2022-03-01,0.974990,
2022-03-02,0.981120,
2022-03-03,0.977327,
2022-03-04,0.969460,
2022-03-07,0.962632,
2022-03-08,0.941542,
2022-03-09,0.940487,
2022-03-10,0.951472,
2022-03-11,0.948856,
2022-03-14,0.936253,
2022-03-15,0.899150,
2022-03-16,0.923016,
2022-03-17,0.921361,
2022-03-18,0.924994,
2022-03-21,0.934110,
2022-03-22,0.907472,
2022-03-23,0.908147,
2022-03-24,0.900506,
2022-03-25,0.899431,
2022-03-28,0.898416,
2022-03-29,0.892059,
2022-03-30,0.902875,
2022-03-31,0.904370,
2022-04-01,0.900447,
2022-04-06,0.905402,
2022-04-07,0.885995,
2022-04-08,0.883831,
2022-04-11,0.871274,
2022-04-12,0.882321,
2022-04-13,0.869547,
2022-04-14,0.875942,
2022-04-15,0.862399,
2022-04-18,0.857740,
2022-04-19,0.857906,
2022-04-20,0.850006,
2022-04-21,0.829257,
2022-04-22,0.823187,
2022-04-25,0.787074,
2022-04-26,0.774118,
2022-04-27,0.744568,
2022-04-28,0.705988,
2022-04-29,0.686897,
2022-05-05,0.691953,
2022-05-06,0.683247,
2022-05-09,0.685248,
2022-05-10,0.707023,
2022-05-11,0.705220,
2022-05-12,0.708506,
2022-05-13,0.710345,
