日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10283331.99
2021-08-19,10333760.59
2021-08-20,10360706.79
2021-08-23,10724462.47
2021-08-24,10829962.27
2021-08-25,10911251.57
2021-08-26,10819295.23
2021-08-27,11100506.53
2021-08-30,11246447.21
2021-08-31,11500682.32
2021-09-01,11130724.88
2021-09-02,11722271.23
2021-09-03,11173405.69
2021-09-06,10886805.31
2021-09-07,11440889.07
2021-09-08,11618139.97
2021-09-09,11783346.67
2021-09-10,12028673.87
2021-09-13,12106437.57
2021-09-14,11979195.37
2021-09-15,12133643.24
2021-09-16,11660825.14
2021-09-17,11549832.57
2021-09-22,11587837.76
2021-09-23,11380853.19
2021-09-24,11059952.32
2021-09-27,10406217.34
2021-09-28,10623872.67
2021-09-29,10326247.94
2021-09-30,10503194.42
2021-10-08,10493054.62
2021-10-11,10254362.45
2021-10-12,10209570.51
2021-10-13,10214062.3
2021-10-14,10036037.24
2021-10-15,10071518.08
2021-10-18,9805730.27
2021-10-19,9861361.98
2021-10-20,9913358.48
2021-10-21,9839269.38
2021-10-22,9878172.38
2021-10-25,9992447.2
2021-10-26,9927647.1
2021-10-27,9845969.4
2021-10-28,9722236.73
2021-10-29,9942091.02
2021-11-01,9873003.12
2021-11-02,9688770.51
2021-11-03,9340532.33
2021-11-04,9581594.64
2021-11-05,9332247.45
2021-11-08,9426768.09
2021-11-09,9548939.59
2021-11-10,9593784.49
2021-11-11,9736140.17
2021-11-12,9783730.77
2021-11-15,9594443.78
2021-11-16,9509491.77
2021-11-17,9633938.97
2021-11-18,9486880.35
2021-11-19,9557501.95
2021-11-22,9710749.95
2021-11-23,9716324.35
2021-11-24,9613725.75
2021-11-25,9517266.55
2021-11-26,9504294.33
2021-11-29,9501926.15
2021-11-30,9445659.32
2021-12-01,9385245.72
2021-12-02,9328612.02
2021-12-03,9321481.14
2021-12-06,9084409.24
2021-12-07,8895106.43
2021-12-08,9065039.03
2021-12-09,9144413.93
2021-12-10,8984189.03
2021-12-13,9071892.7
2021-12-14,8907451.59
2021-12-15,8869065.96
2021-12-16,9020032.36
2021-12-17,8891255.02
2021-12-20,8766945.85
2021-12-21,8724416.81
2021-12-22,8690700.5
2021-12-23,8783235.6
2021-12-24,8680266.25
2021-12-27,8772604.8
2021-12-28,8798586.38
2021-12-29,8672504.88
2021-12-30,8829420.07
2021-12-31,8843571.82
2022-01-04,8965342.96
2022-01-05,8746283.33
2022-01-06,8886262.54
2022-01-07,8691459.7
2022-01-10,8806511.09
2022-01-11,8914480.09
2022-01-12,8968158.36
2022-01-13,8883526.83
2022-01-14,9092723.42
2022-01-17,9089133.07
2022-01-18,8548343.67
2022-01-19,8453007.19
2022-01-20,8521368.62
2022-01-21,7955091.74
2022-01-24,7705149.71
2022-01-25,7156930.85
2022-01-26,7015409.96
2022-01-27,6603476.16
2022-01-28,6368513.5
2022-02-07,6530241.15
2022-02-08,6460415.69
2022-02-09,6616356.41
2022-02-10,6666422.41
2022-02-11,6492535.03
2022-02-14,6372742.03
2022-02-15,6339385.45
2022-02-16,6524537.34
2022-02-17,6474793.1
2022-02-18,6612819.65
2022-02-21,6803321.65
2022-02-22,6822787.05
2022-02-23,6704928.0
2022-02-24,6317339.69
2022-02-25,6402636.45
2022-02-28,6561297.09
2022-03-01,6449818.89
2022-03-02,6422644.08
2022-03-03,6307632.21
2022-03-04,6107919.15
2022-03-07,6130437.64
2022-03-08,5804580.78
2022-03-09,5857757.74
2022-03-10,6008154.53
2022-03-11,6120964.59
2022-03-14,5990404.73
2022-03-15,6003893.43
2022-03-16,6218270.95
2022-03-17,6312767.96
2022-03-18,6340937.98
2022-03-21,6539040.87
2022-03-22,6268800.12
2022-03-23,6042198.15
2022-03-24,6135817.2
2022-03-25,5812832.16
2022-03-28,5786265.84
2022-03-29,5876947.29
2022-03-30,6085229.14
2022-03-31,6011283.02
2022-04-01,5878422.95
2022-04-06,5977737.96
2022-04-07,5768496.4
2022-04-08,5721014.47
2022-04-11,5552230.03
2022-04-12,5526320.43
2022-04-13,5421968.02
2022-04-14,5656564.7
2022-04-15,5404326.3
2022-04-18,5259793.32
2022-04-19,5265900.4
2022-04-20,5049858.84
2022-04-21,4921581.12
2022-04-22,4808550.73
2022-04-25,4611500.54
2022-04-26,4533673.52
2022-04-27,4627722.86
2022-04-28,4683941.24
2022-04-29,4739946.54
2022-05-05,4731139.99
2022-05-06,4527061.73
2022-05-09,4588961.61
2022-05-10,4824507.21
2022-05-11,4827497.51
2022-05-12,4750124.91
2022-05-13,4693455.77
2022-05-16,4704632.37
2022-05-17,4629729.27
2022-05-18,4585358.73
2022-05-19,4722031.33
2022-05-20,4774842.92
2022-05-23,4868078.72
2022-05-24,4712106.52
2022-05-25,4773601.44
2022-05-26,4710344.03
2022-05-27,4731529.13
2022-05-30,4752517.73
2022-05-31,4833771.53
2022-06-01,4780473.44
2022-06-02,4828064.44
2022-06-06,5076216.05
2022-06-07,4979571.61
2022-06-08,5170943.12
2022-06-09,5038926.32
2022-06-10,5123629.21
2022-06-13,5273164.71
2022-06-14,5291984.81
2022-06-15,5252741.43
2022-06-16,5188211.76
2022-06-17,5343614.16
2022-06-20,5361822.46
2022-06-21,5238955.15
2022-06-22,5250261.92
2022-06-23,5432690.79
2022-06-24,5506334.99
2022-06-27,5678983.89
2022-06-28,5855181.07
2022-06-29,5592882.97
2022-06-30,5772997.98
2022-07-01,5848050.18
2022-07-04,5972294.38
2022-07-05,6048026.99
2022-07-06,5983766.19
2022-07-07,6116513.62
2022-07-08,5969690.42
2022-07-11,5749571.34
2022-07-12,5618432.86
2022-07-13,5597691.21
2022-07-14,5608139.51
2022-07-15,5510325.78
2022-07-18,5508608.72
2022-07-19,5349262.47
2022-07-20,5436888.31
2022-07-21,5286458.49
2022-07-22,5278643.82
2022-07-25,5129421.25
2022-07-26,5025492.24
2022-07-27,5177893.99
2022-07-28,5210177.46
2022-07-29,5157184.46
2022-08-01,5205929.23
2022-08-02,5074717.16
2022-08-03,4807652.2
2022-08-04,4667959.67
2022-08-05,4609015.23
2022-08-08,4720596.23
2022-08-09,4795231.83
2022-08-10,4939677.87
2022-08-11,5106947.97
2022-08-12,4941206.87
2022-08-15,4998172.83
2022-08-16,5077612.26
2022-08-17,5194967.16
2022-08-18,5293804.96
2022-08-19,5040575.46
2022-08-22,5000436.49
2022-08-23,4989222.37
2022-08-24,4829081.1
2022-08-25,4769252.04
2022-08-26,4729045.96
2022-08-29,4804166.31
2022-08-30,4699607.76
2022-08-31,4431678.03
2022-09-01,4406761.22
2022-09-02,4337365.93
2022-09-05,4328964.38
2022-09-06,4322432.38
2022-09-07,4304940.6
2022-09-08,4256394.12
2022-09-09,4347459.44
2022-09-13,4330455.41
2022-09-14,4315865.67
2022-09-15,4227370.57
2022-09-16,4050756.66
2022-09-19,4063868.42
2022-09-20,4071829.1
2022-09-21,4102521.99
2022-09-22,4115875.08
2022-09-23,4049435.79
2022-09-26,4007515.03
2022-09-27,4077001.1
