序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000338,潍柴动力,2021-08-18,16.973,2021-08-26,16.427,29400,-3.3176%,-16563.96,6,信号
2,000519,中兵红箭,2021-08-18,13.192,2021-09-28,18.826,37900,42.5663%,212921.50,27,信号
3,000625,长安汽车,2021-08-18,15.189,2021-09-01,14.628,32900,-3.7892%,-18944.35,10,信号
4,000723,美锦能源,2021-08-18,13.287,2021-08-23,12.494,37600,-6.0616%,-30297.34,3,止损
5,000762,西藏矿业,2021-08-18,52.295,2021-09-17,67.545,9500,29.0325%,144306.48,22,信号
6,000831,中国稀土,2021-08-18,45.074,2021-09-06,44.859,11000,-0.5764%,-2859.25,13,信号
7,002176,江特电机,2021-08-18,21.811,2021-09-06,22.989,22900,5.2938%,26454.09,13,信号
8,002249,大洋电机,2021-08-18,7.492,2021-09-06,6.835,66700,-8.8630%,-44310.56,13,止损
9,002326,永太科技,2021-08-18,35.298,2021-09-28,56.672,14100,60.3932%,300725.16,27,信号
10,300343,联创股份,2021-08-18,16.318,2021-09-28,22.799,30600,39.5734%,197702.98,27,信号
11,300471,厚普股份,2021-08-18,30.035,2021-08-23,28.196,16600,-6.2171%,-31012.63,3,止损
12,600030,中信证券,2021-08-18,19.684,2021-09-17,21.356,25400,8.3883%,41959.77,22,信号
13,600031,三一重工,2021-08-18,27.202,2021-08-20,26.175,18300,-3.8705%,-19276.79,2,信号
14,600438,通威股份,2021-08-18,44.051,2021-09-15,47.805,11300,8.4136%,41902.02,20,信号
15,600516,方大炭素,2021-08-18,9.376,2021-09-23,12.005,53300,27.9159%,139572.37,24,信号
16,600893,航发动力,2021-08-18,59.421,2021-08-30,64.819,8400,8.9751%,44820.38,8,信号
17,600958,东方证券,2021-08-18,11.849,2021-09-17,13.953,42100,17.6400%,88039.42,22,信号
18,601899,紫金矿业,2021-08-18,9.165,2021-08-20,8.496,54500,-7.3906%,-36932.48,2,信号
19,601919,中远海控,2021-08-18,13.057,2021-09-01,12.964,38200,-0.8116%,-4049.96,10,信号
20,603993,洛阳钼业,2021-08-18,6.116,2021-08-20,5.8,81700,-5.2608%,-26300.54,2,信号
21,000776,广发证券,2021-08-20,18.052,2021-08-31,16.045,27600,-11.2070%,-55865.06,7,止损
22,002466,天齐锂业,2021-08-20,106.704,2021-09-06,110.596,4600,3.5433%,17400.42,11,信号
23,601688,华泰证券,2021-08-20,14.052,2021-09-28,15.227,31500,8.2560%,36562.69,25,信号
24,000155,川能动力,2021-08-23,29.685,2021-09-07,28.846,16800,-2.9244%,-14591.31,11,信号
25,601377,兴业证券,2021-08-23,9.323,2021-08-26,8.36,47100,-10.4176%,-45766.23,3,止损
26,600010,包钢股份,2021-08-26,3.041,2021-09-22,3.277,124500,7.6818%,29093.42,17,信号
27,600111,北方稀土,2021-08-26,45.615,2021-09-17,52.596,10900,15.1888%,75556.49,16,信号
28,002340,格林美,2021-08-30,13.278,2021-09-02,12.085,37600,-9.0736%,-45321.62,3,止损
29,601012,隆基绿能,2021-08-31,67.05,2021-09-02,60.414,7200,-9.9868%,-48236.12,2,止损
30,002241,歌尔股份,2021-09-01,45.889,2021-09-17,42.745,10700,-6.9451%,-34118.37,12,信号
31,002460,赣锋锂业,2021-09-01,156.764,2021-09-03,132.62,3100,-15.4865%,-75297.07,2,止损
32,002240,盛新锂能,2021-09-02,55.851,2021-09-28,59.983,7000,7.2911%,28519.16,16,信号
33,600089,特变电工,2021-09-02,16.929,2021-09-27,17.166,29500,1.2983%,6487.17,15,信号
34,000776,广发证券,2021-09-03,20.763,2021-09-28,19.623,19800,-5.5858%,-22975.65,15,信号
35,002202,金风科技,2021-09-06,16.599,2021-10-11,15.383,30100,-7.4182%,-37082.67,18,止损
36,002610,ST爱康,2021-09-06,4.842,2021-09-27,4.768,103200,-1.6432%,-8215.75,13,信号
37,600096,云天化,2021-09-06,19.675,2021-09-28,21.284,25400,8.0725%,40361.63,14,信号
38,601899,紫金矿业,2021-09-06,9.595,2021-09-22,8.866,50400,-7.6926%,-37218.39,10,信号
39,002466,天齐锂业,2021-09-07,111.707,2021-09-17,106.348,4300,-4.8926%,-23512.63,8,信号
40,002176,江特电机,2021-09-15,31.316,2021-09-17,28.546,15900,-8.9363%,-44517.78,2,止损
41,300059,东方财富,2021-09-17,23.365,2021-09-28,22.772,21300,-2.6357%,-13123.70,5,信号
42,600392,盛和资源,2021-09-17,25.793,2021-09-23,24.768,19300,-4.0710%,-20275.81,2,信号
43,600519,贵州茅台,2021-09-17,1397.758,2021-10-28,1601.458,300,14.4589%,60660.22,22,信号
44,601600,中国铝业,2021-09-17,8.669,2021-09-28,7.311,57600,-15.7486%,-78680.47,5,止损
45,601678,滨化股份,2021-09-17,12.147,2021-09-28,10.556,41100,-13.1876%,-65871.07,5,止损
46,603077,和邦生物,2021-09-17,4.525,2021-09-27,4.071,110400,-10.1291%,-50629.01,4,止损
47,603260,合盛硅业,2021-09-17,217.597,2021-09-24,209.783,2200,-3.6873%,-17660.23,3,信号
48,002176,江特电机,2021-09-22,29.014,2021-09-28,24.988,17200,-13.9653%,-69728.82,4,止损
49,603259,药明康德,2021-09-22,145.013,2021-10-12,136.273,3400,-6.1214%,-30196.37,9,信号
50,600150,中国船舶,2021-09-23,27.529,2021-09-30,23.623,18100,-14.2730%,-71153.83,5,止损
51,601669,中国电建,2021-09-23,8.615,2021-09-28,7.617,58000,-11.6738%,-58361.47,3,止损
52,000591,太阳能,2021-09-24,10.823,2021-10-14,9.183,46100,-15.2372%,-76065.30,9,止损
53,300339,润和软件,2021-09-27,31.177,2021-09-30,28.057,16000,-10.0962%,-50387.72,3,止损
54,600276,恒瑞医药,2021-09-27,48.945,2021-10-19,47.797,10200,-2.4438%,-12206.77,11,信号
55,600711,盛屯矿业,2021-09-27,12.035,2021-09-29,11.343,41500,-5.8415%,-29190.19,2,信号
56,000568,泸州老窖,2021-09-28,184.915,2021-11-03,203.711,2700,10.0544%,50223.70,21,信号
57,000768,中航西飞,2021-09-28,32.031,2021-09-30,30.83,15600,-3.8470%,-19232.62,2,信号
58,000799,酒鬼酒,2021-09-28,253.126,2021-10-13,237.381,1900,-6.3140%,-30381.96,6,信号
59,002714,牧原股份,2021-09-28,44.515,2021-11-11,52.637,11200,18.1260%,90415.88,27,信号
60,600032,浙江新能,2021-09-28,15.279,2021-10-25,14.794,32700,-3.2714%,-16352.36,14,信号
61,600460,士兰微,2021-09-28,57.729,2021-09-30,56.252,8600,-2.6559%,-13192.23,2,信号
62,600702,舍得酒业,2021-09-28,201.934,2021-10-19,176.745,2400,-12.5615%,-60908.81,10,止损
63,600809,山西汾酒,2021-09-28,300.24,2021-10-19,287.946,1600,-4.1906%,-20141.09,10,信号
64,600887,伊利股份,2021-09-28,31.136,2021-11-18,35.512,16000,13.9428%,69493.62,32,信号
65,601888,中国中免,2021-09-28,249.425,2021-10-28,251.424,2000,0.7009%,3498.30,17,信号
66,601985,中国核电,2021-09-28,6.358,2021-10-12,5.942,78600,-6.6385%,-33192.79,5,信号
67,603026,石大胜华,2021-09-28,306.473,2021-09-30,292.824,1600,-4.5493%,-22318.87,2,信号
68,300059,东方财富,2021-09-29,23.427,2021-10-13,22.335,21300,-4.7561%,-23744.41,5,信号
69,000858,五粮液,2021-09-30,194.721,2021-10-28,194.527,2500,-0.1998%,-973.12,15,信号
70,300274,阳光电源,2021-09-30,103.804,2021-10-12,96.626,4800,-7.0082%,-34936.45,3,止损
71,600733,北汽蓝谷,2021-09-30,14.607,2021-10-13,13.383,34200,-8.4709%,-42339.27,4,止损
72,601016,节能风电,2021-09-30,5.507,2021-10-15,5.059,90700,-8.2143%,-41047.75,6,止损
73,601669,中国电建,2021-09-30,7.895,2021-10-11,6.818,63300,-13.7325%,-68662.29,2,止损
74,000661,长春高新,2021-10-11,277.713,2021-10-28,261.403,1800,-5.9669%,-29842.40,13,信号
75,300750,宁德时代,2021-10-11,275.511,2021-10-13,258.577,1800,-6.2402%,-30961.95,2,信号
76,000875,电投绿能,2021-10-12,6.583,2021-10-14,5.487,75900,-16.7321%,-83647.13,2,止损
77,600905,三峡能源,2021-10-12,6.382,2021-10-14,6.086,78300,-4.7369%,-23683.25,2,信号
78,601318,中国平安,2021-10-12,39.696,2021-10-19,37.457,12500,-5.7336%,-28464.41,5,信号
79,000002,万科Ａ,2021-10-13,20.616,2021-10-19,18.867,24200,-8.5786%,-42821.47,4,止损
80,300014,亿纬锂能,2021-10-13,100.455,2021-12-08,135.087,4900,34.3409%,169120.80,40,信号
81,600036,招商银行,2021-10-13,43.724,2021-11-03,43.08,11400,-1.5700%,-7829.57,15,信号
82,600487,亨通光电,2021-10-13,13.976,2021-11-30,15.231,35700,8.8736%,44296.29,34,信号
83,300274,阳光电源,2021-10-14,105.036,2021-11-04,108.863,4700,3.5390%,17479.77,15,信号
84,600436,片仔癀,2021-10-14,410.605,2021-11-04,396.482,1200,-3.5362%,-17432.50,15,信号
85,603259,药明康德,2021-10-14,143.873,2021-10-18,138.842,2400,-3.5935%,-12414.51,2,信号
86,600438,通威股份,2021-10-15,49.524,2021-11-03,45.606,9300,-8.0025%,-36875.70,13,信号
87,300750,宁德时代,2021-10-18,301.078,2021-11-16,322.434,1100,6.9859%,23147.83,21,信号
88,000519,中兵红箭,2021-10-19,25.718,2021-11-29,28.511,19400,10.7489%,53655.95,29,信号
89,002129,TCL中环,2021-10-19,39.832,2021-11-03,38.745,12500,-2.8269%,-14082.20,11,信号
90,600171,上海贝岭,2021-10-19,34.737,2021-10-26,31.144,8700,-10.4328%,-31545.16,5,止损
91,601012,隆基绿能,2021-10-19,61.647,2021-11-17,63.998,8100,3.7102%,18535.67,21,信号
92,601899,紫金矿业,2021-10-19,9.775,2021-10-29,8.956,51100,-8.4739%,-42348.11,8,止损
93,600111,北方稀土,2021-10-25,47.736,2021-11-02,45.109,10100,-5.5964%,-26995.73,6,信号
94,600096,云天化,2021-10-26,26.118,2021-10-29,22.134,10500,-15.3390%,-42086.64,3,止损
95,000009,中国宝安,2021-10-28,20.515,2021-11-04,19.005,24300,-7.4518%,-37167.35,5,止损
96,000422,湖北宜化,2021-10-28,31.946,2021-11-03,27.516,15600,-13.9524%,-69567.59,4,止损
97,002326,永太科技,2021-10-28,75.348,2021-11-02,69.345,6600,-8.0582%,-40092.96,3,止损
