日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10670641.91
2021-08-19,10266913.01
2021-08-20,10257966.61
2021-08-23,10354102.06
2021-08-24,10096625.46
2021-08-25,10121248.95
2021-08-26,10080129.16
2021-08-27,10258083.76
2021-08-30,10396837.79
2021-08-31,10387281.25
2021-09-01,10033833.35
2021-09-02,10485559.6
2021-09-03,10091025.2
2021-09-06,9976701.08
2021-09-07,10246214.64
2021-09-08,10337513.84
2021-09-09,10455092.44
2021-09-10,10397066.24
2021-09-13,10134713.44
2021-09-14,9777510.33
2021-09-15,9845001.11
2021-09-16,9412851.94
2021-09-17,9455031.5
2021-09-22,9640317.0
2021-09-23,9562654.62
2021-09-24,9379441.74
2021-09-27,8840484.01
2021-09-28,8942202.09
2021-09-29,8794026.26
2021-09-30,8901116.21
2021-10-08,8828124.32
2021-10-11,8626652.18
2021-10-12,8524344.71
2021-10-13,8713064.51
2021-10-14,8574217.75
2021-10-15,8510701.75
2021-10-18,8239254.88
2021-10-19,8372453.55
2021-10-20,8427329.05
2021-10-21,8394950.63
2021-10-22,8460564.93
2021-10-25,8567599.93
2021-10-26,8450562.63
2021-10-27,8408775.63
2021-10-28,8389178.0
2021-10-29,8570748.02
2021-11-01,8526919.82
2021-11-02,8463159.85
2021-11-03,8339155.41
2021-11-04,8540822.61
2021-11-05,8443313.08
2021-11-08,8473774.98
2021-11-09,8465896.0
2021-11-10,8367725.8
2021-11-11,8379495.89
2021-11-12,8392357.99
2021-11-15,8280486.28
2021-11-16,8302791.37
2021-11-17,8335322.97
2021-11-18,8308907.77
2021-11-19,8293342.82
2021-11-22,8387481.52
2021-11-23,8355960.42
2021-11-24,8227340.82
2021-11-25,8108061.6
2021-11-26,8061874.09
2021-11-29,8088746.53
2021-11-30,7982942.6
2021-12-01,7930733.6
2021-12-02,7845711.04
2021-12-03,7869352.54
2021-12-06,7696917.54
2021-12-07,7558596.55
2021-12-08,7661788.9
2021-12-09,7650129.9
2021-12-10,7552036.5
2021-12-13,7593727.05
2021-12-14,7394685.05
2021-12-15,7331882.72
2021-12-16,7436292.92
2021-12-17,7239913.92
2021-12-20,7228143.01
2021-12-21,7079246.58
2021-12-22,7121547.89
2021-12-23,7137269.76
2021-12-24,6983409.76
2021-12-27,6939795.16
2021-12-28,6919251.16
2021-12-29,6752214.16
2021-12-30,6990202.77
2021-12-31,7091471.77
2022-01-04,7165458.28
2022-01-05,7054789.94
2022-01-06,7174713.17
2022-01-07,7031715.32
2022-01-10,7036693.2
2022-01-11,6966116.78
2022-01-12,7029493.77
2022-01-13,6879114.77
2022-01-14,7088710.12
2022-01-17,7152730.62
2022-01-18,6876575.98
2022-01-19,6878273.7
2022-01-20,7023491.1
2022-01-21,6647427.23
2022-01-24,6430127.93
2022-01-25,6031968.04
2022-01-26,5857028.15
2022-01-27,5649924.81
2022-01-28,5524116.34
2022-02-07,5631909.45
2022-02-08,5666206.52
2022-02-09,5727532.97
2022-02-10,5655657.47
2022-02-11,5646927.07
2022-02-14,5590271.27
2022-02-15,5569060.18
2022-02-16,5591003.37
2022-02-17,5505017.97
2022-02-18,5549634.11
2022-02-21,5642923.21
2022-02-22,5685522.63
2022-02-23,5821433.22
2022-02-24,5668759.25
2022-02-25,5708840.77
2022-02-28,5802378.12
2022-03-01,5667609.68
2022-03-02,5691382.58
2022-03-03,5635652.68
2022-03-04,5491915.03
2022-03-07,5648818.2
2022-03-08,5205694.0
2022-03-09,5404548.07
2022-03-10,5519730.87
2022-03-11,5602198.17
2022-03-14,5557248.97
2022-03-15,5518096.23
2022-03-16,5723844.12
2022-03-17,5798975.92
2022-03-18,5824007.32
2022-03-21,5983560.43
2022-03-22,5730442.36
2022-03-23,5385319.48
2022-03-24,5542836.25
2022-03-25,5204696.18
2022-03-28,5182286.92
2022-03-29,5277211.71
2022-03-30,5503596.37
2022-03-31,5377816.17
2022-04-01,5109787.21
2022-04-06,5082259.5
2022-04-07,4979021.23
2022-04-08,5042569.43
2022-04-11,5091583.82
2022-04-12,4874245.1
2022-04-13,4761271.73
2022-04-14,4834570.61
2022-04-15,4730855.81
2022-04-18,4609662.98
2022-04-19,4672592.81
2022-04-20,4441901.08
2022-04-21,4230255.74
2022-04-22,4030368.48
2022-04-25,3871534.79
2022-04-26,3695596.58
2022-04-27,3679153.97
2022-04-28,3754890.16
2022-04-29,3861123.31
2022-05-05,3895118.15
2022-05-06,3773874.31
2022-05-09,3893623.36
2022-05-10,4188177.46
2022-05-11,4303545.56
2022-05-12,4125282.76
2022-05-13,4088724.06
2022-05-16,4117015.21
2022-05-17,3958374.91
2022-05-18,3820320.82
2022-05-19,3924285.15
2022-05-20,3920568.35
2022-05-23,3997323.05
2022-05-24,3955726.35
2022-05-25,4033499.56
2022-05-26,3994951.76
2022-05-27,4129879.0
2022-05-30,4021792.6
2022-05-31,4056460.6
2022-06-01,3984828.19
2022-06-02,4037886.53
2022-06-06,4147663.33
2022-06-07,4012466.51
2022-06-08,4136831.21
2022-06-09,4055321.21
2022-06-10,4125168.61
2022-06-13,4289137.11
2022-06-14,4360996.71
2022-06-15,4287842.11
2022-06-16,4259388.81
2022-06-17,4352760.51
2022-06-20,4358109.02
2022-06-21,4368323.02
2022-06-22,4340590.42
2022-06-23,4572724.07
2022-06-24,4573794.97
2022-06-27,4681401.28
2022-06-28,4835684.38
2022-06-29,4520489.2
2022-06-30,4503760.84
2022-07-01,4505324.54
2022-07-04,4544964.66
2022-07-05,4510623.13
2022-07-06,4465991.43
2022-07-07,4577462.65
2022-07-08,4484490.95
2022-07-11,4303329.27
2022-07-12,4177036.83
2022-07-13,4238251.77
2022-07-14,4255417.47
2022-07-15,4274938.17
2022-07-18,4278109.37
2022-07-19,4157625.92
2022-07-20,4084456.35
2022-07-21,3981388.39
2022-07-22,4023088.85
2022-07-25,3927748.26
2022-07-26,3874295.85
2022-07-27,3932922.47
2022-07-28,3971309.87
2022-07-29,3976114.87
2022-08-01,4085947.33
2022-08-02,3965286.17
2022-08-03,3839200.72
2022-08-04,3740506.81
2022-08-05,3697770.61
2022-08-08,3721158.35
2022-08-09,3790572.18
2022-08-10,3781760.98
2022-08-11,3830705.08
2022-08-12,3704118.17
2022-08-15,3762582.06
2022-08-16,3792566.46
2022-08-17,3949364.46
2022-08-18,3972450.06
2022-08-19,3845611.66
2022-08-22,3901327.96
2022-08-23,3912377.02
2022-08-24,3727706.12
2022-08-25,3678596.43
2022-08-26,3560229.46
2022-08-29,3601596.88
2022-08-30,3464872.06
2022-08-31,3239520.44
2022-09-01,3242467.62
2022-09-02,3235907.78
2022-09-05,3249242.78
2022-09-06,3256070.78
2022-09-07,3213499.78
2022-09-08,3207349.78
2022-09-09,3291397.26
2022-09-13,3312682.26
2022-09-14,3248874.62
2022-09-15,3232585.27
2022-09-16,3073502.83
2022-09-19,3057451.24
2022-09-20,3004055.87
2022-09-21,2955768.22
2022-09-22,2918334.09
2022-09-23,2881011.02
2022-09-26,2841895.04
2022-09-27,2877020.01
2022-09-28,2847514.54
2022-09-29,2770902.41
2022-09-30,2756224.51
2022-10-10,2637382.91
2022-10-11,2605517.84
2022-10-12,2609835.51
2022-10-13,2601952.62
2022-10-14,2612892.42
2022-10-17,2654106.12
2022-10-18,2580664.82
2022-10-19,2497194.29
2022-10-20,2462432.84
2022-10-21,2455348.84
2022-10-24,2403802.39
2022-10-25,2401231.19
2022-10-26,2455685.42
2022-10-27,2392046.56
2022-10-28,2319761.64
2022-10-31,2426056.51
2022-11-01,2451006.12
2022-11-02,2477894.66
2022-11-03,2399621.46
2022-11-04,2417539.16
2022-11-07,2400212.86
2022-11-08,2416512.76
2022-11-09,2394327.76
2022-11-10,2367932.96
2022-11-11,2302620.15
2022-11-14,2330142.75
2022-11-15,2404724.77
2022-11-16,2385506.85
2022-11-17,2396968.56
2022-11-18,2383827.26
2022-11-21,2397959.75
2022-11-22,2357422.8
2022-11-23,2391696.56
2022-11-24,2424966.17
2022-11-25,2361191.73
2022-11-28,2363952.23
2022-11-29,2462697.46
2022-11-30,2364104.86
2022-12-01,2357117.16
2022-12-02,2328528.36
2022-12-05,2343060.56
2022-12-06,2334419.96
2022-12-07,2310764.18
2022-12-08,2318053.62
2022-12-09,2413094.24
2022-12-12,2384302.44
2022-12-13,2334862.94
2022-12-14,2250662.76
2022-12-15,2280418.35
2022-12-16,2349493.92
2022-12-19,2315766.0
2022-12-20,2224239.11
2022-12-21,2257165.92
2022-12-22,2133286.69
2022-12-23,2092250.24
2022-12-26,2061886.9
2022-12-27,2028996.93
2022-12-28,2061461.53
2022-12-29,2031155.49
2022-12-30,2112127.24
2023-01-03,2051853.27
2023-01-04,2089852.47
2023-01-05,2044220.41
2023-01-06,1992650.73
2023-01-09,2061202.75
2023-01-10,2140022.8
2023-01-11,2116948.2
2023-01-12,2078930.99
2023-01-13,1987070.45
2023-01-16,2084249.53
2023-01-17,2082389.86
2023-01-18,2097517.56
