序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000829,天音控股,2021-08-18,17.091,2021-09-16,17.873,29200,4.4741%,22339.06,21,信号
2,000877,天山股份,2021-08-18,13.903,2021-09-28,13.689,35900,-1.6362%,-8170.55,26,信号
3,002673,西部证券,2021-08-18,7.658,2021-09-28,8.05,65200,5.0158%,25055.84,27,信号
4,002941,新疆交建,2021-08-18,11.776,2021-08-25,10.465,42400,-11.2228%,-56062.99,5,止损
5,300152,ST动力,2021-08-18,5.043,2021-08-30,4.508,99100,-10.6947%,-53469.42,8,止损
6,300159,新研股份,2021-08-18,5.84,2021-08-26,5.247,85600,-10.2362%,-51196.26,6,止损
7,300284,苏交科,2021-08-18,6.72,2021-09-17,6.254,74400,-7.0344%,-35189.27,22,信号
8,300320,海达股份,2021-08-18,8.886,2021-09-14,9.227,56200,3.7329%,18652.00,19,信号
9,300435,中泰股份,2021-08-18,19.841,2021-09-23,19.871,25200,0.0518%,259.26,24,信号
10,300540,蜀道装备,2021-08-18,22.782,2021-08-23,20.761,21900,-8.9654%,-44753.58,3,止损
11,600048,保利发展,2021-08-18,10.445,2021-08-30,9.455,47800,-9.5680%,-47795.23,8,止损
12,600130,波导股份,2021-08-18,4.072,2021-09-22,3.868,122700,-5.1040%,-25514.24,23,信号
13,600218,全柴动力,2021-08-18,15.453,2021-09-01,13.568,32300,-12.2831%,-61338.36,10,止损
14,600383,金地集团,2021-08-18,10.299,2021-08-30,9.279,48500,-9.9917%,-49934.55,8,止损
15,600569,安阳钢铁,2021-08-18,4.102,2021-09-02,3.708,121800,-9.6930%,-48453.27,11,止损
16,600746,江苏索普,2021-08-18,21.792,2021-08-23,20.081,22900,-7.9434%,-39659.88,3,止损
17,600875,东方电气,2021-08-18,12.233,2021-10-12,13.19,40800,7.7176%,38538.71,32,信号
18,601555,东吴证券,2021-08-18,7.435,2021-10-12,7.713,67200,3.6413%,18201.26,32,信号
19,601778,晶科科技,2021-08-18,6.9,2021-09-30,8.123,72400,17.5984%,87964.28,29,信号
20,601969,海南矿业,2021-08-18,18.404,2021-09-24,18.966,27100,2.9469%,14705.28,25,信号
21,000831,中国稀土,2021-08-23,51.777,2021-09-06,44.859,8100,-13.4484%,-56429.73,10,止损
22,002466,天齐锂业,2021-08-23,115.709,2021-09-22,101.6,4300,-12.2810%,-61134.41,20,止损
23,600958,东方证券,2021-08-25,14.247,2021-08-31,12.245,31300,-14.1396%,-63084.88,4,止损
24,600438,通威股份,2021-08-26,49.454,2021-09-15,47.805,9000,-3.4303%,-15275.33,14,信号
25,002241,歌尔股份,2021-08-30,48.99,2021-09-16,44.564,10200,-9.1269%,-45630.24,13,止损
26,002340,格林美,2021-08-30,13.278,2021-09-02,12.085,37600,-9.0736%,-45321.62,3,止损
27,600516,方大炭素,2021-08-30,12.127,2021-09-27,10.786,29100,-11.1506%,-39369.75,18,止损
28,601012,隆基绿能,2021-08-31,67.05,2021-09-02,60.414,5700,-9.9868%,-38186.93,2,止损
29,600111,北方稀土,2021-09-01,58.681,2021-09-06,49.927,7400,-15.0034%,-65183.69,3,止损
30,000762,西藏矿业,2021-09-02,78.418,2021-09-07,70.704,3200,-9.9278%,-24925.18,3,止损
31,600010,包钢股份,2021-09-02,3.781,2021-09-22,3.277,132200,-13.4044%,-67033.08,12,止损
32,600030,中信证券,2021-09-02,22.512,2021-09-17,21.356,22200,-5.2295%,-26148.68,11,信号
33,002202,金风科技,2021-09-06,16.599,2021-10-11,15.383,14200,-7.4182%,-17494.15,18,信号
34,600089,特变电工,2021-09-06,19.508,2021-09-15,17.65,25600,-9.6127%,-48029.63,7,止损
35,601669,中国电建,2021-09-07,6.674,2021-10-11,6.818,33800,2.0442%,4613.97,17,信号
36,603993,洛阳钼业,2021-09-14,7.357,2021-09-17,6.65,67900,-9.7007%,-48481.02,3,止损
37,002176,江特电机,2021-09-15,31.316,2021-09-17,28.546,15900,-8.9363%,-44517.78,2,止损
38,600096,云天化,2021-09-15,29.33,2021-09-24,24.503,13700,-16.5410%,-66497.49,5,止损
39,600141,兴发集团,2021-09-16,47.944,2021-09-28,42.889,10400,-10.6338%,-53048.65,6,止损
40,600884,杉杉股份,2021-09-16,38.493,2021-09-28,33.167,12400,-13.9219%,-66484.58,6,止损
