日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.039281,
2021-08-19,1.024955,
2021-08-20,1.028604,
2021-08-23,1.049778,
2021-08-24,1.049712,
2021-08-25,1.057899,
2021-08-26,1.057171,
2021-08-27,1.059572,
2021-08-30,1.064273,
2021-08-31,1.072582,
2021-09-01,1.060266,
2021-09-02,1.080211,
2021-09-03,1.075015,
2021-09-06,1.082710,
2021-09-07,1.098652,
2021-09-08,1.109755,
2021-09-09,1.117541,
2021-09-10,1.107322,
2021-09-13,1.122253,
2021-09-14,1.102696,
2021-09-15,1.115145,
2021-09-16,1.100999,
2021-09-17,1.096589,
2021-09-22,1.107358,
2021-09-23,1.111753,
2021-09-24,1.084477,
2021-09-27,1.049736,
2021-09-28,1.054530,
2021-09-29,1.019513,
2021-09-30,1.037755,
2021-10-08,1.046124,
2021-10-11,1.032717,
2021-10-12,1.018174,
2021-10-13,1.006750,
2021-10-14,1.002696,
2021-10-15,0.992728,
2021-10-18,0.995306,
2021-10-19,0.999970,
2021-10-20,0.997701,
2021-10-21,0.996250,
2021-10-22,0.983690,
2021-10-25,0.994186,
2021-10-26,0.987446,
2021-10-27,0.980058,
2021-10-28,0.968721,
2021-10-29,0.981809,
2021-11-01,0.992220,
2021-11-02,0.987384,
2021-11-03,0.989441,
2021-11-04,1.010126,
2021-11-05,1.001505,
2021-11-08,1.004359,
2021-11-09,1.015619,
2021-11-10,1.023194,
2021-11-11,1.030738,
2021-11-12,1.046835,
2021-11-15,1.051403,
2021-11-16,1.041513,
2021-11-17,1.056967,
2021-11-18,1.044683,
2021-11-19,1.057132,
2021-11-22,1.068133,
2021-11-23,1.072011,
2021-11-24,1.075381,
2021-11-25,1.073387,
2021-11-26,1.070336,
2021-11-29,1.073200,
2021-11-30,1.081660,
2021-12-01,1.090821,
2021-12-02,1.075217,
2021-12-03,1.077965,
2021-12-06,1.058086,
2021-12-07,1.048069,
2021-12-08,1.057933,
2021-12-09,1.059618,
2021-12-10,1.060855,
2021-12-13,1.064039,
2021-12-14,1.068088,
2021-12-15,1.070180,
2021-12-16,1.080890,
2021-12-17,1.074887,
2021-12-20,1.067725,
2021-12-21,1.084823,
2021-12-22,1.085738,
2021-12-23,1.077904,
2021-12-24,1.063867,
2021-12-27,1.069418,
2021-12-28,1.068608,
2021-12-29,1.066859,
2021-12-30,1.079133,
2021-12-31,1.087248,
2022-01-04,1.105591,
2022-01-05,1.092421,
2022-01-06,1.102301,
2022-01-07,1.086097,
2022-01-10,1.097353,
2022-01-11,1.094733,
2022-01-12,1.105836,
2022-01-13,1.099764,
2022-01-14,1.092130,
2022-01-17,1.105792,
2022-01-18,1.084557,
2022-01-19,1.091935,
2022-01-20,1.069164,
2022-01-21,1.056373,
2022-01-24,1.048120,
2022-01-25,1.007584,
2022-01-26,1.006840,
2022-01-27,0.964425,
2022-01-28,0.963847,
2022-02-07,0.984347,
2022-02-08,1.000028,
2022-02-09,1.011593,
2022-02-10,1.024400,
2022-02-11,1.015748,
2022-02-14,1.007062,
2022-02-15,0.994984,
2022-02-16,1.003320,
2022-02-17,0.992514,
2022-02-18,1.004464,
2022-02-21,1.015261,
2022-02-22,1.011364,
