日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10749486.93
2021-08-19,10429351.03
2021-08-20,10423276.63
2021-08-23,10592297.61
2021-08-24,10264658.01
2021-08-25,10340345.17
2021-08-26,10419231.21
2021-08-27,10727489.61
2021-08-30,10990744.81
2021-08-31,10859400.22
2021-09-01,10482732.71
2021-09-02,10953411.97
2021-09-03,10574399.17
2021-09-06,10452413.37
2021-09-07,10760610.77
2021-09-08,10804129.37
2021-09-09,10996745.77
2021-09-10,10920661.57
2021-09-13,10643238.17
2021-09-14,10223316.77
2021-09-15,10327155.17
2021-09-16,9895364.57
2021-09-17,9634938.78
2021-09-22,9756863.47
2021-09-23,9680008.51
2021-09-24,9418538.15
2021-09-27,8918797.29
2021-09-28,9141429.38
2021-09-29,8976709.0
2021-09-30,9250934.74
2021-10-08,9088824.17
2021-10-11,8923629.58
2021-10-12,8745081.64
2021-10-13,8580750.06
2021-10-14,8420722.09
2021-10-15,8376429.78
2021-10-18,8446655.55
2021-10-19,8620351.07
2021-10-20,8766266.06
2021-10-21,8789131.86
2021-10-22,8619429.76
2021-10-25,8719531.11
2021-10-26,8682780.01
2021-10-27,8663825.51
2021-10-28,8405523.12
2021-10-29,8577119.12
2021-11-01,8659161.62
2021-11-02,8485369.62
2021-11-03,8514253.72
2021-11-04,8754170.39
2021-11-05,8621119.79
2021-11-08,8733213.22
2021-11-09,8709183.12
2021-11-10,8754053.72
2021-11-11,8807909.02
2021-11-12,8842018.92
2021-11-15,8614067.98
2021-11-16,8595186.98
2021-11-17,8683993.14
2021-11-18,8520941.04
2021-11-19,8557819.74
2021-11-22,8698086.64
2021-11-23,8704307.54
2021-11-24,8634616.64
2021-11-25,8533674.94
2021-11-26,8458794.24
2021-11-29,8450270.08
2021-11-30,8453712.98
2021-12-01,8442899.08
2021-12-02,8280412.78
2021-12-03,8314160.7
2021-12-06,8088643.43
2021-12-07,8100817.56
2021-12-08,8271288.31
2021-12-09,8292008.31
2021-12-10,8270372.91
2021-12-13,8367699.11
2021-12-14,8310654.61
2021-12-15,8299016.11
2021-12-16,8313570.61
2021-12-17,8178520.22
2021-12-20,8006478.87
2021-12-21,8054635.1
2021-12-22,8276811.7
2021-12-23,8451861.7
2021-12-24,8231517.5
2021-12-27,8197633.4
2021-12-28,8215145.66
2021-12-29,8028491.96
2021-12-30,8155172.54
2021-12-31,8088820.44
2022-01-04,8138890.64
2022-01-05,8041210.23
2022-01-06,8094733.39
2022-01-07,7881001.79
2022-01-10,8012769.91
2022-01-11,7944894.1
2022-01-12,8074358.1
2022-01-13,7869300.1
2022-01-14,8105056.72
2022-01-17,8176396.33
2022-01-18,7903149.33
2022-01-19,7801920.33
2022-01-20,7977140.56
2022-01-21,7631641.6
