序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000829,天音控股,2021-08-18,17.091,2021-09-22,16.084,29200,-5.9838%,-29876.69,23,信号
2,000839,国安股份,2021-08-18,2.581,2021-10-13,2.519,193700,-2.5207%,-12609.87,33,信号
3,002599,盛通股份,2021-08-18,6.253,2021-09-27,7.176,79900,14.6505%,73233.96,26,信号
4,002882,金龙羽,2021-08-18,11.606,2021-09-23,10.485,43000,-9.7496%,-48679.88,24,信号
5,002941,新疆交建,2021-08-18,11.776,2021-08-25,10.465,42400,-11.2228%,-56062.99,5,止损
6,300152,ST动力,2021-08-18,5.043,2021-09-02,4.428,99100,-12.2788%,-61389.49,11,止损
7,300159,新研股份,2021-08-18,5.84,2021-08-26,5.247,85600,-10.2362%,-51196.26,6,止损
8,300284,苏交科,2021-08-18,6.72,2021-09-27,6.054,74400,-10.0060%,-50054.40,26,止损
9,300320,海达股份,2021-08-18,8.886,2021-09-22,8.428,56200,-5.2561%,-26263.05,23,信号
10,300435,中泰股份,2021-08-18,19.841,2021-09-23,19.871,25200,0.0518%,259.26,24,信号
11,300540,蜀道装备,2021-08-18,22.782,2021-08-23,20.761,21900,-8.9654%,-44753.58,3,止损
12,600130,波导股份,2021-08-18,4.072,2021-09-22,3.868,122700,-5.1040%,-25514.24,23,信号
13,600218,全柴动力,2021-08-18,15.453,2021-09-01,13.568,32300,-12.2831%,-61338.36,10,止损
14,600383,金地集团,2021-08-18,10.299,2021-08-31,8.62,48500,-16.3904%,-81912.54,9,止损
15,600569,安阳钢铁,2021-08-18,4.102,2021-09-28,3.388,121800,-17.4823%,-87390.30,27,止损
16,600746,江苏索普,2021-08-18,21.792,2021-09-24,19.271,22900,-11.6548%,-58190.33,25,止损
17,600875,东方电气,2021-08-18,12.233,2021-10-13,12.941,40800,5.6770%,28348.91,33,信号
18,601555,东吴证券,2021-08-18,7.435,2021-10-13,7.388,67200,-0.7236%,-3616.91,33,信号
19,601778,晶科科技,2021-08-18,6.9,2021-09-30,8.123,72400,17.5984%,87964.28,29,信号
20,601969,海南矿业,2021-08-18,18.404,2021-09-28,17.156,27100,-6.8730%,-34296.68,27,信号
21,002466,天齐锂业,2021-08-23,115.709,2021-09-23,103.839,3900,-10.3480%,-46720.23,21,止损
22,600958,东方证券,2021-08-25,14.247,2021-08-31,12.245,31700,-14.1396%,-63891.08,4,止损
23,600438,通威股份,2021-08-26,49.454,2021-09-23,45.376,9000,-8.3366%,-37123.46,18,止损
24,600111,北方稀土,2021-08-31,51.918,2021-09-28,43.12,6000,-17.0281%,-53070.22,18,止损
25,601012,隆基绿能,2021-08-31,67.05,2021-09-02,60.414,7400,-9.9868%,-49576.02,2,止损
26,600030,中信证券,2021-09-01,21.552,2021-10-13,20.781,20400,-3.6746%,-16163.58,23,信号
27,000762,西藏矿业,2021-09-02,78.418,2021-09-17,67.545,4900,-13.9515%,-53635.21,11,止损
28,600010,包钢股份,2021-09-02,3.781,2021-09-22,3.277,132200,-13.4044%,-67033.08,12,止损
29,600989,宝丰能源,2021-09-17,16.098,2021-09-28,13.743,20600,-14.7139%,-48818.72,5,止损
30,600141,兴发集团,2021-09-22,52.736,2021-09-28,42.889,9400,-18.7550%,-93018.85,4,止损
31,600759,ST洲际,2021-09-22,4.102,2021-09-28,3.688,86800,-10.1798%,-36264.18,4,止损
32,601016,节能风电,2021-09-22,5.344,2022-01-06,4.967,93500,-7.1509%,-35745.99,70,信号
33,601615,明阳智能,2021-09-22,25.535,2021-10-11,23.51,19500,-8.0205%,-39956.37,8,止损
34,000591,太阳能,2021-09-23,10.903,2021-10-14,9.183,45800,-15.8594%,-79237.96,10,止损
35,002411,必康退,2021-09-23,17.599,2021-09-28,13.613,15000,-22.7243%,-60018.16,3,止损
36,601678,滨化股份,2021-09-23,13.338,2021-09-27,11.385,37400,-14.7233%,-73480.62,2,止损
37,601985,中国核电,2021-09-23,6.918,2021-10-12,5.942,72200,-14.1992%,-70962.51,8,止损
38,600150,中国船舶,2021-09-24,28.639,2021-09-30,23.623,15400,-17.5973%,-77650.82,4,止损
39,000876,新希望,2021-09-27,13.983,2022-03-16,14.429,35700,3.0850%,15407.70,111,信号
40,300366,ST创意,2021-09-27,12.996,2021-12-03,13.553,34600,4.1794%,18803.37,44,信号
41,600011,华能国际,2021-09-27,7.584,2021-10-11,6.787,65900,-10.6011%,-53008.00,5,止损
