日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.048178,
2021-08-19,1.034589,
2021-08-20,1.040927,
2021-08-23,1.063710,
2021-08-24,1.063535,
2021-08-25,1.073777,
2021-08-26,1.074037,
2021-08-27,1.080196,
2021-08-30,1.089293,
2021-08-31,1.098975,
2021-09-01,1.072036,
2021-09-02,1.101455,
2021-09-03,1.088205,
2021-09-06,1.095849,
2021-09-07,1.114983,
2021-09-08,1.121478,
2021-09-09,1.133561,
2021-09-10,1.123021,
2021-09-13,1.141690,
2021-09-14,1.122099,
2021-09-15,1.138684,
2021-09-16,1.120972,
2021-09-17,1.115591,
2021-09-22,1.134566,
2021-09-23,1.135177,
2021-09-24,1.102398,
2021-09-27,1.056979,
2021-09-28,1.068595,
2021-09-29,1.028240,
2021-09-30,1.051604,
2021-10-08,1.059943,
2021-10-11,1.047673,
2021-10-12,1.025346,
2021-10-13,1.007604,
2021-10-14,1.010087,
2021-10-15,1.002028,
2021-10-18,1.018977,
2021-10-19,1.025172,
2021-10-20,1.022577,
2021-10-21,1.023736,
2021-10-22,1.004770,
2021-10-25,1.017998,
2021-10-26,1.008952,
2021-10-27,1.003084,
2021-10-28,0.984435,
2021-10-29,0.995903,
2021-11-01,1.005539,
2021-11-02,0.992153,
2021-11-03,0.994713,
2021-11-04,1.013161,
2021-11-05,1.000458,
2021-11-08,1.005697,
2021-11-09,1.015997,
2021-11-10,1.021044,
2021-11-11,1.027906,
2021-11-12,1.043980,
2021-11-15,1.041915,
2021-11-16,1.035337,
2021-11-17,1.051358,
2021-11-18,1.038655,
2021-11-19,1.048163,
2021-11-22,1.061278,
2021-11-23,1.060696,
2021-11-24,1.062318,
2021-11-25,1.056083,
2021-11-26,1.054901,
2021-11-29,1.062450,
2021-11-30,1.068419,
2021-12-01,1.072208,
2021-12-02,1.053691,
2021-12-03,1.055938,
2021-12-06,1.038638,
2021-12-07,1.022534,
2021-12-08,1.038962,
2021-12-09,1.037440,
2021-12-10,1.041456,
2021-12-13,1.045967,
2021-12-14,1.052486,
2021-12-15,1.052142,
2021-12-16,1.059302,
