序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1,000001,平安银行,2022-12-12,11.378,2023-02-14,11.636,2.1697%,2.2719%,40,信号
2,000001,平安银行,2024-02-22,8.731,2024-04-15,8.143,-6.8326%,-6.7393%,35,信号
3,000001,平安银行,2024-05-20,9.512,2024-09-10,8.652,-9.1332%,-9.0423%,80,信号
4,000001,平安银行,2024-09-27,10.151,2024-11-26,10.217,0.5477%,0.6484%,37,信号
5,000001,平安银行,2025-06-13,11.09,2025-08-01,11.638,4.8424%,4.9473%,35,信号
6,000001,平安银行,2026-04-28,11.005,2026-05-19,10.465,-5.0084%,-4.9133%,12,信号
7,000001,平安银行,2026-07-30,11.286,2026-08-17,11.1,-1.7433%,-1.6449%,12,区间结束平仓
8,000002,万科Ａ,2022-11-30,18.334,2023-02-07,16.597,-9.5672%,-9.4767%,43,信号
9,000002,万科Ａ,2024-09-27,8.524,2024-11-18,8.786,2.9629%,3.0659%,31,信号
10,000002,万科Ａ,2025-08-26,6.983,2025-10-17,6.387,-8.6357%,-8.5442%,32,信号
11,000004,国华退,2022-01-06,22.111,2022-03-09,19.9,-10.0895%,-9.9995%,39,信号
12,000004,国华退,2022-11-18,9.925,2022-12-20,9.365,-5.7331%,-5.6388%,22,信号
13,000004,国华退,2023-04-20,11.206,2023-08-21,16.632,48.2745%,48.4229%,81,信号
14,000004,国华退,2024-07-23,12.556,2024-07-29,11.124,-11.4920%,-11.4034%,4,止损
15,000004,国华退,2024-09-24,16.668,2024-09-27,14.193,-14.9362%,-14.8511%,3,止损
16,000004,国华退,2024-10-09,17.909,2024-10-11,14.803,-17.4279%,-17.3453%,2,止损
17,000004,国华退,2024-10-15,18.269,2024-11-19,16.882,-7.6876%,-7.5952%,25,信号
18,000004,国华退,2025-08-27,11.296,2025-11-18,11.444,1.2145%,1.3158%,53,信号
19,000005,ST星源,2021-08-31,2.391,2021-09-28,2.129,-11.0567%,-10.9677%,18,止损
