序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000833,粤桂股份,2021-08-18,4.457,2021-08-26,5.952,112100,33.4030%,166983.08,6,止盈
2,000877,天山股份,2021-08-18,13.903,2021-08-30,14.029,35900,0.8057%,4023.24,7,信号
3,002560,通达股份,2021-08-18,4.622,2021-08-27,4.439,108100,-4.0665%,-20329.40,7,信号
4,002599,盛通股份,2021-08-18,6.253,2021-08-23,8.316,79900,32.8540%,164228.90,3,止盈
5,002673,西部证券,2021-08-18,7.658,2021-08-27,7.64,65200,-0.3302%,-1649.43,7,信号
6,002882,金龙羽,2021-08-18,11.606,2021-08-30,12.124,43000,4.3600%,21769.62,8,信号
7,002941,新疆交建,2021-08-18,11.776,2021-08-25,10.465,42400,-11.2228%,-56062.99,5,止损
8,002986,宇新股份,2021-08-18,20.569,2021-08-30,21.941,24300,6.5623%,32816.89,8,信号
9,300145,南方泵业,2021-08-18,3.452,2021-08-20,3.368,144800,-2.5140%,-12571.54,2,信号
10,300152,ST动力,2021-08-18,5.043,2021-08-26,4.778,99100,-5.3482%,-26739.17,6,信号
11,300172,中电环保,2021-08-18,4.672,2021-08-30,4.618,107000,-1.2683%,-6344.03,8,信号
12,300270,中威电子,2021-08-18,7.003,2021-08-20,6.147,71300,-12.3184%,-61542.61,2,止损
13,300284,苏交科,2021-08-18,6.72,2021-08-25,6.284,74400,-6.5887%,-32959.51,5,信号
14,300320,海达股份,2021-08-18,8.886,2021-08-27,11.046,56200,24.1828%,120833.74,7,止盈
15,600130,波导股份,2021-08-18,4.072,2021-08-25,3.998,122700,-1.9163%,-9579.19,5,信号
16,600361,创新新材,2021-08-18,6.411,2021-08-20,5.555,77900,-13.4380%,-67147.17,2,止损
17,601555,东吴证券,2021-08-18,7.435,2021-08-27,7.636,67200,2.6071%,13032.03,7,信号
18,601778,晶科科技,2021-08-18,6.9,2021-08-31,9.762,72400,41.3294%,206581.58,9,止盈
19,603227,雪峰科技,2021-08-18,5.423,2021-08-25,5.187,92200,-4.4349%,-22184.25,5,信号
20,603759,海天股份,2021-08-18,14.01,2021-08-23,11.97,35600,-14.6463%,-73086.07,3,止损
21,002939,长城证券,2021-08-20,11.315,2021-08-30,10.354,32200,-8.5834%,-31287.72,6,止损
22,600038,中直股份,2021-08-20,65.598,2021-08-31,62.714,7600,-4.4923%,-22407.16,7,信号
23,600958,东方证券,2021-08-20,13.552,2021-08-31,12.245,36800,-9.7341%,-48568.50,7,信号
24,002183,怡亚通,2021-08-23,7.142,2021-09-10,7.314,70000,2.3169%,11588.08,14,信号
25,300454,深信服,2021-08-23,283.142,2021-09-01,270.575,1700,-4.5339%,-21834.31,7,信号
26,000878,云南铜业,2021-08-25,13.047,2021-09-14,17.061,37400,30.6434%,149595.92,14,止盈
27,002079,苏州固锝,2021-08-25,15.411,2021-09-16,17.344,32400,12.4348%,62118.72,16,信号
28,300083,创世纪,2021-08-25,14.037,2021-09-07,14.393,35600,2.4321%,12159.90,9,信号
29,601211,国泰海通,2021-08-25,15.878,2021-09-15,15.862,31400,-0.1998%,-996.64,15,信号
30,000629,钒钛股份,2021-08-26,4.042,2021-09-15,4.448,123700,9.9284%,49666.80,14,信号
31,600740,山西焦化,2021-08-26,6.358,2021-09-07,8.201,78600,28.8530%,144265.62,8,止盈
32,600157,永泰能源,2021-08-27,1.806,2021-09-10,2.214,276800,22.4695%,112375.29,10,止盈
33,600435,北方导航,2021-08-27,8.824,2021-09-13,8.976,56600,1.6106%,8048.52,11,信号
34,601600,中国铝业,2021-08-27,6.638,2021-09-09,8.351,75300,25.6715%,128387.29,9,止盈
35,603077,和邦生物,2021-08-27,2.664,2021-09-06,3.401,187600,27.5329%,137686.05,6,止盈
36,002241,歌尔股份,2021-08-30,48.99,2021-09-10,46.253,10200,-5.6824%,-28409.48,9,信号
37,002248,华东数控,2021-08-30,11.306,2021-09-09,11.834,44200,4.5694%,22845.22,8,信号
38,300229,拓尔思,2021-08-30,11.986,2021-09-03,11.044,41700,-7.9472%,-39741.36,4,止损
39,300497,富祥股份,2021-08-30,15.918,2021-09-10,20.999,31400,31.7915%,158980.75,9,止盈
40,601766,中国中车,2021-08-30,5.473,2021-09-14,5.657,91300,3.2668%,16330.84,11,信号
41,300352,ST信源,2021-08-31,6.663,2021-09-13,6.747,75000,1.1489%,5744.25,9,信号
42,600126,杭钢股份,2021-08-31,6.048,2021-09-13,5.942,82600,-1.8508%,-9250.38,9,信号
43,600804,退市鹏博,2021-08-31,6.013,2021-09-27,6.447,83100,7.1067%,35528.58,17,信号
44,600061,国投资本,2021-09-01,8.471,2021-09-15,8.563,59000,0.9789%,4895.00,10,信号
45,601878,浙商证券,2021-09-03,13.52,2021-09-13,12.407,36900,-8.3238%,-41546.68,6,止损
46,002202,金风科技,2021-09-06,16.599,2021-09-24,16.203,30100,-2.4856%,-12425.34,12,信号
47,000166,申万宏源,2021-09-07,5.469,2021-09-22,5.583,91400,1.9912%,9957.85,9,信号
48,000507,珠海港,2021-09-07,8.235,2021-09-15,7.097,60700,-13.9010%,-69521.67,6,止损
49,002617,露笑科技,2021-09-09,14.777,2021-09-22,14.463,33800,-2.2269%,-11128.31,7,信号
50,300079,数码视讯,2021-09-09,11.086,2021-09-17,9.965,45100,-10.1978%,-51010.37,6,止损
51,300052,中青宝,2021-09-10,13.047,2021-09-14,18.151,38300,38.9856%,194901.09,2,止盈
52,300459,汤姆猫,2021-09-10,3.912,2021-09-14,4.808,127800,22.7721%,113905.61,2,止盈
53,600691,潞化科技,2021-09-10,5.903,2021-09-23,7.746,84700,31.0935%,155538.88,7,止盈
54,601985,中国核电,2021-09-10,6.078,2021-10-08,6.422,82200,5.5500%,27742.51,13,信号
55,000783,长江证券,2021-09-13,7.414,2021-09-15,6.937,67400,-6.5299%,-32645.20,2,信号
56,002266,浙富控股,2021-09-13,6.935,2021-09-17,6.599,72000,-4.9508%,-24734.45,4,信号
57,300327,中颖电子,2021-09-13,67.611,2021-09-16,60.775,7300,-10.2009%,-50372.80,3,止损
58,600618,氯碱化工,2021-09-13,15.228,2021-09-23,19.58,32800,28.4551%,142194.27,6,止盈
59,000816,智慧农业,2021-09-14,4.562,2021-09-16,4.098,109500,-10.2674%,-51318.28,2,止损
60,002283,天润工业,2021-09-14,9.526,2021-09-27,8.607,52400,-9.7385%,-48634.13,7,止损
61,002452,长高电气,2021-09-14,7.166,2021-09-17,6.459,69700,-9.9541%,-49739.60,3,止损
62,300830,金现代,2021-09-14,12.287,2021-09-27,11.935,40600,-2.9628%,-14787.42,7,信号
63,000959,首钢股份,2021-09-15,8.752,2021-09-24,8.034,57100,-8.2997%,-41499.49,5,信号
64,000970,中科三环,2021-09-15,12.564,2021-09-17,11.658,39700,-7.3045%,-36453.42,2,止损
