序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1,000001,平安银行,2022-11-15,9.657,2022-12-13,10.937,13.1386%,13.2518%,20,信号
2,000001,平安银行,2023-01-04,11.508,2023-02-02,12.526,8.7372%,8.8461%,16,信号
3,000001,平安银行,2023-07-26,9.732,2023-08-09,10.132,4.0068%,4.1109%,10,信号
4,000001,平安银行,2024-02-22,8.731,2024-03-05,8.373,-4.2024%,-4.1065%,8,信号
5,000001,平安银行,2026-04-28,11.005,2026-05-12,10.915,-0.9256%,-0.8265%,7,信号
6,000002,万科Ａ,2022-06-30,17.765,2022-07-08,17.537,-1.3802%,-1.2815%,6,信号
7,000002,万科Ａ,2022-11-28,16.223,2022-12-16,18.676,15.0025%,15.1176%,14,信号
8,000002,万科Ａ,2023-07-26,14.132,2023-08-08,14.038,-0.7651%,-0.6658%,9,信号
9,000002,万科Ａ,2025-07-11,6.753,2025-07-17,6.557,-3.0090%,-2.9120%,4,信号
10,000002,万科Ａ,2025-08-26,6.983,2025-09-03,6.747,-3.4884%,-3.3918%,6,信号
11,000004,国华退,2021-11-17,20.01,2021-11-26,18.581,-7.2357%,-7.1429%,7,信号
12,000004,国华退,2022-01-06,22.111,2022-01-21,21.189,-4.2641%,-4.1683%,11,信号
13,000004,国华退,2022-11-18,9.925,2022-11-28,10.025,0.9068%,1.0078%,6,信号
14,000004,国华退,2023-02-01,10.455,2023-02-07,10.055,-3.9244%,-3.8283%,4,信号
15,000004,国华退,2023-07-19,21.021,2023-07-24,17.291,-17.8228%,-17.7406%,3,止损
16,000004,国华退,2023-10-12,17.008,2023-10-20,17.041,0.0937%,0.1939%,6,信号
17,000004,国华退,2024-07-01,11.776,2024-07-04,10.515,-10.7988%,-10.7096%,3,止损
18,000004,国华退,2024-09-25,14.637,2024-10-11,14.803,1.0281%,1.1292%,7,信号
19,000004,国华退,2024-12-16,19.89,2024-12-18,18.361,-7.7802%,-7.6879%,2,信号
20,000004,国华退,2025-10-13,12.206,2025-10-29,12.724,4.1358%,4.2400%,12,信号
21,000005,ST星源,2023-10-17,1.531,2023-10-19,1.429,-6.7227%,-6.6294%,2,信号
