日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10839122.78
2021-08-19,10241383.48
2021-08-20,10280127.37
2021-08-23,10397398.13
2021-08-24,10148975.13
2021-08-25,10162144.47
2021-08-26,10180591.25
2021-08-27,10283949.95
2021-08-30,10362248.2
2021-08-31,10252197.68
2021-09-01,10180654.12
2021-09-02,10580691.97
2021-09-03,10441201.97
2021-09-06,10392070.29
2021-09-07,10652184.53
2021-09-08,10680982.83
2021-09-09,10785246.43
2021-09-10,10812080.43
2021-09-13,10700383.44
2021-09-14,10282223.26
2021-09-15,10370919.72
2021-09-16,10143904.39
2021-09-17,10247476.66
2021-09-22,10488579.46
2021-09-23,10281125.49
2021-09-24,9930766.01
2021-09-27,9255060.47
2021-09-28,9435856.73
2021-09-29,9136169.59
2021-09-30,9455720.19
2021-10-08,9309973.09
2021-10-11,9105854.25
2021-10-12,9117903.31
2021-10-13,9015347.73
2021-10-14,8912337.82
2021-10-15,8816548.17
2021-10-18,8720299.88
2021-10-19,8859611.23
2021-10-20,9008951.88
2021-10-21,8910161.9
2021-10-22,8829029.9
2021-10-25,8909433.38
2021-10-26,8747307.38
2021-10-27,8800488.12
2021-10-28,8748703.87
2021-10-29,8920828.39
2021-11-01,8946668.29
2021-11-02,8943840.61
2021-11-03,8823476.72
2021-11-04,9120443.65
2021-11-05,8984617.25
2021-11-08,9021457.65
2021-11-09,9098498.62
2021-11-10,9091245.34
2021-11-11,9059885.62
2021-11-12,9192890.62
2021-11-15,8984892.54
2021-11-16,8911843.91
2021-11-17,9069988.09
2021-11-18,8865128.72
2021-11-19,8860035.22
2021-11-22,8958799.91
2021-11-23,8900983.91
2021-11-24,8870061.7
2021-11-25,8812263.61
2021-11-26,8814933.05
2021-11-29,8915890.05
2021-11-30,8888473.44
2021-12-01,8891521.44
2021-12-02,8788673.82
2021-12-03,8879648.3
2021-12-06,8738297.98
2021-12-07,8636281.3
2021-12-08,8753552.55
2021-12-09,8736241.65
2021-12-10,8705973.14
2021-12-13,8776146.54
2021-12-14,8589342.44
2021-12-15,8537543.84
2021-12-16,8695461.96
2021-12-17,8539964.81
2021-12-20,8442677.51
2021-12-21,8406061.83
2021-12-22,8488062.89
2021-12-23,8547237.59
2021-12-24,8327050.52
2021-12-27,8388711.52
2021-12-28,8388341.53
2021-12-29,8082205.49
2021-12-30,8288450.29
2021-12-31,8524811.29
2022-01-04,8698442.25
2022-01-05,8407024.85
2022-01-06,8526494.33
2022-01-07,8240607.12
2022-01-10,8387658.68
2022-01-11,8250983.44
2022-01-12,8366481.94
2022-01-13,8343482.67
2022-01-14,8547342.87
2022-01-17,8461274.38
2022-01-18,8138852.12
2022-01-19,8162498.64
2022-01-20,8026161.36
2022-01-21,7679169.69
2022-01-24,7684125.26
2022-01-25,7362468.83
2022-01-26,7240458.55
2022-01-27,6699941.31
2022-01-28,6693421.55
2022-02-07,7035706.67
2022-02-08,6872976.73
2022-02-09,6978677.15
2022-02-10,7134970.25
2022-02-11,7006658.23
2022-02-14,6974381.21
2022-02-15,6816630.41
2022-02-16,6919334.89
2022-02-17,6886289.19
2022-02-18,6997125.9
2022-02-21,7064748.4
2022-02-22,6783941.29
2022-02-23,6881351.79
2022-02-24,6581978.32
2022-02-25,6495980.26
2022-02-28,6513105.68
2022-03-01,6612608.28
2022-03-02,6711712.18
2022-03-03,6819432.18
2022-03-04,6585094.18
2022-03-07,6542476.18
2022-03-08,6282050.72
2022-03-09,6548172.1
2022-03-10,6585792.53
2022-03-11,6804885.95
2022-03-14,6765652.05
2022-03-15,6769630.51
2022-03-16,7125699.95
2022-03-17,7292346.94
2022-03-18,7425980.88
2022-03-21,7762620.22
2022-03-22,7441278.89
2022-03-23,7128349.73
2022-03-24,7248321.8
2022-03-25,6694057.15
2022-03-28,6703641.85
2022-03-29,6794199.33
2022-03-30,7023050.63
2022-03-31,6931330.43
2022-04-01,6616086.49
2022-04-06,6601773.56
2022-04-07,6364033.92
2022-04-08,6467264.11
2022-04-11,6369888.11
2022-04-12,6219534.9
2022-04-13,5977231.22
2022-04-14,6339888.74
2022-04-15,6093580.74
2022-04-18,5873589.25
2022-04-19,5814807.22
2022-04-20,5620962.81
2022-04-21,5281355.62
2022-04-22,5362813.05
2022-04-25,5082511.16
2022-04-26,4931174.74
2022-04-27,4911085.65
2022-04-28,5002732.85
2022-04-29,5193252.87
2022-05-05,5208555.53
2022-05-06,5313344.57
2022-05-09,5438046.37
2022-05-10,5551401.67
2022-05-11,5561503.77
2022-05-12,5395617.07
2022-05-13,5314441.21
2022-05-16,5414495.46
2022-05-17,5180310.53
2022-05-18,4974768.85
2022-05-19,4843491.31
2022-05-20,4870217.4
2022-05-23,4975871.1
2022-05-24,4653459.75
2022-05-25,4625599.79
2022-05-26,4626122.92
2022-05-27,4593465.52
2022-05-30,4547629.14
2022-05-31,4585692.04
2022-06-01,4548517.44
2022-06-02,4606570.84
2022-06-06,4734111.58
2022-06-07,4722728.78
2022-06-08,4847802.98
2022-06-09,4792893.68
2022-06-10,4892112.01
2022-06-13,4956064.37
2022-06-14,5088852.0
2022-06-15,5026522.35
2022-06-16,4996413.85
2022-06-17,5161360.51
2022-06-20,5164356.61
2022-06-21,5051812.18
2022-06-22,5004950.63
2022-06-23,5179941.83
2022-06-24,5289558.93
2022-06-27,5445338.33
2022-06-28,5577640.33
2022-06-29,5220992.13
2022-06-30,5327624.16
2022-07-01,5432858.06
2022-07-04,5562878.1
2022-07-05,5565555.48
2022-07-06,5527222.41
2022-07-07,5621755.28
2022-07-08,5435994.84
2022-07-11,5361531.33
2022-07-12,5336286.22
2022-07-13,5268588.1
2022-07-14,5195338.7
2022-07-15,5075017.1
2022-07-18,5176955.9
2022-07-19,4971983.43
2022-07-20,4901630.83
2022-07-21,4818322.71
2022-07-22,4772090.05
2022-07-25,4617633.37
2022-07-26,4671499.87
2022-07-27,4831750.97
2022-07-28,4890601.01
2022-07-29,4871319.21
2022-08-01,4890043.99
2022-08-02,4799437.06
2022-08-03,4579313.99
2022-08-04,4590291.24
2022-08-05,4485916.69
2022-08-08,4597624.08
2022-08-09,4733704.48
2022-08-10,4815062.28
2022-08-11,4853944.38
2022-08-12,4782252.58
