序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000783,长江证券,2021-08-18,6.273,2021-09-28,6.647,79700,5.8487%,29256.28,27,信号
2,000877,天山股份,2021-08-18,13.903,2021-09-27,14.679,35900,5.4739%,27334.91,25,信号
3,002249,大洋电机,2021-08-18,7.492,2021-09-06,6.835,66700,-8.8630%,-44310.56,13,信号
4,002673,西部证券,2021-08-18,7.658,2021-09-15,7.8,65200,1.7560%,8772.14,20,信号
5,002882,金龙羽,2021-08-18,11.606,2021-09-07,11.724,43000,0.9187%,4586.81,14,信号
6,002941,新疆交建,2021-08-18,11.776,2021-08-25,10.465,42400,-11.2228%,-56062.99,5,止损
7,300152,ST动力,2021-08-18,5.043,2021-08-30,4.508,99100,-10.6947%,-53469.42,8,止损
8,300284,苏交科,2021-08-18,6.72,2021-09-13,6.644,74400,-1.2398%,-6202.28,18,信号
9,300320,海达股份,2021-08-18,8.886,2021-09-13,9.687,56200,8.9015%,44478.15,18,信号
10,300435,中泰股份,2021-08-18,19.841,2021-09-14,20.351,25200,2.4674%,12343.16,19,信号
11,300540,蜀道装备,2021-08-18,22.782,2021-08-23,20.761,21900,-8.9654%,-44753.58,3,止损
12,600130,波导股份,2021-08-18,4.072,2021-09-07,3.978,122700,-2.4067%,-12030.74,14,信号
13,600691,潞化科技,2021-08-18,4.222,2021-09-30,5.777,118400,36.6932%,183520.05,29,信号
14,600746,江苏索普,2021-08-18,21.792,2021-08-23,20.081,22900,-7.9434%,-39659.88,3,止损
15,600875,东方电气,2021-08-18,12.233,2021-09-17,14.18,40800,15.7983%,78890.33,22,信号
16,601555,东吴证券,2021-08-18,7.435,2021-09-15,7.844,67200,5.4006%,26995.66,20,信号
17,601606,长城军工,2021-08-18,13.484,2021-08-31,12.921,37000,-4.2727%,-21326.95,9,信号
18,601618,中国中冶,2021-08-18,3.723,2021-08-23,3.389,134300,-9.0507%,-45274.15,3,止损
19,601778,晶科科技,2021-08-18,6.9,2021-09-14,8.603,72400,24.5441%,122681.54,19,信号
20,603212,赛伍技术,2021-08-18,31.524,2021-08-20,28.284,15800,-10.3673%,-51662.95,2,止损
21,600958,东方证券,2021-08-20,13.552,2021-09-17,13.953,33400,2.8579%,12942.34,20,信号
22,002049,紫光国微,2021-08-23,151.511,2021-09-14,143.071,3300,-5.6645%,-28335.71,16,信号
23,002939,长城证券,2021-08-23,12.725,2021-08-26,11.183,39200,-12.2050%,-60913.21,3,止损
24,300296,利亚德,2021-08-23,10.506,2021-09-01,9.636,35200,-8.3731%,-30981.01,7,止损
25,601211,国泰海通,2021-08-25,15.878,2021-09-17,15.602,27900,-1.8348%,-8132.29,17,信号
26,600089,特变电工,2021-08-26,12.511,2021-09-27,17.166,35000,37.0706%,162411.24,20,信号
27,002340,格林美,2021-08-30,13.278,2021-09-02,12.085,33600,-9.0736%,-40500.17,3,止损
28,002241,歌尔股份,2021-08-31,48.68,2021-09-16,44.564,9800,-8.5479%,-40799.78,12,止损
29,002411,必康退,2021-09-01,12.926,2021-09-29,13.993,26300,8.1426%,27696.01,18,信号
30,600010,包钢股份,2021-09-02,3.781,2021-09-22,3.277,107300,-13.4044%,-54407.34,12,止损
31,002202,金风科技,2021-09-06,16.599,2021-10-11,15.383,27400,-7.4182%,-33756.32,18,信号
32,000166,申万宏源,2021-09-07,5.469,2021-09-28,5.293,90000,-3.3037%,-16268.58,13,信号
33,002797,第一创业,2021-09-07,7.456,2021-09-23,7.078,67000,-5.1550%,-25763.78,10,信号
34,601899,紫金矿业,2021-09-13,10.655,2021-09-17,9.185,46900,-13.8813%,-69404.51,4,止损
35,603993,洛阳钼业,2021-09-13,7.157,2021-09-22,6.17,69800,-13.8730%,-69334.17,5,止损
36,600309,万华化学,2021-09-14,108.629,2021-09-24,99.145,4600,-8.8217%,-44103.75,6,止损
37,600547,山东黄金,2021-09-14,20.757,2021-09-24,18.708,24000,-9.9648%,-49667.15,6,止损
38,600549,厦门钨业,2021-09-14,30.101,2021-09-17,26.673,16600,-11.4782%,-57382.43,3,止损
39,000630,铜陵有色,2021-09-15,4.813,2021-09-22,4.119,103800,-14.5133%,-72549.16,3,止损
40,600884,杉杉股份,2021-09-15,36.662,2021-09-29,32.778,13600,-10.6853%,-53304.37,8,止损
41,600141,兴发集团,2021-09-16,47.944,2021-09-28,42.889,10400,-10.6338%,-53048.65,6,止损
42,001896,豫能控股,2021-09-17,9.535,2021-09-28,8.296,52400,-13.0806%,-65386.31,5,止损
43,002080,中材科技,2021-09-17,37.965,2021-09-29,34.309,13100,-9.7206%,-48368.78,6,止损
44,002386,天原股份,2021-09-17,13.348,2021-09-24,12.189,35900,-8.7727%,-42058.15,3,止损
45,300443,金雷股份,2021-09-17,50.186,2021-11-10,70.716,9900,40.7660%,202644.02,31,到期
46,600989,宝丰能源,2021-09-17,16.098,2021-09-27,14.793,31000,-8.2012%,-40947.60,4,止损
47,000799,酒鬼酒,2021-09-22,249.625,2021-10-13,237.381,2000,-4.9998%,-24974.01,10,信号
48,300595,欧普康视,2021-09-22,78.118,2021-10-15,69.044,3000,-11.7036%,-27441.48,12,信号
49,300760,迈瑞医疗,2021-09-22,337.167,2021-10-21,334.142,1400,-0.9964%,-4705.83,16,信号
50,600048,保利发展,2021-09-23,12.166,2021-10-19,11.554,39200,-5.1242%,-24449.83,13,信号
51,002165,红宝丽,2021-09-24,9.085,2021-09-28,7.616,55000,-16.2470%,-81218.52,2,止损
52,600795,国电电力,2021-09-24,2.89,2021-09-28,2.358,118300,-18.5086%,-63319.85,2,止损
53,601016,节能风电,2021-09-24,5.661,2021-10-15,5.059,88300,-10.7125%,-53573.39,10,止损
54,600021,上海电力,2021-09-27,12.481,2021-09-30,10.99,40000,-12.0398%,-60138.81,3,止损
55,601619,嘉泽新能,2021-09-27,5.523,2021-10-14,4.958,90500,-10.3245%,-51628.45,8,止损
56,601908,京运通,2021-09-27,13.234,2021-09-30,11.811,37700,-10.8385%,-54101.17,3,止损
57,000858,五粮液,2021-09-28,198.043,2021-10-28,194.527,2500,-1.8737%,-9281.42,17,信号
58,002714,牧原股份,2021-09-28,44.515,2021-11-11,52.637,11200,18.1260%,90415.88,27,信号
59,300366,ST创意,2021-09-28,14.047,2021-09-30,12.494,14100,-11.1465%,-22088.22,2,止损
60,600032,浙江新能,2021-09-28,15.279,2021-10-25,14.794,32700,-3.2714%,-16352.36,14,信号
61,600436,片仔癀,2021-09-28,349.455,2021-11-04,396.482,1400,13.3439%,65315.67,22,信号
62,600519,贵州茅台,2021-09-28,1625.872,2021-10-28,1601.458,300,-1.6000%,-7808.20,17,信号
63,000568,泸州老窖,2021-09-29,194.79,2021-11-03,203.711,2500,4.4751%,21803.74,20,信号
64,003035,南网能源,2021-09-29,9.385,2021-10-12,8.736,29400,-7.0092%,-19348.73,4,信号
65,600821,金开新能,2021-09-29,9.306,2021-10-13,8.017,53700,-13.9343%,-69666.21,5,止损
66,000993,闽东电力,2021-09-30,16.038,2021-11-02,16.792,31100,4.5941%,22925.99,18,信号
67,300153,科泰电源,2021-09-30,14.197,2021-10-11,12.914,17200,-9.1319%,-22310.30,2,止损
68,600170,上海建工,2021-09-30,3.652,2021-10-12,3.048,136900,-16.6053%,-83057.25,3,止损
69,600733,北汽蓝谷,2021-09-30,14.607,2021-10-13,13.383,34200,-8.4709%,-42339.27,4,止损
70,600276,恒瑞医药,2021-10-11,53.298,2021-10-19,47.797,9300,-10.4101%,-51625.17,6,止损
71,601601,中国太保,2021-10-11,24.042,2021-11-01,22.209,6100,-7.7170%,-11323.13,15,信号
72,000998,隆平高科,2021-10-12,24.51,2021-10-18,20.308,7100,-17.2283%,-29996.20,4,止损
73,600487,亨通光电,2021-10-12,14.186,2021-11-24,15.771,35200,11.0619%,55265.49,31,到期
74,000963,华东医药,2021-10-13,30.955,2021-11-24,32.584,16100,5.1547%,25703.01,30,信号
75,600009,上海机场,2021-10-13,49.035,2021-11-04,49.435,7400,0.7165%,2601.32,16,信号
76,600737,中粮糖业,2021-10-13,8.864,2021-10-18,8.036,56400,-9.4364%,-47201.17,3,止损
77,002612,朗姿股份,2021-10-14,34.787,2021-11-09,33.873,12900,-2.7257%,-12237.72,18,信号
78,002607,中公教育,2021-10-15,12.886,2021-10-20,11.294,38800,-12.4424%,-62242.20,3,止损
79,600771,广誉远,2021-10-15,32.036,2021-10-28,29.985,4800,-6.4958%,-9993.70,9,信号
80,300450,先导智能,2021-10-18,75.029,2021-11-17,80.872,1500,7.6786%,8646.15,22,信号
81,300750,宁德时代,2021-10-18,301.078,2021-11-16,322.434,1600,6.9859%,33669.57,21,信号
82,000423,东阿阿胶,2021-10-19,32.294,2021-11-10,31.512,12400,-2.5187%,-10091.20,16,信号
83,000738,航发控制,2021-10-19,27.501,2021-10-29,25.684,18100,-6.6990%,-33361.64,8,信号
84,300207,欣旺达,2021-10-20,45.576,2021-11-24,48.919,9600,7.2272%,31636.85,25,信号
85,000625,长安汽车,2021-10-21,13.788,2021-11-17,12.844,34000,-6.9420%,-32559.46,19,信号
