日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.042897,
2021-08-19,1.024160,
2021-08-20,1.028106,
2021-08-23,1.045689,
2021-08-24,1.046080,
2021-08-25,1.055495,
2021-08-26,1.056503,
2021-08-27,1.058618,
2021-08-30,1.064418,
2021-08-31,1.072875,
2021-09-01,1.064543,
2021-09-02,1.082825,
2021-09-03,1.078161,
2021-09-06,1.086233,
2021-09-07,1.100155,
2021-09-08,1.111458,
2021-09-09,1.118432,
2021-09-10,1.106636,
2021-09-13,1.122275,
2021-09-14,1.101574,
2021-09-15,1.113770,
2021-09-16,1.100252,
2021-09-17,1.097400,
2021-09-22,1.110288,
2021-09-23,1.113177,
2021-09-24,1.086227,
2021-09-27,1.056135,
2021-09-28,1.060693,
2021-09-29,1.026050,
2021-09-30,1.042173,
2021-10-08,1.045557,
2021-10-11,1.033508,
2021-10-12,1.021742,
2021-10-13,1.012316,
2021-10-14,1.007539,
2021-10-15,0.993926,
2021-10-18,0.991578,
2021-10-19,0.995347,
2021-10-20,0.993075,
2021-10-21,0.991642,
2021-10-22,0.980988,
2021-10-25,0.988860,
2021-10-26,0.981781,
2021-10-27,0.973862,
2021-10-28,0.963804,
2021-10-29,0.976483,
2021-11-01,0.993318,
2021-11-02,0.990436,
2021-11-03,0.992862,
2021-11-04,1.016425,
2021-11-05,1.010692,
2021-11-08,1.014289,
2021-11-09,1.025751,
2021-11-10,1.035252,
2021-11-11,1.043386,
2021-11-12,1.060995,
2021-11-15,1.067949,
2021-11-16,1.058919,
2021-11-17,1.074689,
2021-11-18,1.061753,
2021-11-19,1.073322,
2021-11-22,1.084709,
2021-11-23,1.090546,
2021-11-24,1.095887,
2021-11-25,1.092835,
2021-11-26,1.090547,
2021-11-29,1.093527,
2021-11-30,1.101026,
2021-12-01,1.109258,
2021-12-02,1.093192,
2021-12-03,1.094662,
2021-12-06,1.076348,
2021-12-07,1.068102,
2021-12-08,1.076586,
2021-12-09,1.078578,
2021-12-10,1.078579,
2021-12-13,1.080441,
2021-12-14,1.082713,
2021-12-15,1.084479,
2021-12-16,1.096508,
2021-12-17,1.092400,
2021-12-20,1.086878,
2021-12-21,1.104108,
2021-12-22,1.102563,
2021-12-23,1.092737,
2021-12-24,1.080178,
2021-12-27,1.086223,
2021-12-28,1.081282,
2021-12-29,1.078960,
2021-12-30,1.091518,
2021-12-31,1.100712,
2022-01-04,1.122551,
2022-01-05,1.110057,
2022-01-06,1.120233,
2022-01-07,1.104728,
2022-01-10,1.115990,
2022-01-11,1.115038,
2022-01-12,1.125173,
2022-01-13,1.120061,
2022-01-14,1.114110,
2022-01-17,1.124781,
2022-01-18,1.100334,
2022-01-19,1.106131,
2022-01-20,1.085071,
2022-01-21,1.071377,
2022-01-24,1.064614,
2022-01-25,1.023928,
2022-01-26,1.019205,
2022-01-27,0.970654,
2022-01-28,0.966393,
2022-02-07,0.987829,
2022-02-08,1.002265,
2022-02-09,1.013113,
2022-02-10,1.028963,
2022-02-11,1.021252,
2022-02-14,1.011895,
2022-02-15,0.997646,
2022-02-16,1.007119,
2022-02-17,0.993275,
2022-02-18,1.002108,
2022-02-21,1.014048,
2022-02-22,1.012732,
2022-02-23,1.020173,
2022-02-24,0.996825,
2022-02-25,0.998021,
2022-02-28,0.994179,
2022-03-01,1.000108,
2022-03-02,1.007156,
2022-03-03,1.010743,
2022-03-04,0.993244,
2022-03-07,0.984363,
2022-03-08,0.953970,
2022-03-09,0.951558,
2022-03-10,0.961020,
2022-03-11,0.958428,
2022-03-14,0.931400,
2022-03-15,0.901979,
2022-03-16,0.918448,
2022-03-17,0.928844,
2022-03-18,0.933030,
2022-03-21,0.957114,
2022-03-22,0.939318,
2022-03-23,0.928239,
2022-03-24,0.923127,
2022-03-25,0.916304,
2022-03-28,0.912720,
2022-03-29,0.908436,
2022-03-30,0.920685,
2022-03-31,0.923146,
2022-04-01,0.920111,
2022-04-06,0.934979,
2022-04-07,0.910583,
2022-04-08,0.911609,
2022-04-11,0.895587,
2022-04-12,0.904639,
2022-04-13,0.886157,
2022-04-14,0.893415,
2022-04-15,0.874627,
2022-04-18,0.871133,
2022-04-19,0.873442,
2022-04-20,0.865479,
2022-04-21,0.837375,
2022-04-22,0.826575,
2022-04-25,0.776454,
2022-04-26,0.760022,
2022-04-27,0.741197,
2022-04-28,0.733326,
2022-04-29,0.745700,
2022-05-05,0.765147,
2022-05-06,0.761328,
2022-05-09,0.771221,
2022-05-10,0.788902,
2022-05-11,0.785039,
2022-05-12,0.784395,
2022-05-13,0.777220,
2022-05-16,0.775493,
2022-05-17,0.768659,
2022-05-18,0.768924,
2022-05-19,0.774267,
2022-05-20,0.778913,
2022-05-23,0.779508,
2022-05-24,0.747689,
2022-05-25,0.759116,
2022-05-26,0.756349,
2022-05-27,0.754834,
2022-05-30,0.759944,
2022-05-31,0.767906,
2022-06-01,0.771764,
2022-06-02,0.783001,
2022-06-06,0.795796,
2022-06-07,0.788222,
2022-06-08,0.786772,
2022-06-09,0.769423,
2022-06-10,0.783136,
2022-06-13,0.787045,
2022-06-14,0.789554,
2022-06-15,0.784592,
2022-06-16,0.788006,
2022-06-17,0.794424,
2022-06-20,0.800986,
2022-06-21,0.794374,
2022-06-22,0.785437,
2022-06-23,0.800526,
2022-06-24,0.809422,
2022-06-27,0.816557,
2022-06-28,0.828707,
2022-06-29,0.804766,
2022-06-30,0.811966,
2022-07-01,0.808463,
2022-07-04,0.812168,
2022-07-05,0.804162,
2022-07-06,0.799137,
2022-07-07,0.802703,
2022-07-08,0.800868,
2022-07-11,0.795503,
2022-07-12,0.782303,
2022-07-13,0.790036,
2022-07-14,0.792928,
2022-07-15,0.781532,
2022-07-18,0.795515,
2022-07-19,0.797710,
2022-07-20,0.803041,
2022-07-21,0.798720,
2022-07-22,0.798760,
2022-07-25,0.787087,
2022-07-26,0.793045,
2022-07-27,0.803461,
2022-07-28,0.810393,
2022-07-29,0.807915,
2022-08-01,0.813475,
2022-08-02,0.786244,
2022-08-03,0.781875,
2022-08-04,0.786007,
2022-08-05,0.790185,
2022-08-08,0.803033,
2022-08-09,0.809243,
2022-08-10,0.816253,
2022-08-11,0.821738,
2022-08-12,0.810462,
2022-08-15,0.815251,
2022-08-16,0.820605,
2022-08-17,0.820910,
2022-08-18,0.828467,
2022-08-19,0.812957,
2022-08-22,0.813377,
2022-08-23,0.819489,
2022-08-24,0.794584,
2022-08-25,0.792054,
2022-08-26,0.784072,
2022-08-29,0.787752,
2022-08-30,0.781006,
2022-08-31,0.761040,
2022-09-01,0.759058,
2022-09-02,0.761369,
2022-09-05,0.764890,
2022-09-06,0.770031,
2022-09-07,0.766531,
2022-09-08,0.761869,
2022-09-09,0.761039,
2022-09-13,0.760783,
2022-09-14,0.757624,
2022-09-15,0.751793,
2022-09-16,0.732520,
2022-09-19,0.726195,
2022-09-20,0.727294,
2022-09-21,0.724229,
2022-09-22,0.719909,
2022-09-23,0.707558,
2022-09-26,0.697610,
2022-09-27,0.704922,
2022-09-28,0.691455,
2022-09-29,0.685379,
2022-09-30,0.673239,
2022-10-10,0.664793,
2022-10-11,0.667224,
2022-10-12,0.678846,
2022-10-13,0.689674,
2022-10-14,0.702349,
2022-10-17,0.716343,
2022-10-18,0.722360,
2022-10-19,0.715781,
2022-10-20,0.711590,
2022-10-21,0.716534,
2022-10-24,0.706282,
2022-10-25,0.697183,
2022-10-26,0.715272,
2022-10-27,0.709964,
2022-10-28,0.689280,
2022-10-31,0.700112,
2022-11-01,0.710786,
2022-11-02,0.715923,
2022-11-03,0.716858,
2022-11-04,0.725684,
2022-11-07,0.727589,
2022-11-08,0.726890,
2022-11-09,0.729760,
2022-11-10,0.728697,
2022-11-11,0.726940,
2022-11-14,0.726987,
2022-11-15,0.738006,
2022-11-16,0.734518,
2022-11-17,0.742078,
2022-11-18,0.736847,
2022-11-21,0.737297,
2022-11-22,0.727373,
2022-11-23,0.719241,
2022-11-24,0.719386,
