日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10684255.04
2021-08-19,10342056.04
2021-08-20,10283979.52
2021-08-23,10377944.31
2021-08-24,10325144.31
2021-08-25,10411455.15
2021-08-26,10360195.3
2021-08-27,10584857.5
2021-08-30,10671008.36
2021-08-31,10706016.8
2021-09-01,10461325.54
2021-09-02,10760589.76
2021-09-03,10249064.58
2021-09-06,10303067.4
2021-09-07,10493101.27
2021-09-08,10386871.31
2021-09-09,10659971.12
2021-09-10,10751166.93
2021-09-13,10966313.83
2021-09-14,10670938.89
2021-09-15,10671307.68
2021-09-16,10323858.88
2021-09-17,10271365.45
2021-09-22,10716745.46
2021-09-23,10455670.08
2021-09-24,10191201.45
2021-09-27,9613657.13
2021-09-28,9759734.05
2021-09-29,9504150.15
2021-09-30,9719318.87
2021-10-08,9819207.73
2021-10-11,9623683.84
2021-10-12,9637689.48
2021-10-13,9748539.05
2021-10-14,9735381.43
2021-10-15,9701357.69
2021-10-18,9574249.68
2021-10-19,9587819.68
2021-10-20,9602456.87
2021-10-21,9638621.25
2021-10-22,9608352.57
2021-10-25,9837664.21
2021-10-26,9719251.47
2021-10-27,9759306.31
2021-10-28,9590510.31
2021-10-29,9862530.19
2021-11-01,9931552.57
2021-11-02,9860428.41
2021-11-03,9659105.24
2021-11-04,10071075.35
2021-11-05,9936477.3
2021-11-08,9905279.93
2021-11-09,10005262.76
2021-11-10,9973886.27
2021-11-11,10102901.07
2021-11-12,10262852.67
2021-11-15,10068992.28
2021-11-16,9983654.41
2021-11-17,10063422.76
2021-11-18,9956710.71
2021-11-19,10026645.91
2021-11-22,10223007.23
2021-11-23,10150283.7
2021-11-24,10135809.87
2021-11-25,10036105.29
2021-11-26,10057416.48
2021-11-29,10207297.57
2021-11-30,10136181.74
2021-12-01,10085624.42
2021-12-02,10032646.55
2021-12-03,10003674.28
2021-12-06,9712606.99
2021-12-07,9573906.45
2021-12-08,9751131.51
2021-12-09,9750357.81
2021-12-10,9691408.41
2021-12-13,9778950.01
2021-12-14,9667974.91
2021-12-15,9623651.59
2021-12-16,9732862.82
2021-12-17,9696440.8
2021-12-20,9695271.0
2021-12-21,9665553.85
2021-12-22,9754762.17
2021-12-23,9712055.97
2021-12-24,9519368.93
2021-12-27,9505836.01
2021-12-28,9480711.28
2021-12-29,9181584.4
2021-12-30,9359941.88
2021-12-31,9518659.73
2022-01-04,9456929.42
2022-01-05,9126737.95
2022-01-06,9246938.9
2022-01-07,9073349.22
2022-01-10,9053437.67
2022-01-11,8874518.29
2022-01-12,8967559.28
2022-01-13,8788175.67
2022-01-14,8867526.84
2022-01-17,8927662.15
2022-01-18,8677375.72
2022-01-19,8738327.79
2022-01-20,8860097.9
2022-01-21,8585734.2
2022-01-24,8655234.81
2022-01-25,8271706.0
2022-01-26,8248132.38
2022-01-27,7859719.36
2022-01-28,7911358.44
2022-02-07,8022614.79
2022-02-08,7910521.89
2022-02-09,8072284.65
2022-02-10,8129477.22
2022-02-11,8114106.79
2022-02-14,7954819.66
2022-02-15,7905616.91
2022-02-16,7897292.19
2022-02-17,7860052.67
2022-02-18,7847291.83
2022-02-21,7770541.08
2022-02-22,7808248.36
2022-02-23,7932364.16
2022-02-24,7638187.74
2022-02-25,7630935.3
2022-02-28,7739619.04
2022-03-01,7709673.02
2022-03-02,7852115.02
2022-03-03,7783065.79
2022-03-04,7573081.91
2022-03-07,7489347.47
2022-03-08,7302655.3
2022-03-09,7449224.14
2022-03-10,7566069.99
2022-03-11,7498439.9
2022-03-14,7282248.8
2022-03-15,7076914.75
2022-03-16,7270345.19
2022-03-17,7487764.47
2022-03-18,7386907.24
2022-03-21,7609318.36
2022-03-22,7403467.87
2022-03-23,7325546.99
2022-03-24,7377246.38
2022-03-25,7124657.12
2022-03-28,7124611.42
2022-03-29,7110060.85
2022-03-30,7328434.18
2022-03-31,7278235.95
2022-04-01,7179745.85
2022-04-06,7210944.28
2022-04-07,6980586.48
2022-04-08,7144541.52
2022-04-11,7130743.26
2022-04-12,7077270.68
2022-04-13,6948337.03
2022-04-14,7096880.64
2022-04-15,6833215.22
2022-04-18,6715266.91
2022-04-19,6713117.51
2022-04-20,6488223.28
2022-04-21,6107412.23
2022-04-22,5795733.12
2022-04-25,5538503.48
2022-04-26,5399929.07
2022-04-27,5213237.98
2022-04-28,5027836.65
2022-04-29,5096946.06
2022-05-05,5195927.2
2022-05-06,5001236.37
2022-05-09,5083291.47
2022-05-10,5318719.22
2022-05-11,5284137.11
2022-05-12,5191100.51
2022-05-13,5174727.67
2022-05-16,5089823.09
2022-05-17,5160105.46
2022-05-18,5219971.5
2022-05-19,5287840.59
2022-05-20,5401122.89
2022-05-23,5410673.88
2022-05-24,5166887.94
2022-05-25,5154181.74
2022-05-26,5189134.96
2022-05-27,5270992.17
2022-05-30,5331321.83
2022-05-31,5429549.11
2022-06-01,5470475.43
2022-06-02,5477707.2
2022-06-06,5645801.97
2022-06-07,5631675.78
2022-06-08,5691864.95
2022-06-09,5593675.72
2022-06-10,5773453.51
2022-06-13,5815720.61
2022-06-14,5867253.87
2022-06-15,5846071.69
2022-06-16,5836931.82
2022-06-17,5981143.1
2022-06-20,5956261.1
2022-06-21,5819135.8
2022-06-22,5859610.15
2022-06-23,6030085.37
2022-06-24,6128054.23
2022-06-27,6221285.09
2022-06-28,6373879.17
2022-06-29,6154972.5
2022-06-30,6349698.18
2022-07-01,6368690.02
2022-07-04,6487787.17
2022-07-05,6506317.12
2022-07-06,6516318.54
2022-07-07,6675039.02
2022-07-08,6594042.53
2022-07-11,6508892.26
2022-07-12,6438162.06
2022-07-13,6421915.79
2022-07-14,6238158.44
2022-07-15,6109936.48
2022-07-18,6197331.06
2022-07-19,6071280.51
2022-07-20,6129483.21
2022-07-21,6099802.34
2022-07-22,6016625.23
2022-07-25,5838721.85
2022-07-26,5745272.91
2022-07-27,5745675.01
2022-07-28,5709094.58
2022-07-29,5656963.25
2022-08-01,5679412.37
2022-08-02,5562713.17
2022-08-03,5438383.24
2022-08-04,5331007.79
2022-08-05,5362076.65
2022-08-08,5416701.18
2022-08-09,5548709.19
2022-08-10,5525915.03
2022-08-11,5568727.36
2022-08-12,5420192.16
2022-08-15,5438067.76
2022-08-16,5528410.96
2022-08-17,5487510.17
2022-08-18,5540348.57
2022-08-19,5418135.95
2022-08-22,5424972.86
2022-08-23,5370058.24
2022-08-24,5176856.4
2022-08-25,5253307.97
2022-08-26,5130755.7
2022-08-29,5201146.18
2022-08-30,4982997.32
2022-08-31,4771590.79
2022-09-01,4838840.09
2022-09-02,4842506.16
2022-09-05,4882172.16
2022-09-06,4954232.45
2022-09-07,4977195.15
2022-09-08,4932867.76
2022-09-09,5029041.71
2022-09-13,4972920.64
2022-09-14,4953998.02
2022-09-15,4852915.82
2022-09-16,4780276.72
2022-09-19,4786736.02
2022-09-20,4703299.38
2022-09-21,4659872.92
2022-09-22,4599932.07
2022-09-23,4483809.15
2022-09-26,4317821.51
2022-09-27,4422496.45
2022-09-28,4273729.37
2022-09-29,4191239.58
2022-09-30,3962936.89
2022-10-10,3842187.13
2022-10-11,3773930.19
2022-10-12,3902973.39
2022-10-13,3918902.69
2022-10-14,3927586.29
2022-10-17,4019952.38
2022-10-18,4045908.34
2022-10-19,3987767.84
2022-10-20,3943813.43
2022-10-21,3947125.33
2022-10-24,3877516.0
2022-10-25,3906331.39
2022-10-26,4003104.85
2022-10-27,3932190.15
2022-10-28,3837026.07
2022-10-31,4041337.86
2022-11-01,4107968.67
2022-11-02,4121778.19
2022-11-03,4065674.56
2022-11-04,4206055.55
2022-11-07,4188689.03
2022-11-08,4170294.74
2022-11-09,4161080.75
2022-11-10,4156810.3
2022-11-11,4168670.81
2022-11-14,4161301.4
2022-11-15,4131391.41
2022-11-16,4080444.59
2022-11-17,4118518.29
2022-11-18,4169294.89
2022-11-21,4101730.81
2022-11-22,4050731.42
2022-11-23,3986831.82
2022-11-24,3995640.41
2022-11-25,4039894.32
2022-11-28,3969608.93
2022-11-29,4205505.93
2022-11-30,4164205.64
2022-12-01,4145814.04
2022-12-02,4158514.71
2022-12-05,4187573.91
2022-12-06,4178433.43
2022-12-07,4211103.15
2022-12-08,4214756.49
2022-12-09,4119236.28
2022-12-12,4135935.88
2022-12-13,4227367.53
2022-12-14,4162151.46
2022-12-15,4048140.71
2022-12-16,4188342.31
2022-12-19,4160738.0
2022-12-20,3931644.56
2022-12-21,4076972.83
2022-12-22,4098695.26
2022-12-23,3887717.79
2022-12-26,3842133.19
2022-12-27,3891023.02
2022-12-28,3829878.92
2022-12-29,3705354.08
2022-12-30,3727297.37
2023-01-03,3824938.86
2023-01-04,3769322.64
2023-01-05,3735411.19
2023-01-06,3725025.04
2023-01-09,3746335.9
2023-01-10,3736341.66
2023-01-11,3699684.97
2023-01-12,3710899.57
2023-01-13,3691724.08
2023-01-16,3736027.39
2023-01-17,3700469.08
2023-01-18,3709383.54
2023-01-19,3774977.69
2023-01-20,3817328.48
2023-01-30,3812085.19
2023-01-31,3743339.02
2023-02-01,3795785.48
2023-02-02,3690050.66
2023-02-03,3660313.43
2023-02-06,3555331.05
2023-02-07,3580307.63
2023-02-08,3438404.78
2023-02-09,3516922.08
2023-02-10,3470331.88
2023-02-13,3561694.78
2023-02-14,3580632.18
2023-02-15,3691850.57
2023-02-16,3666291.96
2023-02-17,3591683.85
2023-02-20,3644998.63
2023-02-21,3592225.33
2023-02-22,3663958.92
2023-02-23,3563296.91
2023-02-24,3599798.04
2023-02-27,3603936.88
2023-02-28,3666715.18
2023-03-01,3702700.44
2023-03-02,3652247.73
2023-03-03,3683593.36
2023-03-06,3722360.17
2023-03-07,3638009.69
2023-03-08,3666824.28
2023-03-09,3727052.0
2023-03-10,3640799.61
2023-03-13,3800333.37
2023-03-14,3737641.1
2023-03-15,3716961.39
2023-03-16,3575065.35
2023-03-17,3779727.66
2023-03-20,3691761.26
2023-03-21,3617606.66
2023-03-22,3614887.16
2023-03-23,3679134.78
2023-03-24,3794538.01
2023-03-27,3804167.2
2023-03-28,3678761.9
2023-03-29,3689239.81
2023-03-30,3669774.52
2023-03-31,3732011.13
2023-04-03,3985421.99
2023-04-04,3964928.33
2023-04-06,3880525.43
2023-04-07,3886226.07
2023-04-10,3620883.38
2023-04-11,3614429.44
2023-04-12,3641595.52
2023-04-13,3536601.92
2023-04-14,3594389.51
2023-04-17,3628056.4
2023-04-18,3527387.6
2023-04-19,3455938.51
2023-04-20,3577734.51
2023-04-21,3431702.51
2023-04-24,3445210.24
2023-04-25,3428974.47
2023-04-26,3385257.01
2023-04-27,3137473.63
2023-04-28,3287415.29
2023-05-04,3411232.85
2023-05-05,3306695.5
2023-05-08,3312188.0
2023-05-09,3132900.76
2023-05-10,3045463.16
2023-05-11,2927918.74
2023-05-12,2802164.69
2023-05-15,2746611.8
2023-05-16,2613902.74
2023-05-17,2524416.44
2023-05-18,2515003.81
2023-05-19,2512597.81
