序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000829,天音控股,2021-08-18,17.091,2021-08-26,18.833,29200,10.0829%,50343.03,6,止盈
2,000877,天山股份,2021-08-18,13.903,2021-09-03,15.968,35900,14.7386%,73599.61,11,止盈
3,002882,金龙羽,2021-08-18,11.606,2021-08-20,12.334,43000,6.1668%,30790.59,2,止盈
4,300152,ST动力,2021-08-18,5.043,2021-08-27,4.728,99100,-6.3383%,-31689.21,7,止损
5,300159,新研股份,2021-08-18,5.84,2021-08-20,6.7,85600,14.6069%,73056.19,2,止盈
6,300284,苏交科,2021-08-18,6.72,2021-08-25,6.284,74400,-6.5887%,-32959.51,5,止损
7,300435,中泰股份,2021-08-18,19.841,2021-08-26,23.229,25200,16.9611%,84846.61,6,止盈
8,300540,蜀道装备,2021-08-18,22.782,2021-08-23,20.761,21900,-8.9654%,-44753.58,3,止损
9,300618,寒锐钴业,2021-08-18,92.046,2021-09-06,81.959,5400,-11.0476%,-54939.61,13,止损
10,600130,波导股份,2021-08-18,4.072,2021-09-09,4.078,122700,0.0454%,227.00,16,到期
11,600218,全柴动力,2021-08-18,15.453,2021-09-01,13.568,32300,-12.2831%,-61338.36,10,止损
12,600383,金地集团,2021-08-18,10.299,2021-08-27,9.619,48500,-6.6954%,-33461.03,7,止损
13,600569,安阳钢铁,2021-08-18,4.102,2021-08-23,3.958,121800,-3.6076%,-18033.71,3,止损
14,600655,豫园股份,2021-08-18,9.86,2021-09-01,9.07,50700,-8.0988%,-40505.76,10,止损
15,600746,江苏索普,2021-08-18,21.792,2021-08-23,20.081,22900,-7.9434%,-39659.88,3,止损
16,600875,东方电气,2021-08-18,12.233,2021-08-23,14.82,40800,21.0221%,104976.22,3,止盈
17,601066,中信建投,2021-08-18,26.433,2021-09-06,29.35,18900,10.9248%,54606.18,13,止盈
18,601111,中国国航,2021-08-18,6.913,2021-09-09,7.696,72300,11.2101%,56060.71,16,到期
