日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10119011.02
2021-08-19,9843940.32
2021-08-20,9685688.08
2021-08-23,9823245.21
2021-08-24,9898581.21
2021-08-25,10044491.43
2021-08-26,9837214.87
2021-08-27,9922424.24
2021-08-30,9993335.48
2021-08-31,10091563.88
2021-09-01,9741980.46
2021-09-02,10019579.66
2021-09-03,9710505.46
2021-09-06,9652353.98
2021-09-07,9880063.78
2021-09-08,9803042.54
2021-09-09,9801059.39
2021-09-10,9876316.49
2021-09-13,9871245.09
2021-09-14,9789255.69
2021-09-15,9830016.33
2021-09-16,9561468.71
2021-09-17,9619151.38
2021-09-22,9682681.71
2021-09-23,9580530.68
2021-09-24,9466330.68
2021-09-27,9209694.68
2021-09-28,9147697.41
2021-09-29,9014079.36
2021-09-30,9226123.56
2021-10-08,9324930.32
2021-10-11,9173371.72
2021-10-12,8985430.43
2021-10-13,9163784.13
2021-10-14,9186194.8
2021-10-15,9284476.79
2021-10-18,9223779.59
2021-10-19,9274418.95
2021-10-20,9337011.05
2021-10-21,9347420.45
2021-10-22,9270716.51
2021-10-25,9580821.11
2021-10-26,9573144.91
2021-10-27,9604401.41
2021-10-28,9335494.91
2021-10-29,9487169.47
2021-11-01,9424791.73
2021-11-02,9244074.35
2021-11-03,8964801.97
2021-11-04,9198475.57
2021-11-05,8920597.81
2021-11-08,8952977.99
2021-11-09,8901290.72
2021-11-10,8834169.2
2021-11-11,8865328.84
2021-11-12,8863436.34
2021-11-15,8829874.85
2021-11-16,8798290.65
2021-11-17,9001523.69
2021-11-18,8952485.06
2021-11-19,9040282.94
2021-11-22,9221698.94
2021-11-23,9256607.74
2021-11-24,9247644.54
2021-11-25,9275763.16
2021-11-26,9250396.32
2021-11-29,9313676.18
2021-11-30,9231479.95
2021-12-01,9180147.15
2021-12-02,9174125.46
2021-12-03,9270203.86
2021-12-06,9079771.92
2021-12-07,8915543.05
2021-12-08,9176406.46
2021-12-09,9283027.58
2021-12-10,9263920.38
2021-12-13,9400334.99
2021-12-14,9293577.13
2021-12-15,9196951.03
2021-12-16,9264211.94
2021-12-17,9020857.64
2021-12-20,8769856.85
2021-12-21,8891295.07
2021-12-22,8954127.42
2021-12-23,9132252.89
2021-12-24,9158439.92
2021-12-27,9312512.91
2021-12-28,9433030.52
2021-12-29,8552060.27
2021-12-30,8522841.64
2021-12-31,8601306.02
2022-01-04,8653507.31
2022-01-05,8529869.22
2022-01-06,8964255.33
2022-01-07,8654913.25
2022-01-10,8882763.88
2022-01-11,8922705.05
2022-01-12,8906033.43
2022-01-13,8898727.43
2022-01-14,9156902.14
2022-01-17,8001697.41
2022-01-18,7997900.55
2022-01-19,7825932.42
2022-01-20,7855123.29
2022-01-21,7704063.14
2022-01-24,7841410.78
2022-01-25,7567439.58
2022-01-26,7601502.09
2022-01-27,7482439.77
2022-01-28,7419436.45
2022-02-07,8246561.54
2022-02-08,7996167.12
2022-02-09,8091794.72
2022-02-10,8096579.23
2022-02-11,7946708.56
2022-02-14,7946294.96
2022-02-15,8053370.36
2022-02-16,8118864.06
2022-02-17,8208892.38
2022-02-18,8207490.18
2022-02-21,8295278.98
2022-02-22,8311708.98
2022-02-23,8423249.21
2022-02-24,8126699.56
2022-02-25,8261206.89
2022-02-28,8422050.29
2022-03-01,8542590.25
2022-03-02,8576874.45
2022-03-03,8660804.44
2022-03-04,8457127.24
2022-03-07,8428114.46
2022-03-08,8077968.2
2022-03-09,8227573.13
2022-03-10,8351342.82
2022-03-11,8338484.42
2022-03-14,8201675.94
2022-03-15,7817572.54
2022-03-16,7994778.8
2022-03-17,8129068.6
2022-03-18,8439544.8
2022-03-21,8614910.3
2022-03-22,8358991.6
2022-03-23,8444036.06
2022-03-24,8573649.0
2022-03-25,8290471.7
2022-03-28,8234683.14
2022-03-29,8157457.38
2022-03-30,8388098.38
2022-03-31,8416645.38
2022-04-01,8437818.12
2022-04-06,8525852.05
2022-04-07,8405444.58
2022-04-08,8534914.17
2022-04-11,8319236.25
2022-04-12,8333445.75
2022-04-13,8276308.74
2022-04-14,8617912.47
2022-04-15,8396488.47
2022-04-18,8097277.98
2022-04-19,7992267.33
2022-04-20,7730620.67
2022-04-21,7542303.09
2022-04-22,7455136.52
2022-04-25,7066428.56
2022-04-26,6952766.71
2022-04-27,7116822.81
2022-04-28,7127041.25
2022-04-29,7406738.18
2022-05-05,7522283.68
2022-05-06,7333644.18
2022-05-09,7560610.68
2022-05-10,7797547.3
2022-05-11,7763504.6
