序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,002348,高乐股份,2021-08-18,2.421,2021-08-23,2.319,206500,-4.3238%,-21628.82,3,信号
2,002493,荣盛石化,2021-08-18,19.49,2021-08-20,18.011,25600,-7.6797%,-38336.01,2,信号
3,002737,葵花药业,2021-08-18,11.29,2021-08-30,10.489,44200,-7.1869%,-35880.60,8,信号
4,002945,华林证券,2021-08-18,12.399,2021-09-16,12.767,40300,2.8603%,14299.81,21,信号
5,003037,三和管桩,2021-08-18,13.898,2021-08-30,12.235,35900,-12.0543%,-60173.15,8,信号
6,300334,津膜科技,2021-08-18,9.755,2021-08-27,10.435,51200,6.8630%,34294.28,7,信号
7,300618,寒锐钴业,2021-08-18,92.046,2021-08-23,89.245,5400,-3.1396%,-15612.97,3,信号
8,300915,海融科技,2021-08-18,36.511,2021-08-23,34.316,13600,-6.1069%,-30339.24,3,信号
9,600331,宏达股份,2021-08-18,3.492,2021-08-25,3.258,143100,-6.7769%,-33878.93,5,信号
10,600377,宁沪高速,2021-08-18,6.273,2021-09-22,6.257,79700,-0.3590%,-1795.64,23,信号
11,601606,长城军工,2021-08-18,13.484,2021-08-27,13.56,37000,0.4667%,2329.37,7,信号
12,601618,中国中冶,2021-08-18,3.723,2021-08-23,3.389,134300,-9.0507%,-45274.15,3,信号
13,601669,中国电建,2021-08-18,5.414,2021-08-26,5.288,92300,-2.4131%,-12063.80,6,信号
14,601816,京沪高铁,2021-08-18,4.138,2021-09-23,4.334,120800,4.6261%,23136.59,24,信号
15,601901,方正证券,2021-08-18,8.271,2021-09-16,8.203,60400,-0.9241%,-4619.03,21,信号
16,603068,博通集成,2021-08-18,90.395,2021-08-25,80.7,5500,-10.8150%,-53796.01,5,信号
17,603212,赛伍技术,2021-08-18,31.524,2021-08-20,28.284,15800,-10.3673%,-51662.95,2,信号
18,605086,龙高股份,2021-08-18,17.908,2021-08-23,16.484,27900,-8.0449%,-40214.82,3,信号
19,688359,三孚新科,2021-08-18,56.563,2021-09-08,61.794,8800,9.1385%,45510.44,15,信号
20,688613,奥精医疗,2021-08-18,71.577,2021-08-23,69.296,6900,-3.2828%,-16221.02,3,信号
21,000725,京东方Ａ,2021-08-20,5.33,2021-08-25,5.204,93800,-2.4480%,-12244.09,3,信号
22,600773,西藏城投,2021-08-20,26.089,2021-09-08,31.42,16400,20.3144%,86960.83,13,信号
23,000009,中国宝安,2021-08-23,26.738,2021-08-31,26.892,18600,0.4724%,2350.48,6,信号
24,000155,川能动力,2021-08-23,29.685,2021-09-06,29.155,16800,-1.8816%,-9388.51,10,信号
25,002080,中材科技,2021-08-23,26.689,2021-09-29,34.309,18700,28.4204%,141914.30,25,信号
26,002518,科士达,2021-08-23,38.289,2021-11-11,30.235,13000,-21.1143%,-105150.79,51,信号
27,300083,创世纪,2021-08-23,12.806,2021-09-10,14.593,25400,13.8346%,45024.05,14,信号
28,601636,旗滨集团,2021-08-23,22.404,2021-09-08,24.361,22300,8.6246%,43111.13,12,信号
29,600438,通威股份,2021-08-25,46.332,2021-09-09,50.454,10700,8.7869%,43583.38,11,信号
30,600760,中航沈飞,2021-08-25,54.672,2021-08-30,53.832,7400,-1.6353%,-6619.33,3,信号
31,600893,航发动力,2021-08-25,66.234,2021-08-27,64.359,7500,-2.9284%,-14554.44,2,信号
32,600519,贵州茅台,2021-08-26,1442.77,2021-10-22,1631.243,300,12.9503%,56080.78,34,信号
33,600010,包钢股份,2021-08-27,3.331,2021-09-15,3.627,150100,8.7939%,43985.62,13,信号
34,600884,杉杉股份,2021-08-27,31.4,2021-09-06,28.4,15900,-9.6443%,-48173.80,6,信号
35,603993,洛阳钼业,2021-08-27,6.426,2021-09-06,6.26,77800,-2.6859%,-13434.97,6,信号
36,000723,美锦能源,2021-08-30,13.727,2021-09-01,13.743,27300,0.0184%,69.07,2,信号
37,002340,格林美,2021-08-30,13.278,2021-09-17,12.105,37600,-8.9232%,-44570.37,14,信号
38,601012,隆基绿能,2021-08-30,65.527,2021-09-09,59.214,7600,-9.7236%,-48448.02,8,信号
39,600111,北方稀土,2021-08-31,51.918,2021-09-16,55.124,9600,6.0699%,30268.39,12,信号
40,600893,航发动力,2021-09-01,68.515,2021-11-25,60.391,5500,-11.9460%,-45038.97,54,信号
41,000012,南玻Ａ,2021-09-06,12.108,2021-12-09,9.597,37100,-20.8163%,-93555.24,61,到期
42,000858,五粮液,2021-09-06,182.215,2021-10-26,197.885,2700,8.4912%,41795.72,29,信号
43,601888,中国中免,2021-09-06,231.095,2021-10-22,253.113,2100,9.4181%,45729.15,27,信号
44,000001,平安银行,2021-09-08,16.812,2021-09-23,15.656,29700,-6.9703%,-34822.31,9,信号
45,300073,当升科技,2021-09-08,84.215,2021-09-28,81.322,5900,-3.5315%,-17555.67,12,信号
46,601377,兴业证券,2021-09-08,9.393,2021-09-16,9.003,53200,-4.2394%,-21194.67,6,信号
47,600905,三峡能源,2021-09-09,6.052,2021-10-14,6.086,82600,0.4601%,2301.40,18,信号
48,600958,东方证券,2021-09-09,14.862,2021-09-15,14.592,33600,-1.9197%,-9591.26,4,信号
49,600141,兴发集团,2021-09-10,36.208,2021-09-29,41.549,12800,14.6365%,67868.69,11,信号
50,300339,润和软件,2021-09-15,32.667,2021-10-19,27.647,15300,-15.4521%,-77269.79,17,信号
51,603260,合盛硅业,2021-09-15,241.609,2021-09-17,217.379,2000,-10.1183%,-48917.96,2,信号
52,600160,巨化股份,2021-09-16,17.059,2021-09-28,14.123,29300,-17.2917%,-86469.60,6,信号
53,600596,新安股份,2021-09-16,31.066,2021-10-29,19.933,16000,-35.8997%,-178527.93,24,信号
54,600773,西藏城投,2021-09-16,36.064,2021-11-01,21.845,13800,-39.4875%,-196621.10,25,信号
55,601615,明阳智能,2021-09-16,22.923,2021-10-08,24.2,21800,5.4627%,27312.70,9,信号
56,000519,中兵红箭,2021-09-17,22.276,2021-09-28,18.826,22400,-15.5744%,-77752.66,5,信号
57,002475,立讯精密,2021-09-17,32.869,2021-11-26,40.543,14100,23.2215%,107675.86,43,信号
58,601678,滨化股份,2021-09-22,12.927,2021-09-28,10.556,38600,-18.4281%,-92002.43,4,信号
59,600460,士兰微,2021-09-23,58.459,2021-10-12,54.453,8500,-6.9465%,-34534.74,8,信号
60,600900,长江电力,2021-09-23,17.06,2021-10-14,16.443,28700,-3.7116%,-18181.51,10,信号
61,300014,亿纬锂能,2021-09-28,90.85,2021-11-04,110.78,5500,21.8144%,109056.01,22,信号
62,300274,阳光电源,2021-09-28,102.277,2021-11-04,108.863,4800,6.3324%,31103.32,22,信号
63,300750,宁德时代,2021-09-28,262.726,2021-11-15,334.089,1900,27.0352%,135021.92,29,信号
64,600703,三安光电,2021-09-28,33.22,2021-10-22,30.348,7000,-8.7362%,-20324.97,13,信号
65,600733,北汽蓝谷,2021-09-29,13.407,2021-10-15,12.904,37200,-3.8492%,-19206.74,7,信号
66,601318,中国平安,2021-09-29,36.414,2021-11-02,38.691,13700,6.1453%,30672.86,19,信号
67,601012,隆基绿能,2021-10-08,58.702,2021-11-16,65.14,8500,10.8564%,54197.32,27,信号
68,600036,招商银行,2021-10-12,43.474,2021-11-03,43.08,11500,-1.0037%,-5020.37,16,信号
69,600438,通威股份,2021-10-14,49.954,2021-11-03,45.606,10000,-8.7948%,-43955.59,14,信号
70,601633,长城汽车,2021-10-14,58.069,2021-11-05,61.449,8600,5.7153%,28556.14,16,信号
71,601899,紫金矿业,2021-10-15,9.575,2021-10-29,8.956,52200,-6.5612%,-32809.27,10,信号
72,002460,赣锋锂业,2021-10-19,119.746,2021-11-05,112.63,4100,-6.0368%,-29652.73,13,信号
73,000831,中国稀土,2021-10-22,39.571,2021-12-16,45.918,7300,15.9243%,46022.92,39,信号
74,300343,联创股份,2021-10-22,25.323,2021-11-05,22.909,19700,-9.6238%,-48033.14,10,信号
75,600111,北方稀土,2021-10-22,48.576,2021-11-03,44.03,10200,-9.4497%,-46844.57,8,信号
