日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.011058,
2021-08-19,1.000269,
2021-08-20,0.992508,
2021-08-23,1.006739,
2021-08-24,1.008085,
2021-08-25,1.015871,
2021-08-26,1.010319,
2021-08-27,1.011736,
2021-08-30,1.015744,
2021-08-31,1.016795,
2021-09-01,1.003925,
2021-09-02,1.018254,
2021-09-03,1.014282,
2021-09-06,1.022180,
2021-09-07,1.034175,
2021-09-08,1.043367,
2021-09-09,1.043263,
2021-09-10,1.037117,
2021-09-13,1.044749,
2021-09-14,1.032110,
2021-09-15,1.037268,
2021-09-16,1.025521,
2021-09-17,1.024700,
2021-09-22,1.027660,
2021-09-23,1.030092,
2021-09-24,1.015218,
2021-09-27,0.995134,
2021-09-28,0.991890,
2021-09-29,0.966827,
2021-09-30,0.983793,
2021-10-08,0.994611,
2021-10-11,0.990699,
2021-10-12,0.980241,
2021-10-13,0.983664,
2021-10-14,0.985080,
2021-10-15,0.977716,
2021-10-18,0.977400,
2021-10-19,0.981729,
2021-10-20,0.980082,
2021-10-21,0.973795,
2021-10-22,0.967425,
2021-10-25,0.975295,
2021-10-26,0.972541,
2021-10-27,0.959356,
2021-10-28,0.942048,
2021-10-29,0.956037,
2021-11-01,0.971627,
2021-11-02,0.963527,
2021-11-03,0.966944,
2021-11-04,0.985329,
2021-11-05,0.982167,
2021-11-08,0.985498,
2021-11-09,0.997074,
2021-11-10,1.004567,
2021-11-11,1.014372,
2021-11-12,1.024769,
2021-11-15,1.035398,
2021-11-16,1.027223,
2021-11-17,1.041536,
2021-11-18,1.032700,
2021-11-19,1.045195,
2021-11-22,1.052936,
2021-11-23,1.058562,
2021-11-24,1.063712,
2021-11-25,1.064321,
2021-11-26,1.061476,
2021-11-29,1.059575,
2021-11-30,1.067720,
2021-12-01,1.079595,
2021-12-02,1.068795,
2021-12-03,1.073251,
2021-12-06,1.058621,
2021-12-07,1.054725,
2021-12-08,1.062196,
2021-12-09,1.066140,
2021-12-10,1.066134,
2021-12-13,1.069016,
2021-12-14,1.069959,
2021-12-15,1.071533,
2021-12-16,1.082266,
2021-12-17,1.077965,
2021-12-20,1.069362,
2021-12-21,1.086807,
2021-12-22,1.087870,
2021-12-23,1.079089,
2021-12-24,1.066308,
2021-12-27,1.071516,
2021-12-28,1.070504,
2021-12-29,1.068441,
2021-12-30,1.078143,
2021-12-31,1.085895,
2022-01-04,1.100065,
2022-01-05,1.086571,
2022-01-06,1.094868,
2022-01-07,1.080221,
2022-01-10,1.090759,
2022-01-11,1.088819,
2022-01-12,1.099030,
2022-01-13,1.092597,
2022-01-14,1.085777,
2022-01-17,1.098313,
2022-01-18,1.080097,
2022-01-19,1.080937,
2022-01-20,1.056914,
2022-01-21,1.045259,
2022-01-24,1.041265,
2022-01-25,1.003770,
2022-01-26,1.004840,
2022-01-27,0.969519,
2022-01-28,0.971831,
2022-02-07,0.986304,
2022-02-08,0.991444,
