日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10127320.35
2021-08-19,9805526.95
2021-08-20,9757422.68
2021-08-23,9845677.67
2021-08-24,9877768.17
2021-08-25,9955315.75
2021-08-26,9831273.11
2021-08-27,10079092.56
2021-08-30,10262731.86
2021-08-31,10365634.34
2021-09-01,9673975.35
2021-09-02,9793303.4
2021-09-03,9624354.01
2021-09-06,9732965.09
2021-09-07,10039306.03
2021-09-08,10015189.06
2021-09-09,10064238.34
2021-09-10,10162562.14
2021-09-13,10253870.61
2021-09-14,10107404.02
2021-09-15,10084735.13
2021-09-16,9759736.75
2021-09-17,9761638.33
2021-09-22,9828416.2
2021-09-23,9708948.33
2021-09-24,9453129.35
2021-09-27,9277021.13
2021-09-28,9197377.2
2021-09-29,9042049.2
2021-09-30,9226618.37
2021-10-08,9378713.74
2021-10-11,9201259.28
2021-10-12,9144867.37
2021-10-13,9260254.64
2021-10-14,9139879.5
2021-10-15,9213509.6
2021-10-18,9070281.43
2021-10-19,9181316.96
2021-10-20,9114019.62
2021-10-21,9160787.27
2021-10-22,9124854.0
2021-10-25,9381739.18
2021-10-26,9402577.93
2021-10-27,9400259.59
2021-10-28,9258434.69
2021-10-29,9332276.19
2021-11-01,9258514.61
2021-11-02,9093537.13
2021-11-03,8906077.28
2021-11-04,9134768.55
2021-11-05,8949518.6
2021-11-08,8908096.62
2021-11-09,8932467.53
2021-11-10,8881191.19
2021-11-11,8941843.99
2021-11-12,8904042.59
2021-11-15,8811202.07
2021-11-16,8752231.17
2021-11-17,8890207.86
2021-11-18,8789346.78
2021-11-19,8853204.45
2021-11-22,8992055.15
2021-11-23,9030106.64
2021-11-24,9082324.24
2021-11-25,9033535.08
2021-11-26,8971375.92
2021-11-29,9045503.87
2021-11-30,8999893.86
2021-12-01,9003097.22
2021-12-02,9029515.31
2021-12-03,9136186.97
2021-12-06,8932860.49
2021-12-07,8851417.4
2021-12-08,9165081.45
2021-12-09,9232667.98
2021-12-10,9248451.96
2021-12-13,9363447.16
2021-12-14,9273124.09
2021-12-15,9168048.19
2021-12-16,9201885.38
2021-12-17,8971825.08
2021-12-20,8653463.3
2021-12-21,8729587.01
2021-12-22,8820995.7
2021-12-23,8979198.38
2021-12-24,8912877.49
2021-12-27,8963731.41
2021-12-28,8898868.76
2021-12-29,8729749.69
2021-12-30,8702722.39
2021-12-31,8788919.35
2022-01-04,8812752.04
2022-01-05,8654598.42
