序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000715,中兴商业,2021-08-18,3.46,2021-09-27,3.456,144500,-0.1998%,-999.36,26,信号
2,000835,长动退,2021-08-18,3.212,2021-09-02,3.208,155600,-0.1998%,-998.95,11,信号
3,002348,高乐股份,2021-08-18,2.421,2021-08-23,2.319,206500,-4.3238%,-21628.82,3,信号
4,002493,荣盛石化,2021-08-18,19.49,2021-08-20,18.011,25600,-7.6797%,-38336.01,2,信号
5,003037,三和管桩,2021-08-18,13.898,2021-08-23,13.024,35900,-6.3785%,-31840.51,3,止损
6,300334,津膜科技,2021-08-18,9.755,2021-08-27,10.435,51200,6.8630%,34294.28,7,信号
7,300553,集智股份,2021-08-18,22.688,2021-08-23,21.678,22000,-4.5479%,-22712.06,3,信号
8,300618,寒锐钴业,2021-08-18,92.046,2021-08-23,89.245,5400,-3.1396%,-15612.97,3,信号
9,300620,光库科技,2021-08-18,23.901,2021-08-23,23.01,20900,-3.8218%,-19100.74,3,信号
10,300915,海融科技,2021-08-18,36.511,2021-08-23,34.316,13600,-6.1069%,-30339.24,3,信号
11,600331,宏达股份,2021-08-18,3.492,2021-08-25,3.258,143100,-6.7769%,-33878.93,5,信号
12,600350,山东高速,2021-08-18,3.792,2021-09-01,3.578,131800,-5.7296%,-28649.37,10,信号
13,600377,宁沪高速,2021-08-18,6.273,2021-09-22,6.257,79700,-0.3590%,-1795.64,23,信号
14,600652,退市游久,2021-08-18,2.161,2021-09-01,2.039,231300,-5.7443%,-28727.47,10,信号
15,601606,长城军工,2021-08-18,13.484,2021-08-27,13.56,37000,0.4667%,2329.37,7,信号
16,601618,中国中冶,2021-08-18,3.723,2021-08-23,3.389,134300,-9.0507%,-45274.15,3,止损
17,601669,中国电建,2021-08-18,5.414,2021-08-26,5.288,92300,-2.4131%,-12063.80,6,信号
18,603068,博通集成,2021-08-18,90.395,2021-08-20,81.909,5500,-9.4784%,-47147.66,2,止损
19,603212,赛伍技术,2021-08-18,31.524,2021-08-20,28.284,15800,-10.3673%,-51662.95,2,止损
20,605086,龙高股份,2021-08-18,17.908,2021-08-23,16.484,27900,-8.0449%,-40214.82,3,止损
21,300724,捷佳伟创,2021-08-20,178.118,2021-09-02,164.946,2800,-7.4874%,-37360.57,9,信号
22,600316,洪都航空,2021-08-20,47.149,2021-08-27,43.303,7900,-8.2473%,-30734.56,5,止损
23,600773,西藏城投,2021-08-20,26.089,2021-08-26,31.36,19100,20.0848%,100132.69,4,止盈
24,000009,中国宝安,2021-08-23,26.738,2021-08-31,26.892,18600,0.4724%,2350.48,6,信号
25,000155,川能动力,2021-08-23,29.685,2021-09-01,34.273,16800,15.3404%,76541.49,7,止盈
26,002080,中材科技,2021-08-23,26.689,2021-09-07,31.46,18700,17.7580%,88672.58,11,止盈
27,002518,科士达,2021-08-23,38.289,2021-08-25,34.303,13000,-10.5006%,-52293.68,2,止损
28,300083,创世纪,2021-08-23,12.806,2021-08-30,15.302,39000,19.3704%,96793.73,5,止盈
29,600075,新疆天业,2021-08-23,8.364,2021-08-30,10.025,59700,19.7364%,98601.14,5,止盈
30,601636,旗滨集团,2021-08-23,22.404,2021-08-27,25.94,22300,15.6663%,78309.90,4,止盈
31,603267,鸿远电子,2021-08-23,177.37,2021-08-25,158.792,1500,-10.5637%,-28119.23,2,止损
32,600438,通威股份,2021-08-25,46.332,2021-08-31,55.161,10700,18.9374%,93930.00,4,止盈
33,600760,中航沈飞,2021-08-25,54.672,2021-08-30,53.832,3000,-1.6353%,-2683.51,3,信号
34,600893,航发动力,2021-08-25,66.234,2021-08-27,64.359,7500,-2.9284%,-14554.44,2,信号
35,002407,多氟多,2021-08-26,37.526,2021-09-02,34.901,13300,-7.0887%,-35396.96,5,信号
36,603799,华友钴业,2021-08-26,103.025,2021-09-02,92.543,4800,-10.2647%,-50786.71,5,止损
37,002460,赣锋锂业,2021-08-27,130.365,2021-08-31,148.405,3800,13.7240%,68020.86,2,止盈
38,600010,包钢股份,2021-08-27,3.331,2021-09-03,3.877,150100,16.2887%,81473.10,5,止盈
39,600884,杉杉股份,2021-08-27,31.4,2021-09-06,28.4,15900,-9.6443%,-48173.80,6,止损
40,601908,京运通,2021-08-27,11.983,2021-09-14,12.041,41700,0.3835%,1917.20,12,信号
41,603993,洛阳钼业,2021-08-27,6.426,2021-09-06,6.26,77800,-2.6859%,-13434.97,6,信号
42,000723,美锦能源,2021-08-30,13.727,2021-09-01,13.743,28600,0.0184%,72.36,2,信号
43,002340,格林美,2021-08-30,13.278,2021-09-02,12.085,37600,-9.0736%,-45321.62,3,止损
44,601012,隆基绿能,2021-08-30,65.527,2021-09-02,60.414,7600,-7.8950%,-39337.14,3,止损
45,300274,阳光电源,2021-08-31,111.057,2021-09-02,98.123,4500,-11.7343%,-58671.79,2,止损
46,600111,北方稀土,2021-08-31,51.918,2021-09-13,59.592,9600,14.6668%,73137.48,9,止盈
47,600392,盛和资源,2021-08-31,25.573,2021-09-03,23.568,19500,-7.9308%,-39568.24,3,信号
48,000825,太钢不锈,2021-09-01,9.445,2021-09-10,12.034,52900,27.2875%,136403.74,7,止盈
49,000831,中国稀土,2021-09-01,57.51,2021-09-03,49.026,8600,-14.8362%,-73414.19,2,止损
50,600893,航发动力,2021-09-01,68.515,2021-09-03,61.36,7200,-10.5324%,-51983.09,2,止损
51,601899,紫金矿业,2021-09-01,9.495,2021-09-22,8.866,52600,-6.7199%,-33577.74,13,信号
52,000425,徐工机械,2021-09-02,6.339,2021-09-16,5.993,78800,-5.5552%,-27763.77,10,信号
53,002192,融捷股份,2021-09-02,173.731,2021-09-17,158.255,2800,-8.9991%,-43797.55,11,信号
54,600529,山东药玻,2021-09-02,33.937,2021-09-09,30.825,14700,-9.2618%,-46227.98,5,止损
55,600690,海尔智家,2021-09-02,26.371,2021-09-14,24.275,18900,-8.0413%,-40099.10,8,止损
56,600887,伊利股份,2021-09-02,30.595,2021-09-17,29.085,16300,-5.0299%,-25096.79,11,信号
