日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.010644,
2021-08-19,0.995872,
2021-08-20,0.993166,
2021-08-23,1.007446,
2021-08-24,1.008755,
2021-08-25,1.016405,
2021-08-26,1.012290,
2021-08-27,1.014730,
2021-08-30,1.019569,
2021-08-31,1.019891,
2021-09-01,1.003132,
2021-09-02,1.017095,
2021-09-03,1.010876,
2021-09-06,1.017439,
2021-09-07,1.028257,
2021-09-08,1.036900,
2021-09-09,1.037419,
2021-09-10,1.032018,
2021-09-13,1.040503,
2021-09-14,1.027693,
2021-09-15,1.036647,
2021-09-16,1.022375,
2021-09-17,1.020329,
2021-09-22,1.025001,
2021-09-23,1.027034,
2021-09-24,1.008309,
2021-09-27,0.985739,
2021-09-28,0.981825,
2021-09-29,0.958912,
2021-09-30,0.972925,
2021-10-08,0.980435,
2021-10-11,0.976035,
2021-10-12,0.967273,
2021-10-13,0.963193,
2021-10-14,0.964673,
2021-10-15,0.958994,
2021-10-18,0.961755,
2021-10-19,0.965102,
2021-10-20,0.964401,
2021-10-21,0.958303,
2021-10-22,0.948440,
2021-10-25,0.957383,
2021-10-26,0.953971,
2021-10-27,0.946519,
2021-10-28,0.931565,
2021-10-29,0.942813,
2021-11-01,0.956393,
2021-11-02,0.946048,
2021-11-03,0.947572,
2021-11-04,0.965988,
2021-11-05,0.961214,
2021-11-08,0.961998,
2021-11-09,0.971727,
2021-11-10,0.978508,
2021-11-11,0.985355,
2021-11-12,0.993630,
2021-11-15,1.000776,
2021-11-16,0.993607,
2021-11-17,1.005640,
2021-11-18,0.997738,
2021-11-19,1.007882,
2021-11-22,1.012071,
2021-11-23,1.013706,
2021-11-24,1.016081,
2021-11-25,1.015976,
2021-11-26,1.013649,
2021-11-29,1.011613,
2021-11-30,1.016820,
2021-12-01,1.024803,
2021-12-02,1.014844,
2021-12-03,1.019866,
2021-12-06,1.008625,
2021-12-07,1.005673,
2021-12-08,1.012955,
2021-12-09,1.018288,
2021-12-10,1.018513,
2021-12-13,1.020701,
2021-12-14,1.023003,
2021-12-15,1.021466,
2021-12-16,1.028742,
2021-12-17,1.024139,
2021-12-20,1.014981,
2021-12-21,1.029390,
2021-12-22,1.032714,
2021-12-23,1.023979,
2021-12-24,1.013015,
2021-12-27,1.018140,
2021-12-28,1.019267,
2021-12-29,1.016953,
2021-12-30,1.025256,
2021-12-31,1.031459,
2022-01-04,1.043373,
2022-01-05,1.032344,
2022-01-06,1.039558,
2022-01-07,1.026778,
2022-01-10,1.036797,
2022-01-11,1.035251,
2022-01-12,1.043388,
2022-01-13,1.038554,
2022-01-14,1.029279,
2022-01-17,1.041708,
2022-01-18,1.025631,
2022-01-19,1.028708,
2022-01-20,1.005455,
2022-01-21,0.999101,
2022-01-24,0.995078,
2022-01-25,0.962364,
2022-01-26,0.961729,
2022-01-27,0.928103,
2022-01-28,0.923742,
2022-02-07,0.939383,
2022-02-08,0.946385,
2022-02-09,0.952471,
2022-02-10,0.958516,
2022-02-11,0.948668,
2022-02-14,0.944539,
2022-02-15,0.941341,
2022-02-16,0.952044,
2022-02-17,0.948046,
2022-02-18,0.958376,
2022-02-21,0.968933,
2022-02-22,0.961148,
2022-02-23,0.968633,
2022-02-24,0.947030,
2022-02-25,0.954810,
2022-02-28,0.956276,
2022-03-01,0.962719,
2022-03-02,0.969375,
2022-03-03,0.971126,
2022-03-04,0.960991,
2022-03-07,0.951222,
2022-03-08,0.924279,
2022-03-09,0.918369,
2022-03-10,0.934355,
2022-03-11,0.943123,
2022-03-14,0.921804,
2022-03-15,0.885494,
2022-03-16,0.907010,
2022-03-17,0.918519,
2022-03-18,0.926466,
2022-03-21,0.942903,
2022-03-22,0.938979,
2022-03-23,0.939932,
2022-03-24,0.932289,
2022-03-25,0.931692,
2022-03-28,0.930015,
2022-03-29,0.927736,
2022-03-30,0.938150,
2022-03-31,0.941276,
2022-04-01,0.941547,
2022-04-06,0.955817,
2022-04-07,0.936548,
2022-04-08,0.937804,
2022-04-11,0.923836,
2022-04-12,0.936826,
2022-04-13,0.924350,
2022-04-14,0.933834,
2022-04-15,0.915063,
2022-04-18,0.913111,
2022-04-19,0.916294,
2022-04-20,0.906991,
2022-04-21,0.876816,
2022-04-22,0.866848,
2022-04-25,0.820127,
2022-04-26,0.802532,
2022-04-27,0.790159,
2022-04-28,0.785785,
2022-04-29,0.804398,
2022-05-05,0.819475,
2022-05-06,0.819478,
2022-05-09,0.829743,
2022-05-10,0.843414,
2022-05-11,0.839989,
2022-05-12,0.848056,
2022-05-13,0.853760,
2022-05-16,0.854660,
2022-05-17,0.851790,
2022-05-18,0.852945,
2022-05-19,0.858258,
2022-05-20,0.868612,
2022-05-23,0.875139,
2022-05-24,0.842134,
2022-05-25,0.857944,
2022-05-26,0.863607,
2022-05-27,0.863761,
2022-05-30,0.869982,
2022-05-31,0.877548,
2022-06-01,0.880474,
2022-06-02,0.882284,
2022-06-06,0.894048,
2022-06-07,0.892605,
2022-06-08,0.891934,
2022-06-09,0.878180,
2022-06-10,0.888172,
2022-06-13,0.885972,
2022-06-14,0.888307,
2022-06-15,0.884860,
2022-06-16,0.888373,
2022-06-17,0.890958,
2022-06-20,0.901080,
2022-06-21,0.896821,
2022-06-22,0.886369,
2022-06-23,0.898774,
2022-06-24,0.910455,
2022-06-27,0.917287,
2022-06-28,0.930799,
2022-06-29,0.909554,
2022-06-30,0.918373,
2022-07-01,0.915555,
2022-07-04,0.919734,
2022-07-05,0.914367,
2022-07-06,0.904455,
2022-07-07,0.908033,
2022-07-08,0.906302,
2022-07-11,0.904384,
2022-07-12,0.893252,
2022-07-13,0.902874,
2022-07-14,0.902621,
2022-07-15,0.885921,
2022-07-18,0.903377,
2022-07-19,0.908312,
2022-07-20,0.914440,
2022-07-21,0.911233,
2022-07-22,0.910976,
2022-07-25,0.902170,
2022-07-26,0.910983,
2022-07-27,0.921568,
2022-07-28,0.930544,
2022-07-29,0.927257,
2022-08-01,0.934929,
2022-08-02,0.900841,
2022-08-03,0.899536,
2022-08-04,0.906981,
2022-08-05,0.918740,
2022-08-08,0.928909,
2022-08-09,0.932270,
2022-08-10,0.938247,
2022-08-11,0.947416,
2022-08-12,0.941866,
2022-08-15,0.943676,
2022-08-16,0.948274,
2022-08-17,0.950737,
2022-08-18,0.952600,
2022-08-19,0.943152,
2022-08-22,0.947553,
2022-08-23,0.952778,
2022-08-24,0.927803,
2022-08-25,0.928674,
2022-08-26,0.925326,
2022-08-29,0.929114,
2022-08-30,0.927908,
2022-08-31,0.910410,
2022-09-01,0.907856,
2022-09-02,0.912765,
2022-09-05,0.914730,
2022-09-06,0.919534,
2022-09-07,0.916489,
2022-09-08,0.910809,
2022-09-09,0.910905,
2022-09-13,0.911368,
2022-09-14,0.906320,
2022-09-15,0.893581,
2022-09-16,0.874065,
2022-09-19,0.864874,
2022-09-20,0.866637,
2022-09-21,0.860907,
2022-09-22,0.859615,
2022-09-23,0.844927,
2022-09-26,0.833673,
2022-09-27,0.844312,
2022-09-28,0.825898,
2022-09-29,0.823556,
2022-09-30,0.809786,
2022-10-10,0.801396,
2022-10-11,0.803205,
2022-10-12,0.816451,
2022-10-13,0.826341,
2022-10-14,0.841818,
2022-10-17,0.855335,
2022-10-18,0.858449,
2022-10-19,0.852311,
2022-10-20,0.848849,
2022-10-21,0.851916,
2022-10-24,0.842243,
2022-10-25,0.838479,
2022-10-26,0.855821,
2022-10-27,0.853855,
2022-10-28,0.827704,
2022-10-31,0.835533,
2022-11-01,0.851041,
2022-11-02,0.859210,
2022-11-03,0.864024,
2022-11-04,0.876925,
2022-11-07,0.881984,
2022-11-08,0.880696,
2022-11-09,0.880804,
2022-11-10,0.878702,
2022-11-11,0.882604,
2022-11-14,0.881642,
2022-11-15,0.892110,
2022-11-16,0.893015,
2022-11-17,0.896533,
2022-11-18,0.890627,
2022-11-21,0.890723,
2022-11-22,0.881318,
2022-11-23,0.876652,
2022-11-24,0.878642,
2022-11-25,0.874905,
2022-11-28,0.873206,
2022-11-29,0.882257,
2022-11-30,0.883421,
2022-12-01,0.884670,
2022-12-02,0.889418,
2022-12-05,0.898512,
2022-12-06,0.895546,
2022-12-07,0.897247,
2022-12-08,0.895214,
2022-12-09,0.893137,
2022-12-12,0.890695,
2022-12-13,0.891819,
2022-12-14,0.888006,
2022-12-15,0.886618,
2022-12-16,0.881619,
2022-12-19,0.860963,
2022-12-20,0.853658,
2022-12-21,0.851470,
2022-12-22,0.841934,
2022-12-23,0.833879,
2022-12-26,0.837107,
2022-12-27,0.836935,
2022-12-28,0.830408,
2022-12-29,0.827740,
2022-12-30,0.832943,
2023-01-03,0.846502,
2023-01-04,0.848284,
2023-01-05,0.850924,
2023-01-06,0.848127,
2023-01-09,0.852163,
2023-01-10,0.851733,
2023-01-11,0.844363,
2023-01-12,0.845528,
2023-01-13,0.848584,
2023-01-16,0.856847,
2023-01-17,0.856145,
2023-01-18,0.859645,
2023-01-19,0.865750,
2023-01-20,0.871691,
2023-01-30,0.882620,
2023-01-31,0.886090,
2023-02-01,0.901179,
2023-02-02,0.903583,
2023-02-03,0.904485,
2023-02-06,0.904468,
2023-02-07,0.910843,
2023-02-08,0.905765,
2023-02-09,0.916330,
2023-02-10,0.917131,
2023-02-13,0.925396,
2023-02-14,0.925697,
2023-02-15,0.926338,
2023-02-16,0.908574,
2023-02-17,0.906110,
2023-02-20,0.914166,
2023-02-21,0.916252,
2023-02-22,0.918431,
2023-02-23,0.915866,
2023-02-24,0.911443,
2023-02-27,0.905865,
2023-02-28,0.911296,
2023-03-01,0.915064,
2023-03-02,0.913327,
2023-03-03,0.913272,
2023-03-06,0.912997,
2023-03-07,0.898163,
2023-03-08,0.903169,
2023-03-09,0.903077,
2023-03-10,0.892071,
2023-03-13,0.896519,
2023-03-14,0.891969,
2023-03-15,0.893647,
2023-03-16,0.883544,
2023-03-17,0.894645,
2023-03-20,0.892714,
2023-03-21,0.898248,
2023-03-22,0.905450,
2023-03-23,0.909871,
2023-03-24,0.913039,
2023-03-27,0.913835,
2023-03-28,0.902884,
2023-03-29,0.901286,
2023-03-30,0.895115,
2023-03-31,0.901371,
2023-04-03,0.909748,
2023-04-04,0.904147,
2023-04-06,0.904735,
2023-04-07,0.910021,
2023-04-10,0.898925,
2023-04-11,0.899326,
2023-04-12,0.905523,
2023-04-13,0.902527,
2023-04-14,0.906764,
2023-04-17,0.906832,
2023-04-18,0.901732,
2023-04-19,0.899457,
2023-04-20,0.895969,
2023-04-21,0.878741,
2023-04-24,0.874215,
2023-04-25,0.864650,
2023-04-26,0.864666,
2023-04-27,0.865808,
2023-04-28,0.874107,
2023-05-04,0.888082,
2023-05-05,0.884023,
2023-05-08,0.889182,
2023-05-09,0.877678,
2023-05-10,0.880211,
2023-05-11,0.885618,
2023-05-12,0.878046,
2023-05-15,0.883379,
2023-05-16,0.876938,
2023-05-17,0.884097,
2023-05-18,0.885364,
2023-05-19,0.883780,
2023-05-22,0.886786,
2023-05-23,0.878956,
2023-05-24,0.879414,
2023-05-25,0.879413,
2023-05-26,0.885733,
2023-05-29,0.883213,
2023-05-30,0.887348,
2023-05-31,0.886752,
2023-06-01,0.886502,
2023-06-02,0.886100,
2023-06-05,0.892414,
2023-06-06,0.875252,
2023-06-07,0.882269,
2023-06-08,0.877544,
2023-06-09,0.882824,
2023-06-12,0.885006,
2023-06-13,0.889472,
2023-06-14,0.892155,
2023-06-15,0.890811,
2023-06-16,0.894361,
2023-06-19,0.894260,
2023-06-20,0.893565,
2023-06-21,0.882379,
2023-06-26,0.867515,
2023-06-27,0.877170,
2023-06-28,0.879954,
2023-06-29,0.887319,
2023-06-30,0.894409,
2023-07-03,0.896355,
2023-07-04,0.901305,
2023-07-05,0.896946,
2023-07-06,0.896825,
2023-07-07,0.894121,
2023-07-10,0.895279,
2023-07-11,0.902315,
2023-07-12,0.894465,
2023-07-13,0.902312,
2023-07-14,0.900635,
2023-07-17,0.900755,
2023-07-18,0.901989,
2023-07-19,0.901768,
2023-07-20,0.891664,
2023-07-21,0.891047,
2023-07-24,0.889464,
2023-07-25,0.903409,
2023-07-26,0.906504,
2023-07-27,0.900784,
2023-07-28,0.911413,
2023-07-31,0.919883,
2023-08-01,0.916717,
2023-08-02,0.914072,
2023-08-03,0.913343,
2023-08-04,0.911471,
2023-08-07,0.905578,
2023-08-08,0.903037,
2023-08-09,0.895676,
2023-08-10,0.895051,
2023-08-11,0.882295,
2023-08-14,0.882521,
2023-08-15,0.878098,
2023-08-16,0.869471,
2023-08-17,0.872867,
2023-08-18,0.861116,
2023-08-21,0.857725,
2023-08-22,0.854521,
2023-08-23,0.848270,
2023-08-24,0.842801,
2023-08-25,0.825533,
2023-08-28,0.835164,
2023-08-29,0.852381,
2023-08-30,0.853762,
2023-08-31,0.849459,
2023-09-01,0.849241,
2023-09-04,0.858295,
2023-09-05,0.855450,
2023-09-06,0.860109,
2023-09-07,0.846801,
2023-09-08,0.849677,
2023-09-11,0.854309,
2023-09-12,0.852993,
2023-09-13,0.843160,
2023-09-14,0.838403,
2023-09-15,0.839969,
2023-09-18,0.843166,
2023-09-19,0.837617,
2023-09-20,0.832705,
2023-09-21,0.825663,
2023-09-22,0.830343,
2023-09-25,0.828920,
2023-09-26,0.825257,
2023-09-27,0.827624,
2023-09-28,0.831616,
2023-10-09,0.829110,
2023-10-10,0.827404,
2023-10-11,0.828664,
2023-10-12,0.831349,
2023-10-13,0.831206,
2023-10-16,0.826346,
2023-10-17,0.824920,
2023-10-18,0.812336,
2023-10-19,0.803817,
2023-10-20,0.795035,
2023-10-23,0.785401,
2023-10-24,0.795180,
2023-10-25,0.805032,
2023-10-26,0.807387,
2023-10-27,0.814860,
2023-10-30,0.822070,
2023-10-31,0.820495,
2023-11-01,0.823144,
2023-11-02,0.815391,
2023-11-03,0.822980,
