日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10077310.91
2021-08-19,9868653.33
2021-08-20,9814144.83
2021-08-23,9998343.65
2021-08-24,10030825.97
2021-08-25,10105983.71
2021-08-26,9908515.1
2021-08-27,10233815.52
2021-08-30,10450857.92
2021-08-31,10709054.43
2021-09-01,10061267.59
2021-09-02,10360419.29
2021-09-03,9880570.23
2021-09-06,9737843.72
2021-09-07,10045952.02
2021-09-08,10096939.35
2021-09-09,10010026.99
2021-09-10,10043404.33
2021-09-13,10126437.18
2021-09-14,10058649.9
2021-09-15,10192992.67
2021-09-16,9791128.35
2021-09-17,9924344.07
2021-09-22,9999534.1
2021-09-23,9689345.19
2021-09-24,9482633.3
2021-09-27,9009573.12
2021-09-28,8976507.77
2021-09-29,8679124.32
2021-09-30,8831996.56
2021-10-08,8825568.01
2021-10-11,8745201.5
2021-10-12,8562306.18
2021-10-13,8490736.05
2021-10-14,8417027.11
2021-10-15,8288088.46
2021-10-18,8242110.58
2021-10-19,8294433.02
2021-10-20,8376079.72
2021-10-21,8331521.12
2021-10-22,8220152.07
2021-10-25,8418874.35
2021-10-26,8487434.93
2021-10-27,8700888.16
2021-10-28,8601676.66
2021-10-29,8747081.1
2021-11-01,8757839.5
2021-11-02,8585724.9
2021-11-03,8391605.04
2021-11-04,8634047.34
2021-11-05,8437913.95
2021-11-08,8414141.9
2021-11-09,8322430.48
2021-11-10,8282711.99
2021-11-11,8319421.95
2021-11-12,8416093.61
2021-11-15,8302105.11
2021-11-16,8261950.22
2021-11-17,8456181.31
2021-11-18,8420813.06
2021-11-19,8451352.51
2021-11-22,8617577.46
2021-11-23,8706125.96
2021-11-24,8643696.61
2021-11-25,8611754.82
2021-11-26,8592340.59
2021-11-29,8603470.79
2021-11-30,8490521.59
2021-12-01,8516471.98
2021-12-02,8507839.51
2021-12-03,8665615.41
2021-12-06,8611828.44
2021-12-07,8522804.09
2021-12-08,8687354.94
2021-12-09,8569167.84
2021-12-10,8576323.35
2021-12-13,8642671.76
2021-12-14,8586191.14
2021-12-15,8521779.94
2021-12-16,8546563.03
2021-12-17,8408620.83
2021-12-20,8100311.84
2021-12-21,8086694.69
2021-12-22,8083347.23
2021-12-23,8273562.36
2021-12-24,8226171.11
2021-12-27,8352513.34
2021-12-28,8437417.55
2021-12-29,7593068.74
2021-12-30,7553861.79
2021-12-31,7575905.11
2022-01-04,7627135.32
2022-01-05,7501647.15
2022-01-06,7966884.85
2022-01-07,7704321.54
2022-01-10,7837843.15
2022-01-11,7851512.39
2022-01-12,7838848.65
2022-01-13,7828698.68
2022-01-14,8041601.35
2022-01-17,7041092.62
2022-01-18,6969963.31
2022-01-19,6974889.27
2022-01-20,6987182.87
2022-01-21,6878484.85
2022-01-24,6830539.7
2022-01-25,6508435.84
2022-01-26,6534616.27
2022-01-27,6141040.89
2022-01-28,5861097.85
2022-02-07,6676335.21
2022-02-08,6497571.79
2022-02-09,6495853.23
2022-02-10,6471110.89
2022-02-11,6394194.15
2022-02-14,6227249.89
2022-02-15,6187515.89
2022-02-16,6242960.73
2022-02-17,6155927.32
2022-02-18,6248210.26
2022-02-21,6339154.59
2022-02-22,6312352.93
2022-02-23,6241467.06
2022-02-24,5925928.03
2022-02-25,6028444.66
2022-02-28,6084824.53
2022-03-01,6195294.51
2022-03-02,6419021.54
2022-03-03,6455051.91
2022-03-04,6169062.54
2022-03-07,6140940.83
2022-03-08,5970279.33
2022-03-09,5998875.08
2022-03-10,6009127.71
2022-03-11,5963575.59
2022-03-14,5812252.29
2022-03-15,5510932.68
2022-03-16,5551285.45
2022-03-17,5676483.75
2022-03-18,5722872.05
2022-03-21,5842238.95
2022-03-22,5644018.55
2022-03-23,5561540.98
2022-03-24,5629939.14
2022-03-25,5524356.51
2022-03-28,5410684.98
2022-03-29,5295089.57
2022-03-30,5349994.4
2022-03-31,5331950.14
2022-04-01,5241749.45
2022-04-06,5370442.12
2022-04-07,5306822.19
2022-04-08,5365063.02
2022-04-11,5328737.97
2022-04-12,5352665.85
2022-04-13,5236484.85
2022-04-14,5388064.88
2022-04-15,5164454.15
2022-04-18,5021258.97
2022-04-19,4948468.4
2022-04-20,4835437.6
2022-04-21,4600389.06
2022-04-22,4407776.99
2022-04-25,4245823.97
2022-04-26,3991973.11
2022-04-27,3900344.92
2022-04-28,3992617.16
2022-04-29,4046254.45
2022-05-05,4038483.65
2022-05-06,3953969.45
2022-05-09,3944168.83
2022-05-10,4075956.71
2022-05-11,4065376.62
2022-05-12,4165611.71
2022-05-13,4200551.77
2022-05-16,4179070.87
2022-05-17,4147280.41
2022-05-18,4029283.7
2022-05-19,4133553.79
2022-05-20,4167144.37
2022-05-23,4273786.57
2022-05-24,4146991.6
2022-05-25,4157473.86
2022-05-26,4196836.92
2022-05-27,4288720.6
2022-05-30,4281459.94
2022-05-31,4242113.76
2022-06-01,4229320.51
2022-06-02,4207603.52
2022-06-06,4443787.95
2022-06-07,4436861.35
2022-06-08,4602153.88
2022-06-09,4564263.24
2022-06-10,4664598.83
2022-06-13,4626168.27
2022-06-14,4630465.27
2022-06-15,4544031.04
2022-06-16,4442660.57
2022-06-17,4459744.13
2022-06-20,4402219.88
2022-06-21,4420857.01
2022-06-22,4344598.46
2022-06-23,4401998.73
2022-06-24,4455987.93
2022-06-27,4492426.76
2022-06-28,4545097.66
2022-06-29,4483465.86
2022-06-30,4573517.26
2022-07-01,4487006.38
2022-07-04,4540382.99
2022-07-05,4498486.87
2022-07-06,4433406.09
2022-07-07,4466861.22
2022-07-08,4389228.95
2022-07-11,4311302.32
2022-07-12,4282707.46
2022-07-13,4345512.28
2022-07-14,4483357.83
2022-07-15,4509935.69
2022-07-18,4601770.85
2022-07-19,4445595.88
2022-07-20,4491364.06
2022-07-21,4340793.01
2022-07-22,4305788.71
2022-07-25,4121378.82
2022-07-26,4208088.35
2022-07-27,4266009.11
2022-07-28,4334013.54
2022-07-29,4223444.14
2022-08-01,4266469.01
2022-08-02,4266182.01
2022-08-03,4233511.9
2022-08-04,4250585.56
2022-08-05,4428628.54
2022-08-08,4554388.24
2022-08-09,4654513.91
2022-08-10,4792600.61
2022-08-11,4891722.31
2022-08-12,4683854.31
2022-08-15,4691839.69
2022-08-16,4751499.22
2022-08-17,4854981.35
2022-08-18,4923759.98
2022-08-19,4699389.78
2022-08-22,4646855.1
2022-08-23,4616762.59
2022-08-24,4374658.62
2022-08-25,4233416.0
2022-08-26,4098722.37
2022-08-29,4156509.73
2022-08-30,4153851.75
2022-08-31,3926850.01
2022-09-01,3966283.27
2022-09-02,3913667.51
2022-09-05,3888062.69
2022-09-06,3931133.61
2022-09-07,3908740.61
2022-09-08,3850562.61
2022-09-09,3818648.96
2022-09-13,3821815.96
2022-09-14,3775891.96
2022-09-15,3685325.44
2022-09-16,3610234.88
2022-09-19,3533171.95
2022-09-20,3553470.3
2022-09-21,3472658.56
2022-09-22,3522817.96
2022-09-23,3523926.66
2022-09-26,3468922.48
2022-09-27,3483449.86
2022-09-28,3358821.77
2022-09-29,3386500.77
2022-09-30,3354740.17
2022-10-10,3338498.8
2022-10-11,3387743.25
2022-10-12,3420469.25
2022-10-13,3498266.37
2022-10-14,3614620.13
2022-10-17,3664632.42
2022-10-18,3679775.97
2022-10-19,3573061.82
2022-10-20,3405524.57
2022-10-21,3384497.67
2022-10-24,3367008.5
2022-10-25,3405267.19
2022-10-26,3403307.8
2022-10-27,3333947.25
2022-10-28,3288078.72
2022-10-31,3363192.98
2022-11-01,3438161.97
2022-11-02,3482531.07
2022-11-03,3351059.23
2022-11-04,3441276.23
2022-11-07,3406258.03
2022-11-08,3352776.78
2022-11-09,3357741.78
2022-11-10,3363917.65
2022-11-11,3304852.15
2022-11-14,3249175.64
2022-11-15,3313980.35
2022-11-16,3252562.01
2022-11-17,3326538.32
2022-11-18,3253178.42
2022-11-21,3203365.6
2022-11-22,3123916.99
2022-11-23,3135575.79
2022-11-24,3204126.36
2022-11-25,3161511.62
2022-11-28,3095557.16
2022-11-29,3148889.81
2022-11-30,3118537.62
2022-12-01,3080873.72
2022-12-02,3139504.93
2022-12-05,3207307.87
2022-12-06,3114743.57
2022-12-07,3053733.66
2022-12-08,3088779.47
2022-12-09,3113119.74
2022-12-12,3155629.49
2022-12-13,3168347.16
2022-12-14,3151693.3
2022-12-15,3176125.7
2022-12-16,3192681.33
2022-12-19,3125216.08
2022-12-20,3085969.33
2022-12-21,3076296.98
2022-12-22,3031334.97
2022-12-23,2867638.97
2022-12-26,2892066.54
2022-12-27,2845866.34
2022-12-28,2821843.15
2022-12-29,2704843.42
2022-12-30,2761685.37
2023-01-03,2817381.88
2023-01-04,2755087.04
2023-01-05,2678688.31
2023-01-06,2698026.71
2023-01-09,2754311.13
2023-01-10,2746253.18
2023-01-11,2744170.18
2023-01-12,2721043.59
2023-01-13,2764540.59
2023-01-16,2823811.0
2023-01-17,2788508.0
2023-01-18,2735522.53
2023-01-19,2732310.12
2023-01-20,2757709.95
2023-01-30,2795747.95
2023-01-31,2767377.0
2023-02-01,2808449.97
2023-02-02,2797506.68
2023-02-03,2791411.81
2023-02-06,2732714.69
2023-02-07,2737526.21
2023-02-08,2691428.81
2023-02-09,2727074.12
2023-02-10,2721745.08
2023-02-13,2788432.15
2023-02-14,2794759.15
2023-02-15,2808338.35
2023-02-16,2824765.68
2023-02-17,2763601.67
2023-02-20,2838725.69
2023-02-21,2825391.66
2023-02-22,2792728.87
2023-02-23,2748227.39
2023-02-24,2731611.5
2023-02-27,2740513.84
2023-02-28,2780974.18
2023-03-01,2804289.43
2023-03-02,2803397.23
2023-03-03,2783968.62
2023-03-06,2797251.65
2023-03-07,2717548.4
2023-03-08,2742735.12
2023-03-09,2689578.03
2023-03-10,2663330.28
2023-03-13,2677461.95
2023-03-14,2651136.15
2023-03-15,2657885.71
2023-03-16,2679933.71
2023-03-17,2837492.59
2023-03-20,2944348.78
2023-03-21,2892806.05
2023-03-22,2948331.28
2023-03-23,3029916.28
2023-03-24,3001363.28
2023-03-27,2951997.28
2023-03-28,2883446.22
2023-03-29,2883137.17
2023-03-30,2836978.17
2023-03-31,2840938.55
2023-04-03,2955419.33
2023-04-04,3019682.29
2023-04-06,3143582.69
2023-04-07,3182389.24
2023-04-10,3142579.84
2023-04-11,3183527.77
2023-04-12,3281352.77
2023-04-13,3246200.97
2023-04-14,3261735.93
2023-04-17,3254448.17
2023-04-18,3237282.81
2023-04-19,3256681.68
2023-04-20,3363840.73
2023-04-21,3234087.93
2023-04-24,3219100.01
2023-04-25,3370319.48
2023-04-26,3213751.2
2023-04-27,3083233.62
2023-04-28,3401157.22
2023-05-04,3642158.79
2023-05-05,3626725.24
2023-05-08,3768467.74
2023-05-09,3528235.44
2023-05-10,3434347.62
2023-05-11,3339915.26
2023-05-12,3303874.63
2023-05-15,3253878.93
2023-05-16,3195209.61
2023-05-17,3217341.8
2023-05-18,3174884.21
2023-05-19,3174549.21
2023-05-22,3133403.32
2023-05-23,2974173.45
2023-05-24,3025198.93
2023-05-25,3096133.67
2023-05-26,3188657.59
2023-05-29,3267060.59
2023-05-30,3432136.75
2023-05-31,3421511.08
2023-06-01,3360464.14
2023-06-02,3440697.84
2023-06-05,3492816.7
2023-06-06,3366616.6
2023-06-07,3567309.63
2023-06-08,3515582.17
2023-06-09,3572809.87
2023-06-12,3566474.87
2023-06-13,3521287.53
2023-06-14,3556069.93
2023-06-15,3465362.93
2023-06-16,3503678.3
2023-06-19,3551989.6
2023-06-20,3619178.6
2023-06-21,3432589.28
2023-06-26,3290112.99
2023-06-27,3398339.27
2023-06-28,3646405.11
2023-06-29,3584977.96
2023-06-30,3552154.96
2023-07-03,3490193.96
2023-07-04,3585861.94
2023-07-05,3555983.42
2023-07-06,3510798.5
2023-07-07,3531775.6
2023-07-10,3436937.84
2023-07-11,3377355.3
2023-07-12,3339779.5
2023-07-13,3291917.52
2023-07-14,3254203.48
2023-07-17,3255491.89
2023-07-18,3226305.19
2023-07-19,3245859.79
2023-07-20,3136192.51
2023-07-21,3060685.66
2023-07-24,2960661.85
2023-07-25,3016527.65
2023-07-26,2981990.04
2023-07-27,2957896.75
2023-07-28,2994179.37
2023-07-31,3051509.74
2023-08-01,2998684.14
2023-08-02,2985018.85
2023-08-03,2964653.83
2023-08-04,2974962.02
2023-08-07,2968147.75
2023-08-08,2946749.03
2023-08-09,2901194.53
2023-08-10,2876974.71
2023-08-11,2806381.02
2023-08-14,2850410.96
2023-08-15,2751053.58
2023-08-16,2724775.94
2023-08-17,2739670.07
2023-08-18,2653649.07
2023-08-21,2626963.89
2023-08-22,2613861.5
2023-08-23,2552289.82
2023-08-24,2432927.56
2023-08-25,2314679.18
2023-08-28,2313424.61
2023-08-29,2317352.61
2023-08-30,2247965.6
2023-08-31,2191192.91
2023-09-01,2191194.66
2023-09-04,2252166.06
2023-09-05,2233222.36
2023-09-06,2269483.79
2023-09-07,2339569.09
2023-09-08,2333041.25
2023-09-11,2288293.82
2023-09-12,2314846.46
2023-09-13,2261218.63
2023-09-14,2275217.8
2023-09-15,2223507.25
2023-09-18,2200866.81
2023-09-19,2158858.75
2023-09-20,2131101.47
2023-09-21,2123162.23
2023-09-22,2165801.27
2023-09-25,2161339.73
2023-09-26,2117853.24
2023-09-27,2117400.17
2023-09-28,2187494.48
2023-10-09,2311311.48
2023-10-10,2282577.39
2023-10-11,2314267.92
2023-10-12,2297436.58
2023-10-13,2295572.58
2023-10-16,2294899.58
2023-10-17,2281131.58
2023-10-18,2272111.58
2023-10-19,2236018.39
2023-10-20,2136190.51
2023-10-23,2101892.62
2023-10-24,2119047.8
2023-10-25,2094495.0
2023-10-26,2134724.96
2023-10-27,2097357.96
2023-10-30,2147832.96
2023-10-31,2148408.96
2023-11-01,2079148.63
2023-11-02,2006400.63
2023-11-03,2035760.01
2023-11-06,2088826.01
2023-11-07,2144693.31
2023-11-08,2147624.24
2023-11-09,2060220.24
2023-11-10,2096863.53
2023-11-13,2087648.53
2023-11-14,2143847.19
2023-11-15,2113155.82
2023-11-16,2069067.42
2023-11-17,2059628.66
2023-11-20,2071866.04
2023-11-21,2013463.83
2023-11-22,1988871.08
2023-11-23,2046874.7
2023-11-24,2039639.04
2023-11-27,2046029.65
2023-11-28,2047096.65
2023-11-29,1989361.29
2023-11-30,1963945.88
2023-12-01,1914151.34
2023-12-04,1927363.28
2023-12-05,1875321.97
2023-12-06,1860735.58
2023-12-07,1804138.58
2023-12-08,1805284.52
2023-12-11,1823896.01
2023-12-12,1827545.01
2023-12-13,1781255.47
2023-12-14,1756287.93
2023-12-15,1734074.93
2023-12-18,1687536.59
2023-12-19,1741595.43
2023-12-20,1671531.76
2023-12-21,1707322.62
2023-12-22,1601809.62
2023-12-25,1595561.73
2023-12-26,1582519.86
2023-12-27,1527371.86
2023-12-28,1448064.32
2023-12-29,1441620.32
2024-01-02,1410005.76
2024-01-03,1396760.76
2024-01-04,1352278.15
2024-01-05,1332833.43
2024-01-08,1337168.09
2024-01-09,1372656.11
2024-01-10,1293144.07
2024-01-11,1281032.41
2024-01-12,1268496.71
2024-01-15,1265893.93
2024-01-16,1258302.85
2024-01-17,1239196.83
2024-01-18,1287887.41
2024-01-19,1261108.57
2024-01-22,1247812.68
2024-01-23,1305352.65
2024-01-24,1305665.99
2024-01-25,1346719.29
2024-01-26,1280296.19
2024-01-29,1198452.29
2024-01-30,1099774.86
2024-01-31,1018657.27
2024-02-01,988206.7
2024-02-02,931548.34
2024-02-05,930731.68
2024-02-06,920964.18
2024-02-07,940292.54
2024-02-08,942204.47
2024-02-19,981808.17
2024-02-20,992386.27
2024-02-21,991399.27
2024-02-22,1034654.17
2024-02-23,1010330.87
2024-02-26,1001854.67
2024-02-27,1015726.37
2024-02-28,1000310.6
2024-02-29,1024351.56
2024-03-01,1030583.87
2024-03-04,1051688.32
2024-03-05,1086916.55
2024-03-06,1072416.25
2024-03-07,1062694.76
2024-03-08,1068644.08
2024-03-11,1062709.64
2024-03-12,1030176.77
2024-03-13,1019170.85
2024-03-14,1017520.95
2024-03-15,1030695.79
2024-03-18,1030459.79
2024-03-19,1023972.79
2024-03-20,1037409.79
2024-03-21,1018946.34
2024-03-22,995269.81
2024-03-25,933750.95
2024-03-26,900871.64
2024-03-27,877262.83
2024-03-28,872152.97
2024-03-29,891531.45
2024-04-01,928105.45
2024-04-02,920565.45
2024-04-03,913874.94
2024-04-08,899852.94
2024-04-09,910785.46
2024-04-10,909111.46
2024-04-11,924124.12
2024-04-12,903872.65
2024-04-15,886918.65
2024-04-16,863730.33
2024-04-17,894494.52
2024-04-18,886301.4
2024-04-19,885709.6
2024-04-22,882076.6
2024-04-23,867255.6
2024-04-24,921373.52
2024-04-25,912516.19
2024-04-26,914805.61
2024-04-29,961342.71
2024-04-30,909680.71
2024-05-06,913837.18
2024-05-07,917598.49
2024-05-08,915644.49
2024-05-09,930187.49
2024-05-10,934125.89
2024-05-13,965009.67
2024-05-14,952110.12
2024-05-15,963511.92
2024-05-16,957804.44
2024-05-17,942720.96
2024-05-20,960893.43
2024-05-21,943573.43
2024-05-22,925914.43
2024-05-23,883184.05
2024-05-24,874601.23
2024-05-27,853807.74
2024-05-28,838152.23
2024-05-29,835178.02
2024-05-30,827522.02
2024-05-31,818175.3
2024-06-03,830713.2
2024-06-04,816664.14
2024-06-05,809001.74
2024-06-06,815453.2
2024-06-07,810978.77
2024-06-11,795073.52
2024-06-12,794784.69
2024-06-13,798582.69
2024-06-14,800315.42
2024-06-17,802942.42
2024-06-18,798838.13
2024-06-19,803316.13
2024-06-20,795913.97
2024-06-21,799028.22
2024-06-24,802777.22
2024-06-25,785445.52
2024-06-26,796650.82
2024-06-27,795442.82
2024-06-28,807446.02
2024-07-01,809833.02
2024-07-02,808321.02
2024-07-03,808993.02
2024-07-04,806369.64
2024-07-05,795718.64
2024-07-08,791882.61
2024-07-09,797180.2
2024-07-10,790791.6
2024-07-11,813715.83
2024-07-12,781840.93
2024-07-15,837634.99
2024-07-16,873668.99
2024-07-17,869788.33
2024-07-18,856576.33
2024-07-19,818955.63
2024-07-22,815884.63
2024-07-23,807083.8
2024-07-24,785336.95
2024-07-25,775866.85
2024-07-26,818446.65
2024-07-29,858964.62
2024-07-30,866776.6
2024-07-31,848172.6
2024-08-01,867337.6
2024-08-02,851060.6
2024-08-05,783926.21
2024-08-06,788919.95
2024-08-07,782324.01
2024-08-08,775562.01
2024-08-09,769200.91
2024-08-12,742281.91
2024-08-13,751863.07
2024-08-14,759410.91
2024-08-15,759123.31
2024-08-16,752891.31
2024-08-19,769517.29
2024-08-20,771446.95
2024-08-21,773020.95
2024-08-22,765651.95
2024-08-23,777748.58
2024-08-26,772852.15
2024-08-27,773112.15
2024-08-28,768628.38
2024-08-29,767134.76
2024-08-30,758455.25
2024-09-02,769445.21
2024-09-03,780913.61
2024-09-04,789776.41
2024-09-05,802809.82
2024-09-06,807018.82
2024-09-09,802847.18
2024-09-10,810487.12
2024-09-11,808544.12
2024-09-12,793770.6
2024-09-13,792084.16
2024-09-18,794820.8
2024-09-19,803818.0
2024-09-20,789936.8
2024-09-23,792080.2
2024-09-24,805090.26
2024-09-25,793175.86
2024-09-26,799245.36
2024-09-27,834576.33
2024-09-30,906125.93
2024-10-08,995974.93
2024-10-09,898135.13
2024-10-10,917504.73
2024-10-11,894557.43
2024-10-14,927372.13
2024-10-15,890575.96
2024-10-16,874412.9
2024-10-17,900236.75
2024-10-18,959448.65
2024-10-21,995360.25
2024-10-22,1009926.96
2024-10-23,964244.7
2024-10-24,966393.1
2024-10-25,987640.6
2024-10-28,995467.7
2024-10-29,1051699.7
2024-10-30,1123270.35
2024-10-31,1159079.71
2024-11-01,1065886.51
2024-11-04,1146695.98
2024-11-05,1166517.71
2024-11-06,1137348.81
2024-11-07,1119768.11
2024-11-08,1168090.51
2024-11-11,1187135.53
2024-11-12,1226164.43
2024-11-13,1169276.33
2024-11-14,1110225.9
2024-11-15,1077860.69
2024-11-18,983590.96
2024-11-19,951242.59
2024-11-20,949017.17
2024-11-21,967951.17
2024-11-22,942384.78
2024-11-25,953209.68
2024-11-26,880496.68
2024-11-27,908571.1
2024-11-28,852594.56
2024-11-29,849714.82
2024-12-02,881354.87
2024-12-03,871850.87
2024-12-04,834103.87
2024-12-05,844168.7
2024-12-06,851512.7
2024-12-09,849875.7
2024-12-10,888291.73
2024-12-11,862473.73
2024-12-12,854159.43
2024-12-13,838484.43
2024-12-16,802380.67
2024-12-17,773052.2
2024-12-18,805421.37
2024-12-19,867439.37
2024-12-20,867237.07
2024-12-23,844916.69
2024-12-24,862553.49
2024-12-25,880664.67
2024-12-26,933670.35
2024-12-27,905224.25
2024-12-30,912851.95
2024-12-31,891505.26
2025-01-02,843647.82
2025-01-03,796970.87
2025-01-06,774505.58
2025-01-07,792370.32
2025-01-08,816005.52
2025-01-09,775136.65
2025-01-10,727340.37
2025-01-13,735508.37
2025-01-14,795228.74
2025-01-15,807105.74
2025-01-16,800363.2
2025-01-17,790323.66
2025-01-20,791327.66
2025-01-21,805646.17
2025-01-22,826484.94
2025-01-23,857636.7
2025-01-24,881695.72
2025-01-27,995581.21
2025-02-05,1154827.79
2025-02-06,1332356.18
2025-02-07,1500228.18
2025-02-10,1740871.76
2025-02-11,1853670.76
2025-02-12,1967696.76
2025-02-13,2015949.76
2025-02-14,1843673.47
2025-02-17,1914338.8
2025-02-18,2050294.58
2025-02-19,2375578.45
2025-02-20,2139906.99
2025-02-21,2116013.99
2025-02-24,1848247.99
2025-02-25,1904804.51
2025-02-26,1877882.86
2025-02-27,1813564.75
2025-02-28,1703451.1
