序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000835,长动退,2021-08-18,3.212,2021-09-02,3.208,155600,-0.1998%,-998.95,11,信号
2,002076,星光股份,2021-08-18,1.982,2021-08-26,1.86,252200,-6.2452%,-31232.96,6,信号
3,002493,荣盛石化,2021-08-18,19.49,2021-08-20,18.011,25600,-7.6797%,-38336.01,2,信号
4,300334,津膜科技,2021-08-18,9.755,2021-08-27,10.435,51200,6.8630%,34294.28,7,信号
5,300553,集智股份,2021-08-18,22.688,2021-08-23,21.678,22000,-4.5479%,-22712.06,3,信号
6,300618,寒锐钴业,2021-08-18,92.046,2021-08-23,89.245,5400,-3.1396%,-15612.97,3,信号
7,300620,光库科技,2021-08-18,23.901,2021-08-23,23.01,20900,-3.8218%,-19100.74,3,信号
8,600331,宏达股份,2021-08-18,3.492,2021-08-25,3.258,143100,-6.7769%,-33878.93,5,信号
9,601606,长城军工,2021-08-18,13.484,2021-08-27,13.56,37000,0.4667%,2329.37,7,信号
10,601618,中国中冶,2021-08-18,3.723,2021-08-23,3.389,134300,-9.0507%,-45274.15,3,止损
11,601669,中国电建,2021-08-18,5.414,2021-08-26,5.288,92300,-2.4131%,-12063.80,6,信号
12,603068,博通集成,2021-08-18,90.395,2021-08-20,81.909,5500,-9.4784%,-47147.66,2,止损
13,603212,赛伍技术,2021-08-18,31.524,2021-08-20,28.284,15800,-10.3673%,-51662.95,2,止损
14,605086,龙高股份,2021-08-18,17.908,2021-08-23,16.484,27900,-8.0449%,-40214.82,3,止损
15,605128,上海沿浦,2021-08-18,12.391,2021-09-01,12.569,40300,1.3312%,6651.11,10,信号
16,688359,三孚新科,2021-08-18,56.563,2021-09-08,61.794,8800,9.1385%,45510.44,15,信号
17,688613,奥精医疗,2021-08-18,71.577,2021-08-23,69.296,6900,-3.2828%,-16221.02,3,信号
18,000762,西藏矿业,2021-08-19,56.997,2021-09-15,79.129,8700,38.6909%,191955.65,19,信号
19,600621,华鑫股份,2021-08-19,16.471,2021-08-27,15.815,30300,-4.0795%,-20370.27,6,信号
20,601990,南京证券,2021-08-19,11.058,2021-08-24,10.677,45200,-3.5409%,-17706.38,3,信号
