日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.009063,
2021-08-19,0.997761,
2021-08-20,0.996883,
2021-08-23,1.014313,
2021-08-24,1.014946,
2021-08-25,1.024999,
2021-08-26,1.020141,
2021-08-27,1.024159,
2021-08-30,1.031045,
2021-08-31,1.034383,
2021-09-01,1.006305,
2021-09-02,1.028288,
2021-09-03,1.014146,
2021-09-06,1.017130,
2021-09-07,1.031049,
2021-09-08,1.036052,
2021-09-09,1.040160,
2021-09-10,1.032738,
2021-09-13,1.046840,
2021-09-14,1.031041,
2021-09-15,1.046345,
2021-09-16,1.029807,
2021-09-17,1.030170,
2021-09-22,1.044419,
2021-09-23,1.038332,
2021-09-24,1.012680,
2021-09-27,0.979380,
2021-09-28,0.979883,
2021-09-29,0.949954,
2021-09-30,0.965359,
2021-10-08,0.965211,
2021-10-11,0.951779,
2021-10-12,0.939532,
2021-10-13,0.928094,
2021-10-14,0.927430,
2021-10-15,0.918947,
2021-10-18,0.925103,
2021-10-19,0.928586,
2021-10-20,0.927937,
2021-10-21,0.924874,
2021-10-22,0.912675,
2021-10-25,0.925176,
2021-10-26,0.919148,
2021-10-27,0.918847,
2021-10-28,0.904055,
2021-10-29,0.915777,
2021-11-01,0.926347,
2021-11-02,0.914747,
2021-11-03,0.913839,
2021-11-04,0.936180,
2021-11-05,0.925555,
2021-11-08,0.925598,
2021-11-09,0.935035,
2021-11-10,0.937887,
2021-11-11,0.941205,
2021-11-12,0.952422,
2021-11-15,0.948455,
2021-11-16,0.940648,
2021-11-17,0.952897,
2021-11-18,0.945392,
2021-11-19,0.951326,
2021-11-22,0.960679,
2021-11-23,0.959851,
2021-11-24,0.957358,
2021-11-25,0.955524,
2021-11-26,0.955077,
2021-11-29,0.956717,
2021-11-30,0.955655,
2021-12-01,0.957120,
2021-12-02,0.943519,
2021-12-03,0.946018,
2021-12-06,0.933071,
2021-12-07,0.924331,
2021-12-08,0.933079,
2021-12-09,0.933308,
2021-12-10,0.933501,
2021-12-13,0.934570,
2021-12-14,0.937308,
