日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10102818.22
2021-08-19,10107246.02
2021-08-20,9854478.18
2021-08-23,10028230.97
2021-08-24,10029366.0
2021-08-25,10103747.39
2021-08-26,9987080.33
2021-08-27,10172354.23
2021-08-30,10414771.68
2021-08-31,10498373.55
2021-09-01,10056024.82
2021-09-02,10179149.93
2021-09-03,9920890.32
2021-09-06,9927460.24
2021-09-07,10205977.74
2021-09-08,10143672.32
2021-09-09,10026078.12
2021-09-10,10209793.04
2021-09-13,10207394.02
2021-09-14,10065776.3
2021-09-15,10067963.47
2021-09-16,9557065.36
2021-09-17,9485145.67
2021-09-22,9433023.95
2021-09-23,9338406.8
2021-09-24,9075368.44
2021-09-27,8825317.28
2021-09-28,8781604.24
2021-09-29,8498154.04
2021-09-30,8741300.71
2021-10-08,8930916.51
2021-10-11,8888952.91
2021-10-12,8761974.83
2021-10-13,8866863.89
2021-10-14,8909475.78
2021-10-15,8927250.58
2021-10-18,8963899.73
2021-10-19,9140651.09
2021-10-20,9244006.49
2021-10-21,9148090.94
2021-10-22,9068810.52
2021-10-25,9181278.52
2021-10-26,9114299.05
2021-10-27,9243934.0
2021-10-28,9129557.67
2021-10-29,9360152.51
2021-11-01,9396728.88
2021-11-02,9159286.15
2021-11-03,8969878.69
2021-11-04,9211813.32
2021-11-05,8982029.28
2021-11-08,8989935.31
2021-11-09,9085815.6
2021-11-10,9012329.9
2021-11-11,8940310.39
2021-11-12,8914587.78
2021-11-15,8783346.46
2021-11-16,8795458.43
2021-11-17,8920820.77
2021-11-18,8832713.47
2021-11-19,8845563.72
2021-11-22,8932308.33
2021-11-23,8976761.92
2021-11-24,9040636.25
2021-11-25,8927851.4
2021-11-26,9016770.46
2021-11-29,9128052.7
2021-11-30,9060595.95
2021-12-01,9172960.9
2021-12-02,9162508.32
2021-12-03,9216294.65
2021-12-06,9057572.53
2021-12-07,9072948.94
2021-12-08,9264106.51
2021-12-09,9339441.8
2021-12-10,9380861.0
2021-12-13,9503469.5
2021-12-14,9433762.18
2021-12-15,9354464.83
2021-12-16,9418867.74
2021-12-17,9294916.13
2021-12-20,9004623.54
2021-12-21,8864671.4
2021-12-22,8623824.96
2021-12-23,8595911.05
2021-12-24,8403866.62
2021-12-27,8357258.99
2021-12-28,8298502.45
2021-12-29,8205197.32
2021-12-30,8164629.56
2021-12-31,8394435.56
2022-01-04,8253308.06
2022-01-05,7927921.61
2022-01-06,7896897.54
2022-01-07,7719578.67
2022-01-10,7737236.38
2022-01-11,7668145.43
2022-01-12,7653463.89
2022-01-13,7374234.24
2022-01-14,7475403.95
2022-01-17,7529863.05
2022-01-18,7310869.77
2022-01-19,7182778.8
2022-01-20,7305808.64
2022-01-21,7131373.23
2022-01-24,7096937.02
2022-01-25,6910428.89
2022-01-26,6893397.98
2022-01-27,6732150.27
2022-01-28,6671854.58
2022-02-07,6660370.1
2022-02-08,6605413.74
2022-02-09,6696908.32
2022-02-10,6740616.72
