序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000751,锌业股份,2021-08-18,4.092,2021-08-20,3.878,122100,-5.3240%,-26614.14,2,信号
2,002346,柘中股份,2021-08-18,18.472,2021-08-23,17.354,27000,-6.1458%,-30667.31,3,信号
3,002438,江苏神通,2021-08-18,11.641,2021-08-26,11.909,42900,2.2019%,11001.71,6,信号
4,002506,协鑫集成,2021-08-18,4.562,2021-08-31,5.427,109500,18.8410%,94171.12,9,信号
5,002508,老板电器,2021-08-18,38.799,2021-08-20,37.551,12800,-3.3137%,-16465.28,2,信号
6,300017,网宿科技,2021-08-18,5.385,2021-08-25,5.379,92800,-0.1998%,-998.90,5,信号
7,300077,国民技术,2021-08-18,31.286,2021-08-24,28.056,15900,-10.4128%,-51823.52,4,信号
8,300106,西部牧业,2021-08-18,12.176,2021-08-23,10.615,41000,-12.9106%,-64484.41,3,信号
9,300208,中程退,2021-08-18,13.557,2021-08-25,15.292,36800,12.6895%,63338.34,5,信号
10,300238,冠昊生物,2021-08-18,19.12,2021-08-23,18.241,26100,-4.6911%,-23421.10,3,信号
11,300329,海伦钢琴,2021-08-18,12.194,2021-08-24,12.222,41000,0.1277%,638.94,4,信号
12,600079,ST人福,2021-08-18,21.691,2021-08-23,21.669,23000,-0.1998%,-997.28,3,信号
13,600518,康美药业,2021-08-18,3.185,2021-08-24,2.985,157000,-6.3766%,-31897.54,4,信号
14,600645,中源协和,2021-08-18,22.191,2021-08-23,19.88,22500,-10.5038%,-52471.59,3,信号
15,601669,中国电建,2021-08-18,5.414,2021-08-27,5.148,92300,-4.9952%,-24972.88,7,信号
16,601800,中国交建,2021-08-18,5.704,2021-08-23,5.648,87600,-1.0751%,-5374.44,3,信号
17,603227,雪峰科技,2021-08-18,5.423,2021-09-08,5.567,92200,2.5622%,12816.73,15,信号
18,603799,华友钴业,2021-08-18,95.068,2021-08-24,91.504,5200,-3.8444%,-19014.17,4,信号
19,603901,永创智能,2021-08-18,14.794,2021-08-20,13.33,33700,-9.9861%,-49812.79,2,信号
20,605199,ST葫芦娃,2021-08-18,22.536,2021-08-20,21.344,22100,-5.3837%,-26826.75,2,信号
21,000625,长安汽车,2021-08-20,16.02,2021-08-25,15.234,31200,-4.9991%,-24999.13,3,信号
22,002460,赣锋锂业,2021-08-20,123.319,2021-09-02,135.475,4000,9.7481%,48108.81,9,信号
23,002466,天齐锂业,2021-08-20,106.704,2021-09-02,115.483,4600,8.1191%,39871.93,9,信号
24,600438,通威股份,2021-08-20,44.351,2021-09-02,52.303,9100,17.8110%,71920.43,9,信号
25,000155,川能动力,2021-08-23,29.685,2021-09-02,32.404,16800,9.0503%,45156.90,8,信号
26,000831,中国稀土,2021-08-23,51.777,2021-08-25,50.426,9600,-2.7068%,-13461.14,2,信号
27,002049,紫光国微,2021-08-23,151.511,2021-08-31,160.37,2100,5.7414%,18276.55,6,信号
28,300142,沃森生物,2021-08-23,79.988,2021-09-01,79.248,6200,-1.0237%,-5079.26,7,信号
29,600111,北方稀土,2021-08-23,42.263,2021-09-03,52.826,11800,24.8672%,124075.92,9,信号
30,600460,士兰微,2021-08-23,59.3,2021-09-01,53.503,8400,-9.8649%,-49163.53,7,信号
31,002176,江特电机,2021-08-24,24.002,2021-09-06,22.989,20800,-4.3183%,-21569.40,9,信号
