日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.011423,
2021-08-19,1.005147,
2021-08-20,0.999226,
2021-08-23,1.017852,
2021-08-24,1.021001,
2021-08-25,1.028032,
2021-08-26,1.023228,
2021-08-27,1.023305,
2021-08-30,1.025123,
2021-08-31,1.025829,
2021-09-01,1.018128,
2021-09-02,1.025710,
2021-09-03,1.027093,
2021-09-06,1.036752,
2021-09-07,1.046620,
2021-09-08,1.057427,
2021-09-09,1.058825,
2021-09-10,1.052271,
2021-09-13,1.055749,
2021-09-14,1.044416,
2021-09-15,1.048183,
2021-09-16,1.032333,
2021-09-17,1.029591,
2021-09-22,1.033875,
2021-09-23,1.034331,
2021-09-24,1.017634,
2021-09-27,0.996395,
2021-09-28,0.995606,
2021-09-29,0.970163,
2021-09-30,0.985356,
2021-10-08,0.996484,
2021-10-11,0.995147,
2021-10-12,0.981839,
2021-10-13,0.985247,
2021-10-14,0.990102,
2021-10-15,0.983091,
2021-10-18,0.988709,
2021-10-19,0.992453,
2021-10-20,0.991567,
2021-10-21,0.987726,
2021-10-22,0.976755,
2021-10-25,0.985918,
2021-10-26,0.982645,
2021-10-27,0.972308,
2021-10-28,0.955860,
2021-10-29,0.965102,
2021-11-01,0.975603,
2021-11-02,0.964836,
2021-11-03,0.970892,
2021-11-04,0.984809,
2021-11-05,0.983773,
2021-11-08,0.988056,
2021-11-09,0.997840,
2021-11-10,1.005541,
2021-11-11,1.016234,
2021-11-12,1.024776,
2021-11-15,1.034053,
2021-11-16,1.026199,
2021-11-17,1.036750,
2021-11-18,1.028557,
2021-11-19,1.035991,
2021-11-22,1.043181,
2021-11-23,1.046574,
2021-11-24,1.049196,
2021-11-25,1.048082,
2021-11-26,1.045647,
2021-11-29,1.043942,
2021-11-30,1.048891,
2021-12-01,1.055863,
2021-12-02,1.045569,
2021-12-03,1.049041,
2021-12-06,1.037202,
2021-12-07,1.036791,
2021-12-08,1.044050,
2021-12-09,1.050915,
2021-12-10,1.053145,
2021-12-13,1.057502,
2021-12-14,1.061387,
2021-12-15,1.060773,
2021-12-16,1.068955,
2021-12-17,1.061265,
2021-12-20,1.051852,
2021-12-21,1.065399,
2021-12-22,1.066393,
2021-12-23,1.058215,
2021-12-24,1.045677,
2021-12-27,1.048665,
2021-12-28,1.049600,
2021-12-29,1.048902,
2021-12-30,1.056635,
2021-12-31,1.062377,
2022-01-04,1.072033,
2022-01-05,1.058984,
2022-01-06,1.064362,
2022-01-07,1.050066,
2022-01-10,1.056429,
2022-01-11,1.053801,
2022-01-12,1.062683,
2022-01-13,1.054067,
2022-01-14,1.047747,
2022-01-17,1.056968,
2022-01-18,1.039323,
2022-01-19,1.035187,
2022-01-20,1.012238,
2022-01-21,1.002652,
2022-01-24,0.999154,
2022-01-25,0.965992,
2022-01-26,0.969469,
2022-01-27,0.938453,
2022-01-28,0.947206,
2022-02-07,0.957470,
2022-02-08,0.972432,
2022-02-09,0.984115,
2022-02-10,0.982526,
2022-02-11,0.963238,
2022-02-14,0.962451,
2022-02-15,0.963848,
2022-02-16,0.974313,
2022-02-17,0.972251,
2022-02-18,0.976506,
2022-02-21,0.988265,
2022-02-22,0.978732,
2022-02-23,0.993843,
2022-02-24,0.972788,
2022-02-25,0.981635,
2022-02-28,0.982145,
2022-03-01,0.985711,
2022-03-02,0.989446,
2022-03-03,0.988853,
2022-03-04,0.978962,
2022-03-07,0.969630,
2022-03-08,0.945029,
2022-03-09,0.938296,
2022-03-10,0.945302,
2022-03-11,0.955514,
2022-03-14,0.931475,
2022-03-15,0.890168,
2022-03-16,0.911039,
2022-03-17,0.922711,
2022-03-18,0.933430,
2022-03-21,0.944523,
2022-03-22,0.943738,
2022-03-23,0.946960,
2022-03-24,0.935721,
2022-03-25,0.933042,
2022-03-28,0.929467,
2022-03-29,0.923690,
2022-03-30,0.929904,
2022-03-31,0.929751,
2022-04-01,0.933072,
2022-04-06,0.942607,
2022-04-07,0.922187,
2022-04-08,0.921126,
2022-04-11,0.902463,
2022-04-12,0.911406,
2022-04-13,0.896744,
2022-04-14,0.903144,
2022-04-15,0.888837,
2022-04-18,0.894103,
2022-04-19,0.895503,
2022-04-20,0.886999,
2022-04-21,0.855541,
2022-04-22,0.847770,
2022-04-25,0.797595,
2022-04-26,0.775529,
2022-04-27,0.788619,
2022-04-28,0.779651,
2022-04-29,0.813287,
2022-05-05,0.827580,
2022-05-06,0.820389,
2022-05-09,0.834235,
2022-05-10,0.849682,
2022-05-11,0.852732,
2022-05-12,0.860360,
2022-05-13,0.866814,
2022-05-16,0.868474,
2022-05-17,0.867596,
2022-05-18,0.873467,
2022-05-19,0.878821,
2022-05-20,0.889066,
2022-05-23,0.900275,
2022-05-24,0.864522,
2022-05-25,0.870076,
2022-05-26,0.872234,
2022-05-27,0.871647,
2022-05-30,0.878392,
2022-05-31,0.885786,
2022-06-01,0.890202,
2022-06-02,0.899830,
2022-06-06,0.914654,
2022-06-07,0.908786,
2022-06-08,0.906820,
2022-06-09,0.891530,
2022-06-10,0.897171,
2022-06-13,0.899502,
2022-06-14,0.903112,
2022-06-15,0.899273,
2022-06-16,0.902441,
2022-06-17,0.903575,
2022-06-20,0.914823,
2022-06-21,0.910792,
2022-06-22,0.899569,
2022-06-23,0.911961,
2022-06-24,0.921356,
2022-06-27,0.928008,
2022-06-28,0.941663,
2022-06-29,0.921052,
2022-06-30,0.926922,
2022-07-01,0.924651,
2022-07-04,0.927727,
