日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10027896.85
2021-08-19,10081376.21
2021-08-20,9872684.81
2021-08-23,10095159.93
2021-08-24,10148252.33
2021-08-25,10117595.3
2021-08-26,9886775.83
2021-08-27,10039001.74
2021-08-30,10135000.24
2021-08-31,9939041.74
2021-09-01,9986589.28
2021-09-02,9973801.32
2021-09-03,9965679.27
2021-09-06,10103688.0
2021-09-07,10196018.3
2021-09-08,10213128.7
2021-09-09,10122777.66
2021-09-10,10251705.86
2021-09-13,10149642.25
2021-09-14,10208771.42
2021-09-15,10175030.6
2021-09-16,9832098.29
2021-09-17,9994214.39
2021-09-22,10024618.56
2021-09-23,10129827.1
2021-09-24,10103460.44
2021-09-27,9824046.63
2021-09-28,9718924.63
2021-09-29,9505924.42
2021-09-30,9563347.82
2021-10-08,9613047.12
2021-10-11,9634086.28
2021-10-12,9444765.18
2021-10-13,9431396.33
2021-10-14,9393104.33
2021-10-15,9590251.44
2021-10-18,9922134.64
2021-10-19,10012221.46
2021-10-20,10132008.2
2021-10-21,10089244.56
2021-10-22,9919267.38
2021-10-25,10042642.74
2021-10-26,10013136.56
2021-10-27,9913589.96
2021-10-28,9643336.08
2021-10-29,9653963.63
2021-11-01,9618505.35
2021-11-02,9550115.7
2021-11-03,9547308.17
2021-11-04,9707633.31
2021-11-05,9615328.01
2021-11-08,9705078.77
2021-11-09,9780124.57
2021-11-10,9746895.77
2021-11-11,9830452.04
2021-11-12,9697167.6
2021-11-15,9572630.67
2021-11-16,9503777.82
2021-11-17,9517330.79
2021-11-18,9499677.39
2021-11-19,9575991.68
2021-11-22,9731566.77
2021-11-23,9719212.98
2021-11-24,9574914.82
2021-11-25,9488182.78
2021-11-26,9584093.91
2021-11-29,9834035.56
2021-11-30,9861599.94
2021-12-01,9849338.45
2021-12-02,9715671.83
2021-12-03,9704260.25
2021-12-06,9631777.24
2021-12-07,9578361.43
2021-12-08,9770920.02
2021-12-09,9926258.81
2021-12-10,10013277.11
2021-12-13,10009920.35
2021-12-14,9848554.85
2021-12-15,9770634.63
2021-12-16,9801562.5
2021-12-17,9675311.52
2021-12-20,9469260.76
2021-12-21,9534701.44
2021-12-22,9632757.59
2021-12-23,9703481.76
2021-12-24,9491252.05
2021-12-27,9544277.44
2021-12-28,9665795.65
2021-12-29,9484736.37
2021-12-30,9534137.54
2021-12-31,9606517.55
2022-01-04,9308102.25
2022-01-05,9112411.49
2022-01-06,9082807.7
2022-01-07,9081722.04
2022-01-10,9125684.67
2022-01-11,9054711.56
2022-01-12,9162907.46
2022-01-13,8996730.17
2022-01-14,8878589.52
2022-01-17,8923823.02
2022-01-18,9040213.96
2022-01-19,8923942.92
2022-01-20,8890274.28
2022-01-21,8806709.4
2022-01-24,8952304.25
2022-01-25,8721556.05
2022-01-26,8726429.04
2022-01-27,8505524.11
2022-01-28,8399827.79
2022-02-07,8481143.33
2022-02-08,8578889.63
2022-02-09,8713555.38
2022-02-10,8661494.17
2022-02-11,8453874.45
2022-02-14,8298469.31
2022-02-15,8374019.67
2022-02-16,8425632.4
2022-02-17,8542171.4
2022-02-18,8493390.86
2022-02-21,8497129.79
2022-02-22,8496794.59
2022-02-23,8711208.53
2022-02-24,8599725.4
2022-02-25,8756934.36
2022-02-28,8745217.17
2022-03-01,8775508.98
2022-03-02,8667250.98
2022-03-03,8585484.65
2022-03-04,8477857.17
2022-03-07,8314049.52
2022-03-08,7964858.26
2022-03-09,8102366.51
2022-03-10,8133566.61
2022-03-11,8111336.09
2022-03-14,7923202.09
2022-03-15,7493725.46
2022-03-16,7934908.89
2022-03-17,8056737.53
2022-03-18,8076029.03
2022-03-21,8301855.23
2022-03-22,8173548.69
2022-03-23,8160843.56
2022-03-24,8103925.6
2022-03-25,7968504.38
2022-03-28,7839447.98
2022-03-29,7915031.38
2022-03-30,8010722.62
2022-03-31,7797242.02
2022-04-01,7768494.87
2022-04-06,7789046.7
2022-04-07,7746035.88
2022-04-08,7645072.37
2022-04-11,7347270.04
2022-04-12,7565480.99
2022-04-13,7520992.89
2022-04-14,7643500.4
2022-04-15,7502118.32
2022-04-18,7427041.07
2022-04-19,7403124.82
2022-04-20,7093746.76
2022-04-21,6814216.43
2022-04-22,6578817.33
2022-04-25,6145942.85
2022-04-26,6006116.17
2022-04-27,6210357.86
2022-04-28,6064192.74
2022-04-29,6244932.61
2022-05-05,6273118.9
2022-05-06,6214704.13
2022-05-09,6308054.27
2022-05-10,6317237.45
2022-05-11,6387711.65
2022-05-12,6343523.01
2022-05-13,6420428.8
2022-05-16,6435158.78
2022-05-17,6445083.77
2022-05-18,6357732.98
2022-05-19,6456951.55
2022-05-20,6618255.18
2022-05-23,6626674.47
2022-05-24,6449347.29
2022-05-25,6510918.02
2022-05-26,6482904.36
2022-05-27,6460974.99
2022-05-30,6438379.28
2022-05-31,6303164.76
2022-06-01,6123497.26
2022-06-02,5958961.12
2022-06-06,6108079.07
2022-06-07,6245586.37
2022-06-08,6283801.05
2022-06-09,6189073.33
2022-06-10,6238054.07
2022-06-13,6174216.39
2022-06-14,6135686.25
2022-06-15,6128335.45
2022-06-16,6231715.48
2022-06-17,6293106.98
2022-06-20,6477287.79
2022-06-21,6491467.87
2022-06-22,6443625.05
2022-06-23,6505212.38
2022-06-24,6474198.04
