序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,300077,国民技术,2021-08-18,31.286,2021-08-23,27.996,15900,-10.6043%,-52776.56,3,止损
2,603555,ST贵人,2021-08-18,2.821,2021-08-25,3.268,177200,15.7258%,78660.87,5,止盈
3,000681,视觉中国,2021-08-19,10.801,2021-08-25,10.661,46200,-1.4015%,-6997.55,4,信号
4,002174,游族网络,2021-08-19,11.725,2021-09-09,13.702,42600,16.7472%,83690.79,15,止盈
5,002530,金财互联,2021-08-19,6.267,2021-08-23,6.091,79700,-2.9083%,-14533.94,2,信号
6,300052,中青宝,2021-08-19,7.994,2021-09-01,7.996,62500,-0.0749%,-374.37,9,信号
7,300061,旗天科技,2021-08-19,7.744,2021-08-27,7.206,64500,-7.0337%,-35149.28,6,信号
8,300253,卫宁健康,2021-08-19,13.742,2021-09-13,14.428,36300,4.8865%,24387.44,17,信号
9,300311,任子行,2021-08-19,9.255,2021-08-27,8.886,54000,-4.0839%,-20419.56,6,信号
10,300467,迅游科技,2021-08-19,12.736,2021-08-25,12.524,39200,-1.7678%,-8830.19,4,信号
11,300526,中潜退,2021-08-19,25.523,2021-08-25,24.618,19500,-3.6425%,-18137.73,4,信号
12,300581,晨曦航空,2021-08-19,21.169,2021-08-27,19.801,23600,-6.5535%,-32756.08,6,止损
13,300590,移为通信,2021-08-19,16.574,2021-08-26,16.611,30100,0.1195%,596.43,5,信号
14,300628,亿联网络,2021-08-19,55.789,2021-08-27,52.299,8900,-6.3495%,-31542.37,6,止损
15,300940,南极光,2021-08-19,24.305,2021-09-01,23.943,20500,-1.5884%,-7918.09,9,信号
16,600373,中文传媒,2021-08-19,7.035,2021-09-07,8.127,71000,15.4139%,77023.52,13,止盈
17,603368,柳药集团,2021-08-19,15.516,2021-08-23,13.951,32200,-10.1747%,-50858.82,2,止损
18,603489,八方股份,2021-08-19,100.526,2021-08-23,100.987,4900,0.3584%,1766.38,2,信号
19,603733,仙鹤股份,2021-08-19,34.557,2021-08-25,34.013,14400,-1.6734%,-8331.41,4,信号
20,688083,中望软件,2021-08-19,191.327,2021-08-30,203.367,2600,6.1870%,30792.59,7,信号
21,002240,盛新锂能,2021-08-23,42.784,2021-08-30,55.085,11600,28.6226%,142124.67,5,止盈
22,300142,沃森生物,2021-08-23,79.988,2021-09-01,79.248,6200,-1.0237%,-5079.26,7,信号
23,600460,士兰微,2021-08-23,59.3,2021-09-01,53.503,8400,-9.8649%,-49163.53,7,止损
24,600584,长电科技,2021-08-23,35.148,2021-08-27,32.914,11500,-6.4497%,-26082.70,4,信号
25,300760,迈瑞医疗,2021-08-25,286.452,2021-09-07,328.195,1700,14.4578%,70440.08,9,止盈
26,600418,江淮汽车,2021-08-25,15.779,2021-09-06,15.773,31600,-0.1365%,-681.04,8,信号
27,600519,贵州茅台,2021-08-25,1425.411,2021-09-01,1335.391,300,-6.4090%,-27420.23,5,信号
28,603259,药明康德,2021-08-25,125.033,2021-09-14,130.606,3900,4.3521%,21233.00,14,信号
29,603986,兆易创新,2021-08-25,175.898,2021-09-01,148.806,2800,-15.4869%,-76313.15,5,止损
30,300014,亿纬锂能,2021-08-26,100.365,2021-09-03,93.038,4900,-7.3927%,-36374.67,6,止损
31,000636,风华高科,2021-08-27,29.388,2021-09-06,27.509,17000,-6.4855%,-32417.24,6,信号
32,002273,水晶光电,2021-08-27,12.627,2021-09-02,12.295,39500,-2.7302%,-13624.42,4,信号
33,002341,ST新纶,2021-08-27,5.513,2021-09-13,5.767,73300,4.5095%,18231.18,11,信号
34,300438,鹏辉能源,2021-08-27,31.609,2021-09-03,30.488,15800,-3.6430%,-18203.12,5,信号
