日期,权益(元)
2021-08-17,10000000.0
2021-08-18,9977895.15
2021-08-19,10219058.25
2021-08-20,10066328.03
2021-08-23,10356561.04
2021-08-24,10471807.9
2021-08-25,10527731.75
2021-08-26,10209122.93
2021-08-27,10352519.01
2021-08-30,10246870.64
2021-08-31,10173824.2
2021-09-01,10368739.0
2021-09-02,10321813.22
2021-09-03,10270759.36
2021-09-06,10502187.56
2021-09-07,10750329.97
2021-09-08,10590835.82
2021-09-09,10478918.01
2021-09-10,10618605.66
2021-09-13,10484821.03
2021-09-14,10633197.6
2021-09-15,10623324.45
2021-09-16,10218869.05
2021-09-17,10149202.83
2021-09-22,10257284.68
2021-09-23,10297193.37
2021-09-24,10205092.37
2021-09-27,9908101.01
2021-09-28,9937812.44
2021-09-29,9580726.57
2021-09-30,9910199.97
2021-10-08,9778935.21
2021-10-11,9670979.12
2021-10-12,9349291.3
2021-10-13,9506421.17
2021-10-14,9479992.98
2021-10-15,9635396.68
2021-10-18,9886867.05
2021-10-19,10046499.78
2021-10-20,10035273.89
2021-10-21,10146553.26
2021-10-22,10195968.49
2021-10-25,10201427.38
2021-10-26,10159163.98
2021-10-27,9937655.83
2021-10-28,9815976.42
2021-10-29,9887044.69
2021-11-01,9748370.53
2021-11-02,9781955.05
2021-11-03,9992821.4
2021-11-04,10005783.64
2021-11-05,9899451.84
2021-11-08,10097613.37
2021-11-09,10367535.3
2021-11-10,10255108.9
2021-11-11,10388813.66
2021-11-12,10431353.46
2021-11-15,10229229.3
2021-11-16,10173154.74
2021-11-17,10385176.96
2021-11-18,10514765.56
2021-11-19,10656615.14
2021-11-22,10801983.54
2021-11-23,10672070.56
2021-11-24,10635962.08
2021-11-25,10551309.97
2021-11-26,10499155.37
2021-11-29,10504032.09
2021-11-30,10585341.39
2021-12-01,10545290.47
2021-12-02,10453685.35
2021-12-03,10602338.42
2021-12-06,10541427.34
2021-12-07,10637020.84
2021-12-08,10895643.7
2021-12-09,10971871.14
2021-12-10,11178450.46
2021-12-13,11247932.5
2021-12-14,11249469.51
2021-12-15,11160845.7
2021-12-16,11202222.51
2021-12-17,10925077.44
2021-12-20,10612525.19
2021-12-21,10686452.41
2021-12-22,10735002.02
