序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000063,中兴通讯,2021-08-18,32.418,2021-08-31,30.407,15400,-6.2983%,-31459.50,9,止损
2,002074,国轩高科,2021-08-18,51.908,2021-08-31,55.574,9600,6.9560%,34680.16,9,信号
3,002176,江特电机,2021-08-18,21.811,2021-08-24,23.978,22900,9.8260%,49102.42,4,止盈
4,002460,赣锋锂业,2021-08-18,115.458,2021-08-24,129.907,4300,12.4024%,61604.52,4,止盈
5,002466,天齐锂业,2021-08-18,93.618,2021-08-20,106.598,5300,13.7510%,68262.84,2,止盈
6,002594,比亚迪,2021-08-18,92.052,2021-09-02,85.829,5400,-6.8534%,-34084.15,11,止损
7,002812,恩捷股份,2021-08-18,235.899,2021-08-24,261.64,2100,10.8011%,53534.15,4,止盈
8,300014,亿纬锂能,2021-08-18,103.257,2021-08-23,98.026,4800,-5.1606%,-25590.15,3,止损
9,300059,东方财富,2021-08-18,21.426,2021-09-08,23.355,23300,8.8971%,44438.19,15,信号
10,300142,沃森生物,2021-08-18,75.326,2021-08-24,86.265,6600,14.4081%,71665.48,4,止盈
11,300339,润和软件,2021-08-18,31.597,2021-08-27,28.837,15800,-8.8270%,-44088.84,7,止损
12,300712,永福股份,2021-08-18,64.587,2021-08-20,58.576,7700,-9.3983%,-46763.34,2,止损
13,300750,宁德时代,2021-08-18,248.575,2021-08-25,269.127,2000,8.1598%,40586.58,5,信号
14,600031,三一重工,2021-08-18,27.202,2021-08-26,24.976,18300,-8.2754%,-41214.83,6,止损
15,600111,北方稀土,2021-08-18,38.661,2021-08-24,45.509,12900,17.5949%,87795.18,4,止盈
16,600196,复星医药,2021-08-18,65.58,2021-08-23,62.096,7600,-5.4070%,-26962.33,3,止损
17,600418,江淮汽车,2021-08-18,15.959,2021-08-30,16.943,31300,6.0569%,30270.18,8,信号
18,600703,三安光电,2021-08-18,37.722,2021-09-02,33.486,13200,-11.3172%,-56379.93,11,止损
19,603259,药明康德,2021-08-18,124.303,2021-09-02,127.047,4000,2.1056%,10474.59,11,信号
20,603986,兆易创新,2021-08-18,164.772,2021-09-01,148.806,3000,-9.7805%,-48370.72,10,止损
21,000858,五粮液,2021-08-20,189.239,2021-09-13,189.529,2600,0.0535%,263.20,16,到期
22,600519,贵州茅台,2021-08-20,1332.895,2021-09-07,1437.37,300,7.7304%,30926.91,12,信号
23,300760,迈瑞医疗,2021-08-23,259.549,2021-08-26,304.157,1900,17.0697%,84219.94,3,止盈
24,600276,恒瑞医药,2021-08-23,46.654,2021-09-08,47.137,10700,0.9345%,4667.43,12,信号
25,600763,通策医疗,2021-08-24,189.589,2021-08-30,172.215,2600,-9.2548%,-45642.48,4,止损
26,600809,山西汾酒,2021-08-24,251.015,2021-09-15,276.901,1900,10.2023%,48681.95,16,止盈
27,601318,中国平安,2021-08-24,39.946,2021-09-01,37.387,12500,-6.4989%,-32466.66,6,止损
28,601888,中国中免,2021-08-24,228.694,2021-09-08,243.768,2100,6.4847%,31158.82,11,信号
