日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.005857,
2021-08-19,1.011487,
2021-08-20,1.004502,
2021-08-23,1.034961,
2021-08-24,1.041727,
2021-08-25,1.045656,
2021-08-26,1.033431,
2021-08-27,1.027440,
2021-08-30,1.026520,
2021-08-31,1.021370,
2021-09-01,1.027045,
2021-09-02,1.031087,
2021-09-03,1.038629,
2021-09-06,1.053456,
2021-09-07,1.061442,
2021-09-08,1.067740,
2021-09-09,1.064392,
2021-09-10,1.063034,
2021-09-13,1.057316,
2021-09-14,1.056189,
2021-09-15,1.056870,
2021-09-16,1.039048,
2021-09-17,1.034657,
2021-09-22,1.035456,
2021-09-23,1.047527,
2021-09-24,1.031890,
2021-09-27,1.005878,
2021-09-28,1.008353,
2021-09-29,0.980798,
2021-09-30,0.996695,
2021-10-08,1.014097,
2021-10-11,1.015205,
2021-10-12,0.997550,
2021-10-13,1.000959,
2021-10-14,1.007118,
2021-10-15,0.997272,
2021-10-18,1.006330,
2021-10-19,1.010030,
2021-10-20,1.007941,
2021-10-21,1.001800,
2021-10-22,0.992925,
2021-10-25,0.994935,
2021-10-26,0.990704,
2021-10-27,0.970257,
2021-10-28,0.957201,
2021-10-29,0.969732,
2021-11-01,0.980881,
2021-11-02,0.966804,
2021-11-03,0.974759,
2021-11-04,0.984623,
2021-11-05,0.980581,
2021-11-08,0.988392,
2021-11-09,0.998050,
2021-11-10,1.000867,
2021-11-11,1.010770,
2021-11-12,1.014440,
2021-11-15,1.019281,
2021-11-16,1.013049,
2021-11-17,1.026364,
2021-11-18,1.026294,
2021-11-19,1.039762,
2021-11-22,1.050716,
2021-11-23,1.051277,
2021-11-24,1.052202,
2021-11-25,1.049394,
2021-11-26,1.044661,
2021-11-29,1.044912,
2021-11-30,1.055197,
2021-12-01,1.066833,
2021-12-02,1.056728,
2021-12-03,1.061408,
2021-12-06,1.048543,
2021-12-07,1.043944,
2021-12-08,1.056753,
2021-12-09,1.065576,
2021-12-10,1.072267,
2021-12-13,1.078090,
2021-12-14,1.087942,
2021-12-15,1.090068,
2021-12-16,1.097283,
2021-12-17,1.086283,
2021-12-20,1.075415,
2021-12-21,1.089212,
2021-12-22,1.096435,
2021-12-23,1.092861,
2021-12-24,1.073157,
2021-12-27,1.077356,
2021-12-28,1.088220,
2021-12-29,1.087105,
2021-12-30,1.096369,
2021-12-31,1.101713,
2022-01-04,1.114775,
2022-01-05,1.102073,
2022-01-06,1.110603,
2022-01-07,1.094908,
2022-01-10,1.100971,
2022-01-11,1.093206,
2022-01-12,1.108879,
2022-01-13,1.094519,
2022-01-14,1.090268,
2022-01-17,1.107841,
2022-01-18,1.100968,
2022-01-19,1.098293,
2022-01-20,1.073317,
2022-01-21,1.062360,
2022-01-24,1.058864,
2022-01-25,1.015742,
2022-01-26,1.021505,
2022-01-27,0.989984,
2022-01-28,1.001716,
2022-02-07,1.013659,
2022-02-08,1.030006,
2022-02-09,1.045745,
2022-02-10,1.041505,
2022-02-11,1.019754,
2022-02-14,1.020875,
2022-02-15,1.028114,
2022-02-16,1.039819,
2022-02-17,1.036545,
2022-02-18,1.044351,
2022-02-21,1.061585,
2022-02-22,1.045900,
2022-02-23,1.063936,
2022-02-24,1.039926,
2022-02-25,1.048618,
2022-02-28,1.049466,
2022-03-01,1.059434,
2022-03-02,1.061185,
2022-03-03,1.061200,
2022-03-04,1.048774,
2022-03-07,1.029230,
2022-03-08,1.000029,
