日期,权益(元)
2021-08-17,10000000.0
2021-08-18,9982733.63
2021-08-19,10077437.03
2021-08-20,9833596.66
2021-08-23,10028582.42
2021-08-24,10137944.83
2021-08-25,10125811.33
2021-08-26,9914412.33
2021-08-27,9949179.13
2021-08-30,9932582.58
2021-08-31,9877418.51
2021-09-01,9937437.2
2021-09-02,9726617.56
2021-09-03,9808889.6
2021-09-06,10065754.07
2021-09-07,10069811.97
2021-09-08,10042604.27
2021-09-09,9915929.24
2021-09-10,10005438.14
2021-09-13,9919435.56
2021-09-14,9992247.74
2021-09-15,9806602.26
2021-09-16,9672373.53
2021-09-17,9738179.53
2021-09-22,9694719.64
2021-09-23,9824916.86
2021-09-24,9765971.87
2021-09-27,9772240.74
2021-09-28,9739239.08
2021-09-29,9482189.27
2021-09-30,9669172.85
2021-10-08,9762785.67
2021-10-11,9759779.87
2021-10-12,9445981.86
2021-10-13,9586475.18
2021-10-14,9599561.76
2021-10-15,9549363.44
2021-10-18,9748784.64
2021-10-19,9843953.8
2021-10-20,9832146.87
2021-10-21,9959205.57
2021-10-22,9739505.9
2021-10-25,9815874.06
2021-10-26,9831660.62
2021-10-27,9604961.56
2021-10-28,9392503.53
2021-10-29,9456610.34
2021-11-01,9412749.34
2021-11-02,9201020.63
2021-11-03,9266199.19
2021-11-04,9306333.79
2021-11-05,9182121.19
2021-11-08,9322884.26
2021-11-09,9362103.6
2021-11-10,9358890.6
2021-11-11,9565660.45
2021-11-12,9470456.72
2021-11-15,9484490.24
2021-11-16,9513832.44
2021-11-17,9625900.74
2021-11-18,9574169.94
2021-11-19,9712685.44
2021-11-22,9901587.23
2021-11-23,9973904.73
2021-11-24,10060885.29
2021-11-25,10055717.3
2021-11-26,10018682.61
2021-11-29,10032187.97
2021-11-30,10115593.17
2021-12-01,10199938.87
2021-12-02,10120371.97
2021-12-03,10098175.37
2021-12-06,10078047.22
2021-12-07,10070173.98
2021-12-08,10228207.19
2021-12-09,10423737.01
2021-12-10,10565299.11
2021-12-13,10556862.32
2021-12-14,10494151.53
2021-12-15,10448019.63
2021-12-16,10501379.37
2021-12-17,10351170.27
2021-12-20,10107188.36
2021-12-21,10202508.25
2021-12-22,10222081.52
2021-12-23,10204887.62
2021-12-24,9909568.57
2021-12-27,9915554.62
2021-12-28,10193895.01
2021-12-29,10122350.05
2021-12-30,10110466.85
2021-12-31,10293393.56
2022-01-04,10176984.53
2022-01-05,9960607.16
2022-01-06,9945206.26
2022-01-07,9747664.22
2022-01-10,9726838.34
2022-01-11,9593622.06
2022-01-12,9916703.86
2022-01-13,9665195.86
2022-01-14,9715704.89
2022-01-17,9839623.01
2022-01-18,9885654.51
2022-01-19,9640744.61
2022-01-20,9644946.47
2022-01-21,9601426.18
2022-01-24,9759278.68
2022-01-25,9491655.29
2022-01-26,9606606.33
2022-01-27,9357001.33
2022-01-28,9167982.79
2022-02-07,9338633.15
2022-02-08,9204817.92
2022-02-09,9357672.95
2022-02-10,9351063.2
2022-02-11,9168182.54
2022-02-14,9182238.61
2022-02-15,9549706.84
2022-02-16,9609730.48
2022-02-17,9692517.48
2022-02-18,9673745.49
2022-02-21,9649716.24
2022-02-22,9539930.44
2022-02-23,9791259.84
2022-02-24,9508501.13
2022-02-25,9641360.93
2022-02-28,9638433.42
2022-03-01,9761094.56
2022-03-02,9641061.76
2022-03-03,9424313.51
2022-03-04,9312253.88
2022-03-07,8890503.96
2022-03-08,8680306.76
2022-03-09,8647451.26
2022-03-10,8807455.58
2022-03-11,8827250.99
2022-03-14,8513676.73
2022-03-15,8127840.97
2022-03-16,8664328.08
