序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000158,常山北明,2021-08-18,7.497,2021-09-03,7.029,66600,-6.3266%,-31603.44,12,止损
2,000538,云南白药,2021-08-18,55.87,2021-08-24,52.388,8900,-6.3263%,-31472.69,4,止损
3,002138,顺络电子,2021-08-18,33.939,2021-09-14,31.796,14700,-6.4075%,-31983.30,19,止损
4,002156,通富微电,2021-08-18,19.875,2021-09-16,19.465,25100,-2.1591%,-10776.44,21,到期
5,002230,科大讯飞,2021-08-18,51.007,2021-09-16,50.417,9800,-1.2569%,-6285.96,21,到期
6,002415,海康威视,2021-08-18,50.189,2021-09-01,47.23,9900,-5.9892%,-29773.45,10,止损
7,002426,胜利精密,2021-08-18,2.721,2021-09-14,3.048,183700,11.9083%,59561.07,19,止盈
8,002747,埃斯顿,2021-08-18,30.351,2021-08-31,32.19,16400,5.9522%,29642.32,9,止盈
9,002760,凤形股份,2021-08-18,22.623,2021-09-16,21.711,22100,-4.1279%,-20648.79,21,到期
10,002916,深南电路,2021-08-18,68.149,2021-09-02,63.753,7300,-6.5440%,-32571.88,11,止损
11,002920,德赛西威,2021-08-18,85.759,2021-09-06,77.537,5800,-9.6773%,-48159.11,13,止损
12,300595,欧普康视,2021-08-18,81.07,2021-08-23,76.041,6100,-6.2965%,-31153.37,3,止损
13,300663,科蓝软件,2021-08-18,18.769,2021-09-15,20.4,26600,8.5779%,42848.09,20,信号
14,300712,永福股份,2021-08-18,64.587,2021-08-20,58.576,7700,-9.3983%,-46763.34,2,止损
15,300759,康龙化成,2021-08-18,79.343,2021-09-15,89.409,6300,12.5749%,62888.15,20,止盈
16,600707,彩虹股份,2021-08-18,7.724,2021-08-30,8.726,64700,12.8570%,64282.70,8,止盈
17,601799,星宇股份,2021-08-18,178.211,2021-09-16,181.251,2800,1.6043%,8009.50,21,到期
18,603259,药明康德,2021-08-18,124.303,2021-09-16,134.454,4000,8.0579%,40084.96,21,到期
19,603501,豪威集团,2021-08-18,192.646,2021-09-01,181.563,2500,-5.8473%,-28175.52,10,止损
20,688185,康希诺,2021-08-18,408.386,2021-09-03,375.594,1200,-8.1216%,-39820.77,12,止损
21,300015,爱尔眼科,2021-08-20,28.686,2021-08-24,27.059,17400,-5.7655%,-28792.57,2,止损
22,600519,贵州茅台,2021-08-23,1315.596,2021-09-23,1414.351,300,7.3990%,29217.01,21,到期
23,000858,五粮液,2021-08-24,185.717,2021-09-23,172.358,2600,-7.2860%,-35198.99,20,止损
24,600276,恒瑞医药,2021-08-24,46.014,2021-09-24,46.758,10800,1.5145%,7530.06,21,到期
25,300339,润和软件,2021-08-30,28.385,2021-09-09,25.848,17600,-9.0292%,-45130.49,8,止损
26,000002,万科Ａ,2021-08-31,17.645,2021-10-08,19.826,28300,12.2498%,61199.56,21,到期
27,002475,立讯精密,2021-09-01,32.779,2021-10-11,36.545,15200,11.3755%,56706.26,21,到期
28,300015,爱尔眼科,2021-09-01,24.273,2021-09-17,28.125,20500,15.7528%,78424.82,12,止盈
