日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10216365.19
2021-08-19,10285291.99
2021-08-20,10315825.79
2021-08-23,10551306.4
2021-08-24,10657356.4
2021-08-25,10744532.49
2021-08-26,10763618.13
2021-08-27,11102663.13
2021-08-30,11229934.03
2021-08-31,11588049.93
2021-09-01,11153284.43
2021-09-02,11721845.93
2021-09-03,11109120.33
2021-09-06,10938831.98
2021-09-07,11348161.68
2021-09-08,11375505.28
2021-09-09,11554976.58
2021-09-10,11831818.18
2021-09-13,11895542.08
2021-09-14,11779612.45
2021-09-15,11946732.25
2021-09-16,11433581.35
2021-09-17,11358014.78
2021-09-22,11342287.26
2021-09-23,11164634.86
2021-09-24,10762858.62
2021-09-27,9938325.06
2021-09-28,9853976.0
2021-09-29,9520704.98
2021-09-30,9691274.6
2021-10-08,9620775.78
2021-10-11,9401528.64
2021-10-12,9365005.01
2021-10-13,9426189.98
2021-10-14,9244512.13
2021-10-15,9277458.43
2021-10-18,9015498.83
2021-10-19,9083544.62
2021-10-20,9086266.02
2021-10-21,9029900.03
2021-10-22,9118410.73
2021-10-25,9267025.63
2021-10-26,9191780.13
2021-10-27,9085897.03
2021-10-28,9006706.17
2021-10-29,9194467.91
2021-11-01,9002476.21
2021-11-02,8855852.31
2021-11-03,8577777.58
2021-11-04,8842274.8
2021-11-05,8749644.71
2021-11-08,8939674.42
2021-11-09,8985259.22
2021-11-10,8885209.72
2021-11-11,8970242.62
2021-11-12,9064658.92
2021-11-15,8811375.76
2021-11-16,8716568.6
2021-11-17,8897224.59
2021-11-18,8775699.19
2021-11-19,8875255.59
2021-11-22,9044228.05
2021-11-23,8927893.8
2021-11-24,8764901.2
2021-11-25,8684001.17
2021-11-26,8765550.46
2021-11-29,8778555.51
2021-11-30,8812577.51
2021-12-01,8741265.01
2021-12-02,8685115.11
2021-12-03,8687043.95
2021-12-06,8534524.95
2021-12-07,8376626.11
2021-12-08,8593519.02
2021-12-09,8675919.22
2021-12-10,8584278.02
2021-12-13,8745076.15
2021-12-14,8666279.72
2021-12-15,8541003.62
2021-12-16,8645486.63
2021-12-17,8472278.24
2021-12-20,8438448.44
2021-12-21,8347609.99
2021-12-22,8321193.27
2021-12-23,8446677.67
2021-12-24,8332689.82
2021-12-27,8334377.75
2021-12-28,8312053.52
2021-12-29,8119226.12
2021-12-30,8258198.9
2021-12-31,8266907.74
2022-01-04,8179778.94
2022-01-05,8027601.32
2022-01-06,8185708.45
2022-01-07,8033558.45
