序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000338,潍柴动力,2021-08-18,16.973,2021-09-14,16.09,29400,-5.3001%,-26461.86,19,信号
2,000519,中兵红箭,2021-08-18,13.192,2021-10-11,18.796,37900,42.3392%,211785.63,31,到期
3,000625,长安汽车,2021-08-18,15.189,2021-09-02,13.928,32900,-8.3910%,-41951.33,11,止损
4,000723,美锦能源,2021-08-18,13.287,2021-08-23,12.494,37600,-6.0616%,-30297.34,3,止损
5,000762,西藏矿业,2021-08-18,52.295,2021-09-24,62.028,9500,18.4928%,91918.91,25,信号
6,000831,中国稀土,2021-08-18,45.074,2021-09-17,43.109,11000,-4.4531%,-22090.01,22,信号
7,002176,江特电机,2021-08-18,21.811,2021-09-29,23.688,22900,8.4984%,42468.06,28,信号
8,002249,大洋电机,2021-08-18,7.492,2021-09-06,6.835,66700,-8.8630%,-44310.56,13,止损
9,002256,兆新股份,2021-08-18,4.742,2021-08-23,4.178,105400,-11.9905%,-59964.18,3,止损
10,002326,永太科技,2021-08-18,35.298,2021-10-11,53.963,14100,52.7271%,262552.36,31,到期
11,300207,欣旺达,2021-08-18,40.463,2021-09-02,36.715,12300,-9.3549%,-46582.28,11,止损
12,300343,联创股份,2021-08-18,16.318,2021-09-30,19.48,30600,19.2585%,96212.54,29,信号
13,300471,厚普股份,2021-08-18,30.035,2021-08-23,28.196,16600,-6.2171%,-31012.63,3,止损
14,600338,西藏珠峰,2021-08-18,34.862,2021-09-28,35.617,14300,2.0629%,10289.14,27,信号
15,600438,通威股份,2021-08-18,44.051,2021-09-17,46.136,11300,4.6283%,23049.88,22,信号
16,600516,方大炭素,2021-08-18,9.376,2021-09-28,10.636,53300,13.3256%,66624.38,27,信号
17,600958,东方证券,2021-08-18,11.849,2021-09-30,12.804,42100,7.9490%,39672.82,29,信号
18,601618,中国中冶,2021-08-18,3.723,2021-08-23,3.389,134300,-9.0507%,-45274.15,3,止损
19,601899,紫金矿业,2021-08-18,9.165,2021-08-23,8.496,54500,-7.3906%,-36932.48,3,止损
20,603993,洛阳钼业,2021-08-18,6.116,2021-09-27,5.92,81700,-3.3017%,-16506.35,26,信号
21,000155,川能动力,2021-08-23,29.685,2021-09-29,28.256,16800,-4.9089%,-24493.40,25,信号
22,002049,紫光国微,2021-08-23,151.511,2021-09-14,143.071,3300,-5.6645%,-28335.71,16,信号
23,002466,天齐锂业,2021-08-23,115.709,2021-09-22,101.6,4300,-12.2810%,-61134.41,20,止损
24,002939,长城证券,2021-08-23,12.725,2021-08-25,11.363,24800,-10.7926%,-34077.39,2,止损
25,601377,兴业证券,2021-08-23,9.323,2021-08-26,8.36,53600,-10.4176%,-52082.17,3,止损
26,600111,北方稀土,2021-08-25,46.065,2021-09-28,43.12,6100,-6.4858%,-18234.03,22,信号
27,600010,包钢股份,2021-08-26,3.041,2021-09-29,3.107,147500,2.0990%,9418.17,22,信号
28,600030,中信证券,2021-09-02,22.512,2021-10-13,20.781,22200,-7.7843%,-38923.09,22,止损
29,600089,特变电工,2021-09-02,16.929,2021-10-11,14.698,24100,-13.2698%,-54167.80,20,止损
30,002202,金风科技,2021-09-06,16.599,2021-10-11,15.383,27500,-7.4182%,-33879.51,18,止损
31,601600,中国铝业,2021-09-14,9.22,2021-09-27,8.161,48200,-11.5715%,-51447.73,7,止损
32,601899,紫金矿业,2021-09-14,10.475,2021-09-17,9.185,47700,-12.4008%,-61993.80,3,止损
33,600096,云天化,2021-09-17,29.09,2021-09-24,24.503,17100,-15.8520%,-78892.41,3,止损
34,601678,滨化股份,2021-09-17,12.147,2021-09-28,10.556,35800,-13.1876%,-57376.75,5,止损
35,603077,和邦生物,2021-09-17,4.525,2021-09-27,4.071,110400,-10.1291%,-50629.01,4,止损
36,603259,药明康德,2021-09-22,145.013,2021-10-21,134.324,3000,-7.4641%,-32488.00,16,止损
37,000591,太阳能,2021-09-24,10.823,2021-10-14,9.183,46100,-15.2372%,-76065.30,9,止损
38,601669,中国电建,2021-09-24,9.066,2021-09-28,7.617,55100,-16.0603%,-80263.20,2,止损
39,000831,中国稀土,2021-09-27,47.885,2021-09-29,40.441,10400,-15.6303%,-77878.57,2,止损
40,002240,盛新锂能,2021-09-27,67.537,2021-09-29,57.364,5000,-15.1470%,-51174.49,2,止损
41,600096,云天化,2021-09-27,23.627,2021-09-29,20.615,21100,-12.8359%,-64022.48,2,止损
42,000799,酒鬼酒,2021-09-28,253.126,2021-10-19,218.671,1900,-13.6985%,-65914.40,10,止损
43,000858,五粮液,2021-09-28,198.043,2021-11-02,181.513,2500,-8.4382%,-41798.88,20,止损
44,002714,牧原股份,2021-09-28,44.515,2021-11-17,54.576,11200,22.4775%,112122.15,31,到期
45,600519,贵州茅台,2021-09-28,1625.872,2021-11-04,1554.222,300,-4.5024%,-21972.02,22,信号
46,600809,山西汾酒,2021-09-28,300.24,2021-10-29,288.196,500,-4.1075%,-6169.22,18,信号
47,000568,泸州老窖,2021-09-29,194.79,2021-11-15,191.727,2500,-1.6710%,-8141.29,28,信号
48,600276,恒瑞医药,2021-09-29,49.005,2021-10-28,47.617,10200,-2.9301%,-14653.55,16,信号
49,600733,北汽蓝谷,2021-09-29,13.407,2021-11-03,12.414,11500,-7.4986%,-11566.93,20,信号
50,601222,林洋能源,2021-09-29,12.477,2021-10-08,11.365,40000,-9.0026%,-44953.69,2,止损
51,601669,中国电建,2021-09-29,8.105,2021-10-11,6.818,61600,-15.9687%,-79767.21,3,止损
52,601985,中国核电,2021-09-29,6.628,2021-10-12,5.942,75400,-10.4434%,-52219.79,4,止损
53,300274,阳光电源,2021-09-30,103.804,2021-10-12,96.626,4800,-7.0082%,-34936.45,3,止损
54,601016,节能风电,2021-09-30,5.507,2021-10-15,5.059,90700,-8.2143%,-41047.75,6,止损
55,300750,宁德时代,2021-10-08,274.954,2021-11-22,336.31,1800,22.1925%,109889.50,31,到期
56,000661,长春高新,2021-10-11,277.713,2021-11-02,248.989,1800,-10.4324%,-52176.05,16,止损
57,600702,舍得酒业,2021-10-11,215.141,2021-10-19,176.745,2300,-17.9290%,-88761.31,6,止损
58,600887,伊利股份,2021-10-11,33.877,2021-11-23,34.183,14700,0.8023%,3997.52,31,到期
59,601318,中国平安,2021-10-11,39.746,2021-10-19,37.457,12500,-5.8523%,-29090.03,6,信号
