日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.013973,
2021-08-19,1.008342,
2021-08-20,1.009360,
2021-08-23,1.032321,
2021-08-24,1.037331,
2021-08-25,1.047291,
2021-08-26,1.045770,
2021-08-27,1.047031,
2021-08-30,1.051141,
2021-08-31,1.054810,
2021-09-01,1.042071,
2021-09-02,1.060933,
2021-09-03,1.056814,
2021-09-06,1.065859,
2021-09-07,1.081568,
2021-09-08,1.091413,
2021-09-09,1.096204,
2021-09-10,1.088348,
2021-09-13,1.100335,
2021-09-14,1.084082,
2021-09-15,1.095961,
2021-09-16,1.081075,
2021-09-17,1.076888,
2021-09-22,1.086110,
2021-09-23,1.090902,
2021-09-24,1.065472,
2021-09-27,1.029798,
2021-09-28,1.034967,
2021-09-29,1.000599,
2021-09-30,1.018725,
2021-10-08,1.026206,
2021-10-11,1.019753,
2021-10-12,1.007646,
2021-10-13,1.000584,
2021-10-14,1.000191,
2021-10-15,0.991859,
2021-10-18,0.993856,
2021-10-19,0.999763,
2021-10-20,0.997205,
2021-10-21,0.994425,
2021-10-22,0.984380,
2021-10-25,0.995035,
2021-10-26,0.988193,
2021-10-27,0.981585,
2021-10-28,0.967704,
2021-10-29,0.980109,
2021-11-01,0.993530,
2021-11-02,0.985723,
2021-11-03,0.987477,
2021-11-04,1.008348,
2021-11-05,1.000347,
2021-11-08,1.002840,
2021-11-09,1.014805,
2021-11-10,1.022236,
2021-11-11,1.030118,
2021-11-12,1.044912,
2021-11-15,1.051719,
2021-11-16,1.043033,
2021-11-17,1.058818,
2021-11-18,1.047681,
2021-11-19,1.060495,
2021-11-22,1.070561,
2021-11-23,1.074275,
2021-11-24,1.078224,
2021-11-25,1.077721,
2021-11-26,1.075121,
2021-11-29,1.076272,
2021-11-30,1.085224,
2021-12-01,1.095594,
2021-12-02,1.080604,
2021-12-03,1.083789,
2021-12-06,1.064775,
2021-12-07,1.055543,
2021-12-08,1.066161,
2021-12-09,1.068851,
2021-12-10,1.071112,
2021-12-13,1.075002,
2021-12-14,1.080238,
2021-12-15,1.082294,
2021-12-16,1.091989,
2021-12-17,1.085388,
2021-12-20,1.077274,
2021-12-21,1.094245,
2021-12-22,1.096210,
2021-12-23,1.088782,
2021-12-24,1.073485,
2021-12-27,1.078061,
2021-12-28,1.078433,
2021-12-29,1.075993,
2021-12-30,1.087487,
2021-12-31,1.094455,
2022-01-04,1.111181,
2022-01-05,1.098448,
2022-01-06,1.106841,
2022-01-07,1.091103,
2022-01-10,1.102342,
2022-01-11,1.099528,
2022-01-12,1.111313,
2022-01-13,1.105409,
2022-01-14,1.098470,
2022-01-17,1.114074,
2022-01-18,1.093257,
2022-01-19,1.100431,
2022-01-20,1.074920,
2022-01-21,1.063296,
2022-01-24,1.055325,
2022-01-25,1.015393,
2022-01-26,1.015643,
2022-01-27,0.976161,
2022-01-28,0.975685,
2022-02-07,0.993201,
2022-02-08,1.008974,
2022-02-09,1.017868,
2022-02-10,1.026038,
2022-02-11,1.015561,
2022-02-14,1.010018,
2022-02-15,1.004041,
2022-02-16,1.015453,
2022-02-17,1.008105,
2022-02-18,1.021397,
2022-02-21,1.034305,
2022-02-22,1.028349,
2022-02-23,1.034642,
2022-02-24,1.009019,
2022-02-25,1.014638,
2022-02-28,1.014501,
2022-03-01,1.022667,
2022-03-02,1.029167,
2022-03-03,1.030325,
2022-03-04,1.015811,
2022-03-07,1.006512,
2022-03-08,0.976678,
2022-03-09,0.974384,
2022-03-10,0.987659,
2022-03-11,0.990844,
2022-03-14,0.963678,
2022-03-15,0.928294,
2022-03-16,0.951758,
2022-03-17,0.960671,
2022-03-18,0.969308,
2022-03-21,0.989531,
2022-03-22,0.979723,
2022-03-23,0.977130,
2022-03-24,0.971055,
2022-03-25,0.966411,
2022-03-28,0.962950,
2022-03-29,0.960180,
2022-03-30,0.970634,
2022-03-31,0.973014,
2022-04-01,0.969823,
2022-04-06,0.983053,
2022-04-07,0.959377,
2022-04-08,0.959119,
2022-04-11,0.942040,
2022-04-12,0.953896,
2022-04-13,0.936051,
2022-04-14,0.946547,
2022-04-15,0.927211,
2022-04-18,0.922398,
2022-04-19,0.928557,
2022-04-20,0.916964,
2022-04-21,0.885489,
2022-04-22,0.875593,
2022-04-25,0.824247,
2022-04-26,0.808068,
2022-04-27,0.793566,
2022-04-28,0.790340,
2022-04-29,0.804350,
2022-05-05,0.818221,
2022-05-06,0.813399,
2022-05-09,0.823095,
2022-05-10,0.838044,
2022-05-11,0.833550,
2022-05-12,0.838598,
2022-05-13,0.840697,
2022-05-16,0.837549,
2022-05-17,0.835099,
2022-05-18,0.836092,
2022-05-19,0.843227,
2022-05-20,0.851362,
2022-05-23,0.858715,
2022-05-24,0.823732,
2022-05-25,0.837719,
2022-05-26,0.840236,
2022-05-27,0.839457,
2022-05-30,0.848777,
2022-05-31,0.857674,
2022-06-01,0.863383,
2022-06-02,0.874541,
2022-06-06,0.889653,
2022-06-07,0.882363,
2022-06-08,0.881286,
2022-06-09,0.862782,
2022-06-10,0.879447,
2022-06-13,0.883423,
2022-06-14,0.884942,
2022-06-15,0.881259,
2022-06-16,0.887060,
2022-06-17,0.893963,
2022-06-20,0.903508,
2022-06-21,0.897815,
2022-06-22,0.886611,
2022-06-23,0.905226,
2022-06-24,0.916058,
2022-06-27,0.923824,
2022-06-28,0.938319,
2022-06-29,0.915505,
2022-06-30,0.923770,
2022-07-01,0.921535,
2022-07-04,0.927671,
2022-07-05,0.919318,
2022-07-06,0.911966,
2022-07-07,0.917073,
2022-07-08,0.916747,
2022-07-11,0.909183,
2022-07-12,0.893628,
2022-07-13,0.902473,
2022-07-14,0.909254,
2022-07-15,0.895921,
2022-07-18,0.912594,
2022-07-19,0.917760,
2022-07-20,0.925238,
2022-07-21,0.921683,
2022-07-22,0.921366,
2022-07-25,0.910791,
2022-07-26,0.920539,
2022-07-27,0.932961,
2022-07-28,0.941712,
2022-07-29,0.938947,
2022-08-01,0.945500,
2022-08-02,0.909793,
2022-08-03,0.905939,
2022-08-04,0.915579,
2022-08-05,0.922188,
2022-08-08,0.938334,
2022-08-09,0.944516,
2022-08-10,0.952161,
2022-08-11,0.959918,
2022-08-12,0.950895,
2022-08-15,0.957241,
2022-08-16,0.964548,
2022-08-17,0.966247,
2022-08-18,0.972596,
2022-08-19,0.957536,
2022-08-22,0.961146,
2022-08-23,0.968388,
2022-08-24,0.936662,
2022-08-25,0.933268,
2022-08-26,0.927064,
2022-08-29,0.933225,
2022-08-30,0.927481,
2022-08-31,0.902554,
2022-09-01,0.901079,
2022-09-02,0.908959,
2022-09-05,0.914817,
2022-09-06,0.923378,
2022-09-07,0.922059,
2022-09-08,0.915362,
2022-09-09,0.913898,
2022-09-13,0.914658,
2022-09-14,0.909618,
2022-09-15,0.895493,
2022-09-16,0.875106,
2022-09-19,0.868388,
2022-09-20,0.873078,
2022-09-21,0.871925,
2022-09-22,0.869196,
2022-09-23,0.854713,
2022-09-26,0.841958,
2022-09-27,0.853517,
2022-09-28,0.834865,
2022-09-29,0.829330,
2022-09-30,0.815101,
2022-10-10,0.805395,
2022-10-11,0.807068,
2022-10-12,0.820463,
2022-10-13,0.829955,
2022-10-14,0.845321,
2022-10-17,0.857877,
2022-10-18,0.862878,
2022-10-19,0.855775,
2022-10-20,0.851710,
2022-10-21,0.856438,
2022-10-24,0.845467,
2022-10-25,0.838603,
2022-10-26,0.857924,
2022-10-27,0.853707,
2022-10-28,0.827444,
2022-10-31,0.838871,
2022-11-01,0.852949,
2022-11-02,0.860755,
2022-11-03,0.864331,
2022-11-04,0.874898,
2022-11-07,0.877605,
2022-11-08,0.876632,
2022-11-09,0.877691,
2022-11-10,0.874236,
2022-11-11,0.875087,
2022-11-14,0.874667,
2022-11-15,0.890195,
2022-11-16,0.888765,
2022-11-17,0.895727,
2022-11-18,0.889605,
2022-11-21,0.890980,
2022-11-22,0.880526,
2022-11-23,0.872595,
2022-11-24,0.874585,
2022-11-25,0.869443,
2022-11-28,0.865717,
2022-11-29,0.881184,
2022-11-30,0.880419,
2022-12-01,0.883861,
2022-12-02,0.888416,
2022-12-05,0.899296,
2022-12-06,0.894398,
2022-12-07,0.895195,
2022-12-08,0.893165,
2022-12-09,0.892249,
2022-12-12,0.886607,
2022-12-13,0.888310,
2022-12-14,0.884756,
2022-12-15,0.882747,
2022-12-16,0.879357,
2022-12-19,0.858868,
2022-12-20,0.849350,
2022-12-21,0.849680,
2022-12-22,0.843297,
2022-12-23,0.836548,
2022-12-26,0.840597,
2022-12-27,0.844202,
2022-12-28,0.836622,
2022-12-29,0.830963,
2022-12-30,0.840460,
2023-01-03,0.847885,
2023-01-04,0.850942,
2023-01-05,0.853131,
2023-01-06,0.847520,
2023-01-09,0.851428,
2023-01-10,0.851385,
2023-01-11,0.842914,
2023-01-12,0.842951,
2023-01-13,0.845548,
2023-01-16,0.852750,
2023-01-17,0.852196,
2023-01-18,0.854124,
2023-01-19,0.859546,
2023-01-20,0.864574,
2023-01-30,0.874443,
2023-01-31,0.877716,
2023-02-01,0.893108,
2023-02-02,0.894957,
2023-02-03,0.895453,
2023-02-06,0.894352,
2023-02-07,0.901516,
2023-02-08,0.896739,
2023-02-09,0.909661,
2023-02-10,0.908270,
2023-02-13,0.917473,
2023-02-14,0.918094,
2023-02-15,0.921347,
2023-02-16,0.899143,
2023-02-17,0.894117,
2023-02-20,0.905733,
2023-02-21,0.909363,
2023-02-22,0.911392,
2023-02-23,0.908864,
2023-02-24,0.906885,
2023-02-27,0.899225,
2023-02-28,0.907270,
2023-03-01,0.915223,
2023-03-02,0.913854,
2023-03-03,0.912761,
2023-03-06,0.913000,
2023-03-07,0.894656,
2023-03-08,0.901335,
2023-03-09,0.903153,
2023-03-10,0.891817,
2023-03-13,0.896096,
2023-03-14,0.888404,
2023-03-15,0.891970,
2023-03-16,0.881492,
2023-03-17,0.893144,
2023-03-20,0.888543,
2023-03-21,0.896909,
2023-03-22,0.905208,
2023-03-23,0.909861,
2023-03-24,0.910853,
2023-03-27,0.911921,
2023-03-28,0.900863,
2023-03-29,0.899423,
2023-03-30,0.891854,
2023-03-31,0.901627,
2023-04-03,0.915795,
2023-04-04,0.913593,
2023-04-06,0.914243,
2023-04-07,0.922010,
2023-04-10,0.906537,
2023-04-11,0.911773,
2023-04-12,0.925138,
2023-04-13,0.918167,
2023-04-14,0.922914,
2023-04-17,0.919346,
2023-04-18,0.914839,
2023-04-19,0.915585,
2023-04-20,0.918894,
2023-04-21,0.892995,
2023-04-24,0.890050,
2023-04-25,0.880492,
2023-04-26,0.877625,
2023-04-27,0.873531,
2023-04-28,0.889158,
2023-05-04,0.904687,
2023-05-05,0.898176,
2023-05-08,0.904474,
2023-05-09,0.890461,
2023-05-10,0.890037,
2023-05-11,0.894154,
2023-05-12,0.885755,
2023-05-15,0.890586,
