日期,权益(元)
2021-08-17,10000000.0
2021-08-18,9951383.12
2021-08-19,10162919.12
2021-08-20,10021465.12
2021-08-23,10345828.41
2021-08-24,10456474.51
2021-08-25,10464578.71
2021-08-26,10178534.51
2021-08-27,10311505.37
2021-08-30,10299814.47
2021-08-31,10061031.47
2021-09-01,10050176.82
2021-09-02,9902371.44
2021-09-03,9862118.69
2021-09-06,10183979.89
2021-09-07,10297377.29
2021-09-08,10216657.79
2021-09-09,10144528.89
2021-09-10,10274925.28
2021-09-13,10103706.88
2021-09-14,10212400.98
2021-09-15,10141754.07
2021-09-16,9877598.4
2021-09-17,9852174.5
2021-09-22,9822984.6
2021-09-23,10039780.36
2021-09-24,9893078.14
2021-09-27,9709926.79
2021-09-28,9690933.18
2021-09-29,9346264.22
2021-09-30,9582252.95
2021-10-08,9595000.55
2021-10-11,9467321.07
2021-10-12,9102916.22
2021-10-13,9280203.39
2021-10-14,9288601.1
2021-10-15,9382593.54
2021-10-18,9649511.04
2021-10-19,9806007.34
2021-10-20,9930104.02
2021-10-21,9994974.8
2021-10-22,9813292.85
2021-10-25,10026250.25
2021-10-26,10132617.97
2021-10-27,9930295.37
2021-10-28,9689444.49
2021-10-29,9875039.66
2021-11-01,9747853.82
2021-11-02,9695605.73
2021-11-03,9752562.37
2021-11-04,9818472.57
2021-11-05,9636670.38
2021-11-08,9796363.15
2021-11-09,9930648.15
2021-11-10,9827759.81
2021-11-11,9903529.81
2021-11-12,9855774.29
2021-11-15,9823847.49
2021-11-16,9839499.07
2021-11-17,10024796.24
2021-11-18,10006314.84
2021-11-19,10025631.04
2021-11-22,10205627.04
2021-11-23,10191862.56
2021-11-24,10140061.06
2021-11-25,10067345.86
2021-11-26,10243082.39
2021-11-29,10352102.19
2021-11-30,10377817.29
2021-12-01,10327749.23
2021-12-02,10271001.01
2021-12-03,10370881.01
2021-12-06,10256140.68
2021-12-07,10057616.28
2021-12-08,10254088.26
2021-12-09,10301286.55
2021-12-10,10423325.55
2021-12-13,10385034.85
2021-12-14,10223130.42
2021-12-15,10095214.29
2021-12-16,10165718.01
2021-12-17,9826669.61
2021-12-20,9609514.14
2021-12-21,9707915.34
2021-12-22,9673152.71
2021-12-23,9651090.31
2021-12-24,9344293.2
2021-12-27,9342617.2
2021-12-28,9613026.1
2021-12-29,9570056.55
2021-12-30,9580365.44
2021-12-31,9753170.63
2022-01-04,9381195.32
2022-01-05,9013478.78
2022-01-06,9093966.12
2022-01-07,8826045.71
2022-01-10,8775200.78
2022-01-11,8638971.95
2022-01-12,8905271.18
2022-01-13,8660181.88
2022-01-14,8793024.88
2022-01-17,8798568.57
2022-01-18,8775625.02
2022-01-19,8481852.47
2022-01-20,8395716.49
2022-01-21,8339250.74
2022-01-24,8567585.74
2022-01-25,8341602.47
2022-01-26,8486192.6
2022-01-27,8293694.86
2022-01-28,8249843.42
2022-02-07,8344368.01
2022-02-08,8225673.51
2022-02-09,8381244.71
2022-02-10,8333514.51
2022-02-11,8257189.74
2022-02-14,8298856.26
2022-02-15,8613037.83
2022-02-16,8675315.83
2022-02-17,8837560.22
2022-02-18,8776658.5
2022-02-21,8743214.8
2022-02-22,8629006.67
2022-02-23,8928736.57
2022-02-24,8727701.07
2022-02-25,8864814.87
2022-02-28,8896310.51
2022-03-01,9040372.31
2022-03-02,8925645.8
2022-03-03,8721758.6
2022-03-04,8536468.67
2022-03-07,8272352.73
2022-03-08,8141961.87
2022-03-09,8107989.73
2022-03-10,8406718.21
2022-03-11,8349420.11
2022-03-14,8045228.04
2022-03-15,7668342.0
2022-03-16,8066534.83
2022-03-17,8301715.03
2022-03-18,8398566.59
2022-03-21,8347880.29
2022-03-22,8341855.09
2022-03-23,8353190.49
2022-03-24,8313988.49
2022-03-25,8160642.09
2022-03-28,8151701.19
2022-03-29,8042647.89
2022-03-30,8329412.87
2022-03-31,8183994.39
2022-04-01,8196226.19
2022-04-06,8054653.34
2022-04-07,7967900.16
2022-04-08,7859292.91
2022-04-11,7559852.77
2022-04-12,7858120.37
2022-04-13,7722477.47
2022-04-14,7909471.35
2022-04-15,7808226.57
2022-04-18,7914668.51
2022-04-19,7830464.12
2022-04-20,7473746.42
2022-04-21,7287532.37
2022-04-22,7187266.93
2022-04-25,6634229.98
2022-04-26,6565014.75
2022-04-27,6774890.73
2022-04-28,6800074.61
2022-04-29,7013314.79
2022-05-05,6999596.59
2022-05-06,6785293.7
2022-05-09,6827263.95
2022-05-10,6882973.32
2022-05-11,7044052.76
2022-05-12,6973176.7
2022-05-13,7054045.1
2022-05-16,7000196.9
2022-05-17,7136034.69
2022-05-18,7126407.44
2022-05-19,7102988.04
2022-05-20,7219807.24
2022-05-23,7152289.17
2022-05-24,6878165.59
2022-05-25,6982723.59
2022-05-26,7075157.35
2022-05-27,7198695.55
2022-05-30,7155938.62
2022-05-31,7065877.48
2022-06-01,6998439.66
2022-06-02,6866765.47
2022-06-06,6969453.55
2022-06-07,7221635.84
2022-06-08,7074590.54
2022-06-09,7004445.64
2022-06-10,7083508.76
2022-06-13,6955492.65
2022-06-14,6936148.36
2022-06-15,6927681.86
2022-06-16,7026926.36
2022-06-17,7040867.37
2022-06-20,7273717.42
2022-06-21,7352317.61
2022-06-22,7271537.31
2022-06-23,7293152.88
2022-06-24,7206353.52
2022-06-27,7312671.52
2022-06-28,7515526.52
2022-06-29,7534792.12
2022-06-30,7414547.79
2022-07-01,7322390.39
2022-07-04,7337786.28
2022-07-05,7485115.8
2022-07-06,7318357.37
2022-07-07,7377832.57
2022-07-08,7344677.53
2022-07-11,7277124.93
2022-07-12,7120740.83
2022-07-13,7170165.1
2022-07-14,7178586.1
2022-07-15,7048162.9
2022-07-18,7258338.17
2022-07-19,7261486.44
2022-07-20,7270083.05
2022-07-21,7193425.65
2022-07-22,7128089.46
2022-07-25,7074445.16
2022-07-26,7154624.96
2022-07-27,7093082.96
2022-07-28,7123356.84
2022-07-29,7022858.07
2022-08-01,7091017.07
2022-08-02,6789603.93
2022-08-03,6760760.49
2022-08-04,6887132.51
2022-08-05,7019634.25
2022-08-08,7049302.3
2022-08-09,7141896.3
2022-08-10,6987533.41
2022-08-11,7057852.71
2022-08-12,7023961.28
2022-08-15,7122790.28
2022-08-16,7147426.6
2022-08-17,7161994.46
2022-08-18,7141242.26
2022-08-19,6931135.04
2022-08-22,7118096.96
2022-08-23,7063623.46
2022-08-24,6817597.69
2022-08-25,6823144.33
2022-08-26,6839649.09
2022-08-29,6822791.03
2022-08-30,6809640.03
2022-08-31,6693843.55
2022-09-01,6649875.96
2022-09-02,6582823.66
2022-09-05,6613839.96
2022-09-06,6849130.4
2022-09-07,6956503.86
2022-09-08,6839444.96
2022-09-09,6764673.36
2022-09-13,6788405.55
2022-09-14,6698246.25
2022-09-15,6319676.51
2022-09-16,6275015.39
2022-09-19,6307097.43
2022-09-20,6486829.72
2022-09-21,6457814.71
2022-09-22,6474542.15
2022-09-23,6358843.35
2022-09-26,6504799.85
2022-09-27,6528211.35
2022-09-28,6264826.25
2022-09-29,6250534.23
2022-09-30,6072877.3
2022-10-10,5878368.83
2022-10-11,5925535.98
2022-10-12,6125100.25
2022-10-13,6028832.95
2022-10-14,6312282.65
2022-10-17,6345432.17
2022-10-18,6373866.47
2022-10-19,6353197.67
2022-10-20,6356390.25
2022-10-21,6275323.35
2022-10-24,6120664.3
2022-10-25,6200269.68
2022-10-26,6171371.14
2022-10-27,5995941.3
2022-10-28,5839218.62
2022-10-31,5789077.58
2022-11-01,6114681.69
2022-11-02,6197475.49
2022-11-03,6085791.69
2022-11-04,6406803.49
2022-11-07,6438553.06
2022-11-08,6348720.05
2022-11-09,6247304.55
2022-11-10,6245504.35
2022-11-11,6440756.01
2022-11-14,6503970.95
2022-11-15,6664079.71
2022-11-16,6576758.7
2022-11-17,6568770.4
2022-11-18,6477421.7
2022-11-21,6526478.4
2022-11-22,6443253.5
2022-11-23,6464722.7
2022-11-24,6513256.47
2022-11-25,6433989.42
2022-11-28,6401238.36
2022-11-29,6410609.23
2022-11-30,6429859.95
2022-12-01,6510585.23
2022-12-02,6518934.52
2022-12-05,6433620.7
2022-12-06,6477404.55
2022-12-07,6554895.19
2022-12-08,6511931.19
2022-12-09,6522273.94
2022-12-12,6506162.04
2022-12-13,6457219.49
2022-12-14,6446097.11
2022-12-15,6445840.07
2022-12-16,6326372.67
2022-12-19,6226935.07
2022-12-20,6219156.64
2022-12-21,6118934.44
2022-12-22,5929922.58
2022-12-23,5900523.47
2022-12-26,6126253.31
2022-12-27,6172171.63
2022-12-28,6187663.65
2022-12-29,6140259.95
2022-12-30,6098671.71
2023-01-03,6240287.43
2023-01-04,6151229.79
2023-01-05,6212625.48
2023-01-06,6269775.03
2023-01-09,6289851.43
2023-01-10,6300584.03
2023-01-11,6215827.51
2023-01-12,6183652.2
2023-01-13,6161698.92
2023-01-16,6264132.92
2023-01-17,6301645.77
2023-01-18,6252512.38
2023-01-19,6207483.87
2023-01-20,6287872.06
2023-01-30,6344580.06
2023-01-31,6363668.23
2023-02-01,6466166.23
2023-02-02,6479504.09
2023-02-03,6412496.09
2023-02-06,6338728.29
2023-02-07,6293556.18
2023-02-08,6275268.58
2023-02-09,6329210.78
2023-02-10,6331283.07
2023-02-13,6442510.87
2023-02-14,6498165.67
2023-02-15,6395546.43
2023-02-16,6317100.23
2023-02-17,6461497.23
2023-02-20,6577057.6
2023-02-21,6589758.6
2023-02-22,6575815.6
2023-02-23,6549969.63
2023-02-24,6416755.73
2023-02-27,6315666.29
2023-02-28,6396632.32
2023-03-01,6470626.52
2023-03-02,6358521.05
2023-03-03,6343442.43
2023-03-06,6359360.21
2023-03-07,6214988.21
2023-03-08,6211562.21
2023-03-09,6169799.01
2023-03-10,6082391.81
2023-03-13,6032391.99
2023-03-14,6005996.45
2023-03-15,5980179.76
2023-03-16,5867172.95
2023-03-17,5883032.54
2023-03-20,5927294.4
2023-03-21,6131499.94
2023-03-22,6204342.24
2023-03-23,6277980.51
2023-03-24,6435725.27
2023-03-27,6605220.53
2023-03-28,6545866.94
2023-03-29,6528209.54
2023-03-30,6586977.84
2023-03-31,6624761.78
2023-04-03,6725391.28
2023-04-04,6719740.93
2023-04-06,6735163.13
2023-04-07,6744923.93
2023-04-10,6716739.64
2023-04-11,6706372.37
2023-04-12,6745542.17
2023-04-13,6778129.68
2023-04-14,6740740.88
2023-04-17,6831748.98
2023-04-18,6849834.82
2023-04-19,6774320.51
2023-04-20,6899372.16
2023-04-21,6667668.48
2023-04-24,6594043.23
2023-04-25,6525503.47
2023-04-26,6441644.77
2023-04-27,6413316.79
2023-04-28,6530711.01
2023-05-04,6437795.61
2023-05-05,6358752.74
2023-05-08,6349679.89
2023-05-09,6359057.09
2023-05-10,6342814.33
2023-05-11,6319786.55
2023-05-12,6212223.55
2023-05-15,6317269.9
2023-05-16,6224038.28
2023-05-17,6274441.33
2023-05-18,6415907.73
