序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000063,中兴通讯,2021-08-18,32.418,2021-09-13,32.496,15400,0.1390%,694.32,18,信号
2,002074,国轩高科,2021-08-18,51.908,2021-09-10,57.373,9600,10.4185%,51942.89,17,信号
3,002371,北方华创,2021-08-18,242.322,2021-08-24,290.604,2000,19.8047%,96030.12,4,信号
4,002415,海康威视,2021-08-18,50.189,2021-09-16,49.919,9900,-0.6375%,-3169.07,21,到期
5,002460,赣锋锂业,2021-08-18,115.458,2021-08-30,139.052,4300,20.3155%,100910.18,8,信号
6,002812,恩捷股份,2021-08-18,235.899,2021-09-15,309.786,2100,31.1903%,154590.02,20,信号
7,300014,亿纬锂能,2021-08-18,103.257,2021-08-27,96.956,4800,-6.1953%,-30721.02,7,止损
8,300142,沃森生物,2021-08-18,75.326,2021-09-16,68.784,6600,-8.7763%,-43653.11,21,止损
9,300339,润和软件,2021-08-18,31.597,2021-08-27,28.837,15800,-8.8270%,-44088.84,7,止损
10,300712,永福股份,2021-08-18,64.587,2021-08-27,58.706,7700,-9.1974%,-45763.34,7,止损
11,300750,宁德时代,2021-08-18,248.575,2021-09-16,268.572,2000,7.9364%,39475.70,21,到期
12,300760,迈瑞医疗,2021-08-18,322.58,2021-08-23,259.289,1500,-19.7006%,-95372.78,3,止损
13,600111,北方稀土,2021-08-18,38.661,2021-08-30,48.008,12900,24.0516%,120012.94,8,信号
14,600196,复星医药,2021-08-18,65.58,2021-09-03,59.917,7600,-8.7262%,-43513.77,12,止损
15,600418,江淮汽车,2021-08-18,15.959,2021-09-16,15.493,31300,-3.0153%,-15069.45,21,到期
16,600460,士兰微,2021-08-18,57.359,2021-09-03,52.454,8700,-8.6427%,-43150.36,12,止损
17,600584,长电科技,2021-08-18,33.117,2021-09-16,31.834,15000,-3.9687%,-19724.25,21,到期
18,600703,三安光电,2021-08-18,37.722,2021-09-02,33.486,13200,-11.3172%,-56379.93,11,止损
19,603259,药明康德,2021-08-18,124.303,2021-09-15,135.473,4000,8.8773%,44160.88,20,信号
20,603986,兆易创新,2021-08-18,164.772,2021-09-01,148.806,3000,-9.7805%,-48370.72,10,止损
21,600519,贵州茅台,2021-08-23,1315.596,2021-09-23,1414.351,300,7.3990%,29217.01,21,到期
22,000858,五粮液,2021-08-24,185.717,2021-09-24,171.438,2600,-7.7806%,-37588.59,21,到期
23,000963,华东医药,2021-08-27,27.894,2021-09-29,26.507,17900,-5.0681%,-25317.77,21,到期
24,600276,恒瑞医药,2021-08-27,44.603,2021-09-27,48.897,11200,9.5158%,47560.79,19,信号
25,601318,中国平安,2021-08-27,38.695,2021-09-23,36.108,12900,-6.7799%,-33859.95,17,止损
26,000661,长春高新,2021-08-30,248.918,2021-09-16,227.9,2000,-8.5354%,-42513.63,13,止损
27,300339,润和软件,2021-08-30,28.385,2021-09-10,25.878,17600,-8.9237%,-44603.02,9,止损
28,002475,立讯精密,2021-09-01,32.779,2021-10-11,36.545,15200,11.3755%,56706.26,21,到期
29,000547,航天发展,2021-09-02,17.01,2021-09-22,14.564,29300,-14.4645%,-72124.08,12,止损
30,002371,北方华创,2021-09-03,228.248,2021-09-24,282.364,2100,23.5855%,113106.79,13,信号
31,603986,兆易创新,2021-09-03,145.303,2021-10-13,140.12,3400,-3.6632%,-18106.43,21,到期
32,300376,易事特,2021-09-10,9.845,2021-09-30,9.145,50700,-7.1980%,-35945.80,12,止损
33,603799,华友钴业,2021-09-10,86.478,2021-09-29,78.319,5700,-9.5257%,-46978.23,11,止损
34,002506,协鑫集成,2021-09-13,4.482,2021-09-28,3.998,111500,-10.8927%,-54465.53,9,止损
35,002049,紫光国微,2021-09-15,141.964,2021-10-25,141.007,3500,-0.7730%,-3842.90,21,到期
36,600893,航发动力,2021-09-15,56.049,2021-10-11,50.656,8900,-9.7129%,-48475.66,11,止损
37,000625,长安汽车,2021-09-16,13.049,2021-09-27,12.121,38300,-7.2016%,-36008.48,5,止损
38,000651,格力电器,2021-09-16,27.596,2021-10-22,28.868,18100,4.5040%,22508.01,19,信号
39,002050,三花智控,2021-09-16,21.525,2021-10-26,22.753,23200,5.5988%,27972.76,21,到期
40,300124,汇川技术,2021-09-16,64.013,2021-10-13,57.462,7800,-10.3232%,-51569.49,12,止损
41,300782,卓胜微,2021-09-16,212.298,2021-10-13,185.63,2300,-12.6490%,-61793.92,12,止损
42,600745,ST闻泰,2021-09-16,100.801,2021-10-26,101.12,4900,0.2162%,1068.58,21,到期
43,000723,美锦能源,2021-09-22,11.186,2021-09-30,10.355,44700,-7.5197%,-37616.85,6,止损
44,002466,天齐锂业,2021-09-23,103.943,2021-09-28,92.635,4800,-10.9684%,-54751.56,3,止损
45,300142,沃森生物,2021-09-23,67.842,2021-09-30,62.427,7300,-8.0740%,-40005.95,5,止损
46,000683,博源化工,2021-09-24,9.466,2021-09-29,8.617,52800,-9.0606%,-45306.74,3,止损
47,000762,西藏矿业,2021-09-24,62.09,2021-09-28,56.951,8000,-8.3692%,-41592.31,2,止损
48,000725,京东方Ａ,2021-09-27,4.819,2021-11-02,4.565,103700,-5.3794%,-26898.13,21,到期
49,600111,北方稀土,2021-09-27,47.076,2021-09-30,41.801,10600,-11.2930%,-56380.08,3,止损
50,600010,包钢股份,2021-09-28,3.071,2021-10-29,2.748,162800,-10.6058%,-53043.18,18,止损
51,600031,三一重工,2021-09-28,23.39,2021-10-29,20.758,18500,-11.3418%,-49101.71,18,止损
52,601919,中远海控,2021-09-28,11.056,2021-09-30,9.385,45200,-15.1924%,-75955.91,2,止损
53,002176,江特电机,2021-09-29,23.712,2021-10-15,18.991,21000,-19.9914%,-99596.72,7,止损
54,002466,天齐锂业,2021-09-29,90.696,2021-11-04,88.117,5500,-2.9411%,-14678.47,21,到期
55,300343,联创股份,2021-09-29,20.71,2021-10-12,18.171,18200,-12.3494%,-46571.63,4,止损
56,000762,西藏矿业,2021-09-30,52.485,2021-11-05,48.645,9500,-7.4101%,-36965.73,21,到期
57,002326,永太科技,2021-09-30,50.185,2021-10-20,64.218,9900,27.8342%,138358.38,9,信号
58,002460,赣锋锂业,2021-09-30,110.112,2021-11-05,112.63,4500,2.1842%,10828.16,21,到期
59,600150,中国船舶,2021-09-30,23.647,2021-10-14,20.975,21100,-11.3896%,-56856.50,5,止损
60,600196,复星医药,2021-09-30,50.122,2021-11-03,45.824,5100,-8.6664%,-22164.32,19,止损
61,002812,恩捷股份,2021-10-11,251.106,2021-10-21,307.427,1900,22.3066%,106478.76,8,信号
62,600089,特变电工,2021-10-11,14.712,2021-10-28,18.489,33900,25.5426%,127457.15,13,信号
63,601669,中国电建,2021-10-12,6.394,2021-11-01,7.507,56700,17.2898%,62715.77,14,信号
64,002241,歌尔股份,2021-10-13,38.485,2021-11-02,44.714,12900,16.0677%,79809.71,14,信号
65,300343,联创股份,2021-10-13,17.979,2021-10-21,24.828,19800,37.9542%,135178.40,6,信号
66,600111,北方稀土,2021-10-13,42.523,2021-10-22,48.528,11700,14.0064%,69719.69,7,信号
67,600096,云天化,2021-10-14,17.724,2021-10-26,26.092,24900,47.0666%,207819.93,8,信号
68,601919,中远海控,2021-10-15,8.074,2021-11-15,7.446,49500,-7.8672%,-31458.25,21,到期
69,000807,云铝股份,2021-10-20,11.814,2021-10-28,10.713,42300,-9.4124%,-47059.86,6,止损
70,000825,太钢不锈,2021-10-21,7.684,2021-10-29,6.897,65000,-10.3358%,-51647.71,6,止损
71,601600,中国铝业,2021-10-21,6.578,2021-10-28,5.762,76000,-12.4946%,-62497.86,5,止损
72,300433,蓝思科技,2021-10-22,17.958,2021-11-01,19.819,27800,10.2534%,51213.78,6,信号
73,300454,深信服,2021-10-22,211.616,2021-11-10,220.65,2300,4.1648%,20280.78,13,信号
74,600019,宝钢股份,2021-10-25,6.106,2021-11-03,5.43,81800,-11.1561%,-55749.66,7,止损
75,000739,普洛药业,2021-10-26,30.392,2021-11-17,37.428,16400,23.0279%,114835.72,16,信号
76,000932,华菱钢铁,2021-10-26,4.693,2021-10-29,4.409,106500,-6.1568%,-30789.37,3,止损
77,600621,华鑫股份,2021-10-26,12.609,2021-11-24,12.677,39600,0.4337%,2166.68,21,到期
78,000799,酒鬼酒,2021-10-28,222.561,2021-11-03,204.418,2200,-8.2439%,-40385.34,4,止损
79,300999,金龙鱼,2021-10-28,58.623,2021-11-26,61.363,8500,4.5693%,22780.11,21,到期
80,601995,中金公司,2021-10-28,46.093,2021-11-26,48.046,10800,4.1327%,20583.29,21,到期
81,000002,万科Ａ,2021-10-29,17.325,2021-11-12,18.847,28800,8.6759%,43310.26,10,信号
82,002192,融捷股份,2021-10-29,109.769,2021-11-23,124.782,4500,13.5630%,67029.51,17,信号
83,600338,西藏珠峰,2021-10-29,29.87,2021-11-16,27.561,16700,-7.8215%,-39035.09,12,止损
84,601600,中国铝业,2021-10-29,5.638,2021-11-05,4.983,88600,-11.7118%,-58530.95,5,止损
85,300003,乐普医疗,2021-11-01,19.482,2021-11-30,20.722,25600,6.2581%,31226.79,21,到期
86,600702,舍得酒业,2021-11-01,173.92,2021-11-24,204.731,2800,17.5978%,85739.76,17,信号
