日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.002411,
2021-08-19,1.009365,
2021-08-20,1.000786,
2021-08-23,1.032189,
2021-08-24,1.040508,
2021-08-25,1.047501,
2021-08-26,1.032930,
2021-08-27,1.028478,
2021-08-30,1.027309,
2021-08-31,1.014549,
2021-09-01,1.016519,
2021-09-02,1.015223,
2021-09-03,1.021702,
2021-09-06,1.039897,
2021-09-07,1.049572,
2021-09-08,1.055055,
2021-09-09,1.047429,
2021-09-10,1.047587,
2021-09-13,1.039397,
2021-09-14,1.040264,
2021-09-15,1.037188,
2021-09-16,1.019338,
2021-09-17,1.017759,
2021-09-22,1.016338,
2021-09-23,1.026151,
2021-09-24,1.014150,
2021-09-27,0.990352,
2021-09-28,0.992966,
2021-09-29,0.962243,
2021-09-30,0.982541,
2021-10-08,0.995737,
2021-10-11,0.995578,
2021-10-12,0.975181,
2021-10-13,0.981534,
2021-10-14,0.992254,
2021-10-15,0.985929,
2021-10-18,0.998551,
2021-10-19,1.004578,
2021-10-20,1.003692,
2021-10-21,0.997892,
2021-10-22,0.986229,
2021-10-25,0.994709,
2021-10-26,0.992919,
2021-10-27,0.974443,
2021-10-28,0.955093,
2021-10-29,0.968318,
2021-11-01,0.981108,
2021-11-02,0.965075,
2021-11-03,0.973529,
2021-11-04,0.984736,
2021-11-05,0.978794,
2021-11-08,0.985875,
2021-11-09,0.996031,
2021-11-10,1.000939,
2021-11-11,1.012349,
2021-11-12,1.015166,
2021-11-15,1.025232,
2021-11-16,1.017922,
2021-11-17,1.032170,
2021-11-18,1.031270,
2021-11-19,1.044758,
2021-11-22,1.052996,
2021-11-23,1.058618,
2021-11-24,1.064849,
2021-11-25,1.065670,
2021-11-26,1.065865,
2021-11-29,1.064558,
2021-11-30,1.070430,
2021-12-01,1.084574,
2021-12-02,1.077508,
2021-12-03,1.086951,
2021-12-06,1.082562,
2021-12-07,1.078739,
2021-12-08,1.096045,
2021-12-09,1.102909,
2021-12-10,1.116537,
2021-12-13,1.124483,
2021-12-14,1.130543,
2021-12-15,1.128896,
2021-12-16,1.135296,
2021-12-17,1.115344,
2021-12-20,1.093132,
2021-12-21,1.108388,
2021-12-22,1.117375,
2021-12-23,1.116547,
2021-12-24,1.087142,
