日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10006279.41
2021-08-19,10209698.11
2021-08-20,10205449.91
2021-08-23,10476881.58
2021-08-24,10733423.56
2021-08-25,10809652.5
2021-08-26,10508024.08
2021-08-27,10569162.38
2021-08-30,10461075.11
2021-08-31,10426394.96
2021-09-01,10497862.16
2021-09-02,10319029.36
2021-09-03,10385261.21
2021-09-06,10736772.0
2021-09-07,10846904.7
2021-09-08,10751302.76
2021-09-09,10714360.22
2021-09-10,10801257.16
2021-09-13,10633823.81
2021-09-14,10657928.61
2021-09-15,10521728.01
2021-09-16,10269065.21
2021-09-17,10412896.08
2021-09-22,10368155.34
2021-09-23,10473222.11
2021-09-24,10578855.27
2021-09-27,10390902.94
2021-09-28,10385776.21
2021-09-29,9833890.09
2021-09-30,10138953.05
2021-10-08,10004308.37
2021-10-11,9930220.54
2021-10-12,9687328.84
2021-10-13,9889703.6
2021-10-14,9898480.82
2021-10-15,10013416.72
2021-10-18,10208022.82
2021-10-19,10342386.3
2021-10-20,10424745.02
2021-10-21,10532022.29
2021-10-22,10473952.35
2021-10-25,10593540.06
2021-10-26,10695560.67
2021-10-27,10454572.25
2021-10-28,10285419.05
2021-10-29,10451646.37
2021-11-01,10452021.47
2021-11-02,10257272.07
2021-11-03,10418141.1
2021-11-04,10583327.1
2021-11-05,10536838.07
2021-11-08,10510191.27
2021-11-09,10603236.9
2021-11-10,10625293.91
2021-11-11,10750714.29
2021-11-12,10697491.7
2021-11-15,10792927.55
2021-11-16,10864162.69
2021-11-17,11007142.68
2021-11-18,10947038.88
2021-11-19,11070190.08
2021-11-22,11283335.13
2021-11-23,11189192.68
2021-11-24,11079872.45
2021-11-25,11039484.25
2021-11-26,11029347.28
2021-11-29,11173176.28
2021-11-30,11336899.13
2021-12-01,11406888.29
2021-12-02,11363543.24
2021-12-03,11381411.74
2021-12-06,11408537.37
2021-12-07,11401159.65
2021-12-08,11550801.8
2021-12-09,11661806.6
2021-12-10,11809887.86
2021-12-13,11712472.97
2021-12-14,11615213.93
2021-12-15,11499346.65
2021-12-16,11459929.95
2021-12-17,11174985.26
2021-12-20,10955518.28
2021-12-21,11105445.15
2021-12-22,11126223.15
2021-12-23,11151838.55
2021-12-24,10805399.22
2021-12-27,10819626.68
2021-12-28,11179556.8
2021-12-29,11138179.4
2021-12-30,11138441.4
2021-12-31,11331248.12
2022-01-04,11129192.99
2022-01-05,10917668.58
2022-01-06,10935676.58
2022-01-07,10769710.58
2022-01-10,10734460.18
2022-01-11,10637593.34
2022-01-12,10850283.91
2022-01-13,10603429.67
2022-01-14,10608954.87
2022-01-17,10708192.41
2022-01-18,10782790.71
2022-01-19,10571633.83
2022-01-20,10474835.9
2022-01-21,10382810.74
2022-01-24,10482582.48
2022-01-25,10203608.32
2022-01-26,10283702.3
2022-01-27,10106926.53
2022-01-28,10094937.01
2022-02-07,10256319.33
2022-02-08,10097038.23
2022-02-09,10262383.83
2022-02-10,10129589.51
2022-02-11,9941884.02
2022-02-14,10026239.69
2022-02-15,10444821.28
2022-02-16,10458396.78
2022-02-17,10594977.07
2022-02-18,10549818.41
2022-02-21,10469476.81
2022-02-22,10357049.31
2022-02-23,10659912.77
2022-02-24,10368730.75
2022-02-25,10547693.15
2022-02-28,10537817.41
2022-03-01,10631328.98
2022-03-02,10513118.44
2022-03-03,10360103.84
2022-03-04,10184757.43
2022-03-07,9807005.55
2022-03-08,9568660.16
2022-03-09,9573548.92
2022-03-10,9736706.74
2022-03-11,9823839.94
2022-03-14,9443737.58
2022-03-15,9152016.32
2022-03-16,9740545.97
2022-03-17,10063040.53
2022-03-18,10147795.21
2022-03-21,10165635.01
2022-03-22,10192555.31
2022-03-23,10214615.97
2022-03-24,10135602.07
2022-03-25,9944088.8
2022-03-28,9810817.8
2022-03-29,9662724.12
2022-03-30,10054946.89
2022-03-31,9872010.57
2022-04-01,9939380.71
2022-04-06,9732313.19
2022-04-07,9551799.93
2022-04-08,9476560.01
2022-04-11,8985856.75
2022-04-12,9201594.01
2022-04-13,9128187.76
2022-04-14,9246267.43
2022-04-15,9140827.63
2022-04-18,9307302.0
2022-04-19,9220901.6
2022-04-20,8883461.2
2022-04-21,8554746.85
2022-04-22,8502319.16
2022-04-25,7818740.69
2022-04-26,7598510.28
2022-04-27,8079442.31
2022-04-28,8205230.33
2022-04-29,8588573.28
2022-05-05,8630705.08
2022-05-06,8387855.48
2022-05-09,8385142.88
2022-05-10,8515359.22
2022-05-11,8640271.95
2022-05-12,8489018.04
2022-05-13,8494304.24
2022-05-16,8528353.31
2022-05-17,8572421.61
2022-05-18,8553828.61
2022-05-19,8551026.1
2022-05-20,8702208.16
2022-05-23,8768897.08
2022-05-24,8499116.9
2022-05-25,8524651.95
2022-05-26,8497483.35
2022-05-27,8556443.31
2022-05-30,8517740.28
2022-05-31,8592282.48
2022-06-01,8560827.95
2022-06-02,8438806.58
2022-06-06,8600821.26
2022-06-07,8804799.34
2022-06-08,8811230.0
2022-06-09,8769235.6
2022-06-10,8884315.13
2022-06-13,8804630.63
2022-06-14,8823093.76
2022-06-15,8935500.68
2022-06-16,9069463.98
2022-06-17,9170123.68
2022-06-20,9422982.6
2022-06-21,9367398.86
2022-06-22,9165572.74
2022-06-23,9269470.44
2022-06-24,9261904.75
2022-06-27,9396554.17
2022-06-28,9531782.93
2022-06-29,9434420.41
2022-06-30,9485754.93
2022-07-01,9369171.04
2022-07-04,9351622.8
2022-07-05,9426181.6
2022-07-06,9257367.65
2022-07-07,9313065.16
2022-07-08,9381297.85
2022-07-11,9252875.18
2022-07-12,9065882.03
2022-07-13,9077366.89
2022-07-14,9120908.19
2022-07-15,8971266.57
2022-07-18,9211424.75
2022-07-19,9222375.88
