序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,002185,华天科技,2021-08-18,12.383,2021-09-09,12.661,40300,2.1386%,10677.73,16,信号
2,002230,科大讯飞,2021-08-18,51.007,2021-09-13,51.586,9800,1.0335%,5168.58,18,信号
3,002371,北方华创,2021-08-18,242.322,2021-08-24,290.604,2000,19.8047%,96030.12,4,信号
4,002460,赣锋锂业,2021-08-18,115.458,2021-08-24,129.907,4300,12.4024%,61604.52,4,信号
5,300035,中科电气,2021-08-18,19.718,2021-08-26,23.026,25300,16.6631%,83167.55,6,信号
6,300296,利亚德,2021-08-18,8.345,2021-08-23,10.496,59900,25.6446%,128255.40,3,信号
7,300347,泰格医药,2021-08-18,142.047,2021-09-03,128.941,3500,-9.3169%,-46343.45,12,止损
8,300373,扬杰科技,2021-08-18,45.34,2021-09-13,46.024,11000,1.4079%,7025.00,18,信号
9,300408,三环集团,2021-08-18,40.542,2021-08-31,36.604,12300,-9.8050%,-48918.88,9,止损
10,300595,欧普康视,2021-08-18,81.07,2021-08-24,73.052,6100,-9.9792%,-49374.13,4,止损
11,300623,捷捷微电,2021-08-18,31.337,2021-09-03,28.487,15900,-9.1854%,-45789.18,12,止损
12,300747,锐科激光,2021-08-18,50.039,2021-09-03,45.637,9900,-8.8880%,-44051.78,12,止损
13,600418,江淮汽车,2021-08-18,15.959,2021-08-31,17.932,31300,12.2510%,61226.20,9,信号
14,600460,士兰微,2021-08-18,57.359,2021-09-03,52.454,8700,-8.6427%,-43150.36,12,止损
15,600549,厦门钨业,2021-08-18,24.198,2021-08-25,28.122,20600,16.0993%,80292.19,5,信号
16,600584,长电科技,2021-08-18,33.117,2021-09-13,33.533,15000,1.1570%,5750.25,18,信号
17,601127,赛力斯,2021-08-18,50.084,2021-08-24,62.238,9900,24.1427%,119766.98,4,信号
18,603259,药明康德,2021-08-18,124.303,2021-09-06,128.297,4000,3.1097%,15469.60,13,信号
19,603690,至纯科技,2021-08-18,43.947,2021-08-25,50.487,11300,14.7663%,73365.98,5,信号
20,688185,康希诺,2021-08-18,408.386,2021-09-03,375.594,1200,-8.1216%,-39820.77,12,止损
21,600519,贵州茅台,2021-08-23,1315.596,2021-09-06,1425.346,300,8.2339%,32513.71,10,信号
22,000858,五粮液,2021-08-24,185.717,2021-09-13,189.529,2600,1.9508%,9424.36,14,信号
23,300760,迈瑞医疗,2021-08-24,284.191,2021-09-07,328.195,1700,15.3685%,74285.93,10,信号
24,600276,恒瑞医药,2021-08-24,46.014,2021-09-22,46.008,10800,-0.1130%,-561.84,19,信号
