日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10010462.95
2021-08-19,10215236.35
2021-08-20,9932808.22
2021-08-23,10168224.77
2021-08-24,10150722.07
2021-08-25,10072489.03
2021-08-26,9877190.15
2021-08-27,9876848.97
2021-08-30,9746495.6
2021-08-31,9650438.98
2021-09-01,9692193.52
2021-09-02,9533706.85
2021-09-03,9538056.94
2021-09-06,9831235.95
2021-09-07,9937159.37
2021-09-08,9926569.39
2021-09-09,9789108.12
2021-09-10,9875133.4
2021-09-13,9751230.34
2021-09-14,9840750.0
2021-09-15,9748196.61
2021-09-16,9532247.49
2021-09-17,9723654.1
2021-09-22,9687994.74
2021-09-23,9881053.0
2021-09-24,9885481.76
2021-09-27,9920097.88
2021-09-28,9923149.51
2021-09-29,9726997.79
2021-09-30,9896467.9
2021-10-08,9967601.65
2021-10-11,9948048.03
2021-10-12,9636852.42
2021-10-13,9708524.82
2021-10-14,9855717.52
2021-10-15,9813510.44
2021-10-18,10037465.07
2021-10-19,10131175.82
2021-10-20,10030343.02
2021-10-21,10045686.02
2021-10-22,9896612.32
2021-10-25,9977156.36
2021-10-26,9935014.64
2021-10-27,9674824.16
2021-10-28,9532560.83
2021-10-29,9704460.2
2021-11-01,9718283.19
2021-11-02,9601739.22
2021-11-03,9722478.27
2021-11-04,9751508.07
2021-11-05,9567130.32
2021-11-08,9675919.04
2021-11-09,9828927.17
2021-11-10,9909092.22
2021-11-11,10157268.11
2021-11-12,10060614.55
2021-11-15,10125910.46
2021-11-16,10142851.69
2021-11-17,10220642.7
2021-11-18,10289841.19
2021-11-19,10417739.63
2021-11-22,10461310.32
2021-11-23,10422377.58
2021-11-24,10470023.8
2021-11-25,10460371.64
2021-11-26,10483478.62
2021-11-29,10505999.98
2021-11-30,10522917.58
2021-12-01,10581261.92
2021-12-02,10511606.77
2021-12-03,10645090.36
2021-12-06,10611948.29
2021-12-07,10691180.69
2021-12-08,10893464.63
2021-12-09,11111059.53
2021-12-10,11174541.54
2021-12-13,11143073.42
2021-12-14,11087520.82
2021-12-15,11049486.83
2021-12-16,10981436.33
2021-12-17,10830854.41
2021-12-20,10703295.62
2021-12-21,10793260.84
2021-12-22,10878221.84
2021-12-23,10910896.79
2021-12-24,10700187.26
2021-12-27,10741764.35
2021-12-28,10990990.18
2021-12-29,11087645.31
2021-12-30,11207732.74
2021-12-31,11295793.24
2022-01-04,11167922.33
2022-01-05,10955340.3
2022-01-06,10991311.87
2022-01-07,10900801.13
2022-01-10,10883572.13
2022-01-11,10773182.88
2022-01-12,11058319.09
2022-01-13,10809188.29
2022-01-14,10778171.17
2022-01-17,10921312.87
2022-01-18,10960927.7
2022-01-19,10712069.3
2022-01-20,10687791.67
2022-01-21,10507549.78
2022-01-24,10474895.31
2022-01-25,10092992.74
2022-01-26,10127682.95
2022-01-27,9764589.53
2022-01-28,9648797.68
2022-02-07,9707747.2
2022-02-08,9767769.39
2022-02-09,9945954.7
2022-02-10,9884682.75
2022-02-11,9599492.35
2022-02-14,9627199.66
2022-02-15,9968754.21
2022-02-16,9988243.87
2022-02-17,10076349.57
2022-02-18,10100846.53
2022-02-21,10179422.74
2022-02-22,9959833.04
2022-02-23,10394423.33
2022-02-24,10098519.53
2022-02-25,10170243.82
2022-02-28,10143552.9
2022-03-01,10228776.95
2022-03-02,10178514.91
2022-03-03,10019199.11
2022-03-04,9920970.39
2022-03-07,9497881.17
2022-03-08,9232439.39
2022-03-09,9247869.61
2022-03-10,9487873.1
2022-03-11,9413787.46
2022-03-14,9090726.66
2022-03-15,8764493.6
2022-03-16,9265920.44
2022-03-17,9425778.7
2022-03-18,9542701.06
2022-03-21,9586408.36
2022-03-22,9582119.47
2022-03-23,9658727.46
2022-03-24,9494037.61
2022-03-25,9374464.78
2022-03-28,9244029.14
2022-03-29,9158503.17
2022-03-30,9451900.47
2022-03-31,9163818.31
2022-04-01,9203040.41
2022-04-06,9028565.05
2022-04-07,8896437.49
2022-04-08,8777391.5
2022-04-11,8408863.14
2022-04-12,8586494.03
2022-04-13,8432624.57
2022-04-14,8535064.45
2022-04-15,8586615.66
2022-04-18,8801902.85
2022-04-19,8684653.64
2022-04-20,8464135.24
2022-04-21,8126408.61
2022-04-22,7932168.09
2022-04-25,7486882.84
2022-04-26,7494444.23
2022-04-27,8024654.15
2022-04-28,8132302.98
2022-04-29,8523651.44
2022-05-05,8661376.48
2022-05-06,8646667.96
2022-05-09,8704543.8
2022-05-10,8752541.44
2022-05-11,8928961.44
2022-05-12,8838943.45
2022-05-13,8955932.46
2022-05-16,8996580.15
2022-05-17,9037738.05
2022-05-18,9164116.32
2022-05-19,9212416.52
2022-05-20,9467322.68
2022-05-23,9679464.02
2022-05-24,9379855.85
2022-05-25,9549860.64
2022-05-26,9550802.11
2022-05-27,9528450.07
2022-05-30,9543157.53
2022-05-31,9603955.77
2022-06-01,9576048.83
2022-06-02,9444896.88
2022-06-06,9684466.65
2022-06-07,9936756.78
2022-06-08,9832139.39
2022-06-09,9633423.2
2022-06-10,9702655.31
2022-06-13,9765136.97
2022-06-14,9744446.28
2022-06-15,9778074.49
2022-06-16,9964747.17
2022-06-17,9959635.99
2022-06-20,10065798.57
2022-06-21,10057505.62
2022-06-22,9836819.76
2022-06-23,9961281.08
2022-06-24,9943185.39
2022-06-27,10074213.76
2022-06-28,10157742.92
2022-06-29,10058613.01
2022-06-30,10116503.53
2022-07-01,10038446.49
2022-07-04,10060963.71
2022-07-05,10114356.43
2022-07-06,9921093.79
2022-07-07,10018014.85
2022-07-08,10105921.01
2022-07-11,10045312.41
2022-07-12,10056534.98
2022-07-13,10135172.37
2022-07-14,10067273.51
2022-07-15,9839379.47
2022-07-18,9990748.45
2022-07-19,9933917.0
2022-07-20,9969014.94
2022-07-21,9948423.27
2022-07-22,9846906.07
2022-07-25,9807732.88
2022-07-26,9924871.25
2022-07-27,9850481.4
2022-07-28,9924133.51
2022-07-29,9732376.24
2022-08-01,9798904.2
2022-08-02,9532844.15
2022-08-03,9444180.41
2022-08-04,9642670.29
2022-08-05,9785595.69
2022-08-08,9768785.65
2022-08-09,9776934.46
2022-08-10,9621877.18
2022-08-11,9879747.68
2022-08-12,9978030.08
2022-08-15,9939670.09
2022-08-16,10057078.0
2022-08-17,10064638.93
2022-08-18,10097462.45
2022-08-19,9983029.94
2022-08-22,10187385.75
2022-08-23,10132484.32
2022-08-24,9823137.45
2022-08-25,9800828.19
2022-08-26,9703061.04
2022-08-29,9672508.23
2022-08-30,9649597.12
2022-08-31,9499182.13
2022-09-01,9409654.31
2022-09-02,9416198.12
2022-09-05,9425790.38
2022-09-06,9614853.26
2022-09-07,9603394.74
2022-09-08,9518753.46
2022-09-09,9742656.9
2022-09-13,9917788.69
2022-09-14,9776017.28
2022-09-15,9561386.14
2022-09-16,9348044.06
2022-09-19,9257682.83
2022-09-20,9422797.67
2022-09-21,9307648.57
2022-09-22,9275065.09
2022-09-23,9172751.15
2022-09-26,9209250.39
2022-09-27,9480334.43
2022-09-28,9191532.39
2022-09-29,9262724.03
2022-09-30,9098675.55
2022-10-10,8955919.75
2022-10-11,9021705.35
2022-10-12,9222877.03
2022-10-13,9161710.5
2022-10-14,9450474.16
2022-10-17,9527761.76
2022-10-18,9411188.5
2022-10-19,9270323.36
2022-10-20,9125401.89
2022-10-21,9028196.21
2022-10-24,8835052.91
2022-10-25,8856796.7
2022-10-26,8865190.24
2022-10-27,8642383.59
2022-10-28,8357291.84
2022-10-31,8292289.42
2022-11-01,8557486.11
2022-11-02,8740985.03
2022-11-03,8683729.72
2022-11-04,9012094.04
2022-11-07,9022988.93
2022-11-08,9005853.88
2022-11-09,8974116.33
2022-11-10,8951968.89
2022-11-11,9060486.37
2022-11-14,9149872.92
2022-11-15,9301118.18
2022-11-16,9231286.06
2022-11-17,9161051.04
2022-11-18,9125424.96
2022-11-21,9257751.93
2022-11-22,9101489.13
2022-11-23,9200569.76
2022-11-24,9255802.67
2022-11-25,9067413.35
2022-11-28,9124047.67
2022-11-29,9193657.16
2022-11-30,9269144.16
2022-12-01,9410332.52
2022-12-02,9331540.84
2022-12-05,9274777.38
2022-12-06,9322579.93
2022-12-07,9257364.81
2022-12-08,9147912.14
2022-12-09,9244942.22
2022-12-12,9291324.54
2022-12-13,9175358.15
2022-12-14,9110770.75
2022-12-15,9187669.39
2022-12-16,9000780.89
2022-12-19,8897923.85
2022-12-20,8777813.13
2022-12-21,8648952.08
2022-12-22,8549215.37
2022-12-23,8500472.72
2022-12-26,8735701.64
2022-12-27,8783074.28
2022-12-28,8648081.5
2022-12-29,8623588.8
2022-12-30,8594447.29
2023-01-03,8782358.86
2023-01-04,8763307.94
2023-01-05,9010821.49
2023-01-06,9121776.28
2023-01-09,9217298.36
2023-01-10,9235833.48
2023-01-11,9138178.9
2023-01-12,9120282.65
2023-01-13,9139144.63
2023-01-16,9353140.23
2023-01-17,9394534.05
2023-01-18,9440790.49
2023-01-19,9537064.59
2023-01-20,9686031.47
2023-01-30,9871239.07
2023-01-31,9940182.84
2023-02-01,9988753.1
2023-02-02,9995311.51
2023-02-03,9803703.99
2023-02-06,9703234.04
2023-02-07,9775406.38
2023-02-08,9762466.72
2023-02-09,9824410.4
2023-02-10,9796111.1
2023-02-13,9895719.72
2023-02-14,9909226.45
2023-02-15,9800021.31
2023-02-16,9693654.37
2023-02-17,9546579.65
2023-02-20,9632366.64
2023-02-21,9645408.14
2023-02-22,9566347.24
2023-02-23,9669324.38
2023-02-24,9545625.59
2023-02-27,9495346.49
2023-02-28,9491011.02
2023-03-01,9528306.04
2023-03-02,9403127.69
2023-03-03,9495372.39
2023-03-06,9492995.55
2023-03-07,9257379.21
2023-03-08,9259456.81
2023-03-09,9271410.61
2023-03-10,9103994.37
2023-03-13,9089188.52
2023-03-14,9074308.6
2023-03-15,9035584.94
2023-03-16,8862881.14
2023-03-17,8837529.67
2023-03-20,8868579.61
2023-03-21,9114861.23
2023-03-22,9139857.63
2023-03-23,9173308.47
2023-03-24,9122555.47
2023-03-27,9209653.6
2023-03-28,9126074.65
2023-03-29,9129452.31
2023-03-30,9243501.98
2023-03-31,9258433.2
2023-04-03,9331146.49
2023-04-04,9275653.93
2023-04-06,9353916.03
2023-04-07,9399169.82
2023-04-10,9418640.05
2023-04-11,9428691.17
2023-04-12,9365160.77
2023-04-13,9398709.94
2023-04-14,9383041.04
2023-04-17,9486710.6
2023-04-18,9514291.79
2023-04-19,9411796.8
2023-04-20,9272223.35
2023-04-21,9142795.95
2023-04-24,9008400.67
2023-04-25,8887598.52
2023-04-26,9026783.95
2023-04-27,9072372.92
2023-04-28,9207660.35
2023-05-04,9123001.86
2023-05-05,9050642.11
2023-05-08,9157700.01
2023-05-09,9085712.86
2023-05-10,9122871.65
2023-05-11,9083664.6
2023-05-12,9006777.08
2023-05-15,9084860.79
2023-05-16,9108737.61
2023-05-17,9127793.78
2023-05-18,9139873.56
2023-05-19,9152714.34
2023-05-22,9153152.91
2023-05-23,8987098.74
2023-05-24,8902378.94
2023-05-25,8893433.02
2023-05-26,8932083.19
2023-05-29,8888471.73
2023-05-30,9039346.28
2023-05-31,8946521.57
2023-06-01,9024587.25
2023-06-02,9246619.58
2023-06-05,9136834.92
2023-06-06,9064813.75
2023-06-07,9012861.5
2023-06-08,9093542.58
2023-06-09,9176658.37
2023-06-12,9192820.57
2023-06-13,9279589.84
2023-06-14,9270046.12
2023-06-15,9458553.66
2023-06-16,9517736.86
2023-06-19,9524781.85
2023-06-20,9522100.45
2023-06-21,9327382.08
2023-06-26,9217291.19
2023-06-27,9272740.71
2023-06-28,9276317.14
2023-06-29,9256443.69
2023-06-30,9295466.32
2023-07-03,9436276.21
2023-07-04,9526957.53
2023-07-05,9370444.97
2023-07-06,9341267.8
2023-07-07,9242256.59
2023-07-10,9342182.63
2023-07-11,9209698.64
2023-07-12,9120370.47
2023-07-13,9300856.72
2023-07-14,9437587.82
2023-07-17,9308909.44
2023-07-18,9241641.54
2023-07-19,9211953.24
