序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000158,常山北明,2021-08-18,7.497,2021-09-01,7.059,66600,-5.9270%,-29607.44,10,止损
2,000408,藏格矿业,2021-08-18,17.923,2021-08-20,21.083,27800,17.5162%,87319.60,2,止盈
3,000538,云南白药,2021-08-18,55.87,2021-08-24,52.388,8900,-6.3263%,-31472.69,4,止损
4,002138,顺络电子,2021-08-18,33.939,2021-09-02,33.575,14700,-1.1707%,-5843.46,11,到期
5,002230,科大讯飞,2021-08-18,51.007,2021-09-02,51.096,9800,0.0743%,371.38,11,到期
6,002410,广联达,2021-08-18,42.051,2021-09-02,42.995,11800,2.1438%,10643.05,11,到期
7,002555,三七互娱,2021-08-18,13.032,2021-08-31,11.509,38300,-11.7697%,-58772.90,9,止损
8,002812,恩捷股份,2021-08-18,235.899,2021-08-20,255.153,2100,8.0541%,39918.78,2,止盈
9,002916,深南电路,2021-08-18,68.149,2021-09-01,64.299,7300,-5.7440%,-28590.06,10,止损
10,300122,智飞生物,2021-08-18,99.237,2021-08-24,108.853,5000,9.5803%,47559.54,4,止盈
11,300339,润和软件,2021-08-18,31.597,2021-08-26,30.196,15800,-4.5292%,-22622.32,6,止损
12,300595,欧普康视,2021-08-18,81.07,2021-08-23,76.041,6100,-6.2965%,-31153.37,3,止损
13,300712,永福股份,2021-08-18,64.587,2021-08-20,58.576,7700,-9.3983%,-46763.34,2,止损
14,300759,康龙化成,2021-08-18,79.343,2021-08-25,85.229,6300,7.3120%,36567.89,5,止盈
15,601615,明阳智能,2021-08-18,16.5,2021-08-23,18.063,30300,9.3615%,46826.72,3,止盈
16,601799,星宇股份,2021-08-18,178.211,2021-09-02,183.85,2800,3.0611%,15282.22,11,到期
17,603160,汇顶科技,2021-08-18,104.622,2021-09-02,105.617,4700,0.8500%,4181.87,11,到期
18,603259,药明康德,2021-08-18,124.303,2021-08-23,118.882,4000,-4.4572%,-22172.73,3,止损
19,603501,豪威集团,2021-08-18,192.646,2021-09-01,181.563,2500,-5.8473%,-28175.52,10,止损
20,688185,康希诺,2021-08-18,408.386,2021-09-01,389.007,1200,-4.8404%,-23732.87,10,止损
21,000703,恒逸石化,2021-08-20,10.837,2021-09-06,11.596,46100,6.8946%,34462.80,11,到期
22,300256,星星科技,2021-08-20,3.632,2021-08-25,2.279,137600,-37.3156%,-186573.26,2,止损
23,300294,博雅生物,2021-08-20,41.45,2021-08-24,38.57,12000,-7.0412%,-35040.22,2,止损
