日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10002715.61
2021-08-19,10231721.11
2021-08-20,10115121.61
2021-08-23,10423428.54
2021-08-24,10532827.58
2021-08-25,10535531.7
2021-08-26,10263366.0
2021-08-27,10401338.7
2021-08-30,10398221.2
2021-08-31,10227031.6
2021-09-01,10402883.4
2021-09-02,10173497.94
2021-09-03,10170541.04
2021-09-06,10552678.68
2021-09-07,10745207.16
2021-09-08,10633094.36
2021-09-09,10540953.26
2021-09-10,10752631.76
2021-09-13,10428334.1
2021-09-14,10584622.86
2021-09-15,10517269.61
2021-09-16,10188091.24
2021-09-17,10159657.97
2021-09-22,10092026.21
2021-09-23,10189181.21
2021-09-24,10111092.91
2021-09-27,10040185.39
2021-09-28,10032454.43
2021-09-29,9743069.94
2021-09-30,9925737.72
2021-10-08,9919396.52
2021-10-11,9848571.08
2021-10-12,9514782.59
2021-10-13,9710675.2
2021-10-14,9664702.4
2021-10-15,9777524.33
2021-10-18,9980335.23
2021-10-19,10112164.55
2021-10-20,10336816.98
2021-10-21,10313961.92
2021-10-22,10398814.66
2021-10-25,10495574.81
2021-10-26,10554070.35
2021-10-27,10386924.82
2021-10-28,10230951.79
2021-10-29,10392331.8
2021-11-01,10376436.68
2021-11-02,10329677.73
2021-11-03,10362914.57
2021-11-04,10478744.72
2021-11-05,10482968.07
2021-11-08,10533337.05
2021-11-09,10659868.46
2021-11-10,10542984.67
2021-11-11,10749357.02
2021-11-12,10679780.42
2021-11-15,10555291.22
2021-11-16,10527636.97
2021-11-17,10610800.92
2021-11-18,10562028.72
2021-11-19,10690303.16
2021-11-22,10856066.86
2021-11-23,10817358.33
2021-11-24,10643600.33
2021-11-25,10606807.95
2021-11-26,10551161.79
2021-11-29,10486720.44
2021-11-30,10529693.04
2021-12-01,10585971.34
2021-12-02,10632201.64
2021-12-03,10752908.58
2021-12-06,10721974.92
2021-12-07,10687876.8
2021-12-08,10981496.48
2021-12-09,11069706.78
2021-12-10,11233138.71
2021-12-13,11208099.27
2021-12-14,11144113.87
2021-12-15,11006600.87
2021-12-16,11019988.29
2021-12-17,10803388.39
2021-12-20,10416034.47
2021-12-21,10455701.35
2021-12-22,10444276.13
2021-12-23,10555879.43
2021-12-24,10242918.03
2021-12-27,10294672.22
2021-12-28,10564388.53
2021-12-29,10464181.13
2021-12-30,10515389.93
2021-12-31,10632959.73
2022-01-04,10466653.11
2022-01-05,10240517.42
2022-01-06,10197209.9
2022-01-07,10082662.1
2022-01-10,10072673.16
2022-01-11,9990009.69
2022-01-12,10183402.91
2022-01-13,9981252.51
2022-01-14,9951716.53
2022-01-17,9994937.99
2022-01-18,10057532.99
2022-01-19,9830700.76
2022-01-20,9813328.3
2022-01-21,9681578.49
2022-01-24,9907018.34
2022-01-25,9649436.49
2022-01-26,9660181.86
2022-01-27,9495258.69
2022-01-28,9337834.5
2022-02-07,9381867.87
2022-02-08,9204002.95
2022-02-09,9277644.64
2022-02-10,9102690.07
2022-02-11,8955207.94
2022-02-14,8951711.94
2022-02-15,9275563.03
2022-02-16,9431595.83
2022-02-17,9523067.18
2022-02-18,9602854.76
2022-02-21,9591310.5
2022-02-22,9500707.8
2022-02-23,9779576.56
2022-02-24,9512202.11
2022-02-25,9673819.35
2022-02-28,9574667.04
2022-03-01,9760118.11
2022-03-02,9637959.1
2022-03-03,9504662.7
2022-03-04,9327899.58
2022-03-07,8989137.67
2022-03-08,8705851.42
2022-03-09,8732383.7
2022-03-10,8998510.36
2022-03-11,8963860.36
2022-03-14,8694616.22
2022-03-15,8458916.26
2022-03-16,8852451.77
2022-03-17,9071981.27
2022-03-18,9075086.47
2022-03-21,9127254.17
2022-03-22,9031515.35
2022-03-23,9094836.05
2022-03-24,9151266.95
2022-03-25,9000000.14
2022-03-28,8912553.49
2022-03-29,8783539.62
2022-03-30,9187597.85
2022-03-31,8956907.67
2022-04-01,9032426.43
2022-04-06,8803835.23
2022-04-07,8683418.94
2022-04-08,8587642.97
2022-04-11,8179272.31
2022-04-12,8425429.69
2022-04-13,8203250.59
2022-04-14,8310067.0
2022-04-15,8262390.8
2022-04-18,8360015.55
2022-04-19,8283356.35
2022-04-20,8034147.49
2022-04-21,7765987.89
2022-04-22,7657559.98
2022-04-25,7097998.13
2022-04-26,7029214.68
2022-04-27,7249042.0
2022-04-28,7328001.62
2022-04-29,7461447.51
2022-05-05,7442966.51
2022-05-06,7253631.31
2022-05-09,7195534.71
2022-05-10,7269016.71
2022-05-11,7364296.11
2022-05-12,7317406.45
2022-05-13,7315950.45
2022-05-16,7234639.98
2022-05-17,7309403.98
2022-05-18,7309613.07
2022-05-19,7229456.83
2022-05-20,7441252.1
2022-05-23,7396058.27
2022-05-24,7099864.69
2022-05-25,7210145.98
2022-05-26,7291441.16
2022-05-27,7364027.96
2022-05-30,7371946.62
2022-05-31,7331392.73
2022-06-01,7262965.86
2022-06-02,7250022.16
2022-06-06,7188041.26
2022-06-07,7287820.5
2022-06-08,7282242.11
2022-06-09,7261721.68
2022-06-10,7274594.21
2022-06-13,7105377.41
2022-06-14,7129670.75
2022-06-15,7261786.87
2022-06-16,7264483.32
2022-06-17,7268549.33
2022-06-20,7349900.89
2022-06-21,7340741.0
2022-06-22,7160585.96
2022-06-23,7187853.98
2022-06-24,7201935.21
2022-06-27,7276587.16
2022-06-28,7411635.86
2022-06-29,7337994.48
2022-06-30,7386299.84
2022-07-01,7448713.76
2022-07-04,7465108.1
2022-07-05,7575956.06
2022-07-06,7515461.14
2022-07-07,7766555.82
2022-07-08,7809012.48
2022-07-11,7580099.66
2022-07-12,7493019.63
2022-07-13,7553800.71
2022-07-14,7590957.31
2022-07-15,7472975.68
2022-07-18,7554813.05
2022-07-19,7515941.85
2022-07-20,7515731.24
2022-07-21,7384315.64
2022-07-22,7402728.62
2022-07-25,7311397.46
2022-07-26,7391599.15
2022-07-27,7347598.73
2022-07-28,7245318.13
2022-07-29,7172337.53
2022-08-01,7235474.66
2022-08-02,6974152.56
2022-08-03,6914866.13
2022-08-04,6998847.72
2022-08-05,7123769.11
2022-08-08,7100965.06
2022-08-09,7171990.16
2022-08-10,7082941.79
2022-08-11,7221053.45
2022-08-12,7163707.15
2022-08-15,7241248.91
2022-08-16,7273143.72
2022-08-17,7301917.04
2022-08-18,7211549.46
2022-08-19,7157660.16
2022-08-22,7215978.79
2022-08-23,7146435.17
2022-08-24,6969967.37
2022-08-25,7001383.88
2022-08-26,7003193.95
2022-08-29,7018997.0
2022-08-30,6992074.74
2022-08-31,6814654.54
2022-09-01,6710344.36
2022-09-02,6653504.33
2022-09-05,6662872.83
2022-09-06,6843071.58
2022-09-07,6896321.98
2022-09-08,6786622.48
2022-09-09,6814064.48
2022-09-13,6844822.96
2022-09-14,6712659.19
2022-09-15,6498503.42
2022-09-16,6351191.27
2022-09-19,6342719.73
2022-09-20,6511296.4
2022-09-21,6405716.3
2022-09-22,6371858.68
2022-09-23,6339000.95
2022-09-26,6455767.38
2022-09-27,6621130.23
2022-09-28,6418338.89
2022-09-29,6512062.79
2022-09-30,6335775.89
2022-10-10,6106398.49
2022-10-11,6182960.6
2022-10-12,6295816.7
2022-10-13,6142093.62
2022-10-14,6473965.07
2022-10-17,6461837.6
2022-10-18,6461962.0
2022-10-19,6382292.2
2022-10-20,6342339.37
2022-10-21,6263285.99
2022-10-24,6093486.67
2022-10-25,6064861.57
2022-10-26,6067506.77
2022-10-27,5995459.05
2022-10-28,5895919.15
2022-10-31,5850205.5
2022-11-01,6118943.08
2022-11-02,6175042.88
2022-11-03,6116592.55
2022-11-04,6404015.73
2022-11-07,6384456.1
2022-11-08,6344224.35
2022-11-09,6217059.05
2022-11-10,6173273.04
2022-11-11,6383589.21
2022-11-14,6441426.65
2022-11-15,6583007.39
2022-11-16,6528065.89
2022-11-17,6546783.95
2022-11-18,6428337.37
2022-11-21,6431663.18
2022-11-22,6353579.28
2022-11-23,6372522.86
2022-11-24,6369791.84
2022-11-25,6263547.64
2022-11-28,6263160.47
2022-11-29,6307494.21
2022-11-30,6338266.81
2022-12-01,6505209.41
2022-12-02,6416514.14
2022-12-05,6336771.02
2022-12-06,6336812.53
2022-12-07,6315755.7
2022-12-08,6303063.69
2022-12-09,6288390.99
2022-12-12,6324521.51
2022-12-13,6237113.6
2022-12-14,6210983.08
2022-12-15,6238174.08
2022-12-16,6229286.95
2022-12-19,6168198.08
2022-12-20,6071184.25
2022-12-21,6095766.52
2022-12-22,6032541.98
2022-12-23,5959260.31
2022-12-26,6107678.8
2022-12-27,6178258.84
2022-12-28,6088217.32
2022-12-29,6054645.7
