序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000725,京东方Ａ,2021-08-18,5.23,2021-09-01,5.414,95600,3.4279%,17146.44,10,信号
2,002074,国轩高科,2021-08-18,51.908,2021-09-08,55.974,9600,7.7254%,38516.32,15,信号
3,002371,北方华创,2021-08-18,242.322,2021-08-24,290.604,2000,19.8047%,96030.12,4,信号
4,002460,赣锋锂业,2021-08-18,115.458,2021-08-25,133.333,4300,15.3670%,76330.18,5,信号
5,002466,天齐锂业,2021-08-18,93.618,2021-08-23,115.593,5300,23.3501%,115915.15,3,信号
6,002812,恩捷股份,2021-08-18,235.899,2021-08-27,275.253,2100,16.5661%,82107.56,7,信号
7,300014,亿纬锂能,2021-08-18,103.257,2021-08-27,96.956,4800,-6.1953%,-30721.02,7,止损
8,300059,东方财富,2021-08-18,21.426,2021-09-07,22.425,23300,4.5584%,22767.58,14,信号
9,300142,沃森生物,2021-08-18,75.326,2021-09-16,68.784,6600,-8.7763%,-43653.11,21,止损
10,300339,润和软件,2021-08-18,31.597,2021-08-27,28.837,15800,-8.8270%,-44088.84,7,止损
11,300712,永福股份,2021-08-18,64.587,2021-08-27,58.706,7700,-9.1974%,-45763.34,7,止损
12,300750,宁德时代,2021-08-18,248.575,2021-08-27,266.905,2000,7.2668%,36145.03,7,信号
13,300760,迈瑞医疗,2021-08-18,322.58,2021-08-23,259.289,1500,-19.7006%,-95372.78,3,止损
14,600111,北方稀土,2021-08-18,38.661,2021-08-30,48.008,12900,24.0516%,120012.94,8,信号
15,600196,复星医药,2021-08-18,65.58,2021-09-03,59.917,7600,-8.7262%,-43513.77,12,止损
16,600460,士兰微,2021-08-18,57.359,2021-09-03,52.454,8700,-8.6427%,-43150.36,12,止损
17,600519,贵州茅台,2021-08-18,1402.42,2021-09-07,1437.37,300,2.3897%,10059.06,14,信号
18,600703,三安光电,2021-08-18,37.722,2021-09-02,33.486,13200,-11.3172%,-56379.93,11,止损
19,603259,药明康德,2021-08-18,124.303,2021-09-07,135.073,4000,8.5559%,42562.48,14,信号
20,603986,兆易创新,2021-08-18,164.772,2021-09-01,148.806,3000,-9.7805%,-48370.72,10,止损
21,000858,五粮液,2021-08-23,184.106,2021-09-23,172.358,2700,-6.4748%,-32201.44,21,到期
22,600276,恒瑞医药,2021-08-23,46.654,2021-09-23,47.057,10700,0.7633%,3812.28,21,到期
23,300760,迈瑞医疗,2021-08-24,284.191,2021-09-07,328.195,1700,15.3685%,74285.93,10,信号
24,601318,中国平安,2021-08-25,39.566,2021-09-22,35.108,12600,-11.3543%,-56632.88,18,止损
25,000661,长春高新,2021-08-27,255.182,2021-09-03,230.898,1900,-9.6064%,-46599.54,5,止损
26,000963,华东医药,2021-08-27,27.894,2021-09-29,26.507,17900,-5.0681%,-25317.77,21,到期
27,002192,融捷股份,2021-08-27,129.399,2021-09-01,172.748,3800,33.3668%,164151.80,3,信号
28,600031,三一重工,2021-08-27,25.01,2021-09-07,27.464,19900,9.7012%,48307.74,7,信号
29,600143,金发科技,2021-08-27,17.091,2021-09-01,15.374,29200,-10.1319%,-50587.96,3,止损
30,002415,海康威视,2021-08-30,48.278,2021-09-14,51.008,10300,5.5499%,27611.34,11,信号
31,002475,立讯精密,2021-09-01,32.779,2021-09-28,35.785,15200,9.0604%,45165.81,17,信号
32,002594,比亚迪,2021-09-01,89.247,2021-09-06,83.49,5600,-6.5435%,-32719.32,3,止损
33,601888,中国中免,2021-09-01,223.202,2021-09-08,243.768,2200,9.1052%,44732.66,5,信号
34,603501,豪威集团,2021-09-01,181.745,2021-09-17,168.814,2700,-7.2079%,-35387.70,12,止损
35,603986,兆易创新,2021-09-02,148.804,2021-10-12,143.158,3300,-3.8904%,-19113.47,21,到期
36,002371,北方华创,2021-09-03,228.248,2021-09-16,267.63,2100,17.1369%,82181.64,9,信号
37,300014,亿纬锂能,2021-09-03,93.132,2021-10-11,97.936,5300,5.0537%,24957.34,19,信号
38,601919,中远海控,2021-09-03,12.346,2021-09-13,14.433,40400,16.7840%,83758.11,6,信号
39,603799,华友钴业,2021-09-06,87.618,2021-09-17,80.203,5700,-8.5543%,-42743.27,9,止损
40,000009,中国宝安,2021-09-07,21.876,2021-09-14,20.165,22800,-7.9136%,-39490.52,5,止损
