日期,权益(元)
2021-08-17,10000000.0
2021-08-18,9880169.85
2021-08-19,9762051.15
2021-08-20,9820856.67
2021-08-23,10066174.61
2021-08-24,10137085.99
2021-08-25,10072651.78
2021-08-26,10065747.51
2021-08-27,10003405.86
2021-08-30,10123275.49
2021-08-31,10224080.94
2021-09-01,10073137.22
2021-09-02,10366486.37
2021-09-03,10020020.69
2021-09-06,9974247.03
2021-09-07,10312998.93
2021-09-08,10349521.79
2021-09-09,10466374.71
2021-09-10,10244045.05
2021-09-13,10202967.88
2021-09-14,10120280.24
2021-09-15,10155440.27
2021-09-16,9806352.11
2021-09-17,9556972.85
2021-09-22,9533526.11
2021-09-23,9229723.49
2021-09-24,8754254.59
2021-09-27,8187094.5
2021-09-28,8322256.5
2021-09-29,7778617.84
2021-09-30,8011529.89
2021-10-08,7922392.09
2021-10-11,7702381.76
2021-10-12,7599227.52
2021-10-13,7307610.64
2021-10-14,7354598.61
2021-10-15,7620934.45
2021-10-18,7800703.21
2021-10-19,7835280.08
2021-10-20,7871429.76
2021-10-21,7785942.4
2021-10-22,7548712.42
2021-10-25,7558802.19
2021-10-26,7531883.9
2021-10-27,7574274.92
2021-10-28,7363117.95
2021-10-29,7552060.59
2021-11-01,7765104.58
2021-11-02,7599614.93
2021-11-03,7548485.82
2021-11-04,7629593.51
2021-11-05,7349248.21
2021-11-08,7253005.63
2021-11-09,7357258.37
2021-11-10,7522668.77
2021-11-11,7392679.92
2021-11-12,7501675.27
2021-11-15,7441725.27
2021-11-16,7444364.17
2021-11-17,7440532.69
2021-11-18,7461117.93
2021-11-19,7515968.6
2021-11-22,7710164.59
2021-11-23,7799730.21
2021-11-24,7734959.97
2021-11-25,7765997.23
2021-11-26,7745377.63
2021-11-29,7722737.72
2021-11-30,7708312.65
2021-12-01,7768803.78
2021-12-02,7431862.2
2021-12-03,7468947.09
2021-12-06,7374225.26
2021-12-07,7280593.63
2021-12-08,7393978.14
2021-12-09,7337880.63
2021-12-10,7357701.44
2021-12-13,7370205.24
2021-12-14,7352217.68
2021-12-15,7374721.58
2021-12-16,7458716.65
2021-12-17,7288017.42
2021-12-20,7485109.89
2021-12-21,7686615.11
2021-12-22,7699590.5
2021-12-23,7398883.97
2021-12-24,7356605.03
2021-12-27,7344834.17
2021-12-28,7237326.53
2021-12-29,7111753.15
2021-12-30,7230484.41
2021-12-31,7181715.05
2022-01-04,7409269.64
2022-01-05,7256337.64
2022-01-06,7315362.99
2022-01-07,7083784.41
2022-01-10,7094361.94
2022-01-11,7107193.01
2022-01-12,7185659.66
2022-01-13,7326393.31
2022-01-14,7377521.7
2022-01-17,7585382.37
2022-01-18,7187925.93
2022-01-19,7377029.18
2022-01-20,7465616.29
2022-01-21,6790944.89
2022-01-24,6374234.24
2022-01-25,5943693.09
2022-01-26,5704400.37
2022-01-27,5357358.6
2022-01-28,5230757.14
2022-02-07,5482141.74
2022-02-08,5763219.52
2022-02-09,6009223.04
2022-02-10,6025891.67
2022-02-11,5966877.68
2022-02-14,6083753.63
2022-02-15,6139944.05
2022-02-16,6208366.74
2022-02-17,5908932.57
2022-02-18,5897466.63
2022-02-21,6106097.5
2022-02-22,6147359.35
2022-02-23,6165856.45
2022-02-24,5986993.73
2022-02-25,5994498.44
2022-02-28,6055277.01
2022-03-01,6110172.73
2022-03-02,6200686.09
2022-03-03,6385423.07
2022-03-04,6248351.21
2022-03-07,6224329.82
2022-03-08,5968679.08
2022-03-09,6082066.42
2022-03-10,6134125.26
2022-03-11,6026790.26
2022-03-14,5766354.5
2022-03-15,5664415.73
2022-03-16,5898887.84
2022-03-17,6008979.12
2022-03-18,6060246.45
2022-03-21,6263273.4
2022-03-22,6045581.98
2022-03-23,5898086.06
2022-03-24,5967054.12
2022-03-25,5661522.11
2022-03-28,5532205.98
2022-03-29,5505742.72
2022-03-30,5650890.79
2022-03-31,5819515.52
2022-04-01,5706114.36
2022-04-06,5773577.29
2022-04-07,5550153.11
2022-04-08,5417117.31
2022-04-11,5181732.56
2022-04-12,5287412.57
2022-04-13,5082881.31
2022-04-14,5244063.05
2022-04-15,4932925.73
2022-04-18,4836761.03
2022-04-19,4767696.26
2022-04-20,4549556.52
2022-04-21,4297551.47
2022-04-22,4184187.53
2022-04-25,3982034.15
2022-04-26,3902529.92
2022-04-27,3895259.89
2022-04-28,3940908.09
2022-04-29,4029373.42
2022-05-05,4150633.05
2022-05-06,4253902.66
2022-05-09,4324458.46
2022-05-10,4507529.74
2022-05-11,4627363.07
2022-05-12,4732314.09
2022-05-13,4635246.4
2022-05-16,4701266.03
2022-05-17,4516813.13
2022-05-18,4531528.31
2022-05-19,4611074.36
2022-05-20,4772584.94
2022-05-23,4944723.28
2022-05-24,4719989.5
2022-05-25,4706127.68
2022-05-26,4603107.12
2022-05-27,4560467.37
2022-05-30,4560128.89
2022-05-31,4488649.2
2022-06-01,4681436.05
2022-06-02,4908565.63
2022-06-06,5048832.59
2022-06-07,5128216.4
2022-06-08,5165695.85
2022-06-09,5055474.79
2022-06-10,5018861.65
2022-06-13,5132971.85
2022-06-14,5169919.62
2022-06-15,4971311.53
2022-06-16,4848561.5
2022-06-17,4922260.7
2022-06-20,4858152.93
2022-06-21,4828302.05
2022-06-22,4821348.63
2022-06-23,4950534.35
2022-06-24,4902423.98
2022-06-27,4948940.04
2022-06-28,4969737.73
2022-06-29,4726866.66
2022-06-30,4759804.83
2022-07-01,4806359.52
2022-07-04,4963877.26
2022-07-05,4780166.57
2022-07-06,4774526.55
2022-07-07,4851911.06
2022-07-08,4822167.93
2022-07-11,4691632.09
2022-07-12,4693556.36
2022-07-13,4728769.11
2022-07-14,4818384.03
2022-07-15,4722521.71
2022-07-18,4857418.52
2022-07-19,4844919.93
2022-07-20,4824730.48
2022-07-21,4797024.36
2022-07-22,4809111.73
2022-07-25,4766469.5
2022-07-26,4803332.41
2022-07-27,4978525.04
2022-07-28,5101513.61
2022-07-29,5020092.46
2022-08-01,4937953.22
2022-08-02,4694873.14
