序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000572,海马汽车,2021-08-18,7.104,2021-08-27,6.717,70300,-5.5412%,-27685.55,7,止损
2,002097,山河智能,2021-08-18,10.502,2021-08-31,10.602,47600,0.8460%,4231.45,9,到期
3,002256,兆新股份,2021-08-18,4.742,2021-08-20,4.378,105400,-7.7796%,-38905.26,2,止损
4,002335,科华数据,2021-08-18,22.004,2021-08-23,26.153,22700,18.7365%,93633.91,3,止盈
5,002455,百川股份,2021-08-18,23.182,2021-08-20,22.129,21500,-4.6363%,-23119.17,2,止损
6,002518,科士达,2021-08-18,33.797,2021-08-23,38.251,14700,13.0655%,64943.88,3,止盈
7,002538,ST司特,2021-08-18,7.274,2021-08-24,7.916,68700,8.7232%,43611.46,4,止盈
8,300068,ST南都,2021-08-18,14.783,2021-08-24,13.719,33800,-7.2917%,-36453.38,4,止损
9,300153,科泰电源,2021-08-18,14.637,2021-08-20,13.563,34100,-7.4307%,-37107.63,2,止损
10,300173,ST福能,2021-08-18,8.534,2021-08-20,8.006,58500,-6.2838%,-31387.60,2,止损
11,300183,东软载波,2021-08-18,22.076,2021-08-24,20.745,22600,-6.1249%,-30573.74,4,止损
12,300343,联创股份,2021-08-18,16.318,2021-08-23,17.571,30600,7.5713%,37824.98,3,止盈
13,300376,易事特,2021-08-18,12.476,2021-08-31,13.213,40000,5.8026%,28972.41,9,止盈
14,300510,金冠股份,2021-08-18,8.844,2021-08-20,8.056,56500,-9.0057%,-45024.86,2,止损
15,600096,云天化,2021-08-18,12.551,2021-08-24,13.378,39800,6.4827%,32399.99,4,止盈
16,600348,华阳股份,2021-08-18,5.721,2021-08-20,5.335,87300,-6.8322%,-34139.20,2,止损
17,600360,华微电子,2021-08-18,10.293,2021-08-31,9.433,48500,-8.4453%,-42181.72,9,到期
18,600516,方大炭素,2021-08-18,9.376,2021-08-23,10.006,53300,6.6161%,33078.95,3,止盈
19,600522,中天科技,2021-08-18,7.586,2021-08-20,7.098,65900,-6.5179%,-32599.68,2,止损
20,601117,中国化学,2021-08-18,9.907,2021-08-20,9.247,50400,-6.7510%,-33725.37,2,止损
21,000933,神火股份,2021-08-20,8.763,2021-08-26,9.454,57000,7.7760%,38861.58,4,止盈
22,002312,川发龙蟒,2021-08-20,12.735,2021-08-24,13.452,39200,5.5237%,27589.44,2,止盈
23,002941,新疆交建,2021-08-20,10.985,2021-08-30,10.195,21300,-7.2894%,-17065.14,6,止损
24,300228,富瑞特装,2021-08-20,10.825,2021-09-01,9.835,46100,-9.2390%,-46130.44,8,止损
25,300435,中泰股份,2021-08-20,20.171,2021-08-24,22.72,24700,12.5221%,62419.58,2,止盈
26,300471,厚普股份,2021-08-20,28.534,2021-08-26,29.505,17500,3.2995%,16484.30,4,止盈
27,600218,全柴动力,2021-08-20,15.483,2021-08-31,14.388,32200,-7.1649%,-35737.82,7,止损
28,601015,陕西黑猫,2021-08-20,9.105,2021-09-01,9.945,54900,9.1222%,45619.17,8,止盈
29,002300,太阳电缆,2021-08-23,5.927,2021-08-25,6.212,84300,4.7026%,23507.99,2,止盈
30,300033,同花顺,2021-08-23,69.085,2021-09-02,75.319,7200,8.9159%,44370.68,8,止盈
31,300329,海伦钢琴,2021-08-23,11.674,2021-08-25,11.222,42800,-3.9633%,-19811.95,2,止损
32,600055,万东医疗,2021-08-23,21.561,2021-09-01,19.3,23100,-10.5735%,-52687.88,7,止损
33,300159,新研股份,2021-08-24,5.746,2021-08-26,5.247,87000,-8.7670%,-43847.40,2,止损
34,300205,ST天喻,2021-08-24,13.822,2021-08-30,12.909,36100,-6.7014%,-33454.96,4,止损
35,002369,卓翼科技,2021-08-25,7.434,2021-09-07,7.256,67200,-2.4833%,-12411.17,9,到期
36,002599,盛通股份,2021-08-25,8.034,2021-08-27,9.555,62200,18.8157%,94071.93,2,止盈
37,300182,捷成股份,2021-08-25,4.7,2021-09-03,5.095,106300,8.2974%,41478.70,7,止盈
38,300208,中程退,2021-08-25,15.308,2021-08-27,15.602,32600,1.8223%,9098.34,2,止盈
39,300719,安达维尔,2021-08-25,16.928,2021-08-30,15.652,29500,-7.6317%,-38131.12,3,止损
40,600875,东方电气,2021-08-25,13.484,2021-09-03,15.089,37000,11.7967%,58882.78,7,止盈
41,300173,ST福能,2021-08-26,8.264,2021-09-01,7.706,60500,-6.8451%,-34241.19,4,止损
42,600210,紫江企业,2021-08-26,7.504,2021-08-30,7.696,66600,2.4615%,12307.68,2,止损
43,601377,兴业证券,2021-08-26,8.368,2021-09-07,8.841,59700,5.5395%,27688.33,8,止盈
44,000009,中国宝安,2021-08-27,26.438,2021-09-06,22.034,18900,-16.7419%,-83698.10,6,止损
45,002407,多氟多,2021-08-27,37.168,2021-09-06,33.557,13400,-9.8040%,-48852.70,6,止损
46,600773,西藏城投,2021-08-27,29.471,2021-09-01,33.279,16900,12.8105%,63835.51,3,止盈
47,600428,中远海特,2021-08-30,4.98,2021-09-09,5.485,100300,10.0248%,50103.27,8,止盈
48,600562,国睿科技,2021-08-30,14.645,2021-09-06,13.441,34100,-8.3131%,-41536.74,5,止损
