日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.001366,
2021-08-19,0.992212,
2021-08-20,0.988338,
2021-08-23,1.005834,
2021-08-24,1.015447,
2021-08-25,1.018746,
2021-08-26,1.015226,
2021-08-27,1.010407,
2021-08-30,1.010383,
2021-08-31,1.016593,
2021-09-01,0.996737,
2021-09-02,1.041710,
2021-09-03,1.012465,
2021-09-06,1.014318,
2021-09-07,1.044971,
2021-09-08,1.039804,
2021-09-09,1.044938,
2021-09-10,1.034612,
2021-09-13,1.058025,
2021-09-14,1.048093,
2021-09-15,1.058615,
2021-09-16,1.044660,
2021-09-17,1.032563,
2021-09-22,1.048245,
2021-09-23,1.042286,
2021-09-24,1.012438,
2021-09-27,0.968201,
2021-09-28,0.986146,
2021-09-29,0.948806,
2021-09-30,0.972254,
2021-10-08,0.965352,
2021-10-11,0.942094,
2021-10-12,0.921702,
2021-10-13,0.904675,
2021-10-14,0.907469,
2021-10-15,0.923740,
2021-10-18,0.940389,
2021-10-19,0.943705,
2021-10-20,0.952176,
2021-10-21,0.955931,
2021-10-22,0.940069,
2021-10-25,0.955623,
2021-10-26,0.955998,
2021-10-27,0.954716,
2021-10-28,0.936808,
2021-10-29,0.949149,
2021-11-01,0.978287,
2021-11-02,0.964523,
2021-11-03,0.970366,
2021-11-04,0.986318,
2021-11-05,0.958370,
2021-11-08,0.956697,
2021-11-09,0.966660,
2021-11-10,0.979184,
2021-11-11,0.974865,
2021-11-12,0.991237,
2021-11-15,0.987178,
2021-11-16,0.975214,
2021-11-17,0.987968,
2021-11-18,0.990493,
2021-11-19,1.005748,
2021-11-22,1.033132,
2021-11-23,1.046822,
2021-11-24,1.055197,
2021-11-25,1.050747,
2021-11-26,1.042081,
2021-11-29,1.049519,
2021-11-30,1.053388,
2021-12-01,1.053345,
2021-12-02,1.026362,
2021-12-03,1.027979,
2021-12-06,1.011141,
2021-12-07,0.993616,
2021-12-08,1.007255,
2021-12-09,1.008072,
2021-12-10,1.005664,
2021-12-13,1.011945,
2021-12-14,1.019728,
2021-12-15,1.022081,
2021-12-16,1.034768,
2021-12-17,1.026294,
2021-12-20,1.028676,
2021-12-21,1.042762,
2021-12-22,1.043874,
2021-12-23,1.036842,
2021-12-24,1.021950,
2021-12-27,1.017601,
2021-12-28,1.013469,
2021-12-29,1.009023,
2021-12-30,1.023604,
2021-12-31,1.027252,
2022-01-04,1.052051,
2022-01-05,1.038955,
2022-01-06,1.061261,
2022-01-07,1.031840,
2022-01-10,1.048384,
2022-01-11,1.054599,
2022-01-12,1.064442,
2022-01-13,1.065020,
2022-01-14,1.078207,
2022-01-17,1.091960,
2022-01-18,1.054839,
2022-01-19,1.072117,
2022-01-20,1.054353,
2022-01-21,1.020031,
2022-01-24,1.009969,
2022-01-25,0.968089,
2022-01-26,0.960566,
2022-01-27,0.926484,
2022-01-28,0.925528,
2022-02-07,0.942573,
2022-02-08,0.954905,
2022-02-09,0.989656,
2022-02-10,0.994626,
2022-02-11,0.990036,
2022-02-14,1.008289,
2022-02-15,1.004474,
2022-02-16,1.019453,
2022-02-17,0.997037,
2022-02-18,1.007808,
2022-02-21,1.032367,
2022-02-22,1.021272,
2022-02-23,1.027136,
2022-02-24,0.994246,
2022-02-25,0.988366,
2022-02-28,0.981537,
2022-03-01,0.996300,
2022-03-02,1.010063,
2022-03-03,1.018653,
2022-03-04,1.000074,
2022-03-07,0.996240,
2022-03-08,0.969612,
2022-03-09,0.977925,
2022-03-10,1.002032,
2022-03-11,0.998137,
2022-03-14,0.978574,
2022-03-15,0.936893,
2022-03-16,0.952905,
2022-03-17,0.961536,
2022-03-18,0.971965,
2022-03-21,0.991578,
2022-03-22,0.969964,
2022-03-23,0.962895,
2022-03-24,0.971794,
2022-03-25,0.955743,
2022-03-28,0.949784,
2022-03-29,0.950892,
2022-03-30,0.958648,
2022-03-31,0.959587,
2022-04-01,0.938621,
2022-04-06,0.941953,
2022-04-07,0.918427,
2022-04-08,0.924323,
2022-04-11,0.888653,
2022-04-12,0.894762,
2022-04-13,0.867889,
2022-04-14,0.880597,
2022-04-15,0.859453,
2022-04-18,0.859667,
2022-04-19,0.858231,
2022-04-20,0.848739,
2022-04-21,0.815228,
2022-04-22,0.803573,
2022-04-25,0.761865,
2022-04-26,0.750945,
2022-04-27,0.743142,
2022-04-28,0.734724,
2022-04-29,0.755524,
2022-05-05,0.770390,
2022-05-06,0.760286,
2022-05-09,0.775499,
2022-05-10,0.809471,
2022-05-11,0.824845,
2022-05-12,0.857945,
2022-05-13,0.850456,
2022-05-16,0.859668,
2022-05-17,0.847734,
2022-05-18,0.857588,
2022-05-19,0.862793,
2022-05-20,0.864074,
2022-05-23,0.869329,
2022-05-24,0.833128,
2022-05-25,0.847896,
2022-05-26,0.845710,
2022-05-27,0.843218,
2022-05-30,0.846513,
2022-05-31,0.851943,
2022-06-01,0.859522,
2022-06-02,0.872275,
2022-06-06,0.891367,
2022-06-07,0.887789,
2022-06-08,0.889626,
2022-06-09,0.864468,
2022-06-10,0.878882,
2022-06-13,0.883944,
2022-06-14,0.875730,
2022-06-15,0.863258,
2022-06-16,0.868426,
2022-06-17,0.884731,
2022-06-20,0.879773,
2022-06-21,0.865801,
2022-06-22,0.860480,
2022-06-23,0.876380,
2022-06-24,0.881881,
2022-06-27,0.888230,
2022-06-28,0.899518,
2022-06-29,0.872156,
2022-06-30,0.880782,
2022-07-01,0.880015,
2022-07-04,0.884368,
2022-07-05,0.875381,
2022-07-06,0.874039,
2022-07-07,0.890300,
2022-07-08,0.885531,
2022-07-11,0.879813,
2022-07-12,0.864509,
2022-07-13,0.871294,
2022-07-14,0.886363,
2022-07-15,0.878928,
2022-07-18,0.894659,
2022-07-19,0.907754,
2022-07-20,0.913995,
2022-07-21,0.910607,
2022-07-22,0.910457,
2022-07-25,0.895662,
2022-07-26,0.907174,
2022-07-27,0.925239,
2022-07-28,0.930282,
2022-07-29,0.921703,
2022-08-01,0.916004,
2022-08-02,0.879837,
2022-08-03,0.866213,
2022-08-04,0.878459,
2022-08-05,0.867436,
2022-08-08,0.881585,
2022-08-09,0.886612,
2022-08-10,0.892728,
2022-08-11,0.893554,
2022-08-12,0.884725,
2022-08-15,0.904287,
2022-08-16,0.910756,
2022-08-17,0.905593,
2022-08-18,0.920994,
2022-08-19,0.895910,
2022-08-22,0.892977,
2022-08-23,0.912029,
2022-08-24,0.875088,
2022-08-25,0.853460,
2022-08-26,0.835577,
2022-08-29,0.839768,
2022-08-30,0.832142,
2022-08-31,0.795975,
2022-09-01,0.791246,
2022-09-02,0.795539,
2022-09-05,0.806122,
2022-09-06,0.813864,
2022-09-07,0.808559,
2022-09-08,0.799761,
2022-09-09,0.792892,
2022-09-13,0.794784,
2022-09-14,0.791863,
2022-09-15,0.781321,
2022-09-16,0.766909,
2022-09-19,0.761864,
2022-09-20,0.768152,
2022-09-21,0.761708,
2022-09-22,0.768300,
2022-09-23,0.747935,
2022-09-26,0.747496,
2022-09-27,0.763883,
2022-09-28,0.735121,
2022-09-29,0.729930,
2022-09-30,0.725744,
2022-10-10,0.705549,
2022-10-11,0.700628,
2022-10-12,0.698020,
2022-10-13,0.688726,
2022-10-14,0.694795,
2022-10-17,0.709487,
2022-10-18,0.722950,
2022-10-19,0.704994,
2022-10-20,0.698555,
2022-10-21,0.696756,
2022-10-24,0.685128,
2022-10-25,0.674788,
2022-10-26,0.697688,
2022-10-27,0.695520,
2022-10-28,0.682441,
2022-10-31,0.688863,
2022-11-01,0.704348,
2022-11-02,0.708072,
2022-11-03,0.709762,
2022-11-04,0.721574,
2022-11-07,0.721597,
2022-11-08,0.729870,
2022-11-09,0.730662,
2022-11-10,0.722893,
2022-11-11,0.724618,
2022-11-14,0.731976,
2022-11-15,0.749235,
2022-11-16,0.743092,
2022-11-17,0.754665,
2022-11-18,0.746430,
2022-11-21,0.752273,
