序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1,000001,平安银行,2024-10-10,10.667,2024-10-23,10.857,1.6722%,1.7740%,9,到期
2,000002,万科Ａ,2024-10-10,8.904,2024-10-17,9.995,12.1350%,12.2472%,5,止盈
3,000002,万科Ａ,2024-10-18,9.055,2024-10-31,9.105,0.4618%,0.5624%,9,到期
4,000004,国华退,2023-07-11,14.827,2023-07-13,15.772,6.2650%,6.3713%,2,止盈
5,000004,国华退,2023-07-20,19.75,2023-07-24,17.291,-12.5358%,-12.4483%,2,止损
6,000004,国华退,2024-02-29,11.276,2024-03-04,12.784,13.2604%,13.3737%,2,止盈
7,000004,国华退,2024-06-21,9.995,2024-06-26,9.245,-7.5924%,-7.5000%,3,止损
8,000004,国华退,2024-10-10,15.608,2024-10-14,17.111,9.5243%,9.6339%,2,止盈
9,000004,国华退,2024-12-18,18.379,2024-12-20,19.61,6.5912%,6.6978%,2,止盈
10,000006,深振业Ａ,2022-04-08,4.987,2022-04-13,4.613,-7.6073%,-7.5148%,3,止损
11,000006,深振业Ａ,2022-12-06,5.939,2022-12-08,5.173,-12.9775%,-12.8904%,2,止损
12,000006,深振业Ａ,2022-12-21,5.369,2022-12-26,5.593,4.0779%,4.1820%,3,止盈
13,000006,深振业Ａ,2022-12-30,6.199,2023-01-06,5.963,-3.9045%,-3.8083%,4,止损
14,000006,深振业Ａ,2023-08-15,5.063,2023-08-17,5.637,11.2397%,11.3510%,2,止盈
15,000006,深振业Ａ,2023-11-24,5.073,2023-11-28,4.678,-7.8768%,-7.7846%,2,止损
16,000006,深振业Ａ,2024-10-10,4.892,2024-10-14,5.637,15.1070%,15.2221%,2,止盈
17,000006,深振业Ａ,2024-10-31,9.335,2024-11-04,8.396,-10.1478%,-10.0578%,2,止损
18,000006,深振业Ａ,2025-10-16,11.176,2025-10-20,12.664,13.2022%,13.3155%,2,止盈
19,000007,全新好,2024-07-05,5.013,2024-07-09,5.387,7.3698%,7.4773%,2,止盈
20,000007,全新好,2024-10-14,6.463,2024-10-24,6.857,5.9798%,6.0858%,8,止盈
21,000007,全新好,2026-05-13,14.707,2026-05-15,12.724,-13.5744%,-13.4879%,2,止损
22,000008,神州高铁,2021-12-28,2.831,2021-12-30,2.629,-7.2528%,-7.1600%,2,止损
23,000008,神州高铁,2024-03-14,2.671,2024-03-26,2.429,-9.1706%,-9.0797%,8,止损
24,000008,神州高铁,2024-10-10,2.281,2024-10-23,2.299,0.6756%,0.7764%,9,到期
25,000008,神州高铁,2024-12-10,3.372,2024-12-16,3.118,-7.6034%,-7.5109%,4,止损
26,000009,中国宝安,2021-08-27,26.438,2021-09-06,22.034,-16.7419%,-16.6586%,6,止损
27,000009,中国宝安,2024-10-10,9.565,2024-10-14,8.866,-7.4030%,-7.3103%,2,止损
28,000010,ST美丽,2022-05-18,3.252,2022-05-20,3.478,6.8630%,6.9699%,2,止盈
29,000010,ST美丽,2023-07-28,2.551,2023-08-01,3.168,24.0653%,24.1895%,2,止盈
30,000010,ST美丽,2023-08-24,3.032,2023-08-28,3.478,14.6220%,14.7367%,2,止盈
31,000010,ST美丽,2023-08-30,3.252,2023-09-07,2.929,-10.0263%,-9.9363%,6,止损
32,000010,ST美丽,2023-09-21,3.192,2023-09-28,3.418,6.9958%,7.1029%,5,止盈
33,000010,ST美丽,2023-10-23,3.472,2023-10-25,4.328,24.5345%,24.6591%,2,止盈
34,000010,ST美丽,2024-06-26,1.581,2024-07-02,1.719,8.6432%,8.7520%,4,止盈
35,000010,ST美丽,2024-10-10,2.011,2024-10-23,2.069,2.7793%,2.8821%,9,到期
36,000010,ST美丽,2025-07-17,3.402,2025-07-21,3.188,-6.3640%,-6.2702%,2,止损
37,000011,深物业A,2022-04-08,11.613,2022-04-12,10.762,-7.4224%,-7.3297%,2,止损
38,000011,深物业A,2022-12-15,11.193,2022-12-21,10.382,-7.3367%,-7.2440%,4,止损
39,000011,深物业A,2024-08-13,8.284,2024-08-19,7.616,-8.1549%,-8.0630%,4,止损
40,000011,深物业A,2024-10-10,8.644,2024-10-17,9.575,10.6581%,10.7688%,5,止盈
41,000011,深物业A,2024-10-18,8.754,2024-10-23,9.225,5.2749%,5.3803%,3,止盈
42,000011,深物业A,2025-10-27,10.275,2025-10-29,11.314,10.0037%,10.1138%,2,止盈
43,000011,深物业A,2026-07-29,7.364,2026-07-31,7.916,7.3937%,7.5011%,2,止盈
44,000012,南玻Ａ,2024-10-10,5.395,2024-10-23,5.279,-2.2358%,-2.1380%,9,到期
45,000012,南玻Ａ,2026-06-01,4.043,2026-06-08,4.179,3.2577%,3.3611%,5,止盈
46,000012,南玻Ａ,2026-06-22,4.363,2026-06-24,4.629,5.9790%,6.0851%,2,止盈
47,000012,南玻Ａ,2026-07-07,4.513,2026-07-09,4.169,-7.7219%,-7.6295%,2,止损
48,000014,沙河股份,2021-12-23,6.025,2022-01-05,6.428,6.5784%,6.6850%,8,止盈
49,000014,沙河股份,2022-04-08,9.686,2022-04-12,8.385,-13.5189%,-13.4323%,2,止损
50,000014,沙河股份,2022-09-19,8.768,2022-09-22,9.159,4.3552%,4.4596%,3,止盈
51,000014,沙河股份,2022-12-07,9.649,2022-12-20,9.949,3.0082%,3.1113%,9,止盈
52,000014,沙河股份,2023-09-01,14.161,2023-09-06,12.978,-8.4495%,-8.3579%,3,止损
53,000014,沙河股份,2024-10-10,9.705,2024-10-23,10.195,4.9445%,5.0495%,9,到期
54,000014,沙河股份,2024-11-04,11.206,2024-11-06,11.994,6.9288%,7.0358%,2,止盈
55,000014,沙河股份,2025-08-22,15.368,2025-08-28,14.453,-6.0475%,-5.9535%,4,止损
56,000014,沙河股份,2025-09-29,18.969,2025-10-13,19.7,3.7480%,3.8518%,4,止盈
57,000016,ST康佳A,2024-08-07,2.501,2024-08-09,2.339,-6.5870%,-6.4936%,2,止损
58,000016,ST康佳A,2024-08-23,2.631,2024-08-27,2.889,9.6664%,9.7761%,2,止盈
59,000016,ST康佳A,2024-10-10,3.252,2024-10-14,3.078,-5.4201%,-5.3255%,2,止损
60,000016,ST康佳A,2024-11-05,6.983,2024-11-07,6.237,-10.7804%,-10.6911%,2,止损
61,000016,ST康佳A,2025-01-20,6.253,2025-01-22,5.497,-12.1758%,-12.0880%,2,止损
62,000016,ST康佳A,2025-03-03,5.143,2025-03-05,5.587,8.5375%,8.6462%,2,止盈
63,000016,ST康佳A,2025-04-17,5.183,2025-04-21,4.848,-6.5578%,-6.4642%,2,止损
64,000017,深中华A,2022-03-01,3.702,2022-03-09,3.458,-6.6733%,-6.5800%,6,止损
65,000017,深中华A,2022-05-23,3.362,2022-05-25,3.238,-3.7641%,-3.6678%,2,止损
66,000017,深中华A,2022-06-30,4.522,2022-07-05,4.348,-3.9534%,-3.8573%,3,止损
67,000017,深中华A,2022-12-12,4.982,2022-12-21,4.648,-6.8131%,-6.7198%,7,止损
68,000017,深中华A,2024-02-01,10.625,2024-02-06,11.494,8.0699%,8.1780%,3,止盈
69,000017,深中华A,2024-10-10,6.103,2024-10-23,6.197,1.4362%,1.5378%,9,到期
70,000017,深中华A,2025-11-25,7.924,2025-11-28,7.506,-5.3662%,-5.2715%,3,止损
71,000017,深中华A,2026-07-13,5.763,2026-07-21,5.197,-9.9026%,-9.8125%,6,止损
