日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10543559.65
2021-08-19,10103385.85
2021-08-20,10080924.41
2021-08-23,10263310.53
2021-08-24,10178301.17
2021-08-25,10202110.75
2021-08-26,10032638.58
2021-08-27,10041799.18
2021-08-30,10065489.59
2021-08-31,10121437.04
2021-09-01,10230260.9
2021-09-02,10321196.4
2021-09-03,10099881.03
2021-09-06,10296658.85
2021-09-07,10403859.62
2021-09-08,10446040.09
2021-09-09,10375595.86
2021-09-10,10490901.99
2021-09-13,10767143.72
2021-09-14,10503482.73
2021-09-15,10514519.88
2021-09-16,10294824.77
2021-09-17,10319491.09
2021-09-22,10375854.09
2021-09-23,10169775.17
2021-09-24,9791780.94
2021-09-27,9602997.47
2021-09-28,9735092.5
2021-09-29,9487488.54
2021-09-30,9721040.63
2021-10-08,9773014.02
2021-10-11,9628891.22
2021-10-12,9489717.61
2021-10-13,9547019.87
2021-10-14,9628323.4
2021-10-15,9449579.32
2021-10-18,9357995.24
2021-10-19,9455382.01
2021-10-20,9449712.41
2021-10-21,9456316.21
2021-10-22,9388308.57
2021-10-25,9380970.64
2021-10-26,9345858.84
2021-10-27,9285435.52
2021-10-28,9084625.63
2021-10-29,9198077.39
2021-11-01,9381045.89
2021-11-02,9267181.18
2021-11-03,9213956.0
2021-11-04,9445272.03
2021-11-05,9436276.77
2021-11-08,9449928.81
2021-11-09,9526422.41
2021-11-10,9578962.81
2021-11-11,9635954.47
2021-11-12,9646563.78
2021-11-15,9597302.75
2021-11-16,9532970.25
2021-11-17,9671869.63
2021-11-18,9557975.21
2021-11-19,9547345.27
2021-11-22,9682460.55
2021-11-23,9660688.73
2021-11-24,9707657.43
2021-11-25,9601200.45
2021-11-26,9629001.6
2021-11-29,9837078.66
2021-11-30,10036693.0
2021-12-01,9933338.7
2021-12-02,9865647.15
2021-12-03,9905424.82
2021-12-06,9804192.73
2021-12-07,9734718.89
2021-12-08,9951767.13
2021-12-09,9962573.42
2021-12-10,9862897.1
2021-12-13,9907721.23
2021-12-14,9813490.53
2021-12-15,9751642.97
2021-12-16,9820889.33
2021-12-17,9746987.21
2021-12-20,9642673.13
2021-12-21,9695588.07
2021-12-22,9654347.67
2021-12-23,9767994.26
2021-12-24,9666306.06
2021-12-27,9844353.22
2021-12-28,9768313.44
2021-12-29,9734554.17
2021-12-30,9949196.95
2021-12-31,9775005.57
2022-01-04,9845165.52
2022-01-05,9700571.09
2022-01-06,9591843.94
2022-01-07,9474644.83
2022-01-10,9483901.42
2022-01-11,9350769.72
2022-01-12,9364194.05
2022-01-13,9248385.65
2022-01-14,9383645.37
2022-01-17,9581495.19
2022-01-18,9421303.91
2022-01-19,9440333.45
2022-01-20,9324196.53
2022-01-21,9074154.75
2022-01-24,9136194.24
2022-01-25,8754440.82
2022-01-26,8690565.37
2022-01-27,8246079.67
2022-01-28,8051223.54
2022-02-07,8240980.09
2022-02-08,8194125.79
2022-02-09,8288115.42
2022-02-10,8204847.84
2022-02-11,8127753.93
2022-02-14,7974436.59
2022-02-15,8094161.78
2022-02-16,8263097.13
